id,publisher_id,title,data,format,last_modified,period_id,schema,cache
95ef4f38-845f-4a2a-bb90-a1889e2e8a6b,department-for-culture-media-and-sport,"Spend over £25k: DCMS/DCMS transactions over £25,000: July 2014",https://www.gov.uk/government/publications/transactions-over-25000-july-2014,HTML,,2014-07-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/95ef4f38-845f-4a2a-bb90-a1889e2e8a6b
fcebc950-c759-4f8d-a36f-15e5a58ecada,department-for-culture-media-and-sport,"Spend over £25k: DCMS/DCMS transactions over £25,000: August 2014",https://www.gov.uk/government/publications/transactions-over-25000-august-2014,HTML,,2014-08-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/fcebc950-c759-4f8d-a36f-15e5a58ecada
a4be2977-cf03-47a8-9c4a-8892438dfafb,department-of-health,NHS Stoke Spend over 25k/Links to spend spreadsheets,http://webarchive.nationalarchives.gov.uk/+/http://www.stoke.nhs.uk/contact/expenditure,XLS,,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/a4be2977-cf03-47a8-9c4a-8892438dfafb
585356a8-6c74-43ef-a0f9-ca975ca06ba2,northern-ireland-office,"Spend over £25,000 NORTHERN IRELAND/2010 May return",http://webarchive.nationalarchives.gov.uk/+/http://www.nio.gov.uk/index/nio-publication/nio-pubs-search-results.htm?category=&keyword=&order=date&submitbutton.x=11&submitbutton.y=6,XLS,,2010-05-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/585356a8-6c74-43ef-a0f9-ca975ca06ba2
9a29716e-a788-4cef-977a-1d7f99b6e3ca,department-of-health,"Spend over £25,000 in the Department of Health/September 2015",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/472484/25k_sept_data.csv/preview,CSV,,2015-09-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/9a29716e-a788-4cef-977a-1d7f99b6e3ca
4b45e6d2-7ed7-402a-b2f6-fe0cd70d2678,home-office,"Spend over £25,000 in the Home Office/Feb 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/181254/Home_Office_spending_over__25_000_-_February_2013.ods,ODS,,2013-02-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/4b45e6d2-7ed7-402a-b2f6-fe0cd70d2678.ods
45ff5594-3b74-4f1d-892c-3c1e0c78631d,home-office,"Spend over £25,000 in the Home Office/Jan 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/175465/Home_Office_spending_over__25_000_-_January_2013.ods,ODS,,2013-01-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/45ff5594-3b74-4f1d-892c-3c1e0c78631d.ods
60cf5d6b-c306-4b19-adcf-a8b455ff5f5d,home-office,"Spend over £25,000 in the Home Office/March 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/193968/HO_spend_over_25K_mar_2013.ods,ODS,,2013-03-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/60cf5d6b-c306-4b19-adcf-a8b455ff5f5d.ods
448b12db-25f5-4f8e-b3ae-5b0a38234404,home-office,"Spend over £25,000 in the Home Office/April 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/205681/ho-spend-25K-FY1314-AP1.ods,ODS,,2013-04-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/448b12db-25f5-4f8e-b3ae-5b0a38234404.ods
d3590444-66f2-4379-ac13-4f4d7e323623,home-office,"Spend over £25,000 in the Home Office/May 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/226085/HO_Spend_25K_FY1314_AP2_ODS.ods,ODS,,2013-05-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/d3590444-66f2-4379-ac13-4f4d7e323623.ods
9726ad16-4f0e-4c98-b8bb-b3b40694ccc7,home-office,"Spend over £25,000 in the Home Office/June 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/226496/HO_Spend_25K_June_ODS.ods,ODS,,2013-06-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/9726ad16-4f0e-4c98-b8bb-b3b40694ccc7.ods
77ebce09-c347-44f7-981e-917ac83a0fe7,home-office,"Spend over £25,000 in the Home Office/July 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/260346/HO_FY1314_AP3_Proc_Card_500_ODS.ods,ODS,,2013-07-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/77ebce09-c347-44f7-981e-917ac83a0fe7.ods
623806ad-9399-45ae-9a0d-04bdd41b3cb3,home-office,"Spend over £25,000 in the Home Office/August 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/260348/HO_FY1314_AP4_Proc_Card_500_ODS.ods,ODS,,2013-08-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/623806ad-9399-45ae-9a0d-04bdd41b3cb3.ods
4e19a61e-6d50-40f0-9fdd-9ca844c2732a,home-office,"Spend over £25,000 in the Home Office/September 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/260350/HO_FY1314_AP5_Proc_card_500_ODS.ods,ODS,,2013-09-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/4e19a61e-6d50-40f0-9fdd-9ca844c2732a.ods
cd346249-8039-40f9-a55c-679ad475d977,home-office,"Spend over £25,000 in the Home Office/October 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/263388/HO_FY1314_AP7_Spend_25K_ODS.ods,ODS,,2013-10-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/cd346249-8039-40f9-a55c-679ad475d977.ods
99e50d48-e5ac-4b4f-abe6-55143b3f6c19,home-office,"Spend over £25,000 in the Home Office/November 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/270466/HO_FY1314_AP8_Spend_25K_ODS.ods,ODS,,2013-11-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/99e50d48-e5ac-4b4f-abe6-55143b3f6c19.ods
ef949cf2-b860-4f96-8add-b86da43d205d,home-office,"Spend over £25,000 in the Home Office/December 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/282877/HO_FY1314_AP9_25K_Spend_ODS.ods,ODS,,2013-12-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/ef949cf2-b860-4f96-8add-b86da43d205d.ods
af84d89a-eeae-4e83-8771-7b9178350aae,home-office,"Spend over £25,000 in the Home Office/January 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/299024/HO_FY1314_AP10_25K_Spend_ODS.ods,ODS,,2014-01-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/af84d89a-eeae-4e83-8771-7b9178350aae.ods
f91bf7e8-c11e-4ed2-8bba-43859a6231e9,home-office,"Spend over £25,000 in the Home Office/February 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/304434/HO25KSpend.ods,ODS,,2014-02-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/f91bf7e8-c11e-4ed2-8bba-43859a6231e9.ods
c9a62b1c-112d-41be-9d1d-93bada2f237b,home-office,"Spend over £25,000 in the Home Office/March 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/316193/25KspendMar14ODS.ods,ODS,,2014-03-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/c9a62b1c-112d-41be-9d1d-93bada2f237b.ods
58b5c5ac-3104-41c5-a57e-9bf37e8dcdd4,home-office,"Spend over £25,000 in the Home Office/April 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/325382/ProcSpend25KApr14ODS.ods,ODS,,2014-04-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/58b5c5ac-3104-41c5-a57e-9bf37e8dcdd4.ods
0e4f16d9-92fa-408c-a660-63ea6d175837,home-office,"Spend over £25,000 in the Home Office/May 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/325387/ProcSpend25KMay14ODS.ods,ODS,,2014-05-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/0e4f16d9-92fa-408c-a660-63ea6d175837.ods
bbc76a72-5d8f-449a-bd6a-d5e285bb8084,home-office,"Spend over £25,000 in the Home Office/April 2010 to May 12 2010",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/98228/april-to-may-12th-2010.xls,CSV,,2010-04-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/bbc76a72-5d8f-449a-bd6a-d5e285bb8084.xls
139d2999-74cf-4563-8a7a-30a7e6252916,home-office,"Spend over £25,000 in the Home Office/April 2011",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/98204/april-2011.xls,CSV,,2011-04-01,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,/home/g/Documents/okf/data-quality-uk-25k-spend/fetched/139d2999-74cf-4563-8a7a-30a7e6252916.xls
