id,publisher_id,title,data,format,last_modified,schema,created_at,period_id
f4cf3378-4073-4d88-8e93-706e499d8664,department-for-education,"Spend over £25,000 by National College/National College July 2010",http://media.education.gov.uk/assets/files/xls/n/national%20college%20spend%20%20july%202010.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,29/10/2010,01-07-2010/31-07-2010
7c163601-e585-4dac-b73c-26631c1dc920,department-for-work-and-pensions,"Spend over £25,000 in the Department for Work and Pensions/October 2012 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/186367/dwp-payments-october2012.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2015-09-24T12:12:49.697136,01-10-2012/31-10-2012
a3e43095-5957-4102-a59f-6593f61bd6bb,department-for-business-innovation-and-skills,"Spend over £25,000 in the Department for Business, Innovation and Skills/June 2012 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/15044/spending-data-jun-2012.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2012-10-16T11:13:45.725550,01-06-2012/30-06-2012
75a0c171-c682-4147-bcc8-56c8afa163bd,ministry-of-defence,"MOD: spending over £25,000/April 2013 MOD GPC spend",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/212526/gpc_transparency_data_1_apr_to_30_apr13.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T13:05:46.648023,01-04-2013/30-04-2013
6cdffc77-0223-4b94-82c6-bd8e542dede9,department-for-business-innovation-and-skills,"Spend over £25,000 in the Department for Business, Innovation and Skills/May 2012 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/15045/spending-data-may-2012.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2012-07-24T09:48:22.460021,01-05-2012/31-05-2012
c4fb05f7-3af7-41d7-a41e-e491479f9224,department-for-international-development,"Spend over £25,000 in the Department for International Development/December 2010 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/204699/December-2010.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,19/11/2010,01-12-2010/31-12-2010
5619b22a-26d5-4c8e-b772-06f0c9d49a6f,department-of-health,"Spend over £25,000 in the Department of Health/June 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/339381/_25k_June_Data.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T12:02:36.229639,01-06-2014/30-06-2014
337d2588-067b-4667-9e0b-0a807753ce05,department-for-education,"Spend over £25,000 by School Food Trust/SFT spend over £25,000 for October 2010",http://media.education.gov.uk/assets/files/xls/s/sft%20spend%20%20october%202010.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,29/10/2010,01-10-2010/31-10-2010
bf98ab69-b9fd-4a4e-b375-8ceb8ce488d3,ministry-of-defence,"MOD: spending over £25,000/MOD's spending over £25,000 for September 2015",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/473121/20151027-Transparency_Sep15_Final_File.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T13:05:46.648846,01-09-2015/30-09-2015
1da8c291-ed74-44e8-91c5-5df84637fb01,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Marine Management Organisation/June 2011 return",http://data.defra.gov.uk/ops/procurement/1106/mmo-over-25k-1106.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-06-2011/30-06-2011
f621c5d2-7e01-4b81-90ba-3d001c9587c2,ministry-of-defence,"MOD: spending over £25,000/MOD's government procurement card spending over £500 on travel and stationery for November 2014",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/400030/gpc-transparency-data-travel-stationery-November-2014.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T13:05:46.648620,01-11-2014/30-11-2014
3833d530-4546-4b5a-9b61-ca2cb333a15f,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Department for Environment, Food and Rural Affairs/January 2012 return",http://data.defra.gov.uk/ops/procurement/defra-over-25k-1201.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,19/11/2010,01-01-2012/31-01-2012
83b59054-4adc-42d3-853b-e819c2aec416,ministry-of-justice,"Spend over £25,000 in the Ministry of Justice/October 2012 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/172789/moj-aramis-oct-2012.csv.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2013-02-26T11:34:00.056233,01-10-2012/31-10-2012
56ac8afb-57c7-447e-8438-e3616778aefd,cabinet-office,"Spend over £25,000 in the Cabinet Office/June 2011 return with descriptions ",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/85807/spend-transactions-with-descriptions-co-june-2011.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,19/11/2010,01-06-2011/30-06-2011
bf2262e8-a5af-47ed-984d-2c7a477ce901,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Environment Agency/September 2011 return",http://data.defra.gov.uk/ops/procurement/ea-over-25k-1109.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-09-2011/30-09-2011
c35b5324-f6cb-48de-9412-e4295c83a919,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Marine Management Organisation/November 2010 return",http://data.defra.gov.uk/ops/procurement/mmo-over-25k-1011.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-11-2010/30-11-2010
6a9db8ee-8fa5-4643-b8c2-5265711ba06f,department-for-education,"Spend over £25,000 by Partnerships for Schools/PfS February 2012",http://media.education.gov.uk/assets/files/xls/pfs%20spend%20february%202012.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,29/10/2010,01-02-2012/29-02-2012
4fc3d52e-af1a-47fa-b4b8-181197b2be2d,home-office,"Spend over £25,000 in the Home Office/August 2013",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/260644/HO_FY1314_AP5_Spend_25K_CSV.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2014-04-17T17:57:44.985190,01-08-2013/31-08-2013
3100190a-d83c-49ed-b13a-3a084df459f7,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Joint Nature Conservation Committee/February 2011 return",http://data.defra.gov.uk/ops/procurement/jncc-over-25k-1102.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-02-2011/28-02-2011
52d8f9ba-7a77-4b3f-b1a7-613b7eb750fb,hm-treasury,"Spend over £25,000 in HM Treasury/September 2011 return with descriptions",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/184352/transparency_sept11.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2016-07-13T12:05:09.071025,01-09-2011/30-09-2011
02b592a1-68db-42c2-9e3a-c3fd6414b30a,department-for-education,"Spend over £25,000 by National College/National College September 2010",http://media.education.gov.uk/assets/files/xls/n/national%20college%20spend%20%20september%202010.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,29/10/2010,01-09-2010/30-09-2010
3aa8d639-930a-49c5-8a52-12c56c7fc1f2,department-for-environment-food-and-rural-affairs,"Spend over £25,000 in the Joint Nature Conservation Committee/August 2010 return",http://data.defra.gov.uk/ops/procurement/jncc-over-25k-1008.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,22/12/2010,01-08-2010/31-08-2010
9195caff-3421-4eeb-91a6-9498a320c762,department-for-education,"Spend over £25,000 by Partnerships for Schools/PfS August 2011",http://media.education.gov.uk/assets/files/csv/updated%2020110725%20142617/pfs%20spend%20-%20august%202011.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,29/10/2010,01-08-2011/31-08-2011
0f8a9a5d-7d09-4e15-be02-704859732407,department-for-education,"Spend over £25,000 in the Department for Education/Transparency Spend over £25,000: March 2012",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/193931/DfE_spend_12mar_2012.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,19/11/2010,01-03-2012/31-03-2012
151fa3f5-2fb4-46bf-83b2-11f23919a2e0,department-for-work-and-pensions,"Spend over £25,000 in the Department for Work and Pensions/March 2012 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/186375/dwp-payments-march2012.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,2015-09-24T12:12:49.697093,01-03-2012/31-03-2012
90e2d91a-46d4-4985-8667-8054d376bf35,ministry-of-justice,"Spend over £25,000 in the Ministry of Justice/September 2011 return",https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/219982/moj-aramis-data-sept-11.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,19/11/2010,01-09-2011/30-09-2011
8f1edc2e-6162-4270-95af-f9fcc1866aa0,department-for-education,"Spend over £25,000 by National College/National College September 2011",http://media.education.gov.uk/assets/files/xls/n/national%20college%20spend%20-%20september%202011.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,29/10/2010,01-09-2011/30-09-2011
155ed1bc-2c87-4d0d-9278-5abe39f3b924,department-for-education,"Spend over £25,000 by National College/National College August 2011",http://media.education.gov.uk/assets/files/csv/updated%2020110725%20142617/national%20college%20spend%20-%20august%202011.csv,csv,,https://raw.githubusercontent.com/okfn/goodtables/master/examples/hmt/spend-publishing-schema.json,29/10/2010,01-08-2011/31-08-2011
