Departmental Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"£22,400"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"£2,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,"£1,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,£600
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,A4E LTD,2021943878,£400
Department for Work and Pensions,Corporate,01/08/2011,COMPUTER SERVICES,Corporate IT,ACCENTURE UK LTD,2021943882,"£88,688"
Department for Work and Pensions,Jobcentre Plus,01/08/2011,MEDICAL SERVICES,Jobcentre Plus,ATOS HEALTHCARE,2021943904,"£27,302"
Department for Work and Pensions,Jobcentre Plus,01/08/2011,MEDICAL SERVICES,Jobcentre Plus,ATOS HEALTHCARE,2021943904,"£168,969"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£15,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£37,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£2,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£16,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,£800
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£3,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£9,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£14,000"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£1,600"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£2,800"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£17,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,£400
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,"£1,200"
Department for Work and Pensions,Employment Programmes,01/08/2011,EP PROVIDER PAYMENT - WORK PROGRAMME,WWEG EMPLOYMENT PROGRAMMES,AVANTA ENTERPRISE LTD,2021943906,£800
