Departmental Family,Entity,Date,Expense Area,Expense Area,Supplier,Transaction Number,Amount
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£5
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£46
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,"£1,124"
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£129
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£10
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£7
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£5
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£83
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£9
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£167
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£2
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£115
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£26
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£100
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£18
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£57
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£81
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£12
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£2
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£96
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£182
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£3
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£6
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£28
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£24
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£32
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£79
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£4
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£107
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£233
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£56
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£47
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£7
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£156
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£2
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£58
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£31
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£116
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£388
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£2
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£8
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£104
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£21
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£21
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£91
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£96
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£177
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£43
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£175
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£99
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£268
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£19
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£9
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£3
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£18
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£3
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£13
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£33
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£2
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£38
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£56
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£23
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£71
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£10
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£10
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£46
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£46
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£12
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£85
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£323
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£13
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£407
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£124
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£259
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£8
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£1
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£31
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£19
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£46
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£33
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£76
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£147
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£9
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£298
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£96
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£8
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£298
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£247
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£107
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£296
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£91
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£8
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£258
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£114
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£31
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£222
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£77
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£111
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£93
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£159
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£41
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£178
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£71
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£10
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£306
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£21
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£115
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£71
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£63
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£244
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£29
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£41
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£229
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£37
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£10
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£0
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£38
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£95
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£14
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£3
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£22
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£1
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£10
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£2
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£25
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£111
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£58
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£47
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£120
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£18
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£3
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£60
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£116
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£50
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£13
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£10
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£74
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£135
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£108
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£6
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£103
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£23
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£44
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£5
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£61
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£8
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£16
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£3
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£26
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£13
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£82
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£7
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£1
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£47
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£4
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£47
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£11
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£84
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£30
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£26
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£34
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£1
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£29
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£180
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£15
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£4
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£42
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£14
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£33
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£31
Department for Work and Pensions,Jobcentre Plus,04/08/2011,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£65
Department for Work and Pensions,Jobcentre Plus,04/08/2011,PRINTING STATIONERY IT CONSUMABLES,Jobcentre Plus,XEROX UK LTD,2022023414,£61
