Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,Cabinet Office,16/03/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,AON HEWITT,3000023913,"27,000.00",Professional Services,KT18 5BS,SME,Administration
Cabinet Office,Cabinet Office,16/03/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT,3000023929,"27,243.15",Scheme Resilience Contribution,HP2 4XN,Government Department,Administration
Cabinet Office,Cabinet Office,16/03/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,FIELD FISHER WATERHOUSE,3000023936,"39,101.50",Provision of legal servcies,EC3N 2AA,Large,Administration
Cabinet Office,Cabinet Office,16/03/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,AON HEWITT,3000023913,"64,834.79",Professional Services,KT18 5BS,SME,Administration
Cabinet Office,Cabinet Office,16/03/12,Consultancy,GOVERNMENT CIO SUMMARY,CESG,3000023922,"471,665.99","Information Assurance Support and Guidance for Public Services Network including development of architecture, security standards and guidance and support in delivery of key enabling services",GL51 0EX,Government Department,Programme
Cabinet Office,Cabinet Office,19/03/12,Grants-in-Aid to NDPB's,OFFICE FOR CIVIL SOCIETY,ECONOMIC & SOCIAL RESEARCH COUNCIL,3000024008,"48,000.00",Funding for the appointment of six research fellows who will be working on applying behavioural science to government policy.,SN2 1UJ,Government Department,Grants
Cabinet Office,Cabinet Office,19/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,WORKALITY CIC,3000024037,"350,000.00",Match funding for a community interest company to inspire young people and provide quality information & guidance on career and life opportunities.,RG6 1PT,SME,Grants
Cabinet Office,Cabinet Office,19/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VOLUNTEERING ENGLAND,3000024036,"25,942.10",Delivery of the Sharing Learning lead role under the national work programme for the European year of Volunteering.,N1 9RL,SME,Grants
Cabinet Office,Cabinet Office,20/03/12,Consultancy,NATIONAL SCHOOL OF GOVERNMENT,K SZKOLA,2000228,"107,985.90",National School of Government payment to the project partner for the UK twinning consultancy project in Kiev,POLAND,Government Department,Administration
Cabinet Office,Cabinet Office,20/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE LONDON ORGANISING COMMITTEE OF THE OLYMPIC GAMES & PARALYMPIC GAMES LTD,3000024101,"119,240.00",Funding designed to utilise leverage from the Olympic games to inspire a social action legacy.,E14 5LN,SME,Grants
Cabinet Office,Cabinet Office,20/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE SOCIAL INVESTMENT BUSINESS,3000024102,"2,341,970.00",Grants to support organisations from the voluntary and community sector promoting social action.  ,WC1H 8AG,SME,Grants
Cabinet Office,Cabinet Office,20/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,TRANSITIONS PLUS UK LTD,3000024103,"175,223.00",National Citizen Service project grant,RG2 0TF,SME,Grants
Cabinet Office,Cabinet Office,20/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,PETROC,3000024094,"147,885.00",National Citizen Service project grant,EX31 2BQ,SME,Grants
Cabinet Office,Cabinet Office,20/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000024085,"440,000.00","Community Organisers programme to identify, train and support 5,000 community organisers to catalyse social action in their communities.",N1 6DR,Large,Grants
Cabinet Office,Cabinet Office,20/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,COMMUNITY DEVELOPMENT FOUNDATION,3000024063,"773,250.00",Community First small grants programme encouraging social action through new and existing neighbourhood groups.,EC1V 2PT,Large,Grants
Cabinet Office,Cabinet Office,20/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,BUSINESS IN THE COMMUNITY,3000024060,"98,000.00",Project grant to deliver and evaluate a pilot of 20 Business Connectors in communities across England.,N1 7RQ,Large,Grants
Cabinet Office,Cabinet Office,20/03/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,NEW PHILANTHROPY CAPITAL,3000024090,"100,000.00","To support the Inspiring Impact Programme, which is seeking to accelerate the uptake of impact measurement across the UK social sector over the next decade. ",SE1 9BL,SME,Grants
Cabinet Office,Government Procurement Service,20/03/12,GSI COS,Network Services,CESG,PINDOH 34071,"46,833.00",Security costs for government secure intranet,GL51 0EX,Gov Dept,Programme
Cabinet Office,Government Procurement Service,20/03/12,WSDS Maintenance & Repairs,WSDS,Cofely,PINDOH 34075,"39,005.82",Whitehall heating systems management,HP12 3TA,Large,Programme
Cabinet Office,Government Procurement Service,20/03/12,WDHS Maintenance & Repairs,WDHS,Cofely,PINDOH 34076,"62,514.50",Whitehall heating systems management,HP12 3TA,Large,Programme
Cabinet Office,Cabinet Office,21/03/12,Land and Buildings,ESTATE MANAGEMENT,HEALTH & SAFETY EXECUTIVE,3000024148,"25,200.48",Accomodation occupation costs,L20 7HS,SME,Administration
Cabinet Office,Cabinet Office,21/03/12,Accommodation and Utilities,ESTATE MANAGEMENT,MITIE MANAGED SERVICES LTD,3000024163,"48,911.10",Facilities Management Services,PR7 6TE,Large,Administration
