Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.08.2011 to 31.08.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,15/08/2011,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,381716,70471.12,
DfE,PfS,15/08/2011,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,381718,118485.54,
DfE,PfS,15/08/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,381720,58935.6,
DfE,PfS,15/08/2011,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,381724,56797.2,
DfE,PfS,15/08/2011,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,381728,94599.45,
DfE,PfS,15/08/2011,Capital Grant,Schools Capital and Revenue Grants,CARDINAL GRIFFIN ROMAN CATHOLIC HIGH SCHOOL - S BRIGHTON FUND,381732,49941.13,
DfE,PfS,15/08/2011,Capital Grant,Schools Capital and Revenue Grants,WESTMINSTER ROMAN CATHOLIC DIOCESE TRUST SCHOOL BUILDING FUND PROJECTS,381734,149844.5,
DfE,PfS,15/08/2011,Capital Grant,Schools Capital and Revenue Grants,HOLY CROSS SCHOOL CAPITAL GRANT ACCOUNT,381736,52704,
DfE,PfS,15/08/2011,Capital Grant,Schools Capital and Revenue Grants,NEWCASTLE DICESE FOR DURHAM SCHOOLS ACCOUNT,381738,45222.78,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,382457,2009132,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BARNET,382459,1508672,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BEXLEY LONDON BOROUGH COUNCIL,382461,775818,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BRENT LONDON BOROUGH COUNCIL,382463,1292222,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BROMLEY LONDON BOROUGH COUNCIL,382465,1131506,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,CROYDON LONDON BOROUGH COUNCIL,382467,1204352,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,EALING LONDON BOROUGH COUNCIL,382469,2029165,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,ENFIELD LONDON BOROUGH COUNCIL,382471,1136109,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,HARINGEY,382473,1224993,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,HARROW LONDON BOROUGH COUNCIL,382475,749373,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,HAVERING LONDON BOROUGH COUNCIL,382477,822028,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,HILLINGDON LONDON BOROUGH COUNCIL,382479,1728922,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,HOUNSLOW LONDON BOROUGH COUNCIL,382481,1355876,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,KINGSTON UPON THAMES ROYAL BOROUGH,382483,544055,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,MERTON LONDON BOROUGH COUNCIL,382485,955357,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,NEWHAM LONDON BOROUGH COUNCIL,382487,1371381,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,REDBRIDGE LONDON BOROUGH COUNCIL,382489,1542528,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,RICHMOND UPON THAMES LONDON BOROUGH COUNCIL,382491,653475,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,SUTTON LONDON BOROUGH COUNCIL,382493,809579,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,WALTHAM FOREST LONDON BOROUGH COUNCIL,382495,1204477,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CITY COUNCIL,382497,3166141,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,COVENTRY COUNTY COUNCIL,382499,1229339,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,DUDELEY METROPOLITAN BOROUGH COUNCIL,382501,695567,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,SANDWELL METROPOLITAN BOROUGH COUNCIL,382503,1027099,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,SOLIHULL METROPOLITAN BOROUGH COUNCIL,382505,461249,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,WALSALL METROPOLITAN BOROUGH COUNCIL,382507,817901,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,WOLVERHAMPTON COUNTY COUNCIL,382509,645801,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,KNOWSLEY METROPOLITAN BOROUGH COUNCIL,382511,297312,
DfE,PfS,16/08/2011,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL COUNTY COUNCIL,382513,812218,
