ENTITY,DATE,EXPENSE_AREA_3,EXPENSE_TYPE_3,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
MoJ HQ,20/Dec/2010 ,LZ600-Transforming Justice,265000-IT & Telecommunications,LOGICA UK LTD,1037019,"£72,558.60"
MoJ HQ,31/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1037838,"£77,550.00"
MoJ HQ,31/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,LOGICA UK LTD,1037838,"£398,281.53"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£151,755.66"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£354,055.70"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£55,229.21"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£556,935.67"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£109,379.34"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£34,935.10"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£43,574.29"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£146,749.28"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£331,327.68"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£712,001.83"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£639,827.45"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£417,229.58"
MoJ HQ,02/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035303,"£29,612.48"
MoJ HQ,06/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035526,"£104,509.20"
MoJ HQ,06/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035526,"£185,062.50"
MoJ HQ,06/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035526,"£31,936.50"
MoJ HQ,06/Dec/2010 ,PZ501-MoJ ICT Feeder,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1035526,"£68,556.55"
