Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/11/2014,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,THOUGHTWORKS LTD,3000054303,109638.62,Technical support for the Identity Assurance Programme,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/11/2014,COACHING AND MENTORING,FAST STREAM COSTS CS RESOURCING,SAID BUSINESS SCHOOL,3000054365,25000.00,Major Projects Leadership Academy courses for Fast Streamers,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,CAPITA BUSINESS SERVICES LTD,3000054352,37305.92,Interim support to deliver Shared Services,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS TRANSFORMATION,CAPITA BUSINESS SERVICES LTD,3000054352,39069.53,Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/11/2014,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,SOUTHAMPTON CITY COUNCIL,3000054339,40000.00,Grant for work delivered under the One Public Estate project,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/11/2014,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,PLYMOUTH CITY COUNCIL,3000054340,40000.00,Grant for work delivered under the One Public Estate project,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/11/2014,ADDITIONS IT HARDWARE,CO IT SYSTEMS CAPITAL,MISCO COMPUTER SUPPLIES LTD,3000054381,773846.17,IT hardware,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/11/2014,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000054398,44976.83,Facilities Management Services ,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/11/2014,OTHER IS IT COSTS VAT RECOV,GPU POLICY AND STRATEGY ADMIN,CORPORATE DOCUMENT SERVICES LTD,3000054420,50378.28,"Support, maintenance and minor development of ePIMS",,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/11/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,SKYSCAPE CLOUD SERVICES LTD,3000054411,144651.85,Interim IT specialists,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/11/2014,ADDITIONSAUC F/H NON RES BLDGS,MODERNISATION PROGRAMME DS 13/14,BOUYGUES E&S FM UK LTD,3000054398,204289.05,Estate services,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/11/2014,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,CLOUD TECHNOLOGY SOLUTIONS LTD,3000054395,252019.50,Google Apps Subscription,,,,,,,,,,,,,,,,,,
Cabinet Office,Crown Commercial Service,14/11/2014,Consultancy Fees (Advice),Contract Management,Bain & Company,PINDOH 40779,40000.00,Organisational Strategy support,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/11/2014,PROGRAMME INCOME,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,CSC COMPUTER SCIENCES LTD,3000054453,42000.00,Managed Services for Government Digital Service projects,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/11/2014,RESOURCE GRANTS PRIVATE SECTOR,OPEN DATA PROGRAMME,LOCAL GOVERNMENT ASSOCIATION,3000054438,214300.00,Support costs for the release of data not currently available in open reusable format,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,14/11/2014,GRANT IN AID PRIVATE SECTOR,NCS IMB,NCS TRUST CIC,3000054440,25422537.00,National Citizen Service Trust funding,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,17/11/2014,ADDITIONS IT HARDWARE,CO IT SYSTEMS CAPITAL,MISCO COMPUTER SUPPLIES LTD,3000054476,25438.94,IT hardware ,,,,,,,,,,,,,,,,,,
