Organisation,,Partnerships for Schools,,,,,,
Submitted By,,Management Accountant,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.07.2011 to 31.07.2011,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,FEVERHAM COLLEGE,375835,69241.5,
DfE,PfS,14/07/2011,Capital Grant,Schools Capital and Revenue Grants,PETERBOROUGH CITY COUNCIL,375837,126611.44,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BARKING AND DAGENHAM LONDON BOROUGH COUNCIL,376854,2375122,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BARNET,376856,1891140,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BEXLEY LONDON BOROUGH COUNCIL,376858,1122739,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BRENT LONDON BOROUGH COUNCIL,376860,1653322,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BROMLEY LONDON BOROUGH COUNCIL,376862,1521842,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,CROYDON LONDON BOROUGH COUNCIL,376864,1665595,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,EALING LONDON BOROUGH COUNCIL,376866,2503539,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,ENFIELD LONDON BOROUGH COUNCIL,376868,1565227,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,HARINGEY,376870,1601248,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,HARROW LONDON BOROUGH COUNCIL,376872,1086101,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,HAVERING LONDON BOROUGH COUNCIL,376874,1197795,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,HILLINGDON LONDON BOROUGH COUNCIL,376876,2150371,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,HOUNSLOW LONDON BOROUGH COUNCIL,376878,1717807,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,KINGSTON UPON THAMES ROYAL BOROUGH,376880,742501,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,MERTON LONDON BOROUGH COUNCIL,376882,1173856,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,NEWHAM LONDON BOROUGH COUNCIL,376884,1901822,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,REDBRIDGE LONDON BOROUGH COUNCIL,376886,2006127,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,RICHMOND UPON THAMES LONDON BOROUGH COUNCIL,376888,837361,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,SUTTON LONDON BOROUGH COUNCIL,376890,1147823,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,WALTHAM FOREST LONDON BOROUGH COUNCIL,376892,1609040,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM CITY COUNCIL,376894,5060831,
DfE,PfS,15/07/2011,Capital Grant,Schools Capital and Revenue Grants,COVENTRY COUNTY COUNCIL,376896,1746028,
