Department,Entity,Date,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,Defra,07/10/2013,Animal Health and Veterinary Laboratories Agency,5000033116,"Ł2,194,153.26",2012-13 Depreciation Charges for Animal Health and Veterinary Laboratories Agency ,KT15 3NB,SME,Exempt,0,Expense,
DEFRA,Defra,01/10/2013,Royal Botanic Gardens Kew,KEWGIA071314,"Ł2,100,000.00",2013-14 Grant in Aid - October 2013,TW9 3AB,,Exempt,0,Expense,
DEFRA,Defra,21/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028508,"Ł2,074,946.16",Facilities Management core contract costs - September 2013,BS32 4NH,,10321,0,Expense,
DEFRA,Defra,23/10/2013,Waste & Resources Action Programme,OCT1111013,"Ł1,955,551.00",Waste and Resources Action Programme funding - October 2013,OX16 0AH,,FUNDING,0,Expense,
DEFRA,Defra,21/10/2013,C E F A S,8003266,"Ł1,802,196.25",Miscellaneous Research and Development projects - September 2013.,NR33 0HT,SME,IDS,0,Expense,
DEFRA,Defra,21/10/2013,Treasury Solicitors Department,A1855,"Ł1,614,600.00",2013-14 Treasury Solicitors legal charges - Quarter 3,WC2B 4TS,,exempt,0,Expense,
DEFRA,Defra,01/10/2013,Food & Environment Research Agency,F0031721,"Ł1,422,000.00",2013-14 Legal Funding - IT costs and Estates - April-September 2013,YO41 1LZ,,IGS  FUNDING,0,Expense,
DEFRA,Defra,01/10/2013,Environment Agency,1156410,"Ł1,400,000.00",Administering a grant scheme to support the integrated catchment-based approach - August 2013,BS1 5AH,,IGS/GIA,0,Expense,
DEFRA,Defra,07/10/2013,Consumer Council for Water (CCW),230913,"Ł1,282,500.00",2013-14 Grant in aid - October-December 2013,B2 4AJ,,tba,0,Expense,
DEFRA,Defra,07/10/2013,Dept For Communities & Local Gov,21013,"Ł1,250,000.00",2013-14 Local Services Support Grant - October 2013,HP2 4XN,,GIA,0,Expense,
DEFRA,Defra,15/10/2013,Department Of Energy and Climate Change,1100009801,"Ł1,025,000.00",2013-14 Meteorological Office Hadley Centre Climate Programme - October-December 2013,SW1A 2HD,SME,IGS,RESCOORD,Expense,
DEFRA,Defra,03/10/2013,Broads Authority,180913,"Ł886,862.00",2013-14 Grant payment - Quarter 2,NR1 1RY,SME,18568,0,Expense,
DEFRA,Defra,01/10/2013,The National Forest Co,170913,"Ł867,907.00",2013-14 Grant  - October-December 2013,DE12 6BA,SME,Exempt,0,Expense,
DEFRA,Defra,03/10/2013,Dartmoor National Park Authority,180913,"Ł865,776.00",2013-14 Grant - Quarter 2,TQ13 9JQ,SME,18573,0,Expense,
DEFRA,Defra,03/10/2013,Exmoor National Park Authority,180913,"Ł834,000.00",2013-14 Grant - Quarter 2,TA22 9HL,SME,18571,0,Expense,
DEFRA,Defra,03/10/2013,New Forest National Park Auth,180913,"Ł823,380.00",2013-14 Grant - Quarter 2,SO41 9ZG,SME,18575,0,Expense,
DEFRA,Defra,15/10/2013,Veterinary Medicines Directorate,FI00020420,"Ł797,750.00",2013-14 Veterinary Medicines and Agricultural Market Report Surveillance,KT15 3LS,SME,IGS,0,Expense,
DEFRA,Defra,11/10/2013,Joint Nature Conservation Committee,41013,"Ł768,000.00",2013-14 Grant in Aid - October 2013,PE1 1JY,SME,18522,0,Expense,
DEFRA,Defra,15/10/2013,Met Office,I0088814,"Ł690,000.00",2013-14 Integrated Flood Forecasting and Alerts Service covering England to support and enhance existing national area delivery - Quarter 3,EX1 3PB,,tba,0,Expense,
DEFRA,Defra,01/10/2013,Animal Health and Veterinary Laboratories Agency,5000032500,"Ł684,967.33",2012-13 On-boarding Animal Health and Veterinary Laboratories Agency to IBM,KT15 3NB,SME,,0,Expense,
DEFRA,Defra,03/10/2013,Northumberland Nat Park Authority,180913,"Ł621,000.00",2013-14 Grant payment - Quarter 2,NE46 1BS,SME,18567,0,Expense,
DEFRA,Defra,21/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028509,"Ł579,831.00",2013-14 Facilities Management - September 2013,BS32 4NH,,10321,0,Expense,
DEFRA,Defra,15/10/2013,National Measurement Office,E016098,"Ł550,000.00",2013-14 Market surveillance activity for Energy-Related Products and Energy Labelling Framework Directives,TW11 0JZ,,16560,0,Expense,
DEFRA,Defra,30/10/2013,D T Z,FR211,"Ł443,649.64","Payment of rent, rates and service charges for various properties within the Defra Network - October 2013",B3 2ED,,,0,Expense,
DEFRA,Defra,01/10/2013,Rural Payments Agency,335387,"Ł370,417.10",Inwards secondment salary recharge costs - April-July 2013,RG1 1AF,SME,IGS,0,Expense,
DEFRA,Defra,21/10/2013,The Coal Authority,CA109243,"Ł334,247.11",2013-14 Combined project with Department of Energy and Climate Change to address the polluted water emanating from the Wheal Jane abandoned mine - October-December 2013,NG18 4RG,SME,,0,Expense,
DEFRA,Defra,23/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028841,"Ł322,589.96",Estates maintenance projects over multiple sites - September 2013,BS32 4NH,,10195L,B0820000,Expense,
DEFRA,Defra,15/10/2013,C E F A S,8003267,"Ł318,140.32",High Level Agreement Payment for Aquatics Evidence (Advice) - October 2013,NR33 0HT,SME,FUNDING,0,Expense,
DEFRA,Defra,23/10/2013,Gangmasters Licensing Authority,141013,"Ł313,864.00",2013-14 Grant in Aid for Administrative and Enforcement Expenses funding - October 2013,NG8 9AF,,GIA,GLA00002,Expense,
DEFRA,Defra,17/10/2013,Redfern Travel Ltd,66497,"Ł285,896.00","Rail, Hotel and Flight costs - September 2013",BD1 3AZ,SME,,0,Asset,
DEFRA,Defra,21/10/2013,Treasury Solicitors Department,A1854,"Ł252,480.00",2013-14 Legal charges - Quarter 3,WC2B 4TS,,exempt,0,Expense,
DEFRA,Defra,01/10/2013,Dept For Communities & Local Gov,260913,"Ł250,000.00",2013-14 Local Services Support Grant - October 2013,HP2 4XN,,exempt,0,Expense,
DEFRA,Defra,15/10/2013,Rural Payments Agency,335477,"Ł242,727.60",Recharge for Common Agricultural Policy Delivery Programme work - April-June 2013,RG1 1AF,SME,IGS,CAPDFA03,Asset,
DEFRA,Defra,11/10/2013,Specialist Computer Centres,OPL728261,"Ł236,220.00",11 March 2013-10 September 2015 Agile IT development consultancy - Invoice covers two weeks of contact ,B11 2LE,SME,,CAPDFA01,Asset,
DEFRA,Defra,11/10/2013,Specialist Computer Centres,OPL728260,"Ł226,920.00",11 March 2013-10 September 2015 Agile IT development consultancy - Invoice covers two weeks of contact ,B11 2LE,SME,,CAPDFA01,Asset,
DEFRA,Defra,25/10/2013,Specialist Computer Centres,OPL728259,"Ł224,034.00",11 March 2013-10 September 2015 Agile IT development consultancy - Invoice covers two weeks of contact ,B11 2LE,SME,CAP010,0,Asset,
DEFRA,Defra,11/10/2013,Local Partnerships LLP,41101289,"Ł214,331.53",Waste Infrastructure Delivery Programme Transactor (software) support - September 2013,SW1P 3HZ,SME,14265,WFUNDCON,Expense,
DEFRA,Defra,11/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028155,"Ł189,485.60",Nobel House - London Refurbishment Programme - August 2013,BS32 4NH,,18303,EXITLOND,Asset,
DEFRA,Defra,04/10/2013,D L O Holding/Prionics AG,35199,"Ł188,707.36",Tuberculin used for Bovine Tuberculosis testing - October 2013,8952,,,TUBP0468,Expense,
DEFRA,Defra,17/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028855,"Ł187,489.68","Mid-term containment works relating to the Tuberculosis Vaccine at Animal Health Veterinary Laboratories Agency, Weybridge - September 2013",BS32 4NH,,10195L,AHVLA267,Asset,
DEFRA,Defra,21/10/2013,National Measurement Office,E016110,"Ł183,868.28",2013-14 Funding of the National Measurement Office to enforce the European Union Timber Regulation and UK Timber and Timber Products (Placing on the Market) Regulations 2013 - September 2013,TW11 0JZ,,18606,0,Expense,
DEFRA,Defra,23/10/2013,IBM United Kingdom Ltd,5808131146,"Ł180,211.24",Animal Health and Veterinary Laboratories Agency IT Application Support Extensions,GU1 2LD,SME,10040,CASBESP0,Expense,
DEFRA,Defra,07/10/2013,Keep Britain Tidy,107821,"Ł172,500.00",2013-14 Keep Britain Tidy grant - October 2013,WN3 4EX,SME,16247,0,Expense,
DEFRA,Defra,03/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028142,"Ł168,468.25",Estates maintenance projects over multiple sites - August 2013,BS32 4NH,,10195,B0610000,Asset,
DEFRA,Defra,01/10/2013,Animal Health and Veterinary Laboratories Agency,5000032859,"Ł168,437.85",2012-13 Tuberculosis sampling and submission carried out by the Foods Standards Agency - Quarter 4,KT15 3NB,SME,,0,Expense,
DEFRA,Defra,29/10/2013,Animal Health and Veterinary Laboratories Agency,5000032180,"Ł167,125.72",Planning and preparation for the rollout of Animal Health and Veterinary Laboratory Agencies Sam application to Official Veterinarians. Sam is the key data management application used by AHVLA staff and Official Veterinarians - Payment 1,YO1 7PX,SME,DFP,0,Expense,
DEFRA,Defra,01/10/2013,Animal Health and Veterinary Laboratories Agency,5000032857,"Ł166,949.70",2012-13 Tuberculosis sampling and submission carried out by the Foods Standards Agency - Quarter 3,KT15 3NB,SME,,0,Expense,
DEFRA,Defra,28/10/2013,United Nations Environment Prog,251013,"Ł165,000.00",United Kingdom contribution to the operational cost of the intergovernmental platform of biodiversity and ecosystem service (IPBES) 2013,100,,,0,Expense,
DEFRA,Defra,17/10/2013,University Of Bristol,FSCI1027016,"Ł162,263.00","2012-13 The impact of anthropogenic noise on fish and invertebrates at the individual, population and community level",BS8 1TH,,Exempt,0,Expense,
DEFRA,Defra,17/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028159,"Ł160,891.58","Routine maintenance of Centre for Environment, Fisheries and Aquaculture Science (Cefas) property at Lowestoft - August 2013",BS32 4NH,,10226,LEVRADIO,Asset,
DEFRA,Defra,31/10/2013,Deloitte & Touche,2410071554,"Ł155,443.20","Work to ensure users will have a good experience of the Information Technology system the Common Agricultural Policy Delivery Programme is building.

",MK9 1FD,,CAP097,CAPDBA00,Expense,
DEFRA,Defra,15/10/2013,University Of Cambridge,81013,"Ł151,368.63",Chalara Modelling to improve the scientific understanding of the potential spread and impact of Chalara,CB2 3EA,,TH0137,0,Expense,
DEFRA,Defra,01/10/2013,Natural England,8000014090,"Ł144,440.74",Payment of legal charges incurred in preparation of Project Milton as a candidate for Special Areas of Conservation (SAC) under the Habitats Directive,YO1 7PX,,,BOLTFELL,Expense,
DEFRA,Defra,15/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028926,"Ł141,648.23",External lighting for the Weybridge Sustainability Project - September 2013,BS32 4NH,,18009,87REDUCE,Asset,
DEFRA,Defra,29/10/2013,Animal Health and Veterinary Laboratories Agency,ERS-527037-46100,"Ł139,343.75",2013-14 Continued vaccine development: Improving Bacille Calmette Guerin (BCG) and developing non-sensitising vaccines for cattle (contract variation) - October 2013,KT15 3NB,SME,IDS,0,Expense,
DEFRA,Defra,23/10/2013,E D F Energy,144011013,"Ł139,263.84","Supply of electricity to Central Science Laboratory, Sand Hutton - September 2013",PL3 5XQ,,,B2810000,Expense,
DEFRA,Defra,25/10/2013,Bureau Veritas UK Ltd,13017850,"Ł137,929.00",2013-14 Fees and expenses relating to Central Management Control Unit (CMCU) of the Automatic Urban and Rural Network - October 2013,SE1 2TX,,AQ0631,AQNONRDX,Expense,
DEFRA,Defra,23/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028840,"Ł135,743.88",Estates maintenance projects over multiple sites - invoiced in September 2013,BS32 4NH,,10195L,B0820000,Expense,
DEFRA,Defra,29/10/2013,Animal Health and Veterinary Laboratories Agency,5000032179,"Ł134,770.14",Planning and preparation for the rollout of AHVLAs Sam application to Official Veterinarians. Sam is the key data management application used by AHVLA staff and Official Veterinarian - Payment 2,YO1 7PX,SME,DFP,0,Expense,
DEFRA,Defra,29/10/2013,Animal Health and Veterinary Laboratories Agency,ERS-527038-46101,"Ł122,003.00",2013-14 Continued vaccine development: Improving Bacille Calmette Guerin (BCG) and developing non-sensitising vaccines for cattle - October 2013,KT15 3NB,SME,IDS,0,Expense,
DEFRA,Defra,21/10/2013,Animal Health and Veterinary Laboratories Agency,5000019604,"Ł119,381.41",2012-13 Egg Marketing expenditure - September 2012,YO1 7PX,SME,IDS/Funding,0,Expense,
DEFRA,Defra,31/10/2013,IBM United Kingdom Ltd,5808130252,"Ł116,458.46","Ergon House moves, time and materials - 29 March 2013-26 April 2013",GU1 2LD,SME,10040,B196P010,Asset,
DEFRA,Defra,11/10/2013,Cotswolds Conservation Board,240913,"Ł115,076.75",2013-14 Grant - Quarter 3,GL54 3JH,SME,GIA,0,Expense,
DEFRA,Defra,15/10/2013,JSS Pensions Administration,RCPS10117,"Ł111,871.07",Nature Conservancy Council staff pension scheme - September 2013,SN2 1FF,,Exempt,0,Expense,
DEFRA,Defra,11/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028169,"Ł109,204.45",London Refurbishment Programme: supply and install furniture on Nobel House first and second floors - August 2013,BS32 4NH,,10195L,B196P010,Asset,
DEFRA,Defra,25/10/2013,Kynetec Ltd,8373002619,"Ł108,975.00",The British Survey of Fertiliser Practice 2013,RG20 8JE,SME,14262,FCAG0003,Expense,
DEFRA,Defra,21/10/2013,Royal Botanic Gardens Kew,S9706MT,"Ł108,970.60",Human Resource stationery costs associated with the move of Kew processes to Defra - September 2013,TW9 3AB,,,0,Expense,
DEFRA,Defra,15/10/2013,Ricardo-A E A Ltd,6153515,"Ł106,723.00",2013-14 UK Hydrocarbons Monitoring - July-September 2013,OX11 0QR,,,AQNONRDX,Expense,
DEFRA,Defra,29/10/2013,Natural Environ Research Council,NERC11410,"Ł100,000.00",2013-14 Defra Contribution to the UK Environmental Observation Framework,SN2 1EU,,exempt,0,Expense,
DEFRA,Defra,15/10/2013,Ernst & Young LLP,GB10700018898,"Ł98,021.00",Contract for provision of commercial financial advice for the Thames Tideway Tunnel Project - 3-28 June 2013,M2 3EY,,Omnicom OM18274/Bravo Ecm 4225,0,Expense,
DEFRA,Defra,01/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028144,"Ł96,314.28",Estates maintenance projects over multiple sites - August 2013,BS32 4NH,,10195L,B0820000,Expense,
DEFRA,Defra,25/10/2013,Abaco Spa,171013,"Ł94,925.00",Work to assess how to use an existing off-the-shelf software product in combination with other software development being carried out specifically for the Common Agricultural Policy Delivery Programme.,46100,SME,,CAPDFA01,Expense,
DEFRA,Defra,11/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028854,"Ł92,567.62","Nobel House, roofing and scaffold - September 2013",BS32 4NH,,10195L,B196P010,Asset,
DEFRA,Defra,01/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028141,"Ł91,624.56",Estates maintenance projects over multiple sites - August 2013,BS32 4NH,,16166,B0820000,Expense,
DEFRA,Defra,23/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028545,"Ł89,688.43",Consumables provided to various sites as part of the Facilities Management contract  - September 2013,BS32 4NH,,FWK 10226,0,Expense,
DEFRA,Defra,11/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028860,"Ł87,927.50",Works to the new roof terrace of Nobel House - September 2013,BS32 4NH,,10195L,B196P010,Asset,
DEFRA,Defra,11/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028859,"Ł87,155.30","Nobel House, London Refurbishment Programme - September 2013",BS32 4NH,,,B197P003,Asset,
DEFRA,Defra,01/10/2013,Food & Environment Research Agency,F0031720,"Ł86,920.00",2013-14 Depreciation - April-September 2013,YO41 1LZ,,IDS FUNDING,0,Expense,
DEFRA,Defra,29/10/2013,Office For National Statistics,1027215,"Ł85,044.31",2013-14 Family Food Survey - Quarter 3,NP10 9XG,,Exempt,FCAG0006,Expense,
DEFRA,Defra,15/10/2013,Food & Environment Research Agency,F0032081,"Ł85,000.00",Opal Tree Health Survey,YO41 1LZ,,IGS/Funding,0,Expense,
DEFRA,Defra,29/10/2013,Centre For Ecology & Hydrology,ERS-526478-45997,"Ł82,075.00",2013-14 The United Nations Economic Commission for Europe (UNECE) International Co-Operative Programme on Vegetation - October 2013,SN2 1EU,SME,AQ0816,AQRDXXXX,Expense,
DEFRA,Defra,11/10/2013,North Devon Coast AONB,310513,"Ł81,823.53",2012-13 Area of Outstanding Natural Beauty grant,EX2 4QJ,,exempt,0,Expense,
DEFRA,Defra,17/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028173,"Ł81,744.02",Northgate House Restack and Building - August 2013,BS32 4NH,,,B6420000,Expense,
DEFRA,Defra,31/10/2013,The Pirbright Institute,ERS-527000-46122,"Ł81,658.91",Further development of Reverse Transcription - Polymerase Chain Reaction technology in support of foot and mouth disease diagnosis - October 2013,GU24 0NF,,exempt,0,Expense,
DEFRA,Defra,11/10/2013,Interserve (Facilities Mngmnt) Ltd,FI00028172,"Ł80,905.52",Nobel House - London Refurbishment Programme: supply and install new lighting in meeting rooms - August 2013,BS32 4NH,,10195L,B196P010,Asset,
