Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier,Account Description
FCO,FCO,23/12/2013,332226,64202.09,FACILITY ASIA PTE LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,12/12/2013,302066,62669.57,CLASSDIVING CO SL LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/12/2013,1018,61687.50,3M UNITED KINGDOM PLC,Information Systems Maintenance
FCO,FCO,05/12/2013,155004,61173.30,WELFARE ASSOCIATION FOR DEVELOPMENT OF AFGHANISTAN (WADAN),Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/12/2013,3648,60335.55,INTERSERVE FM LTD,Construction Project more than £10k
FCO,FCO,11/12/2013,16596,59952.00,ECONOMIST INTELLIGENCE UNIT,Publications
FCO,FCO,25/12/2013,325818,58610.17,TRUCOST PLC,Programme Spend (Oracle Projects Control Account)
FCO,FCO,11/12/2013,173178,58564.61,VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,16/12/2013,80177,58216.50,YESH DIN,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/12/2013,2697392,58086.79,ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,17/12/2013,111582,57179.36,COGENT ELECTRICAL SERVICES LTD FORM WES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,16/12/2013,40128,57171.01,INTERSERVE FM LTD,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Rematching / Reinstatement, Residential Property Services, Waste Disposal"
FCO,FCO,10/12/2013,337838,56830.00,NORWEGIAN CHURCH AID,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/12/2013,32928,56403.35,FCO SERVICES,Radiocommunications Expenses
FCO,FCO,24/12/2013,225242,56400.00,I TO I RESEARCH LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/12/2013,2697392,56368.61,ISS FACILITY SERVICES LTD FCO OP,"Building Fabric Services, Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Manned Guarding Services, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Repair and maintenance of furniture and fittings, Residential Property Services, Unscheduled repairs to building infrastructure"
FCO,FCO,17/12/2013,162152,56220.05,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,20/12/2013,679584,56179.00,INTERNATIONAL REPUBLICAN INSTITUTE,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/12/2013,10255464,55870.88,ISS FACILITY SERVICES LTD FCO OP - POE,"Bank Charges (Oracle Cash Management Control Account), Electricity Non-Residential, Electricity Residential, Gas Residential, Rental Payments - non residential, Rental Payments - residential, Telephone Call Charges, Telephone line and equipment rental charges, Water Residential"
FCO,FCO,17/12/2013,162152,55679.00,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,11/12/2013,277788,55500.09,INTERNATIONAL PEACE COOPERATION CENTER,Programme Spend (Oracle Projects Control Account)
FCO,FCO,12/12/2013,322340,55144.67,PUBLIC INTERNATIONAL LAW AND POLICY GROUP,Programme Spend (Oracle Projects Control Account)
FCO,FCO,09/12/2013,161900,54622.53,N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,04/12/2013,136212,54511.70,GLOBAL PARTNERS GOVERNANCE PRACTICE LTD,Programme Spend (Oracle Projects Control Account)
