Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,13/12/2013,Spend on Inventory - General,Land Forces,E.P.BARRUS LTD,OX26 4UR,285650,Spend on Inventory - General, 607.78 
Ministry of Defence,Ministry of Defence,20/12/2013,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,AGILITY LOGISTICS LIMITED,RG1 2LG,288526,Movement of service personnel, 601.38 
Ministry of Defence,Ministry of Defence,27/12/2013,Spend on Inventory - General,Land Forces,CARWOOD MOTOR UNITS LTD,CV3 2RQ,290324,Spend on Inventory - General, 598.32 
Ministry of Defence,Ministry of Defence,11/12/2013,Medical treatment & stores and welfare services,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Medical-non hospital treatment, 596.92 
Ministry of Defence,Ministry of Defence,09/12/2013,Fuel for military use,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Oil and lubricants consumed excluding those from the inventory system, 593.05 
Ministry of Defence,Ministry of Defence,04/12/2013,Spend on Inventory - General,Air Command,BUNZL UK LIMITED,W1H 7JT,179695,Spend on Inventory - General, 587.95 
Ministry of Defence,Ministry of Defence,02/12/2013,IT and communication services,Joint Forces Command,CANON (UK) LIMITED,RH2 8BF,280504,Computer equipment costing below the capitalisation threshold, 587.55 
Ministry of Defence,Ministry of Defence,20/12/2013,Administration,Joint Forces Command,SERCO LIMITED,RG27 9UY,289100,General administration, 586.62 
Ministry of Defence,Ministry of Defence,05/12/2013,"Transportation of personnel, freight and travel expenses",Air Command,PENTALVER TRANSPORT LTD,SO15 1AW,282294,Freight movement costs, 584.66 
Ministry of Defence,Ministry of Defence,12/12/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Civilian short term detached duty, 580.01 
Ministry of Defence,Ministry of Defence,12/12/2013,IT and communication services,Land Forces,XEROX (UK) LIMITED,BN13 1QG,285393,IT Services -internal costs, 579.15 
Ministry of Defence,Ministry of Defence,20/12/2013,"Transportation of personnel, freight and travel expenses",Joint Forces Command,SERCO LIMITED,RG27 9UY,289100,Movement of service personnel, 577.79 
Ministry of Defence,Ministry of Defence,24/12/2013,Food and clothing,Navy Command,TECHNOGYM U K LIMITED,RG12 1WP,290216,Cost of purchasing and repairing clothing, 575.36 
Ministry of Defence,Ministry of Defence,19/12/2013,Purchase of inventory and services ,Defence Infrastructure Organisation ,XMA LTD,NG11 7EP,288503,Cost of other material consumed, 573.55 
Ministry of Defence,Ministry of Defence,24/12/2013,Food and clothing,Defence Equipment & Support,COMPASS SERVICES (U.K.) LIMITED,B45 9PZ,289961,Cost of food services, 571.80 
Ministry of Defence,Ministry of Defence,02/12/2013,Fuel for military use,Land Forces,QINETIQ LIMITED,GU14 0LX,280849,Aviation fuel casual uplift consumed, 565.61 
Ministry of Defence,Ministry of Defence,27/12/2013,IT and communication services,Navy Command,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,DL1 9HN,290320,Line + telephone rental including commercial charge for use of radio frequencies, 564.00 
Ministry of Defence,Ministry of Defence,11/12/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Military short term detached duty, 561.97 
Ministry of Defence,Ministry of Defence,09/12/2013,Official entertainment and hospitality,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Entertainment + hospitality, 558.59 
Ministry of Defence,Ministry of Defence,23/12/2013,Food and clothing,Defence Equipment & Support,TURNER VIRR & CO. LTD,LS25 2DY,289831,Cost of purchasing and repairing clothing, 556.33 
Ministry of Defence,Ministry of Defence,19/12/2013,Food and clothing,Defence Equipment & Support,ELIOR UK PLC,SK11 6ET,288068,Cost of food services, 555.99 
Ministry of Defence,Ministry of Defence,23/12/2013,"Transportation of personnel, freight and travel expenses",Land Forces,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,289713,Civilian short term detached duty, 554.00 
Ministry of Defence,Ministry of Defence,06/12/2013,Payment of utilities,Defence Equipment & Support,FLOGAS BRITAIN LIMITED,LE7 1PF,282670,Utilities consumed - liquid petroleum gas, 548.52 
Ministry of Defence,Ministry of Defence,20/12/2013,Estate management,Defence Equipment & Support,ELIOR UK PLC,SK11 6ET,288761,Estate + facilities management services - accommodation inventory + service, 546.76 
Ministry of Defence,Ministry of Defence,23/12/2013,Estate management,Air Command,ELIOR UK PLC,SK11 6ET,289433,Estate + facilities management services - accommodation inventory + service, 545.03 
Ministry of Defence,Ministry of Defence,09/12/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,SERCO LIMITED,RG27 9UY,283287,Military short term detached duty, 544.43 
Ministry of Defence,Ministry of Defence,20/12/2013,IT and communication services,Defence Equipment & Support,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,DL1 9HN,288633,Line + telephone rental including commercial charge for use of radio frequencies, 543.02 
Ministry of Defence,Ministry of Defence,02/12/2013,"Transportation of personnel, freight and travel expenses",Joint Forces Command,TAL INTERNATIONAL CONTAINER CORPORATION,RM13 8EU,280930,Freight movement costs, 542.50 
Ministry of Defence,Ministry of Defence,19/12/2013,"Transportation of personnel, freight and travel expenses",Navy Command,SODEXO LTD,M50 0AL,288389,Military short term detached duty, 539.87 
Ministry of Defence,Ministry of Defence,27/12/2013,Official entertainment and hospitality,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Entertainment + hospitality, 537.42 
Ministry of Defence,Ministry of Defence,11/12/2013,"Transportation of personnel, freight and travel expenses",Joint Forces Command,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,284667,Civilian short term detached duty, 537.40 
Ministry of Defence,Ministry of Defence,11/12/2013,Design services and minor equipment purchases,Defence Equipment & Support,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,DL1 9HN,284361,Equipment support project costs, 535.50 
Ministry of Defence,Ministry of Defence,06/12/2013,"Transportation of personnel, freight and travel expenses",Land Forces,CITYSPRINT (UK) LIMITED,RH1 1SH,282605,Freight movement costs, 533.90 
Ministry of Defence,Ministry of Defence,19/12/2013,Spend on Inventory - General,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,287989,Spend on Inventory - General, 533.23 
Ministry of Defence,Ministry of Defence,11/12/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Movement of service personnel, 530.99 
Ministry of Defence,Ministry of Defence,12/12/2013,Medical treatment & stores and welfare services,Joint Forces Command,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,285051,Medical health services, 528.77 
Ministry of Defence,Ministry of Defence,10/12/2013,Spend on Inventory - General,Joint Forces Command,TURNER VIRR & CO. LTD,LS25 2DY,284210,Spend on Inventory - General, 527.49 
Ministry of Defence,Ministry of Defence,12/12/2013,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,284873,Other materal consumed on exercises, 525.43 
Ministry of Defence,Ministry of Defence,11/12/2013,Payment of utilities,Joint Forces Command,DEFENCE MANAGEMENT (WATCHFIELD) LIMITED,SN6 8TS,284405,Utilities consumed - gas, 520.83 
Ministry of Defence,Ministry of Defence,11/12/2013,Spend on Inventory - General,Air Command,MILLBROOK FURNISHING INDUSTRIES LIMITED,SO40 3XJ,284542,Spend on Inventory - General, 511.63 
Ministry of Defence,Ministry of Defence,04/12/2013,Food and clothing,Land Forces,NAVY ARMY AND AIR FORCE INSTITUES (THE),DL1 1YN,5000105306,Cost of food purchases, 509.99 
Ministry of Defence,Ministry of Defence,12/12/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Movement of service personnel, 503.17 
Ministry of Defence,Ministry of Defence,02/12/2013,Estate management,Defence Infrastructure Organisation ,CANON (UK) LIMITED,RH2 8BF,280504,Estate + facilities management services - accommodation inventory + service, 498.43 
Ministry of Defence,Ministry of Defence,13/12/2013,IT and communication services,Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Line + telephone rental including commercial charge for use of radio frequencies, 497.18 
Ministry of Defence,Ministry of Defence,11/12/2013,Estate management,Air Command,ARAMARK LTD,LS16 6QY,284298,Estate + facilities management services - accommodation inventory + service, 496.33 
Ministry of Defence,Ministry of Defence,06/12/2013,Spend on Inventory - General,Defence Equipment & Support,YAKUPOGLU A.S.,BD19 3QF,283037,Spend on Inventory - General, 492.20 
Ministry of Defence,Ministry of Defence,27/12/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2E+11,Military short term detached duty, 488.05 
Ministry of Defence,Ministry of Defence,10/12/2013,Administration,Navy Command,ROYAL MAIL GROUP LIMITED,S49 1HQ,284035,General administration, 486.21 
Ministry of Defence,Ministry of Defence,20/12/2013,IT and communication services,Air Command,PROBRAND LIMITED,B1 3BP,289038,Computer equipment costing below the capitalisation threshold, 484.17 
Ministry of Defence,Ministry of Defence,13/12/2013,Payment of utilities,Defence Equipment & Support,BRITISH GAS TRADING LIMITED,M16 0TW,285497,Utilities consumed - gas, 484.00 
Ministry of Defence,Ministry of Defence,13/12/2013,Design services and minor equipment purchases,Defence Equipment & Support,E.P.BARRUS LTD,OX26 4UR,285650,Equipment support non-project costs, 483.92 
Ministry of Defence,Ministry of Defence,02/12/2013,"Adminstration, claims, compensation and awards",Land Forces,CANON (UK) LIMITED,RH2 8BF,280504,Cost of claims/compensation and related expenses against MOD, 483.68 
Ministry of Defence,Ministry of Defence,24/12/2013,Design services and minor equipment purchases,Defence Equipment & Support,UNDERHILL ENGINEERING LTD,PL6 7LQ,290243,Equipment support non-project costs, 480.00 
Ministry of Defence,Ministry of Defence,27/12/2013,Administration,Air Command,PEARSON EDUCATION LIMITED,WC1V 7BH,290433,General administration, 480.00 
Ministry of Defence,Ministry of Defence,11/12/2013,IT and communication services,Air Command,TRUSTMARQUE SOLUTIONS LIMITED,YO32 9GZ,284777,Computer equipment costing below the capitalisation threshold, 478.76 
