Department Family,Entity,Transaction Date,Expense Type,Expense Area,Supplier Name,Transaction Number, Amount 
DFID,DFID,03/11/2010,Aid to international organisations,Policy and Research Directorate,IBRD HSBC T,400126684,"600,000.00"
DFID,DFID,03/11/2010,Aid to civil society organisations / NGOs,West and Southern Africa,African Parliamentarians Network Against Corruption,400126686,"51,236.67"
DFID,DFID,03/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,THE INSTITUTE OF DEVELOPMENT STUDIE,400126689,"295,681.00"
DFID,DFID,03/11/2010,Aid to civil society organisations / NGOs,Policy and Research Directorate,THE GLOBAL FORUM ON MSM AND HIV,400126697,"39,020.45"
DFID,DFID,02/11/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400126726,"3,458.13"
DFID,DFID,02/11/2010,Emergency / Humanitarian Assistance,"Security & Humanitarian, Middle East, Caribbean & Overseas Territories Division",THE CROWN AGENTS,400126726,"34,038.19"
DFID,DFID,02/11/2010,Technical & Advisory services,Western Asia and Stabilisation Division,THE CROWN AGENTS,400126729,"51,436.80"
DFID,DFID,02/11/2010,Technical & Advisory services,Asia Division,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,400126751,"33,820.19"
DFID,DFID,02/11/2010,Technical & Advisory services,Asia Division,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,400126754,"33,820.19"
DFID,DFID,03/11/2010,Aid to civil society organisations / NGOs,West and Southern Africa,PLAN MALAWI,400126758,"48,693.00"
DFID,DFID,02/11/2010,Technical & Advisory services,Asia Division,CARE INTERNATIONAL,400126762,"76,162.15"
DFID,DFID,03/11/2010,Aid to international organisations,Policy and Research Directorate,WHO (GENEVA),400126764,"2,000,000.00"
DFID,DFID,03/11/2010,Aid to civil society organisations / NGOs,Asia Division,FOCUS HUMANITARIAN ASSISTANCE,400126766,"140,764.83"
DFID,DFID,03/11/2010,Aid to international organisations,Asia Division,IOM,400126770,"713,681.00"
DFID,DFID,03/11/2010,Aid to international organisations,East and Central Africa,IBRD HSBC T,400126774,"12,000,000.00"
