Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,24/01/2012,FM Support Services,Business Services,Sodexo Ltd,114137,198461.39
Department for Education,National College for School Leadership,24/01/2012,Irrecoverable Input VAT,Business Services,Sodexo Ltd,114137,39692.25
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,South Farnham Community Junior school,Collaborative Fund Grant,39000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Spring Grove JI & N,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,St Hubert's Catholic Primary School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,St James Church of England School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,St Thomas More Catholic School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Stourport High School,Collaborative Fund Grant,40000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Swinnow Primary School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,03/01/2012,Programme Costs,Leadership Development,Teaching Leaders (c/o ARK Schools),113908,39583.33
Department for Education,National College for School Leadership,04/01/2012,Programme Costs,Leadership Development,Teaching Leaders (c/o ARK Schools),113944,122481.78
Department for Education,National College for School Leadership,26/01/2012,Programme Costs,Leadership Development,Teaching Leaders (c/o ARK Schools),114244,39583.33
Department for Education,National College for School Leadership,26/01/2012,Programme Costs,Leadership Development,Teaching Leaders (c/o ARK Schools),114245,71162.57
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,The Heath School,Collaborative Fund Grant,30000
Department for Education,National College for School Leadership,26/01/2012,Grants Made,School to School support,The Mead Community Primary School,Collaborative Fund Grant,40000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,The Meadow Community Primary School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,03/01/2012,"Conference, Events, Exhibitions and Seminars",School to School support,The Prince's Teaching Institute,113927,40720
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Tollgate Primary School,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Valentines High School,Collaborative Fund Grant,36850
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Welbeck Pri Sch,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Westbury Sch,Collaborative Fund Grant,25000
Department for Education,National College for School Leadership,31/01/2012,Grants Made,School to School support,Westcliff Primary School,Collaborative Fund Grant,25000
