Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,64.5,
Defra,JNCC,07-May-10,OFFICE STATIONERY& CONSUMABLES                              ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,12.16,
Defra,JNCC,07-May-10,EXTERNAL CONFERENCES                                        ,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,30,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,41.7,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,41.7,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,159,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,10,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,48.9,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Access to Information,Barclaycard Business,Barclaycard April 2010,-20,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,122.4,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Conservation Advice,Barclaycard Business,Barclaycard April 2010,80.5,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Conservation Advice,Barclaycard Business,Barclaycard April 2010,65.5,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,89,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Surveillance & Monitoring,Barclaycard Business,Barclaycard April 2010,55,
Defra,JNCC,07-May-10,HOSPITALITY                                                 ,Conservation Advice,Barclaycard Business,Barclaycard April 2010,118.97,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,121.68,
Defra,JNCC,07-May-10,TAXI,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,7.98,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,European Intelligence & Advice,Barclaycard Business,Barclaycard April 2010,35,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,European Intelligence & Advice,Barclaycard Business,Barclaycard April 2010,26,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,62.5,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,68.7,
Defra,JNCC,07-May-10,TAXI,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,11,
Defra,JNCC,07-May-10,TAXI,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,13.8,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,Marine Surveillance,Barclaycard Business,Barclaycard April 2010,93.33,
Defra,JNCC,07-May-10,ACCOMMODATION - OVERSEAS,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,682.62,
Defra,JNCC,07-May-10,EXTERNAL CONFERENCES                                        ,Marine Surveillance,Barclaycard Business,Barclaycard April 2010,30,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,5.6,
Defra,JNCC,07-May-10,ACCOMMODATION - OVERSEAS,European Intelligence & Advice,Barclaycard Business,Barclaycard April 2010,192.5,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,European Intelligence & Advice,Barclaycard Business,Barclaycard April 2010,88.8,
Defra,JNCC,07-May-10,MANAGEMENT CONSULTANCIES                                    ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,"1,610.34",
Defra,JNCC,07-May-10,AIR TRAVEL - INTER-CONTINENTAL,Global Advice,Barclaycard Business,Barclaycard April 2010,522.37,
Defra,JNCC,07-May-10,RAIL TRAVEL - OVERSEAS,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,4.21,
Defra,JNCC,07-May-10,AIR TRAVEL - EUROPE,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,354.98,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Surveillance,Barclaycard Business,Barclaycard April 2010,105.5,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Access to Information,Barclaycard Business,Barclaycard April 2010,38,
Defra,JNCC,07-May-10,AIR TRAVEL - EUROPE,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,610.9,
Defra,JNCC,07-May-10,RAIL TRAVEL - OVERSEAS,Policy Relevant Info & Reporting,Barclaycard Business,Barclaycard April 2010,98.94,
Defra,JNCC,07-May-10,ACCOMMODATION - OVERSEAS,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,484.65,
Defra,JNCC,07-May-10,ACCOMMODATION - OVERSEAS,Marine Management Advice,Barclaycard Business,Barclaycard April 2010,65.53,
Defra,JNCC,07-May-10,ACCOMMODATION - OVERSEAS,Global Advice,Barclaycard Business,Barclaycard April 2010,71.29,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,37.3,
Defra,JNCC,07-May-10,TRAINING COURSES                                            ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,540,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,59,
Defra,JNCC,07-May-10,ACCOMMODATION - UK,European Intelligence & Advice,Barclaycard Business,Barclaycard April 2010,9.11,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Marine Protected Areas,Barclaycard Business,Barclaycard April 2010,65,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,99.7,
Defra,JNCC,07-May-10,SUBSISTENCE - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,64.65,
Defra,JNCC,07-May-10,AIR TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,18.5,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,-87,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Access to Information,Barclaycard Business,Barclaycard April 2010,68.1,
Defra,JNCC,07-May-10,AIR TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,18.5,
Defra,JNCC,07-May-10,WORKING LUNCHES                                             ,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,17.85,
Defra,JNCC,07-May-10,ACCOMMODATION - OVERSEAS,Overseas Territories & Crown Dependancies,Barclaycard Business,Barclaycard April 2010,689.4,
Defra,JNCC,07-May-10,RAIL TRAVEL - UK,Governance & Corporate Services,Barclaycard Business,Barclaycard April 2010,20,
