Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,Meteorological Office,120111,"71,282.40",
DEFRA,Core Dept,Jan-11,Agency Recharge,Corporate Services Group,Interserve (Facilities Mngmnt),FI00008561,"71,358.15",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Food and Farming Group,Food Standards Agency,915921,"71,430.64",
DEFRA,Core Dept,Jan-11,IBM Base Services Control,Corporate Services Group,IBM United Kingdom Ltd,5812101648,"75,066.56",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Food and Farming Group,Office For National Statistics,1019987,"79,639.75",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,A D A S UK Ltd,5.01E+11,"80,691.60",
DEFRA,Core Dept,Jan-11,Payments to Agencies GB,Food and Farming Group,Veterinary Laboratories Agency,ERS-471078-31686,"81,000.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,N E P I C Ltd,6963,"82,674.84",
DEFRA,Core Dept,Jan-11,Other Current Payments UK,Environment and Rural Group,Food & Environment Research Ag,F0012796,"83,156.00",
DEFRA,Core Dept,Jan-11,Electricity,Corporate Services Group,E D F Energy,1.13E+15,"83,262.52",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,Rural Payments Agency,328150,"85,000.00",
DEFRA,Core Dept,Jan-11,Other Current Payments UK,Environment and Rural Group,Food & Environment Research Ag,F0012773,"86,978.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,Worcestershire County Council,2202031390,"88,213.45",
DEFRA,Core Dept,Jan-11,Other Current Payments UK,Environment and Rural Group,Food & Environment Research Ag,F0012776,"98,189.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Strategy and Evidence Group,Economic & Social Research Cou,3623,"100,000.00",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Food and Farming Group,N F U,OP0025967,"100,321.52",
DEFRA,Core Dept,Jan-11,Other Current Payments UK,Environment and Rural Group,A E A Technology plc,6141779,"103,996.90",
DEFRA,Core Dept,Jan-11,Other Current Payments (E) (R and D Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-470203-31648,"105,583.25",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,Marine Biological Association,3566,"107,395.00",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Environment and Rural Group,JSS Pensions Administration,1325,"109,234.63",
DEFRA,Core Dept,Jan-11,Other Current Payments (E) (R and D Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-470214-31655,"111,303.91",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,L G C Limited,50052707,"116,914.88",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Strategy and Evidence Group,Groundwork London.,RO00570,"118,159.20",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Strategy and Evidence Group,East Potential,RINV00009174,"119,382.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Strategy and Evidence Group,BioRegional,SI231220101DEFRA,"119,980.00",
DEFRA,Core Dept,Jan-11,Electricity,Corporate Services Group,E D F Energy,111040111,"121,366.99",
DEFRA,Core Dept,Jan-11,Other Current Payments (E) (R and D Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-471015-31682,"126,495.75",
DEFRA,Core Dept,Jan-11,Other Current Payments UK,Environment and Rural Group,A E A Technology plc,614178687,"133,075.81",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,Animal Health,5000001457,"136,575.64",
DEFRA,Core Dept,Jan-11,Agency Recharge,Corporate Services Group,Interserve (Facilities Mngmnt),FI00008560,"144,115.72",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Strategy and Evidence Group,A E A Technology - SPM Lead Co,6142159,"145,438.40",
DEFRA,Core Dept,Jan-11,GPC Card,Central Finance Group,Barclaycard Business Issuing,4.72E+21,"147,284.46",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Environment and Rural Group,Carbon Trust,171210,"150,000.00",
DEFRA,Core Dept,Jan-11,Business Rates,Corporate Services Group,D T Z,DEFRA063,"155,421.53",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,Deloitte & Touche,1110628536,"164,073.58",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,915916,"165,158.97",
DEFRA,Core Dept,Jan-11,Clearing - CIP - IBM Capital Projects,Strategy and Evidence Group,IBM United Kingdom Ltd,5812100809,"170,078.90",
DEFRA,Core Dept,Jan-11,Clearing - CIP - IBM Capital Projects,Strategy and Evidence Group,IBM United Kingdom Ltd,5812102279,"174,035.13",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,Institute For Animal Health,ERS-471145-31552,"175,000.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,Revill Nation Ltd,INV100502,"178,014.00",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Strategy and Evidence Group,Jacobs Engineering UK Ltd,B1472100007AH,"178,890.95",
DEFRA,Core Dept,Jan-11,Payments to Agencies GB,Food and Farming Group,Veterinary Laboratories Agency,ERS-471052-31685,"189,177.09",
DEFRA,Core Dept,Jan-11,Estate Maintenance Admin,Corporate Services Group,Interserve (Facilities Mngmnt),FI00008704,"193,964.08",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,Rothamsted Research.,INV011513,"195,639.00",
DEFRA,Core Dept,Jan-11,Other Current Payments UK,Environment and Rural Group,Bureau Veritas UK Ltd,10022630,"196,981.71",
DEFRA,Core Dept,Jan-11,FM Projects Non Capital Works,Corporate Services Group,Interserve (Facilities Mngmnt),FI00008100,"206,159.03",
DEFRA,Core Dept,Jan-11,Other Current Payments UK,Food and Farming Group,Gangmasters Licensing Authorit,GIAKAJJAN2011,"224,119.33",
DEFRA,Core Dept,Jan-11,Transition & Transformation,Corporate Services Group,IBM United Kingdom Ltd,5812101893,"227,517.60",
DEFRA,Core Dept,Jan-11,Grant-in Aid Payments,Environment and Rural Group,Joint Nature Conservation Comm,161210,"244,856.57",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Food and Farming Group,Moredun Research Institute,7183,"253,595.00",
DEFRA,Core Dept,Jan-11,Payments to Agencies GB,Food and Farming Group,Veterinary Laboratories Agency,ERS-471079-31687,"256,917.00",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Environment and Rural Group,S E P A,9034485,"258,500.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Environment and Rural Group,O S P A R Commission,11110,"264,381.06",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Environment and Rural Group,Waste & Resources Action Progr,JAN2140111,"274,889.00",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Environment and Rural Group,Meteorological Office,I0073845,"277,500.00",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Environment and Rural Group,Local Partnerships LLP,41100656,"281,903.23",
DEFRA,Core Dept,Jan-11,Other Current Payments (R&D) (E),Environment and Rural Group,H R Wallingford Ltd,HR042410,"282,000.00",
DEFRA,Core Dept,Jan-11,Other Current Payments (GB),Food and Farming Group,Food Standards Agency,915914,"359,374.00",
DEFRA,Core Dept,Jan-11,Grant-in Aid Payments,Environment and Rural Group,The National Forest Co,210111,"371,828.00",
DEFRA,Core Dept,Jan-11,Grant-in Aid Payments,Environment and Rural Group,Joint Nature Conservation Comm,211210,"372,869.61",
DEFRA,Core Dept,Jan-11,Payments to Agencies GB,Food and Farming Group,Veterinary Laboratories Agency,ERS-471081-31689,"382,583.00",
DEFRA,Core Dept,Jan-11,Current Grants E,Environment and Rural Group,Peak District National Park Au,231210,"383,814.00",
DEFRA,Core Dept,Jan-11,Payments to Agencies GB,Food and Farming Group,Veterinary Laboratories Agency,ERS-471051-31684,"385,864.59",
DEFRA,Core Dept,Jan-11,Rents to Landlords,Corporate Services Group,D T Z,DEFRA066,"420,703.88",
DEFRA,Core Dept,Jan-11,Other Current Payments E,Food and Farming Group,Food Standards Agency,1700493,"567,447.14",
DEFRA,Core Dept,Jan-11,Payments to Agencies GB,Food and Farming Group,Veterinary Laboratories Agency,ERS-471082-31690,"569,167.00",
DEFRA,Core Dept,Jan-11,Current Grants E,Environment and Rural Group,Northumberland Nat Park Author,231210,"614,534.00",
DEFRA,Core Dept,Jan-11,Payments to Agencies GB,Food and Farming Group,Veterinary Laboratories Agency,ERS-471121-31691,"744,750.00",
