Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (�) ,VAT Registration Number
FCO,FCO,19-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1001293,15.4,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-196,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-217,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-217,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,196,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,217,
FCO,FCO,19-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1001293,-110.26,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,217,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-217,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"-24,000.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"-16,000.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"-1,300.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-15,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"-1,466.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-126,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-168,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-196,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-217,
FCO,FCO,19-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1001293,"-7,538.13",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"24,000.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"16,000.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"1,300.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,238,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,196,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,126,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,217,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,168,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,15,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"1,466.00",
FCO,FCO,19-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1001293,"7,579.78",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"-24,000.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"-16,000.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"-1,300.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-238,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-196,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-126,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-217,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-168,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,-15,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"-1,466.00",
FCO,FCO,19-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1001293,"-7,579.78",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"24,000.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"16,000.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"1,300.00",
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,238,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,196,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,126,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,217,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,168,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,15,
FCO,FCO,19-Oct-10,Training Course: Fees,DG CHANGE & DELIVERY,ASHRIDGE MANAGEMENT COLLEGE,1001293,"1,466.00",
FCO,FCO,19-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,ASHRIDGE MANAGEMENT COLLEGE,1001293,"7,579.78",
FCO,FCO,27-Oct-10,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,BIS - DEPT FOR BUSINESS INNOVATION & SKILLS,3000329,"27,636.76",
FCO,FCO,27-Oct-10,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,BIS - DEPT FOR BUSINESS INNOVATION & SKILLS,3000329,"3,031.04",
FCO,FCO,27-Oct-10,Programme Spend (Oracle Projects Control Account),DG DEFENCE AND INTELLIGENCE,BIS - DEPT FOR BUSINESS INNOVATION & SKILLS,3000329,"5,014.74",
FCO,FCO,06-Oct-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,BRITISH COUNCIL,1000472,"31,174.00",
FCO,FCO,26-Oct-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,BRITISH COUNCIL,1001763,"36,549.00",
FCO,FCO,18-Oct-10,Recharge Suspense Account (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,BRITISH COUNCIL,1008509,"50,057.39",
FCO,FCO,26-Oct-10,Miscellaneous Expenditure,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1001811,"23,340.00",
FCO,FCO,26-Oct-10,Miscellaneous Expenditure,DG CHANGE & DELIVERY,HEALIX INTERNATIONAL LTD,1001811,"4,084.50",
FCO,FCO,13-Oct-10,Aslc Contribution,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,3000275,"3,506,473.18",
FCO,FCO,13-Oct-10,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,3000275,"411,244.65",
FCO,FCO,13-Oct-10,Added Years and Wwpsc,NON CASH & UNALLOCATED COSTS,CABINET OFFICE,3000275,"73,771.07",
FCO,FCO,18-Oct-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1001242,"231,000.00",
FCO,FCO,18-Oct-10,Other It (Maint),DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1001242,"62,580.00",
FCO,FCO,18-Oct-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1001242,"98,610.00",
FCO,FCO,18-Oct-10,Other It (Maint),DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1001242,"10,951.50",
FCO,FCO,18-Oct-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1001242,"40,425.00",
FCO,FCO,18-Oct-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CABLE AND WIRELESS WORLDWIDE,1001242,"17,256.75",
FCO,FCO,19-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1001304,"164,086.50",
FCO,FCO,19-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1001304,"28,715.14",
FCO,FCO,19-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1001304,"-164,086.50",
FCO,FCO,19-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1001304,"-28,715.14",
FCO,FCO,19-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1001304,"164,086.50",
FCO,FCO,19-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,CABLE AND WIRELESS WORLDWIDE,1001304,"28,715.14",
FCO,FCO,05-Oct-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1000314,"50,400.00",
FCO,FCO,05-Oct-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1000314,"6,252.85",
FCO,FCO,05-Oct-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1000314,"41,785.15",
FCO,FCO,05-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1000314,"17,226.65",
FCO,FCO,05-Oct-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1000314,"49,000.00",
FCO,FCO,05-Oct-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1000314,"1,400.00",
FCO,FCO,05-Oct-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1000314,"-50,400.00",
FCO,FCO,13-Oct-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1000972,"43,282.31",
FCO,FCO,13-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1000972,"7,574.40",
FCO,FCO,18-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1001244,"66,440.59",
FCO,FCO,18-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1001244,"11,627.10",
FCO,FCO,28-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1002001,"23,137.75",
FCO,FCO,28-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1002001,"4,049.11",
FCO,FCO,28-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1002001,"-23,137.75",
FCO,FCO,28-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1002001,"-4,049.11",
FCO,FCO,28-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1002001,"4,388.00",
FCO,FCO,28-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,CAPGEMINI  UK PLC,1002001,"18,749.75",
FCO,FCO,28-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,CAPGEMINI  UK PLC,1002001,"4,049.11",
FCO,FCO,12-Oct-10,Rent and Condominium Charges Non-Residential,DG CHANGE & DELIVERY,OCDE  (OECD),8008554,"60,706.32",
FCO,FCO,26-Oct-10,Programme Spend (Oracle Projects Control Account),DG EUROPE AND GLOBALISATION,THE CLIMATE GROUP,1243472,"51,759.16",
FCO,FCO,05-Oct-10,Dsfa Conference and Subscription Fees,DG CHANGE & DELIVERY,DSFA - DIPLOMATIC SERVICE FAMILIES ASSOCIATION,2000126,"80,800.00",
FCO,FCO,26-Oct-10,Local Allowances,DG CHANGE & DELIVERY,ECA INTERNATIONAL,1001788,"24,000.00",
FCO,FCO,26-Oct-10,Local Allowances,DG CHANGE & DELIVERY,ECA INTERNATIONAL,1001788,"4,200.00",
FCO,FCO,11-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,FIELD FISHER WATERHOUSE,1000758,"33,778.45",
FCO,FCO,11-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FIELD FISHER WATERHOUSE,1000758,"5,911.23",
FCO,FCO,08-Oct-10,Property and Construction Consultancy,DG CHANGE & DELIVERY,COLLIERS,1000680,"49,250.00",
FCO,FCO,12-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1000849,"31,573.92",
FCO,FCO,12-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1000849,"20,636.25",
FCO,FCO,12-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1000849,"9,136.78",
FCO,FCO,12-Oct-10,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,FUJITSU SERVICES LIMITED,1000849,-0.01,
FCO,FCO,12-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1000849,"31,573.92",
FCO,FCO,12-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1000849,"20,636.25",
FCO,FCO,12-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1000849,"-20,636.25",
FCO,FCO,12-Oct-10,IT/IS Consultancy,DG CENTRAL GROUP,FUJITSU SERVICES LIMITED,1000849,"-31,573.92",
FCO,FCO,21-Oct-10,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,GIBS LTD,9802,"55,517.15",
