Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,08/05/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,WYG MANAGEMENT SERVICES LIMITED,L2 6RE,203979,Fiscal asset under construction - capital in year addition,"17,336.32"
Ministry of Defence,Ministry of Defence,03/05/2013,Purchase of inventory and services ,Land Forces,XMA LTD,NG11 7EP,202809,Cost of other material consumed,"17,271.41"
Ministry of Defence,Ministry of Defence,10/05/2013,Design services and minor equipment purchases,Defence Equipment & Support,AIRBORNE SYSTEMS LTD,CF32 8PL,204606,Post design services which are not capitalised,"17,263.03"
Ministry of Defence,Ministry of Defence,09/05/2013,Design services and minor equipment purchases,Defence Equipment & Support,AIRBORNE SYSTEMS LTD,CF32 8PL,204008,Equipment support project costs,"17,251.26"
Ministry of Defence,Ministry of Defence,30/05/2013,Purchase of buildings and military equipment ,Defence Infrastructure Organisation ,BEZIRKSREGIERUNG DUESSELDORF,,5000097228,Fiscal asset under construction - capital in year addition,"17,249.33"
Ministry of Defence,Ministry of Defence,03/05/2013,Purchase of inventory and services ,Joint Forces Command,SERCO LIMITED,RG27 9UY,202668,Cost of other material consumed,"17,140.94"
Ministry of Defence,Ministry of Defence,10/05/2013,Spend on Inventory - General,Defence Infrastructure Organisation ,BUNZL UK LIMITED,W1H 7JT,176941,Spend on Inventory - General,"17,126.46"
Ministry of Defence,Ministry of Defence,20/05/2013,Spend on Inventory - General,Land Forces,BUNZL UK LIMITED,W1H 7JT,177082,Spend on Inventory - General,"17,121.18"
Ministry of Defence,Ministry of Defence,07/05/2013,Fuel for military use,Joint Forces Command,GB OILS LIMITED,WA3 6XG,176887,Cost of ground diesel fuel consumed,"17,116.32"
Ministry of Defence,Ministry of Defence,09/05/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,Military short term detached duty,"17,023.47"
Ministry of Defence,Ministry of Defence,28/05/2013,Estate management,Defence Equipment & Support,ELIOR UK PLC,SK11 6ET,210599,Estate + facilities management services - accommodation inventory + service,"17,017.47"
Ministry of Defence,Ministry of Defence,24/05/2013,Medical treatment & stores and welfare services,Joint Forces Command,HONEYBEERECRUITMENT.COM LTD,TW12 1PD,210030,Medical health services,"17,000.12"
Ministry of Defence,Ministry of Defence,21/05/2013,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,CITYSPRINT (UK) LIMITED,RH1 1SH,208375,Freight movement costs,"16,965.11"
Ministry of Defence,Ministry of Defence,10/05/2013,Payment of utilities,Air Command,GB OILS LIMITED,FK5 4RB,204855,Utilities consumed - heating oil,"16,859.89"
Ministry of Defence,Ministry of Defence,02/05/2013,Purchase of inventory and services ,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,201439,Consumption of medical dental and veterinary inventory,"16,794.13"
Ministry of Defence,Ministry of Defence,22/05/2013,Spend on Inventory - General,Defence Infrastructure Organisation ,MILLBROOK FURNISHING INDUSTRIES LIMITED,SO40 3XJ,209061,Spend on Inventory - General,"16,779.99"
Ministry of Defence,Ministry of Defence,08/05/2013,Purchase of inventory and services ,Air Command,XMA LTD,NG11 7EP,203981,Cost of other material consumed,"16,761.09"
Ministry of Defence,Ministry of Defence,10/05/2013,Purchase of inventory and services ,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,204755,Cost of other material consumed,"16,739.89"
Ministry of Defence,Ministry of Defence,08/05/2013,Fees for professional services,Defence Infrastructure Organisation ,WYG MANAGEMENT SERVICES LIMITED,L2 6RE,203979,Fees for professional services excluding legal fees,"16,718.09"
Ministry of Defence,Ministry of Defence,31/05/2013,General services and support,Land Forces,RICHARD LAWSON (AUTOECOSSE) LIMITED,DD5 2RZ,212231,Purchase of defence equipment below capitalisation threshold of £25k.,"16,700.00"
Ministry of Defence,Ministry of Defence,14/05/2013,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,206181,Cost of other material consumed,"16,691.30"
Ministry of Defence,Ministry of Defence,21/05/2013,Payment of utilities,Defence Infrastructure Organisation ,GB OILS LIMITED,FK5 4RB,208446,Utilities consumed - heating oil,"16,631.95"
Ministry of Defence,Ministry of Defence,07/05/2013,Payment of utilities,Defence Infrastructure Organisation ,CALOR GAS LIMITED,CV34 6RL,202909,Utilities consumed - liquid petroleum gas,"16,618.98"
Ministry of Defence,Ministry of Defence,13/05/2013,"Transportation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,205400,Freight movement costs,"16,590.67"
Ministry of Defence,Ministry of Defence,16/05/2013,Design services and minor equipment purchases,Defence Equipment & Support,TELEVISION INSTALLATION SERVICES (MANSFIELD) LIMITED,NG18 5BU,207147,Equipment support non-project costs,"16,548.86"
Ministry of Defence,Ministry of Defence,17/05/2013,Purchase of inventory and services ,Joint Forces Command,AAH PHARMACEUTICALS LTD,CV2 2TX,207221,Consumption of medical dental and veterinary inventory,"16,523.71"
Ministry of Defence,Ministry of Defence,17/05/2013,Fuel for military use,Navy Command,HENTY OIL LTD,SW1E 5BH,207431,Cost of ground diesel fuel consumed,"16,515.18"
Ministry of Defence,Ministry of Defence,02/05/2013,Design services and minor equipment purchases,Defence Equipment & Support,BABCOCK MARINE (ROSYTH) LTD,KY11 2YD,201485,Equipment support non-project costs,"16,500.00"
Ministry of Defence,Ministry of Defence,01/05/2013,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,200900,Consumption of medical dental and veterinary inventory,"16,336.67"
Ministry of Defence,Ministry of Defence,16/05/2013,Food and clothing,Defence Infrastructure Organisation ,ARAMARK LTD,LS16 6QY,206713,Cost of clothing and textile services received,"16,336.56"
Ministry of Defence,Ministry of Defence,22/05/2013,Fees for professional services,Air Command,LGC LTD,TW11 0LY,209042,Fees for professional services excluding legal fees,"16,273.17"
Ministry of Defence,Ministry of Defence,22/05/2013,Fees for professional services,Navy Command,LGC LTD,TW11 0LY,209042,Fees for professional services excluding legal fees,"16,273.16"
