Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number, Amount ,Additional Narrative
Defra,Core Dept,27-May-11,Other recharges,Green Economy and Corporate Services Group,Herman Miller Ltd,345112,"38,664.00",Costs for the supply of office furniture.
Defra,Core Dept,23-May-11,Agents Fees,Green Economy and Corporate Services Group,Interserve (Facilities Mngmnt),FI00008129,"38,658.68",Facilities Management costs
Defra,Core Dept,17-May-11,Application Services/Minor Enhancements,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5804111665,"38,088.56",CORE SD  Minor Enhancement Request -PERIOD: 01-30/04/2011
Defra,Core Dept,25-May-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-478867-33909,"38,077.00",Costs for cattle TB vaccines: Development of Differentiate Infected from Vaccinated Animals test
Defra,Core Dept,04-May-11,Water,Green Economy and Corporate Services Group,Thames Water Utilities Ltd,9.35E+16,"37,737.78",2010/11 Inbound secondment costs 
Defra,Core Dept,19-May-11,Staff Restaurants,Green Economy and Corporate Services Group,Baxter Storey,75272,"37,285.49",Costs for catering Services
Defra,Core Dept,13-May-11,Other Current Payments (GB),Food and Farming Group,Cambridgeshire County Council,10347458,"37,278.05",Animal Movement Licensing Scheme costs: 2010-11 WORK FUNDING OCT 10 - MAR 11
Defra,Core Dept,16-May-11,Other Current Payments E,Food and Farming Group,Centro De Investigacion Y Tecn,100210,"37,017.43",GRAVITY MODEL WITHIN DEFRA
Defra,Core Dept,13-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,University Of Newcastle Upon T,9100043681,"36,913.66",RESEARCH 01/02/11 - 31/03/11 Asessing the environmental consequences of husbandry changes in UK poultry systems through a Life cycle analysis.
Defra,Core Dept,27-May-11,Other Current Payments E,Food and Farming Group,University Of Reading,ERS-478989-33848,"35,109.92",Costs for Maintenance of National Fruit Archive
Defra,Core Dept,05-May-11,Other Current Payments E,Food and Farming Group,University Of Reading,ERS-478149-33687,"35,109.88",Costs for the maintenance of National Fruit Archive
