Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number, Amount ,Additional Narrative
Defra,Core Dept,17-May-11,Clearing Construction in Progress (I.T.),Food and Farming Group,Evolve Business Consultancy Lt,3775,"27,770.40","Costs for DEFRA NEW, ENDEMIC & ZOONOTIC DISEASE DIVISION RADAR PROGRAMME APRIL 2011"
Defra,Core Dept,25-May-11,Telephony Services/Audio Conferencing Facilities,Green Economy and Corporate Services Group,IBM United Kingdom Ltd,5805110503,"27,752.33",Quarterly charge for business applications software licences
Defra,Core Dept,19-May-11,Publications - Storage & Distribution (C),Green Economy and Corporate Services Group,Iron Mountain (UK) Ltd,X255253X255264,"27,656.23",Records Management and Storage costs 
Defra,Core Dept,25-May-11,Other Current Payments (Evidence R&D) (Agency),Food and Farming Group,Veterinary Laboratories Agency,ERS-478876-33912,"27,418.25",Research cost for Salmonella Enteritidis & SalmonellaTyphimurium in egg production: Elimination from flocks &characterisation of public health risks - VLA - Mar 11
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-478842-33800,"27,220.08",Cost for Bluetongue virus molecular epidemiology studies and development of diagnostic assay systems
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-478821-33792,"27,198.00",Costs for African swine fever virus: Improvement of diagnostic tests and vaccine development
Defra,Core Dept,13-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,University Of Wales Aberystwyt,IRG10708,"27,027.08",Costs for Development of productive and persistent high quality forage grasses and white clover with increased water-use-efficiency and resilience to summer droughts IM FOR JAN-MAR 11
Defra,Core Dept,13-May-11,Other Current Payments (GB),Food and Farming Group,East Sussex County Council,8001008757,"26,805.50",INTERIM MOVEMENT STAFF COSTS QTR 3 & 4
Defra,Core Dept,19-May-11,Other Current Payments E,Environment and Rural Group,West Sussex County Council,60511,"26,700.00",FLOOD RESCUE GRANT PAYMENT
Defra,Core Dept,19-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,A E A Technology plc,160511,"26,663.56",NATIONAL ATMOSPHERIC EMISSION INVENTORY AND GRRENHOUSE GAS INVENTORY
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,University Of Edinburgh,ERS-478766-33829,"26,393.91",Costs for research into sheep of resistant PrP genotypes.
Defra,Core Dept,11-May-11,Other Current Payments (GB),Food and Farming Group,Cheshire East Council,41026131,"26,334.94",Animal Movement Licensing Scheme COSTS 01/10/10-31/03/11
Defra,Core Dept,23-May-11,Other Current Payments E,Environment and Rural Group,Central Office Of Information,732199,"25,544.50",Business Link Channel Mananger 
Defra,Core Dept,19-May-11,Publications - Storage & Distribution (C),Green Economy and Corporate Services Group,Iron Mountain (UK) Ltd,X349427X349436,"25,333.53",Records Management and Storage costs 
Defra,Core Dept,25-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,East Malling Ltd,10339,"25,266.00"," Costs for Exploiting semiochemicals, conservation biocontrol and selective physical methods in integrated management of Pear Sucker Jan-Mar 2011"
Defra,Core Dept,27-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,Institute For Animal Health,ERS-478843-33801,"25,197.71",Cost for The spread of bluetongue and related diseases by wind-borne vector Culicoides
Defra,Core Dept,06-May-11,Current Grants E,Environment and Rural Group,Birdlife International,1.50E+12,"25,181.50",Darwin initiative project grant payment
Defra,Core Dept,13-May-11,Other Current Payments (Evidence R&D),Environment and Rural Group,The Arable Group,TA131,"25,171.20",FLOOD RESCUE GRANT PAYMENT
Defra,Core Dept,25-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,Food & Environment Research Ag,F0015273,"25,000.00",Cost for project relating to reducing wastage and increasing self life of root vegetables during washing packing and retailing(May to Sept 2010)
Defra,Core Dept,23-May-11,Other Current Payments (Evidence R&D),Food and Farming Group,Food & Environment Research Ag,F0015275,"25,000.00",LINK PROJECT HL01104 10/11 REDUCING WASTAGE & INCREASING SHELF LIFE OF ROOT VEGETABLES
