Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Mileage Allowance UK,Legal Services - Legal Services,"Personal Expense, Name Witheld",97163,54.45,Legal Services Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team","Personal Expense, Name Witheld",97164,3.80,MPST Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Rail Travel UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97166,14.20,K&I Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Subsistence UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97166,15.00,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Other Travel,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97167,3.00,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Subsistence UK,Knowledge & Innovation Group - Innovation Directorate,"Personal Expense, Name Witheld",97167,15.00,K&I Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Recoveries Account - Other payables,Corporate Payments,UK TRADE & INVESTMENT,97188,22912.90,Default-Recoveries Account - Other payables,NP10 8QQ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Interest receivable - PCs - Loans (Consolidated Fund),Shareholder Executive - Corporate Finance Practice,POST OFFICE LTD C/O ROYAL MAIL,97193,-1344.18,POL: Interest on Loans-Interest receivable - PCs - Loans (Consolidated Fund),S49 1HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Additions - Other Loans - Public Corporations,Shareholder Executive - Corporate Finance Practice,POST OFFICE LTD C/O ROYAL MAIL,97193,27000000.00,POL: Voted Loans-Additions - Other Loans - Public Corporations,S49 1HQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Enterprise Directorate,GROWTH VOUCHERS (UKSBS NEWPORT USE ONLY),97194,83148.33,Growth Vouchers-Current Grants To Private Sector - NPISH,SW1H 0ET,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Taxi Services UK,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",97195,19.50,Other Devolved Admin-Taxi Services UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,97197,1569.36,F&C Devolved Admin-Electricity,PL3 5YL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - British Business Bank,BERR SFLG PAYMENT TO LENDERS,97198,-19193.61,Small Firms Loan Guarantees: New-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - British Business Bank,BERR SFLG PAYMENT TO LENDERS,97198,-2420.24,Small Firms Loan Guarantees: Old-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,MENDIP MEDIA GROUP LTD,97199,46.84,Prosecution Witness & Expenses-Criminal Law and Prosecution Work,EX2 5AX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Utilisation of Provisions - Capital Grants to Private Sector - Companies,Shareholder Executive - British Business Bank,BERR SFLG PAYMENT TO LENDERS,97201,99592.03,Small Firms Loan Guarantees-Utilisation of Provisions - Capital Grants to Private Sector - Companies,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,MENDIP MEDIA GROUP LTD,97202,384.81,Prosecution Witness & Expenses-Criminal Law and Prosecution Work,EX2 5AX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - British Business Bank,BERR SFLG PAYMENT TO LENDERS,97204,-37909.83,Small Firms Loan Guarantees: Old-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - British Business Bank,BERR SFLG PAYMENT TO LENDERS,97204,-4185.71,Small Firms Loan Guarantees: New-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Library Services,Business & Local Growth - Regional Growth,STANDARD & POOR'S FINANCIAL SERVICES LLC,97206,74820.40,Economic Inteligence And Analysis-Library Services,IL60693,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Current Grants To Private Sector - NPISH,Enterprise & Skills Group - Vocational Education Directorate,ASSOCIATION OF COLLEGES,97207,48200.00,Socially Dis Learning QI-Current Grants To Private Sector - NPISH,WC1A 1HU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Learning and Dev - CS Skills,Finance & Commercial Group - Finance Directoreate,CAPITA BUSINESS SERVICES LTD,97208,133.00,F&C Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - British Business Bank,BERR SFLG PAYMENT TO LENDERS,97214,-17316.24,Small Firms Loan Guarantees: Old-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,KNOWLES BENNING SOLICITORS,97217,1482.36,Prosecution Agents-Criminal Law and Prosecution Work,LU1 2BX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Utilisation of Provisions - Capital Grants to Private Sector - Companies,Shareholder Executive - British Business Bank,BERR SFLG PAYMENT TO LENDERS,97218,157.31,Small Firms Loan Guarantees-Utilisation of Provisions - Capital Grants to Private Sector - Companies,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - British Business Bank,BERR SFLG PAYMENT TO LENDERS,97220,-45.00,Small Firms Loan Guarantees: New-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Hire of Agency Staff,Shareholder Executive - Business Portfolio,BROOK STREET (UK) LTD,97222,643.32,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - British Business Bank,BERR SFLG PAYMENT TO LENDERS,97223,-27353.03,Small Firms Loan Guarantees: Old-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",20/05/2015,Finance Training,Finance & Commercial Group - Finance Directoreate,CAPITA BUSINESS SERVICES LTD,97227,478.56,F&C Devolved Admin-Finance Training,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Utilisation of Provisions - Capital Grants to Private Sector - Companies,Shareholder Executive - British Business Bank,EFG PAYMENTS,97230,82899.65,Enterprise Finance Guarantee-Utilisation of Provisions - Capital Grants to Private Sector - Companies,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Outsourced Programme Management,Business & Local Growth - Advanced Manufacturing Services,GRANT THORNTON UK LLP,97231,289591.00,MSET: Manufacturing Advisory Service-Outsourced Programme Management,NN4 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - British Business Bank,EFG PAYMENTS,97232,-23021.25,Enterprise Finance Guarantee-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Utilisation of Provisions - Capital Grants to Private Sector - Companies,Shareholder Executive - British Business Bank,EFG PAYMENTS,97233,289316.72,Enterprise Finance Guarantee-Utilisation of Provisions - Capital Grants to Private Sector - Companies,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - British Business Bank,EFG PAYMENTS,97234,-54578.30,Enterprise Finance Guarantee-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Utilisation of Provisions - Capital Grants to Private Sector - Companies,Shareholder Executive - British Business Bank,EFG PAYMENTS,97235,401159.98,Enterprise Finance Guarantee-Utilisation of Provisions - Capital Grants to Private Sector - Companies,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Capital Grants (Companies) - Recovery of Loan Guarantees,Shareholder Executive - British Business Bank,EFG PAYMENTS,97236,-68272.34,Enterprise Finance Guarantee-Capital Grants (Companies) - Recovery of Loan Guarantees,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Economic Consultancy & Research,Enterprise & Skills Group - Enterprise Directorate,BEHAVIOURAL INSIGHTS LTD,97239,1668.20,Growth Vouchers-Economic Consultancy & Research,EC4A 1DE,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Training And Development Expenditure,Business & Local Growth - BIS Local,"DERBYSHIRE, NOTTINGHAMSHIRE AND LEICESTERSHIRE CHAMBER OF COMMERCE & INDUSTRY (DNCC)",97240,90.00,BLG Devolved Admin-Training And Development Expenditure,S41 7NA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Postage,Enterprise & Skills Group - Better Regulation Delivery Office,NEOPOST LTD,97241,35.21,E&S Devolved Admin-Postage,RM1 2AR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,CFOA SERVICES LTD,97242,20000.00,BRDO: Implementation-Technical Advice / Services & Support,B77 4RD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Minor Works,Finance & Commercial Group - Estates,EC HARRIS SOLUTIONS LTD,97249,650000.00,F&C Devolved Admin-Minor Works,M60 3NT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Taxi Services UK,Business & Local Growth - Office for Life Sciences,"Personal Expense, Name Witheld",97250,141.10,E&M Devolved Admin-Taxi Services UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Taxi Services UK,Business & Local Growth - Office for Life Sciences,"Personal Expense, Name Witheld",97258,43.40,E&M Devolved Admin-Taxi Services UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/05/2015,Stationery,"People, Strategy and Higher Education - Human Resources",UK SHARED BUSINESS SERVICES LTD,97259,400.84,PSHE Devolved Admin-Stationery,SN2 1FF,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Taxi Services UK,Business & Local Growth - Office for Life Sciences,"Personal Expense, Name Witheld",97261,185.60,E&M Devolved Admin-Taxi Services UK,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Motor Vehicle Hire,Government Office for Science -  Government Office for Science,"Personal Expense, Name Witheld",97263,16.95,Foresight: Cities-Motor Vehicle Hire,,,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Hire of Conference Facilities,Enterprise & Skills Group - Better Regulation Delivery Office,HEMMING GROUP LTD,97265,2761.92,BRDO: Better Business for All-Hire of Conference Facilities,SW1V 2SS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Purchase of Intangible Software,Finance & Commercial Group - Finance Directoreate,FLYINGBINARY LTD,97267,18540.00,F&C Devolved Admin-Purchase of Intangible Software,IG8 7LS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,ICT Maintenance & Upkeep,Enterprise & Skills Group - Enterprise Directorate,BIT ZESTY LTD,97268,35510.00,Queen's Award: Making Of Presentational Items-ICT Maintenance & Upkeep,WC1X 9LW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,CORNWALL COUNCIL,97269,9995.00,BRDO: PA System Support-Technical Advice / Services & Support,TR1 3AY,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,External Legal Advice and Service,Legal Services - Legal Services,GOVERNMENT LEGAL DEPARTMENT,97274,967.20,Legal Services Admin-External Legal Advice and Service,WC2B 4TS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,External Legal Advice and Service,Legal Services - Legal Services,GOVERNMENT LEGAL DEPARTMENT,97275,416.70,Legal Services Admin-External Legal Advice and Service,WC2B 4TS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,External Legal Advice and Service,Legal Services - Legal Services,GOVERNMENT LEGAL DEPARTMENT,97275,500.00,Legal Services Admin-External Legal Advice and Service,WC2B 4TS,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,SOPHIE EVANS,97285,144.96,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,EAST ANGLIAN LAW,97296,300.00,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,NR1 4DH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,EAST ANGLIAN LAW,97309,300.00,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,NR1 4DH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,18 RED LION COURT,97319,11520.00,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,EC4A 3EB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,9-12 BELL YARD,97322,285.96,Prosecution Counsel's Fees-Criminal Law and Prosecution Work,WC2A 2JR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Criminal Law and Prosecution Work,Legal Services - Legal Services,PHS RECORDSMANAGEMENT(PART OF PHS GROUP),97330,44.16,Prosecution Witness & Expenses-Criminal Law and Prosecution Work,B7 5PJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,KATE HARRIS,97331,1400.00,BRDO: PA Delivery-Technical Advice / Services & Support,E14 9ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Professional Training,Finance & Commercial Group - Information and Technology Directorate,GOVERNMENT KNOWLEDGE EVENTS LTD,97332,275.00,F&C Devolved Admin-Professional Training,WC2N 5BW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Hire of Agency Staff,Finance & Commercial Group - Finance Directoreate,ALLEN LANE LTD,97333,5890.56,F&C Devolved Admin-Hire of Agency Staff,SW1Y 6RJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Research and Development Expenditure,Government Office for Science -  Government Office for Science,SHEFFIELD HALLAM UNIVERSITY,97335,5000.00,Foresight: Demography and Ageing-Research and Development Expenditure,S1 1WB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",19/05/2015,Hire of Agency Staff,Finance & Commercial Group - Projects & Commercial Directorate,ALLEN LANE LTD,97340,7221.60,F&C Devolved Admin-Hire of Agency Staff,BN11 2BW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - Research Base,THE UNIVERSITY OF MANCHESTER,97342,69000.00,Science & Society: Science for All-Current Grants To Private Sector - NPISH,M13 9PL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",97347,5.00,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Taxi Services UK,Enterprise & Skills Group - Vocational Education Directorate,"Personal Expense, Name Witheld",97347,15.00,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence Overseas,Business & Local Growth - Europen Reform,"Personal Expense, Name Witheld",97348,11.09,BLG Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,"Business & Local Growth - Energy, Materials and Agri-Tech","Personal Expense, Name Witheld",97349,5.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,"Business & Local Growth - Energy, Materials and Agri-Tech","Personal Expense, Name Witheld",97349,5.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Taxi Services UK,"Business & Local Growth - Energy, Materials and Agri-Tech","Personal Expense, Name Witheld",97349,8.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,"Business & Local Growth - Energy, Materials and Agri-Tech","Personal Expense, Name Witheld",97349,15.00,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Hotel & Accommodation UK,"Business & Local Growth - Energy, Materials and Agri-Tech","Personal Expense, Name Witheld",97349,72.95,BLG Devolved Admin-Hotel & Accommodation UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97350,5.00,E&S Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Taxi Services UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97350,7.80,E&S Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,Enterprise & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",97350,15.00,E&S Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",97352,2.30,OME Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",97352,10.00,OME Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Rail Travel UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",97352,10.50,OME Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",97352,10.73,OME Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Taxi Services UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",97352,14.00,OME Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Staff Welfare Costs,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",97352,65.00,OME Devolved Admin-Other Staff Welfare Costs,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Hotel & Accommodation UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",97352,70.00,OME Devolved Admin-Hotel & Accommodation UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97354,3.70,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97354,10.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97354,13.29,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97355,1.85,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Rail Travel UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97355,3.70,PSHE Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97356,9.60,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97356,9.84,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97356,15.00,PSHE Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,"People, Strategy and Higher Education - Human Resources","Personal Expense, Name Witheld",97356,30.84,PSHE Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",97357,2.70,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Taxi Services UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",97357,5.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Subsistence UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",97357,11.95,BLG Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Hotel & Accommodation UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",97357,79.00,BLG Devolved Admin-Hotel & Accommodation UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Taxi Services UK,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",97358,10.80,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Business & Local Growth - Regional Growth,"Personal Expense, Name Witheld",97359,9.04,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Rail Travel UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",97360,4.50,BLG Devolved Admin-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",97360,19.53,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",97360,254.95,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",97361,3.99,BRDO: PA System Support-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Rail Travel UK,Enterprise & Skills Group - Better Regulation Delivery Office,"Personal Expense, Name Witheld",97361,221.40,BRDO: PA System Support-Rail Travel UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",97363,2.60,Default-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/05/2015,Other Travel,Economics & Markets - Labour Market,"Personal Expense, Name Witheld",97363,4.95,Default-Other Travel,,EMPLOYEE,,,
