Entity,Date,Supplier , Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
EA,21/11/2013,MEP Pelligrini Marine Equipment," £50,512.08 ",Supply and delivery of cranes to Thames Barrier,37135 Verona,,,,Project,
RPA,25/11/2013,Accenture (UK) LTD," £399,833.50 ",Provision of the required changes to Information Technology systems for the implementation of Financial Discipline Mechanism for the 2013 Single Payment Scheme year - September 2013,EC3M 3BD,,65087/64296/65335/65302/65219/65214,SPSS0110/SIPRLR07/DCBAU001/FOP01000,ADMIN,
RPA,20/11/2013,ARVAL," £41,126.97 ",Vehicle Hire - October-November 2013,SN5 6PE,,65190,N/A,ADMIN,
RPA,06/11/2013,ATKINS," £24,330.00 ",Consultancy Services provided for Trader Review (Phase 2 implementation) - September 2013,KT18 5BW,,65041,PPN11000,ADMIN,
RPA,07/11/2013,Axios Systems Consultants," £63,987.00 ",Renewal of Assyst Annual Maintenance and Support - 01 October 2013-30 September 2014,EH3 7HF,,65471,OFFS0250,ADMIN,
RPA,06/11/2013,DSGi Business," £63,195.00 ",Monthly service charge for IT - October 2013,BL9 7BJ,,65036,OFFS0125,ADMIN,
RPA,06/11/2013,DTZ," £30,251.82 ",Carlisle - Facilities Management services - September 2013,B4 6AJ,,65392,N/A,ADMIN,
RPA,06/11/2013,DTZ," £31,255.97 ",Northallerton - Facilities Management services -September 2013 ,B4 6AJ,,65392,N/A,ADMIN,
RPA,06/11/2013,DTZ," £47,558.59 ",Workington - Facilities Management services - September 2013 ,B4 6AJ,,65392,N/A,ADMIN,
RPA,06/11/2013,DTZ," £29,594.91 ",Reading - Facilities Management services for period - September 2013,B4 6AJ,,65392,N/A,ADMIN,
RPA,06/11/2013,DTZ," £25,300.97 ",Newcastle - Facilities Management services for period - September 2013 ,B4 6AJ,,65392,N/A,ADMIN,
RPA,11/11/2013,DTZ," £31,444.16 ",Carlisle - Facilities Management services for period - September 2013,B4 6AJ,,65392,N/A,ADMIN,
RPA,11/11/2013,DTZ," £32,613.10 ",Northallerton - Facilities Management services - October 2013 ,B4 6AJ,,63574,N/A,ADMIN,
RPA,11/11/2013,DTZ," £37,845.49 ",Workington - Facilities Management services - October 2013 ,B4 6AJ,,63574,N/A,ADMIN,
RPA,11/11/2013,DTZ," £42,360.19 ",Reading - Facilities Management services - October 2013,B4 6AJ,,65392,N/A,ADMIN,
RPA,14/11/2013,DTZ," £42,178.90 ",Reading Depreciation Charges - November 2013,B4 6AJ,,65392,N/A,ADMIN,
RPA,22/11/2013,DTZ," £39,606.98 ","Carlisle quarterly rates, electricity, gas and water expenditure - 01 July-30 September 2013",B4 6AJ,,65392,N/A,ADMIN,
RPA,22/11/2013,DTZ," £201,280.24 ","Northallerton quarterly rates, rent, electricity, gas and water expenditure - 01 July-30 September 2013",B4 6AJ,,65392,N/A,ADMIN,
RPA,22/11/2013,DTZ," £40,452.90 ","Workington quarterly rates, electricity and water expenditure - 01 July-30 September 2013",B4 6AJ,,65392,N/A,ADMIN,
RPA,22/11/2013,DTZ," £367,991.24 ","Reading quarterly rates, rent, electricity, gas and water expenditure - 01 July-30 September 2013",B4 6AJ,,65392,N/A,ADMIN,
RPA,22/11/2013,DTZ," £157,445.85 ","Newcastle quarterly rates, rent, service charge, electricity, gas and water expenditure - 01 July-30 September 2013",B4 6AJ,,65392,N/A,ADMIN,
