Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,  Spend  ,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001816043,80131,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001816043,8802036,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,AVON & SOMERSET POLICE & CRIME COMMISSIONER (G),1001816043,948158,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001816047,97709,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001816047,2045084,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001816047,4065294,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,CAMBRIDGESHIRE POLICE & CRIME COMMISSIONER (G),1001816047,401871,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001816048,2818219,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,CHAMBERLAIN OF LONDON (G),1001816048,1542389,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,CITY OF LONDON POLICE AUTHORITY (G),1001816051,236934,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,COLLEGE OF POLICING (G),1001816052,2000000,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001816053,71484,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001816053,2583239,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001816053,2407130,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,CUMBRIA POLICE & CRIME COMMISSIONER (G),1001816053,332662,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001816054,110876,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001816054,1452681,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001816054,3456009,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,DORSET POLICE & CRIME COMMISSIONERS (G),1001816054,500784,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001816055,62841305,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001816055,72202279,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001816055,14470789,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,GREATER LONDON AUTHORITY (G),1001816055,9972993,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001816060,94294,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001816060,2026548,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001816060,38294,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001816060,3618184,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,NORTHAMPTONSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (G),1001816060,421117,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001816061,111008,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001816061,4033218,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001816061,6531577,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,NOTTINGHAMSHIRE OFFICE OF THE POLICE & CRIME COMMISSIONER (THE) (G),1001816061,699508,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001816062,118991,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001816062,2411624,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001816062,4208900,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE FOR THE POLICE & CRIME COMMISSIONER OF NORFOLK (G),1001816062,656386,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001816063,60665,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001816063,3097981,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001816063,3579469,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE DURHAM POLICE & CRIME COMMISSIONER (G),1001816063,448512,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1001816064,183624,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1001816064,5581736,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1001816064,8907769,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE KENT POLICE & CRIME COMMISSIONER (G),1001816064,924509,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001816065,241664,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001816065,15201842,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001816065,18994235,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR GREATER MANCHESTER (G),1001816065,1796307,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001816066,99954,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001816066,3903038,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001816066,41699,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001816066,5635930,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR HUMBERSIDE (G),1001816066,695092,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001816067,112456,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001816067,3323017,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001816067,46755,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001816067,5476699,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR LEICESTERSHIRE (THE) (G),1001816067,585033,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1001816068,128132,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1001816068,9457566,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1001816068,10264152,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR MERSEYSIDE (G),1001816068,1175284,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001816069,132904,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001816069,3347206,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001816069,53547,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001816069,53914,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001816069,5572341,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR STAFFORDSHIRE (G),1001816069,701956,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001816070,85858,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001816070,1916526,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001816070,35893,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001816070,36152,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001816070,3413103,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR SUFFOLK (G),1001816070,407577,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR WARWICKSHIRE (G),1001816071,73050,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR WARWICKSHIRE (G),1001816071,1460421,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR WARWICKSHIRE (G),1001816071,30651,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR WARWICKSHIRE (G),1001816071,2601133,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE POLICE & CRIME COMMISSIONER FOR WARWICKSHIRE (G),1001816071,325811,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER (G),1001816072,185486,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER (G),1001816072,10837733,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER (G),1001816072,14375914,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,OFFICE OF THE WEST YORKSHIRE POLICE & CRIME COMMISSIONER (G),1001816072,1205590,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISIONER FOR THAMES VALLEY (G),1001816073,281035,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISIONER FOR THAMES VALLEY (G),1001816073,6192862,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISIONER FOR THAMES VALLEY (G),1001816073,11835974,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISIONER FOR THAMES VALLEY (G),1001816073,992159,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR CHESHIRE (G),1001816074,113452,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR CHESHIRE (G),1001816074,3752034,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR CHESHIRE (G),1001816074,48794,,,,,,,,
Home Office,Home Office,06/01/2016,Grant,CPG - Crime & Policing Group,POLICE & CRIME COMMISSIONER FOR CHESHIRE (G),1001816074,5152811,,,,,,,,
