Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Overhead Incidental Expenses,Chief Operating Officer DG,Shared Services Connected Ltd,100002154,127882.80 ,PO 377864 LICENSE FEE,HP2 7AH,,27761096,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Current Grants - Local Authorities,Environment and Rural DG Group,Dept For Communities & Local Gov,030216,833333.00 ,PO 377136 FY 15-16 LSSG GRANT PAYMENT FEB 16,HP2 4XN,,IGS,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Current Grants E,Environment and Rural DG Group,Dept For Communities & Local Gov,010216,73015.00 ,PO 382052 PERIOD OF GRANT CLAIM,PO30 2QS,,GIA,IOFWIGHT,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Gas,Chief Operating Officer DG,Corona Energy,10748178,36524.39 ,SITE 087  GAS 01/12/2015 TO 01/01/2016 A/C SITE 20404458/10,WD17 1JW,,,B0870000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Gas,Chief Operating Officer DG,Corona Energy,10772833,63805.93 ,SITE 087  GAS 01/12/2015 TO 01/01/2016 A/C SITE 20404458/1,WD17 1JW,,,B0870000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Civil service Pension Administration,Chief Operating Officer DG,JSS Pensions Administration,RCPS10642,45449.84 ,PO 370269 JAN 2016 PENSIONS HRI,SN2 1FF,,16500,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Current Grants E,Environment and Rural DG Group,Dept For Communities & Local Gov,030216,81423.33 ,PO 382053 INTERIM CLAIM FROM 1ST APRIL 2015 TO 31ST NOVEMBER 2015,TR21 0LW,,GIA,SCILLY01,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Other Current Payments E,Chief Operating Officer DG,M F Freeman Ltd,109717,88800.00 ,PO 381616 WORKS CARRIED OUT,GL17 9BH,SME,10561,B7300000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Other Current Payments E,"Strategy, International, Food and Farming DG Group",University Of Reading,111750,31637.08 ,PO 371105 RESEARCH PROJECT NUMBER H518500,RG6 6AH,,GC0146,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Other Current Payments (Evidence R&D),Environment and Rural DG Group,Fera Science Limited,6138006218,60369.00 ,PO 378725 COMPLETION OF THE DRAFT REPORT,YO41 1LZ,,PS2558,00000000,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Current Grants E,Environment and Rural DG Group,Dept For Communities & Local Gov,010216,191691.00 ,PO 382049 PERIOD OF GRANT CLAIM APR 2015 TO DEC 2015,BN7 1UE,SME,GIA,HIWEALD1,Expense,,,,,,,,,,,,,,,
DEFRA,DEFRA,08/02/2016,Current Grants E,Environment and Rural DG Group,Wiltshire Council,080116,134960.73 ,PO 382046 INTERIM CLAIM FROM APRIL 2015 TO DECEMBER 2015,BA14 8JJ,,GIA,CRANBRNE,Expense,,,,,,,,,,,,,,,
