DEPARTMENT,ENTITY,ACCOUNTING_DATE,EXPENSE_TYPE,EXPENSE_AREA,SUPPLIER,TRANSACTION_NUM, AMOUNT ,DESCRIPTION,POSTCODE,SUPPLIER_TYPE,CONTRACT_NUMBER,PROJECT_CODE,EXPENDITURE_TYPE,VAT_REGISTRATION_NUM,,
DEFRA,DEFRA ORGANISATION,26/10/2011,Gas,Green Economy and Corporate Services Group,Corona Energy,6405439," Ł51,852.94 ",Gas bill 01/03/11 - 31/03/11,WD17 1JW,,,B2810000,Expense,,,
DEFRA,DEFRA ORGANISATION,06/10/2011,Advisory Services,Green Economy and Corporate Services Group,Kpmg Llp,5500423996," Ł50,150.00 ",INTERSERVE ANNUAL RECONCILIATION AUDIT 10/11,E14 5GL,,14712,0,Expense,,,
DEFRA,DEFRA ORGANISATION,29/10/2011,Other Current Payments E,Green Economy and Corporate Services Group,SKM Enviros,JW02054," Ł31,969.36 ",Server hosting for WasteDataFlow for 2 years ,CB3 6DP,,13908,0,Expense,,,
DEFRA,DEFRA ORGANISATION,18/10/2011,Other Current Payments (Evidence R&D),Food and Farming Group,Sac Commercial Ltd,1.31011E+13," Ł168,107.35 ",Animal Health & Welfare R&D Project',EH9 3JG,SME,exempt,0,Expense,,,
DEFRA,DEFRA ORGANISATION,06/10/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,RIRP056046," Ł38,017.27 ",Environmental and Nutritional Benefits of Bioethanol Co-products (ENBBIO),WV6 8TQ,,Exempt,SFFS0006,Expense,,,
DEFRA,DEFRA ORGANISATION,18/10/2011,Other Current Payments (Evidence R&D),Food and Farming Group     ,A D A S UK Ltd,1.31011E+12," Ł28,205.00 ",VLA Set up a Viro Clean Tissue Culture Room,WV6 8TQ,,exempt,SFFS0005,Expense,,,
DEFRA,DEFRA ORGANISATION,18/10/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,1.31012E+12," Ł78,094.20 ",Understanding the behaviour of livestock manure multiple pollutants through contrasting cracking clay soils,WV6 8TQ,,,0,Expense,,,
DEFRA,DEFRA ORGANISATION,18/10/2011,Other Current Payments (Evidence R&D),Food and Farming Group,A D A S UK Ltd,1.31011E+12," Ł29,129.00 ",Case Studies - Mitigation Method Interaction,WV6 8TQ,,Exempt,SFFS0005,Expense,,,
DEFRA,DEFRA ORGANISATION,18/10/2011,Other Current Payments (Evidence R&D),Food and Farming Group    ,A D A S UK Ltd,1.31011E+12," Ł25,494.33 ",GHG Platform - Nitrous Oxide Emissions Factors,WV6 8TQ,,exempt,SFFS0005,Expense,,,
DEFRA,DEFRA ORGANISATION,10/10/2011,Evidence Non R&D,Food and Farming Group,Kynetec Ltd,8537," Ł102,736.80 ",British Survey of Fertiliser Practice 2011 to 2014,RG20 8JE,SME,14262,FCAG0003,Expense,,,
