Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier,Account Description
FCO,FCO,08/01/2014,4553440,37092.00,FCO SERVICES,Mail & Porterage Services
FCO,FCO,14/01/2014,4561878,37086.00,LAPIS LIMITED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/01/2014,4554650,37000.00,BAKER BOTTS,Legal Consultancy
FCO,FCO,24/01/2014,4552028,36992.00,CROWN AGENTS BANK,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07/01/2014,4554696,36792.52,STRATAGEM INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,30/01/2014,4580463,35978.00,POWER ELECTRICS BRISTOL LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,28/01/2014,4576423,35917.34,OSDR - ORGANIZATION FOR SUSTAINABLE DEVELOPMENT AND RESEARCH,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/01/2014,4565028,35799.11,N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,29/01/2014,4572485,35725.00,FCO SERVICES,UK - Air Travel
FCO,FCO,21/01/2014,4566890,35701.74,THE INSTITUTE FOR WAR AND PEACE REPORTING IWPR,Programme Spend (Oracle Projects Control Account)
FCO,FCO,24/01/2014,4573434,35634.27,HH INVESTMENT AND DEVELOPMENT LLC,Rental Payments - residential
FCO,FCO,23/01/2014,4572671,35431.59,OROSTREAM INTERNATIONAL CONTRACTS LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,14/01/2014,4561850,35143.50,RESPONDING TO CONFLICT,Programme Spend (Oracle Projects Control Account)
FCO,FCO,30/01/2014,4579300,35027.98,NORTEL SECURITY ZAO OP,Local Guards
FCO,FCO,17/01/2014,4566886,35000.00,THE VOYAGE BRITISH GERMAN CONNECTION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/01/2014,4576701,34602.81,CONTROL RISKS SERVICES WEST AFRICA LIMITED,Local Guards
FCO,FCO,28/01/2014,4576906,34477.79,IRATEC ENGINEERING LTD,Property Maintenance Overseas Non Residential
FCO,FCO,28/01/2014,4559412,34333.00,WORLDREACH SOFTWARE CORPORATION,Information Systems Maintenance
FCO,FCO,08/01/2014,4555833,34315.26,NATIONAL CENTER FOR CLIMATE CHANGE STRATEGY AND INTERNATIONAL COOPERATION,Programme Spend (Oracle Projects Control Account)
FCO,FCO,10/01/2014,4557248,33770.52,CFAO SENEGAL,Recharge Suspense Account (Oracle PA Control Account)
FCO,FCO,29/01/2014,4573787,33750.00,FCO SERVICES,IT/IS Consultancy
FCO,FCO,22/01/2014,4564442,33750.00,FCO SERVICES,Security: Works Non-Residential
FCO,FCO,28/01/2014,4578134,33693.26,DEVELOPMENT RESEARCH CENTER OF THE STATE COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,20/01/2014,4566233,33630.62,ISS FACILITY SERVICES LTD FCO OP,"FM Interserve BES Maintenance, FM Interserve Cleaning"
FCO,FCO,30/01/2014,4579651,33512.57,CHARKHA,Programme Spend (Oracle Projects Control Account)
FCO,FCO,17/01/2014,4566958,33500.00,THE KONIGSWINTER CONFERENCE,Inward visits to the UK and UK Conferences
FCO,FCO,14/01/2014,4560307,33348.04,CAISSE CANTONALE GENEVOISE DE COMPENSATION OCAS,Local Staff Pension Contributions
FCO,FCO,31/01/2014,4582694,33327.84,INTERNATIONAL FOUNDATION FOR ELECTORAL SYSTEMS(IFES),Programme Spend (Oracle Projects Control Account)
FCO,FCO,29/01/2014,4579206,33142.25,VOLUNTARY SERVICE OVERSEAS (VSO),Programme Spend (Oracle Projects Control Account)
FCO,FCO,15/01/2014,4553412,32843.06,FCO SERVICES,Estates - Other Machinery and Equipment
FCO,FCO,03/01/2014,4552228,32571.10,N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,24/01/2014,4574556,32562.93,ADILET LEGAL CLINIC PUBLIC FUND,Programme Spend (Oracle Projects Control Account)
FCO,FCO,16/01/2014,4565061,32471.40,PHOTOGRAPHIC SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/01/2014,4559100,32384.28,THE CITIZENS ARCHIVE OF PAKISTAN,Programme Spend (Oracle Projects Control Account)
FCO,FCO,22/01/2014,4570771,32100.00,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,22/01/2014,4571285,31945.00,GLOBE INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,22/01/2014,4569258,31726.76,HOTELLINE FOR TOURISTIC INVESTMENT LTD,Rental Payments - residential
FCO,FCO,10/01/2014,4553131,31717.00,POWER ELECTRICS BRISTOL LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,07/01/2014,4554613,31596.25,TORCHLIGHT SOLUTIONS LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,21/01/2014,4566143,31430.00,INTERSERVE FM LTD,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Grounds Maintenance, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Rematching / Reinstatement, Waste Disposal"
FCO,FCO,15/01/2014,4563957,31414.30,VFS BUSINESS INFORMATION CONSULTING (SHANGHAI) CO LTD,Commercial Partners (Visa)
FCO,FCO,15/01/2014,4560295,31143.66,FCO SERVICES,Office Support Services
FCO,FCO,09/01/2014,4552811,31081.33,UNHAS SOMALIA,Post - Air Travel
FCO,FCO,21/01/2014,4566150,30788.54,INTERSERVE FM LTD,"Building Mechanical and Engineering Services, Cleaning & Waste, Contract Fees, Estates Management Services, Grounds Maintenance, Mail & Porterage Services, Minor New Works <10K, Miscellaneous Expenditure: inc subscriptions and equipment maintenance, Office Support Services, Reception Services, Rematching / Reinstatement, Residential Property Services, Waste Disposal"
FCO,FCO,28/01/2014,4578082,30739.30,NAZIR AHMAD AFGHAN CONSTRUCTION COMPANY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06/01/2014,4553082,30645.81,N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,28/01/2014,4574304,30642.20,HEWLETT PACKARD LTD,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,28/01/2014,4578065,30586.37,BEIJING NORMAL UNIVERSITY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,28/01/2014,4578078,30254.52,NAZIR AHMAD AFGHAN CONSTRUCTION COMPANY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,22/01/2014,4566328,30219.75,FCO SERVICES,Programme Spend (Oracle Projects Control Account)
FCO,FCO,21/01/2014,4566967,30152.49,TRANSEQUIPOS SA,Assets Under Construction (Oracle PA Control Account)
FCO,FCO,06/01/2014,4553088,30119.66,N A MOVING SERVICES LTD,Heavy Baggage
FCO,FCO,10/01/2014,4556102,30036.00,ACRLI ARAB CENTRE FOR DEVELOPMENT OF RULE OF LAW AND INTEGRITY,Programme Spend (Oracle Projects Control Account)
FCO,FCO,27/01/2014,4569829,30000.00,Jukwaa la Katiba Tanzania,Programme Spend (Oracle Projects Control Account)
FCO,FCO,21/01/2014,4569548,29765.00,ICARUS INCORPORATED,Programme Spend (Oracle Projects Control Account)
FCO,FCO,13/01/2014,4553289,29654.04,DHAFIR DEVELOPMENT AND CONTRACTING LLC,Rental Payments - residential
