DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,HMCS,12-Nov-10,BZ999-London Region,222001-Maintenance,SYKES & SON LTD,1401282,"£26,363.97"
Ministry of Justice,HMCS,03-Nov-10,CZ999-South East Region,262000-SCA Costs,MODERN COURTS (EAST ANGLIA) LTD,1390256,"£472,155.95"
Ministry of Justice,HMCS,05-Nov-10,HZ999-North East and Yorkshire,262000-SCA Costs,MODERN COURTS (HUMBERSIDE) LTD,1392359,"£391,947.05"
Ministry of Justice,HMCS,10-Nov-10,HZ999-North East and Yorkshire,262000-SCA Costs,PALECASTLE LTD,1398833,"£104,520.26"
Ministry of Justice,HMCS,10-Nov-10,DZ999-South West Region,262000-SCA Costs,ENTERPRISE CIVIC BUILDINGS LIMITED,1397718,"£323,841.55"
Ministry of Justice,HMCS,10-Nov-10,DZ999-South West Region,262000-SCA Costs,SERVICES SUPPORT (AVON & SOMERSET) LTD,1398969,"£766,443.36"
Ministry of Justice,HMCS,19-Nov-10,IZ999-RCJ Group,262000-SCA Costs,IRON MOUNTAIN UK LTD,1408269,"£176,226.72"
Ministry of Justice,HMCS,24-Nov-10,GZ999-North West Region,262000-SCA Costs,UK COURT SERVICES LTD,1414144,"£534,352.67"
Ministry of Justice,HMCS,24-Nov-10,IZ999-RCJ Group,262000-SCA Costs,IRON MOUNTAIN UK LTD,1412875,"£185,827.33"
Ministry of Justice,HMCS,24-Nov-10,FZ999-Midlands Region,262000-SCA Costs,DERBYSHIRE COURTS LTD,1412667,"£477,712.61"
Ministry of Justice,HMCS,19-Nov-10,AB999-Court Improvement Directorate,223000-Other Expenditure,NATIONAL CENTRE FOR SOCIAL RESEARCH (NATCEN),1408387,"£55,192.00"
Ministry of Justice,HMCS,03-Nov-10,HZ999-North East and Yorkshire,223001-Printing Postage and Office expenditure,HM PRISON SERVICE,1390038,"£26,518.22"
Ministry of Justice,HMCS,19-Nov-10,HZ999-North East and Yorkshire,223001-Printing Postage and Office expenditure,XEROX (UK) LTD,1409174,"£40,624.24"
Ministry of Justice,HMCS,05-Nov-10,DZ999-South West Region,223001-Printing Postage and Office expenditure,ROYAL MAIL,1393149,"£47,582.06"
Ministry of Justice,HMCS,05-Nov-10,CZ999-South East Region,223001-Printing Postage and Office expenditure,ROYAL MAIL,1393149,"£28,088.75"
Ministry of Justice,HMCS,10-Nov-10,GZ999-North West Region,263000-Other Contracted Out Services,ARAMARK LTD,1397434,"£30,537.26"
Ministry of Justice,HMCS,12-Nov-10,DZ999-South West Region,263000-Other Contracted Out Services,COMPASS SERVICES UK & IRELAND LTD,242912,"£29,793.19"
Ministry of Justice,HMCS,12-Nov-10,CZ999-South East Region,263000-Other Contracted Out Services,EUREST SERVICES,1400845,"£32,706.92"
Ministry of Justice,HMCS,12-Nov-10,CZ999-South East Region,263000-Other Contracted Out Services,EUREST SERVICES,1400845,"£31,546.40"
Ministry of Justice,HMCS,17-Nov-10,FZ999-Midlands Region,263000-Other Contracted Out Services,AVENANCE,1405240,"£36,778.64"
Ministry of Justice,HMCS,24-Nov-10,BZ999-London Region,263000-Other Contracted Out Services,BAXTERSTOREY LTD,1412508,"£63,246.89"
Ministry of Justice,HMCS,17-Nov-10,AV332-CBMP Civil Bus Mod Programme,265000-IT & Telecommunications,LIBERATA UK LTD,1405798,"£110,248.17"
Ministry of Justice,HMCS,26-Nov-10,AV329-CP-Mag. Courts Operational Bus.sys,265000-IT & Telecommunications,HOME OFFICE IT,1415962,"£25,951.05"
Ministry of Justice,HMCS,05-Nov-10,BZ999-London Region,265000-IT & Telecommunications,BT TELECOMMUNICATIONS PLC,1392011,"£28,175.07"
Ministry of Justice,HMCS,10-Nov-10,IZ999-RCJ Group,265000-IT & Telecommunications,BT TELECOMMUNICATIONS PLC,1397529,"£49,614.85"
Ministry of Justice,HMCS,10-Nov-10,FZ999-Midlands Region,265000-IT & Telecommunications,BT TELECOMMUNICATIONS PLC,1397529,"£31,451.01"
Ministry of Justice,HMCS,12-Nov-10,BZ999-London Region,265000-IT & Telecommunications,INFORM COMMUNICATIONS PLC,1400969,"£28,391.40"
Ministry of Justice,HMCS,19-Nov-10,CZ999-South East Region,265000-IT & Telecommunications,BT TELECOMMUNICATIONS PLC,1408071,"£26,202.00"
Ministry of Justice,HMCS,03-Nov-10,CZ999-South East Region,265000-IT & Telecommunications,CABLE & WIRELESS,1389691,"£25,419.94"
Ministry of Justice,HMCS,26-Nov-10,FZ999-Midlands Region,265000-IT & Telecommunications,CABLE & WIRELESS,1415748,"£48,993.97"
Ministry of Justice,HMCS,26-Nov-10,FZ999-Midlands Region,265000-IT & Telecommunications,CABLE & WIRELESS,1415748,"£48,993.97"
Ministry of Justice,HMCS,03-Nov-10,HZ999-North East and Yorkshire,265000-IT & Telecommunications,LOGICA UK LTD,1390180,"£28,408.37"
Ministry of Justice,HMCS,03-Nov-10,HZ999-North East and Yorkshire,265000-IT & Telecommunications,LOGICA UK LTD,1390180,"£32,035.20"
Ministry of Justice,HMCS,05-Nov-10,AV322-CP Change Management SUPS,265000-IT & Telecommunications,LOGICA UK LTD,1392299,"£262,667.73"
Ministry of Justice,HMCS,05-Nov-10,AV322-CP Change Management SUPS,265000-IT & Telecommunications,LOGICA UK LTD,1392299,"£63,923.53"
Ministry of Justice,HMCS,05-Nov-10,AA499-HMCS Change Programme,265000-IT & Telecommunications,LOGICA UK LTD,1392299,"£132,259.18"
Ministry of Justice,HMCS,05-Nov-10,AV329-CP-Mag. Courts Operational Bus.sys,265000-IT & Telecommunications,LOGICA UK LTD,1392299,"£35,006.94"
Ministry of Justice,HMCS,12-Nov-10,AV322-CP Change Management SUPS,265000-IT & Telecommunications,LOGICA UK LTD,1401041,"£81,379.33"
Ministry of Justice,HMCS,12-Nov-10,AV322-CP Change Management SUPS,265000-IT & Telecommunications,LOGICA UK LTD,1401041,"£93,699.20"
Ministry of Justice,HMCS,26-Nov-10,AV329-CP-Mag. Courts Operational Bus.sys,265000-IT & Telecommunications,LOGICA UK LTD,1416030,"£29,995.40"
Ministry of Justice,HMCS,26-Nov-10,AV329-CP-Mag. Courts Operational Bus.sys,265000-IT & Telecommunications,LOGICA UK LTD,1416030,"£77,550.00"
Ministry of Justice,HMCS,26-Nov-10,AV329-CP-Mag. Courts Operational Bus.sys,265000-IT & Telecommunications,LOGICA UK LTD,1416030,"£35,006.94"
Ministry of Justice,HMCS,10-Nov-10,GZ999-North West Region,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1397445,"£37,352.08"
Ministry of Justice,HMCS,17-Nov-10,DZ999-South West Region,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1405233,"£34,258.30"
Ministry of Justice,HMCS,17-Nov-10,FZ999-Midlands Region,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1405233,"£73,392.85"
Ministry of Justice,HMCS,17-Nov-10,AB999-Court Improvement Directorate,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1405233,"£42,706.55"
Ministry of Justice,HMCS,24-Nov-10,AB999-Court Improvement Directorate,265000-IT & Telecommunications,LOGICA UK LTD,1412953,"£33,838.83"
Ministry of Justice,HMCS,10-Nov-10,IZ999-RCJ Group,223000-Other Expenditure,HMRC,1397854,"£206,527.72"
Ministry of Justice,HMCS,26-Nov-10,IZ999-RCJ Group,266000-Judicial Costs,GOVERNMENT CAR & DESPATCH AGENCY,1415914,"£25,055.44"
Ministry of Justice,HMCS,19-Nov-10,BZ999-London Region,226000-Court Costs,SELLERS LEGAL SERVICES LTD,1409039,"£48,441.22"
Ministry of Justice,HMCS,19-Nov-10,DZ999-South West Region,226000-Court Costs,MERRILL LEGAL SOLUTIONS,1408364,"£46,004.82"
Ministry of Justice,HMCS,24-Nov-10,BZ999-London Region,226000-Court Costs,MERRILL LEGAL SOLUTIONS,1412992,"£35,139.37"
Ministry of Justice,HMCS,24-Nov-10,BZ999-London Region,226000-Court Costs,MERRILL LEGAL SOLUTIONS,1412992,"£27,771.75"
Ministry of Justice,HMCS,12-Nov-10,GZ999-North West Region,226000-Court Costs,CATER WALSH REPORTING LTD,242911,"£74,295.57"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS MFG SOLICITORS LLP#B63 3EB,236730,"£26,733.95"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS STEEL & SHAMASH#DX 36503,1391700,"£26,395.78"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,226000-Court Costs,SAUNDERS LAW PARTNERSHIP#DX 37995,1391893,"£30,908.02"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS EDWARD HAYES#DX 30307,1391555,"£142,970.45"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS CARTWRIGHT ADAMS#W1S 4PS,236454,"£25,348.64"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS FINERS STEPHENS INNOCENT#DX 42739,1391559,"£73,683.08"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS KINGSLEY NAPLEY LLP#DX 22,236672,"£89,152.72"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS CUBISM LAW#WC2A 1PP,236491,"£44,798.05"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS BURROWS BUSSIN SOLICITORS#DX 14366,236445,"£49,425.20"
Ministry of Justice,HMCS,05-Nov-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS LUPTON FAWCETT LLP#DX 730000,236701,"£29,660.85"
