DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,HMCS,12-Nov-10,BZ999-London Region,532000-Tangible GBV - Additions,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1401096,"£83,689.61"
Ministry of Justice,HMCS,12-Nov-10,BZ999-London Region,532000-Tangible GBV - Additions,BRITSPACE MODULAR BUILDINGS LIMITED,1400707,"£751,352.23"
Ministry of Justice,HMCS,12-Nov-10,FZ999-Midlands Region,532000-Tangible GBV - Additions,JAMES M GREEN & CO LTD,1400980,"£75,200.00"
Ministry of Justice,HMCS,12-Nov-10,GZ999-North West Region,532000-Tangible GBV - Additions,MANCHESTER & CHESHIRE CONSTRUCTION CO LTD,1401057,"£166,070.66"
Ministry of Justice,HMCS,12-Nov-10,GZ999-North West Region,532000-Tangible GBV - Additions,CMB ENGINEERING,1400765,"£66,379.13"
Ministry of Justice,HMCS,12-Nov-10,GZ999-North West Region,532000-Tangible GBV - Additions,ISG REGIONS LTD,1400975,"£94,092.83"
Ministry of Justice,HMCS,12-Nov-10,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,STRATEGIC TEAM MAINTENANCE CO LTD,1401275,"£52,424.89"
Ministry of Justice,HMCS,12-Nov-10,EZ999-Wales Region,532000-Tangible GBV - Additions,KIER BUILDING SERVICES ENG,242932,"£29,053.56"
Ministry of Justice,HMCS,17-Nov-10,GZ999-North West Region,532000-Tangible GBV - Additions,CMB ENGINEERING,1405394,"£34,371.03"
Ministry of Justice,HMCS,19-Nov-10,FZ999-Midlands Region,532000-Tangible GBV - Additions,AXIS ELEVATORS LTD,1408015,"£31,448.64"
Ministry of Justice,HMCS,19-Nov-10,EZ999-Wales Region,532000-Tangible GBV - Additions,JCW (WALES) AIR CONDITIONING,1408281,"£35,250.00"
Ministry of Justice,HMCS,24-Nov-10,CZ999-South East Region,532000-Tangible GBV - Additions,PROCARE BUILDING SERVICES LTD,1413966,"£54,050.00"
Ministry of Justice,HMCS,24-Nov-10,EZ999-Wales Region,532000-Tangible GBV - Additions,R L DAVIES & SON LTD,1413975,"£63,017.28"
Ministry of Justice,HMCS,24-Nov-10,EZ999-Wales Region,532000-Tangible GBV - Additions,R L DAVIES & SON LTD,1413975,"£111,028.76"
Ministry of Justice,HMCS,24-Nov-10,GZ999-North West Region,532000-Tangible GBV - Additions,BAILEY MAINTENANCE LTD,1412495,"£32,747.44"
Ministry of Justice,HMCS,24-Nov-10,DZ999-South West Region,532000-Tangible GBV - Additions,CEI ELECTRICAL LTD,1412597,"£25,868.87"
Ministry of Justice,HMCS,26-Nov-10,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,DIMESTAGE (CONSTRUCTION COMPANY) LTD (DCC),1415821,"£56,919.44"
Ministry of Justice,HMCS,05-Nov-10,AV329-CP-Mag. Courts Operational Bus.sys,532000-Tangible GBV - Additions,LOGICA UK LTD,1392299,"£38,348.48"
Ministry of Justice,HMCS,12-Nov-10,AV322-CP Change Management SUPS,532000-Tangible GBV - Additions,LOGICA UK LTD,1401041,"£38,993.50"
Ministry of Justice,HMCS,26-Nov-10,AV329-CP-Mag. Courts Operational Bus.sys,532000-Tangible GBV - Additions,LOGICA UK LTD,1416030,"£146,209.29"
Ministry of Justice,HMCS,26-Nov-10,AV329-CP-Mag. Courts Operational Bus.sys,532000-Tangible GBV - Additions,LOGICA UK LTD,1416030,"£133,388.73"
Ministry of Justice,HMCS,26-Nov-10,AV329-CP-Mag. Courts Operational Bus.sys,532000-Tangible GBV - Additions,LOGICA UK LTD,1416030,"£38,348.48"
Ministry of Justice,HMCS,26-Nov-10,AV329-CP-Mag. Courts Operational Bus.sys,532000-Tangible GBV - Additions,LOGICA UK LTD,1416030,"£49,624.95"
Ministry of Justice,HMCS,26-Nov-10,AV329-CP-Mag. Courts Operational Bus.sys,532000-Tangible GBV - Additions,LOGICA UK LTD,1416030,"£59,341.13"
Ministry of Justice,HMCS,17-Nov-10,GZ999-North West Region,532000-Tangible GBV - Additions,ATOS ORIGIN IT SERVICES UK LTD,1405233,"£120,811.15"
Ministry of Justice,HMCS,05-Nov-10,AV322-CP Change Management SUPS,512000-Intangible GBV - Additions,LOGICA UK LTD,1392299,"£34,990.33"
Ministry of Justice,HMCS,05-Nov-10,AV322-CP Change Management SUPS,512000-Intangible GBV - Additions,LOGICA UK LTD,1392299,"£59,261.13"
Ministry of Justice,HMCS,10-Nov-10,AV322-CP Change Management SUPS,512000-Intangible GBV - Additions,LOGICA UK LTD,1397970,"£97,688.48"
Ministry of Justice,HMCS,24-Nov-10,AV322-CP Change Management SUPS,512000-Intangible GBV - Additions,LOGICA UK LTD,1412953,"£118,028.16"
Ministry of Justice,HMCS,10-Nov-10,GZ999-North West Region,610300-Debtors < 1 Year - Deposits & Advances,NEOPOST LTD,1398063,"£105,750.00"
Ministry of Justice,HMCS,12-Nov-10,GZ999-North West Region,610300-Debtors < 1 Year - Deposits & Advances,NEOPOST LTD,1401114,"£125,800.00"
Ministry of Justice,HMCS,19-Nov-10,GZ999-North West Region,610300-Debtors < 1 Year - Deposits & Advances,NEOPOST LTD,1408391,"£147,849.00"
Ministry of Justice,HMCS,05-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,HEREFORDSHIRE COUNCIL,1392208,"£76,434.94"
Ministry of Justice,HMCS,10-Nov-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,HMRC,1397854,"£25,967.60"
Ministry of Justice,HMCS,12-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,WOLVERHAMPTON CITY COUNCIL,1401357,"£95,100.31"
Ministry of Justice,HMCS,12-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,WOLVERHAMPTON CITY COUNCIL,1401357,"£95,100.31"
Ministry of Justice,HMCS,12-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,HMRC,1400945,"£50,143.01"
Ministry of Justice,HMCS,17-Nov-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LANCASHIRE POLICE AUTHORITY,1405781,"£101,969.04"
Ministry of Justice,HMCS,17-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,BNP PARIBAS REAL ESTATE,1405292,"£40,156.94"
Ministry of Justice,HMCS,17-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,HMRC,1405670,"£41,621.57"
Ministry of Justice,HMCS,23-Nov-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,WINCHESTER CITY COUNCIL,1410381,"£32,093.28"
Ministry of Justice,HMCS,23-Nov-10,IZ999-RCJ Group,610400-Debtors <1 year - Prepayments & Accrued Income,LEEDS CITY COUNCIL,1410236,"£39,951.00"
Ministry of Justice,HMCS,23-Nov-10,EZ999-Wales Region,610400-Debtors <1 year - Prepayments & Accrued Income,PEMBROKESHIRE COUNTY COUNCIL,1410299,"£140,540.21"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,CITY OF LINCOLN COUNCIL,1410157,"£177,204.91"
Ministry of Justice,HMCS,23-Nov-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,HALTON BOROUGH COUNCIL,1410215,"£32,438.34"
Ministry of Justice,HMCS,23-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,NORTH LINCOLNSHIRE COUNCIL,1410288,"£64,832.47"
Ministry of Justice,HMCS,23-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,WEST BERKSHIRE DISTRICT COUNCIL,1410372,"£90,501.35"
Ministry of Justice,HMCS,23-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,HARROGATE BOROUGH COUNCIL,1410219,"£42,320.11"
Ministry of Justice,HMCS,23-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,NORTH LINCOLNSHIRE COUNCIL,1410288,"£79,769.63"
Ministry of Justice,HMCS,23-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,HULL CITY COUNCIL,1410226,"£28,773.00"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,CROYDON COUNCIL,1410175,"£65,534.00"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,CROYDON COUNCIL,1410175,"£35,788.39"
Ministry of Justice,HMCS,23-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,CANTERBURY CITY COUNCIL,1410142,"£36,787.48"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,NORTHAMPTON BOROUGH COUNCIL,1410293,"£35,190.00"
Ministry of Justice,HMCS,23-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,READING BOROUGH COUNCIL,1410306,"£43,982.20"
Ministry of Justice,HMCS,23-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,LEEDS CITY COUNCIL,1410236,"£46,368.00"
Ministry of Justice,HMCS,23-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,LEEDS CITY COUNCIL,1410236,"£60,030.00"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,BIRMINGHAM CITY COUNCIL,1410116,"£27,372.26"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,BIRMINGHAM CITY COUNCIL,1410116,"£128,977.16"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,BIRMINGHAM CITY COUNCIL,1410116,"£42,941.31"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,WOLVERHAMPTON CITY COUNCIL,1410383,"£35,067.92"
Ministry of Justice,HMCS,23-Nov-10,IZ999-RCJ Group,610400-Debtors <1 year - Prepayments & Accrued Income,CITY OF WESTMINSTER,1410160,"£295,306.71"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,CITY OF WESTMINSTER,1410160,"£43,556.42"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,CITY OF WESTMINSTER,1410160,"£28,918.46"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,CITY OF WESTMINSTER,1410160,"£44,268.00"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,CITY OF WESTMINSTER,1410160,"£28,825.58"
Ministry of Justice,HMCS,23-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,BASILDON DISTRICT COUNCIL,1410111,"£31,878.00"
Ministry of Justice,HMCS,23-Nov-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,BOURNEMOUTH BOROUGH COUNCIL,1410128,"£36,639.00"
Ministry of Justice,HMCS,23-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,BRADFORD METROPOLITAN COUNCIL,1410130,"£50,922.00"
Ministry of Justice,HMCS,23-Nov-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,BRISTOL CITY COUNCIL,1410135,"£66,240.00"
Ministry of Justice,HMCS,23-Nov-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,BRISTOL CITY COUNCIL,1410135,"£45,540.00"
Ministry of Justice,HMCS,23-Nov-10,EZ999-Wales Region,610400-Debtors <1 year - Prepayments & Accrued Income,CARDIFF COUNTY COUNCIL,1410143,"£33,333.50"
Ministry of Justice,HMCS,23-Nov-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,EXETER CITY COUNCIL,1410205,"£41,193.00"
Ministry of Justice,HMCS,23-Nov-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LIVERPOOL CITY COUNCIL,1410239,"£66,654.00"
Ministry of Justice,HMCS,23-Nov-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,LIVERPOOL CITY COUNCIL,1410239,"£130,978.18"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF ISLINGTON,1410254,"£47,306.00"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF SOUTHWARK,1410260,"£42,098.00"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF SOUTHWARK,1410260,"£109,142.32"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF SOUTHWARK,1410260,"£81,938.46"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF SOUTHWARK,1410260,"£50,578.68"
Ministry of Justice,HMCS,23-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,MAIDSTONE BOROUGH COUNCIL,1410265,"£57,487.22"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,DERBY CITY COUNCIL,1410181,"£26,082.00"
Ministry of Justice,HMCS,23-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,CHELMSFORD BOROUGH COUNCIL,1410148,"£30,076.72"
Ministry of Justice,HMCS,23-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,CHELMSFORD BOROUGH COUNCIL,1410148,"£25,541.46"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,CITY OF STOKE ON TRENT,1410159,"£31,709.03"
Ministry of Justice,HMCS,23-Nov-10,IZ999-RCJ Group,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF CAMDEN,1410245,"£131,896.33"
Ministry of Justice,HMCS,23-Nov-10,IZ999-RCJ Group,610400-Debtors <1 year - Prepayments & Accrued Income,CITY OF LONDON,1410158,"£32,631.00"
Ministry of Justice,HMCS,23-Nov-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,WINCHESTER CITY COUNCIL,1410381,"£39,537.00"
Ministry of Justice,HMCS,23-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,MIDDLESBROUGH COUNCIL,1410274,"£58,374.00"
Ministry of Justice,HMCS,23-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,MIDDLESBROUGH COUNCIL,1410274,"£27,338.02"
Ministry of Justice,HMCS,23-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,NEWCASTLE UPON TYNE CITY COUNCIL,1410282,"£61,272.00"
Ministry of Justice,HMCS,23-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,NORWICH CITY COUNCIL,1410295,"£27,324.00"
Ministry of Justice,HMCS,23-Nov-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,PORTSMOUTH CITY COUNCIL,1410302,"£40,487.58"
Ministry of Justice,HMCS,23-Nov-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,PRESTON CITY COUNCIL,1410304,"£50,821.70"
Ministry of Justice,HMCS,23-Nov-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,SOUTHAMPTON CITY COUNCIL,1410340,"£32,292.00"
Ministry of Justice,HMCS,23-Nov-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,SOUTHAMPTON CITY COUNCIL,1410340,"£36,035.82"
Ministry of Justice,HMCS,23-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,ST ALBANS CITY & DISTRICT COUNCIL,1410343,"£31,050.00"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,STAFFORD BOROUGH COUNCIL,1410345,"£25,826.68"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,COVENTRY CITY COUNCIL,1410172,"£27,118.04"
Ministry of Justice,HMCS,23-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,SHEFFIELD CITY COUNCIL,1410325,"£69,552.00"
Ministry of Justice,HMCS,23-Nov-10,HZ999-North East and Yorkshire,610400-Debtors <1 year - Prepayments & Accrued Income,SHEFFIELD CITY COUNCIL,1410325,"£37,467.00"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF BRENT,1410243,"£37,243.10"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF HARROW,1410250,"£47,107.58"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF HAMMERSMITH & FULHAM,1410248,"£43,147.20"
Ministry of Justice,HMCS,23-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,LUTON BOROUGH COUNCIL,1410264,"£31,277.58"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF BROMLEY,1410244,"£32,333.00"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,ROYAL BOROUGH OF KINGSTON UPON THAMES,1410314,"£87,556.86"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF HARINGEY,1410249,"£51,646.00"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF HOUNSLOW,1410253,"£60,799.30"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF GREENWICH,1410247,"£63,780.52"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF NEWHAM,1410257,"£30,380.00"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF REDBRIDGE,1410258,"£43,379.98"
Ministry of Justice,HMCS,23-Nov-10,BZ999-London Region,610400-Debtors <1 year - Prepayments & Accrued Income,LONDON BOROUGH OF TOWER HAMLETS,1410262,"£40,820.00"
Ministry of Justice,HMCS,23-Nov-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,MANCHESTER CITY COUNCIL,1410266,"£50,094.00"
Ministry of Justice,HMCS,23-Nov-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,MANCHESTER CITY COUNCIL,1410266,"£49,266.00"
Ministry of Justice,HMCS,23-Nov-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,MANCHESTER CITY COUNCIL,1410266,"£198,420.48"
Ministry of Justice,HMCS,23-Nov-10,CZ999-South East Region,610400-Debtors <1 year - Prepayments & Accrued Income,OXFORD CITY COUNCIL,1410298,"£27,354.76"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,NOTTINGHAM CITY COUNCIL,249486,"£33,327.00"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,NOTTINGHAM CITY COUNCIL,249486,"£64,170.00"
Ministry of Justice,HMCS,23-Nov-10,FZ999-Midlands Region,610400-Debtors <1 year - Prepayments & Accrued Income,LEICESTER CITY COUNCIL,1410237,"£29,601.00"
Ministry of Justice,HMCS,30-Nov-10,WW000-Balance Sheet,611000-Debtors <1 year - Other Debtors,ABERDEEN PROPERTY INVESTORS,1418069,"£74,575.02"
Ministry of Justice,HMCS,19-Nov-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1014,"£3,738,380.93"
Ministry of Justice,HMCS,19-Nov-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1021,"£845,038.43"
Ministry of Justice,HMCS,19-Nov-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1018,"£2,970,213.53"
Ministry of Justice,HMCS,19-Nov-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1020,"£539,689.62"
Ministry of Justice,HMCS,19-Nov-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1019,"£2,526,655.52"
Ministry of Justice,HMCS,19-Nov-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1015,"£2,688,943.63"
Ministry of Justice,HMCS,10-Nov-10,IZ999-RCJ Group,710800-Creditor <1 yr - Third Party Monies,THE OFFICIAL RECEIVER,239157,"£104,430.00"
Ministry of Justice,HMCS,10-Nov-10,IZ999-RCJ Group,710800-Creditor <1 yr - Third Party Monies,THE OFFICIAL RECEIVER,239158,"£92,660.00"
Ministry of Justice,HMCS,04-Nov-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,236123,"£28,517.57"
Ministry of Justice,HMCS,04-Nov-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,235428,"£30,266.17"
Ministry of Justice,HMCS,04-Nov-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,234422,"£41,248.62"
Ministry of Justice,HMCS,11-Nov-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,241880,"£26,330.03"
Ministry of Justice,HMCS,11-Nov-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,240711,"£41,608.60"
Ministry of Justice,HMCS,11-Nov-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,242614,"£30,634.45"
Ministry of Justice,HMCS,18-Nov-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,247283,"£28,008.80"
Ministry of Justice,HMCS,18-Nov-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,245598,"£42,189.72"
Ministry of Justice,HMCS,25-Nov-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,251779,"£49,069.28"
Ministry of Justice,HMCS,25-Nov-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,253598,"£27,279.38"
Ministry of Justice,HMCS,25-Nov-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,252924,"£33,869.92"
Ministry of Justice,HMCS,25-Nov-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,253712,"£32,961.01"
Ministry of Justice,HMCS,02-Nov-10,IZ999-RCJ Group,311200-Criminal Legal Aid,CARTWRIGHT KING#IE41310605,232469,"£33,746.31"
Ministry of Justice,HMCS,11-Nov-10,AR999-HMCS Central Budgets,710700-Payable to Other Government Departments,HOME OFFICE GENERAL CASH ACCOUNT#AR10110241,1013,"£23,564,908.29"
Ministry of Justice,MoJ HQ,04-Nov-10,ZZ900-MoJ HQ,212001-Agency staff,PARITY RESOURCES LTD,1033197,"£26,486.11"
Ministry of Justice,MoJ HQ,08-Nov-10,ZZ900-MoJ HQ,212001-Agency staff,CONCERTO CONSULTING,1033310,"£52,155.31"
Ministry of Justice,MoJ HQ,11-Nov-10,ZZ900-MoJ HQ,212001-Agency staff,VEREDUS INTERIM MANAGEMENT,1033739,"£25,227.25"
Ministry of Justice,MoJ HQ,11-Nov-10,ZZ900-MoJ HQ,212001-Agency staff,CONCERTO CONSULTING,1033568,"£51,814.56"
Ministry of Justice,MoJ HQ,11-Nov-10,ZZ900-MoJ HQ,212001-Agency staff,ACTICA CONSULTING LTD,1033518,"£25,908.75"
Ministry of Justice,MoJ HQ,15-Nov-10,ZZ900-MoJ HQ,212001-Agency staff,CAPGEMINI UK PLC,1033798,"£26,437.50"
Ministry of Justice,MoJ HQ,29-Nov-10,ZZ900-MoJ HQ,212001-Agency staff,CENTRAL OFFICE OF INFORMATION (COI),1035061,"£37,664.43"
Ministry of Justice,MoJ HQ,01-Nov-10,ZZ900-MoJ HQ,221000-Property Rent and Rates,HMRC,1032866,"£35,570.06"
Ministry of Justice,MoJ HQ,08-Nov-10,ZZ900-MoJ HQ,221000-Property Rent and Rates,GVA GRIMLEY LLP,1033344,"£28,223.21"
Ministry of Justice,MoJ HQ,22-Nov-10,ZZ900-MoJ HQ,221000-Property Rent and Rates,HMRC,1034499,"£35,570.06"
Ministry of Justice,MoJ HQ,22-Nov-10,ZZ900-MoJ HQ,221000-Property Rent and Rates,BNP PARIBAS REAL ESTATE,1034426,"£60,189.38"
Ministry of Justice,MoJ HQ,04-Nov-10,ZZ900-MoJ HQ,223000-Other Expenditure,ARVAL UK LTD,1033046,"£39,353.78"
Ministry of Justice,MoJ HQ,04-Nov-10,ZZ900-MoJ HQ,223000-Other Expenditure,ARVAL UK LTD,1033045,"£27,894.26"
Ministry of Justice,MoJ HQ,25-Nov-10,ZZ900-MoJ HQ,223000-Other Expenditure,RSA,1034975,"£580,744.50"
Ministry of Justice,MoJ HQ,18-Nov-10,ZZ900-MoJ HQ,261000-Fuel and Utilities,EDF ENERGY LTD,1034153,"£53,943.21"
Ministry of Justice,MoJ HQ,22-Nov-10,ZZ900-MoJ HQ,222002-Other Property Costs,CARLISLE SECURITY SERVICES LTD,1034438,"£30,057.90"
Ministry of Justice,MoJ HQ,22-Nov-10,ZZ900-MoJ HQ,222002-Other Property Costs,CARLISLE SECURITY SERVICES LTD,1034438,"£30,308.53"
Ministry of Justice,MoJ HQ,22-Nov-10,ZZ900-MoJ HQ,222002-Other Property Costs,CARLISLE SECURITY SERVICES LTD,1034438,"£40,598.18"
Ministry of Justice,MoJ HQ,22-Nov-10,ZZ900-MoJ HQ,222002-Other Property Costs,CARLISLE SECURITY SERVICES LTD,1034438,"£121,742.34"
Ministry of Justice,MoJ HQ,25-Nov-10,ZZ900-MoJ HQ,222002-Other Property Costs,CARLISLE SECURITY SERVICES LTD,1034790,"£58,750.00"
Ministry of Justice,MoJ HQ,25-Nov-10,ZZ900-MoJ HQ,222002-Other Property Costs,CARLISLE SECURITY SERVICES LTD,1034790,"£58,750.00"
Ministry of Justice,MoJ HQ,11-Nov-10,ZZ900-MoJ HQ,222002-Other Property Costs,LANCASTER OFFICE CLEANING CO LTD,1033633,"£111,862.22"
