Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,,
Cabinet Office,CABINET OFFICE,16/11/2015,PENSIONS ADMINISTRATION - ADDITIONAL COSTS (MyCSP),SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000066273,520980.00,MyCSP Programme Costs,,
Cabinet Office,CABINET OFFICE,16/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,CABINET OFFICE DIGITAL AND TECHNOLOGY TEAM,PARITY SOLUTIONS LTD,3000066287,34855.52,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,16/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,COMMON TECHNOLOGY SERVICES,METHODS CONSULTING LTD,3000066285,27060.00,Services to GDS to support Common Technology Services,,
Cabinet Office,CABINET OFFICE,17/11/2015,RESOURCE GRANTS PRIVATE SECTOR,ISA 2 Prog,CYBER SECURITY CHALLENGE UK LTD,3000066333,100000.00,Grant for Cyber Skills Agency,,
Cabinet Office,CABINET OFFICE,17/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,COMMON TECHNOLOGY SERVICES,CAPITA BUSINESS SERVICES LTD,3000066327,25972.79,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,17/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS ID ASSURANCE,CAPITA BUSINESS SERVICES LTD,3000066327,26616.04,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,17/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS Enabling Strategy,CAPITA BUSINESS SERVICES LTD,3000066327,26848.17,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,17/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS DELIVERY OPERATIONS OTHER,CAPITA BUSINESS SERVICES LTD,3000066327,31674.86,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,17/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,CAPITA BUSINESS SERVICES LTD,3000066327,37913.95,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,17/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA BUSINESS SERVICES LTD,3000066327,44324.40,Interim IT specialists,,
Cabinet Office,CABINET OFFICE,17/11/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS PUBLISHING PLATFORM TECHNOLOGY,CAPITA BUSINESS SERVICES LTD,3000066327,53460.62,Interim IT specialists,,
Cabinet Office,Crown Commercial Service,17/11/2015,IT Systems Support & Training,Technology Governance,BravoSolution UK Ltd,PINP2P 1689,41650.00,Service Charges for Spend Analytics October 2015,,
Cabinet Office,CABINET OFFICE,17/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,PLATFORMS AND STANDARDS,EQUAL EXPERTS UK LTD,3000066323,34650.00,Services to GDS to support Platforms and Standards team,,
Cabinet Office,CABINET OFFICE,18/11/2015,FM CONTRACT VARIABLE,REFURBISHMENT NO 10,BOUYGUES E&S FM UK LTD,3000066393,57268.89,Estate Services,,
Cabinet Office,CABINET OFFICE,18/11/2015,ADDITIONSAUC F/H NON RES BLDGS,MODERNISATION PROGRAMME DS 13/14,BOUYGUES E&S FM UK LTD,3000066393,87503.58,Estate Services,,
Cabinet Office,CABINET OFFICE,18/11/2015,FM CONTRACT FIXED COSTS,TOTAL FM CONTRACT,BOUYGUES E&S FM UK LTD,3000066393,568379.62,Facilities Management Services,,
Cabinet Office,CABINET OFFICE,18/11/2015,IS/IT COSTS - NON RECOVERABLE VAT,GDS ID ASSURANCE,DIGIDENTITY BV,2000740,29714.08,Identity Assurance Programme,,
Cabinet Office,Crown Commercial Service,18/11/2015,McKinsey Consultancy,CDD,Mckinsey&co,PINORD 2400,359081.00,Commercial Accelerator Programme Initiatives,,
Cabinet Office,CABINET OFFICE,19/11/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE), CSCG ANALYSIS AND INSIGHT,TNS UK LTD,3000066436,132348.00,Community Life Survey costs,,
