Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend
Home Office,Home Office,27/03/2013,Educational Equipment & Materials,CSL - Civil Service Learning ,CAPITA BUSINESS SERVICES LTD,1001392707,"-£38,400.00"
Home Office,Home Office,27/03/2013,Educational Equipment & Materials,CSL - Civil Service Learning ,CAPITA BUSINESS SERVICES LTD,1001392707,"£42,800.00"
Home Office,Home Office,27/03/2013,Educational Equipment & Materials,CSL - Civil Service Learning ,CAPITA BUSINESS SERVICES LTD,1001392707,"£38,400.00"
Home Office,Home Office,27/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,CAPITA BUSINESS SERVICES LTD,1001392707,"£36,000.00"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£13,001.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£12,595.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£12,595.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£12,501.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£12,595.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£16,353.16"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£16,471.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£12,551.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£16,353.16"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£16,353.16"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£14,151.56"
Home Office,Home Office,28/03/2013,IT & Telecoms Components.Computer Equipment,CSL - Civil Service Learning ,BYG SYSTEMS LTD,1001394265,"£10,831.56"
