Department,Entity,Date,Expense Type,Expense Area,Supplier,Post Code,Transaction No,Payment Description, Total 
Ministry of Defence,Ministry of Defence,17/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,261766,Equipment support project costs,"16,468.72"
Ministry of Defence,Ministry of Defence,31/10/2013,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,267822,Cost of other material consumed,"16,433.01"
Ministry of Defence,Ministry of Defence,08/10/2013,"Transportation of personnel, freight and travel expenses",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,Army leave travel long term detached duty including warrants and get you home scheme,"16,406.29"
Ministry of Defence,Ministry of Defence,28/10/2013,Administration,Head Office & Corporate Services,HOGG ROBINSON (TRAVEL) LIMITED,GU14 7NJ,265939,General administration,"16,370.74"
Ministry of Defence,Ministry of Defence,10/10/2013,"Adminstration, claims, compensation and awards",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,Cost of claims/compensation and related expenses against MOD,"16,370.37"
Ministry of Defence,Ministry of Defence,14/10/2013,"Purchase of munitions, other inventory or fuel",Land Forces,CYMA PETROLEUM (UK) LIMITED,EN5 5TD,260165,Raw materials and consumable aviation fuel inventory purchased,"16,320.67"
Ministry of Defence,Ministry of Defence,29/10/2013,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,266466,Freight movement costs,"16,308.05"
Ministry of Defence,Ministry of Defence,04/10/2013,"Transportation of personnel, freight and travel expenses",Defence Equipment & Support,ROYAL MAIL GROUP LIMITED,S49 1HQ,257446,Freight movement costs,"16,266.72"
Ministry of Defence,Ministry of Defence,16/10/2013,Estate management,Defence Infrastructure Organisation ,ASPIRE DEFENCE LIMITED,SP9 7QD,261034,Works - estate management,"16,214.48"
Ministry of Defence,Ministry of Defence,09/10/2013,"Adminstration, claims, compensation and awards",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,Cost of claims/compensation and related expenses against MOD,"16,137.36"
Ministry of Defence,Ministry of Defence,09/10/2013,"Adminstration, claims, compensation and awards",Head Office & Corporate Services,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,2.00E+11,Cost of claims/compensation and related expenses against MOD,"16,124.44"
Ministry of Defence,Ministry of Defence,01/10/2013,Building maintenance and accommodation stores,Defence Equipment & Support,TRIUMPH FURNITURE LIMITED,CF48 1YH,256039,Building maintenance accommodation inventory,"16,124.10"
Ministry of Defence,Ministry of Defence,22/10/2013,Purchase of inventory and services ,Defence Equipment & Support,XMA LTD,NG11 7EP,263952,Cost of other material consumed,"16,120.36"
Ministry of Defence,Ministry of Defence,07/10/2013,Fuel for military use,Land Forces,HENTY OIL LTD,SW1E 5BH,257776,Cost of ground diesel fuel consumed,"16,080.48"
Ministry of Defence,Ministry of Defence,03/10/2013,Food and clothing,Defence Infrastructure Organisation ,ELIOR UK PLC,SK11 6ET,256718,Cost of clothing and textile services received,"16,078.20"
Ministry of Defence,Ministry of Defence,29/10/2013,Spend on Inventory - General,Land Forces,FORBO FLOORING UK LIMITED,DE5 3NT,266515,Spend on Inventory - General,"16,068.00"
Ministry of Defence,Ministry of Defence,17/10/2013,Food and clothing,Defence Infrastructure Organisation ,ELIOR UK PLC,SK11 6ET,261807,Cost of clothing and textile services received,"16,065.87"
Ministry of Defence,Ministry of Defence,04/10/2013,Medical treatment & stores and welfare services,Joint Forces Command,CASTLEROCK RECRUITMENT GROUP LIMITED,WA9 1UA,257200,Medical health services,"16,035.99"
Ministry of Defence,Ministry of Defence,01/10/2013,Purchase of inventory and services ,Defence Equipment & Support,AAH PHARMACEUTICALS LTD,CV2 2TX,255698,Consumption of medical dental and veterinary inventory,"16,003.27"
Ministry of Defence,Ministry of Defence,08/10/2013,Service and civilian recruitment,Air Command,M-INTEGRATED SOLUTIONS PLC,TW8 9LY,258268,Service recruitment excluding recruitment related external assistance,"15,980.40"
Ministry of Defence,Ministry of Defence,17/10/2013,Food and clothing,Defence Infrastructure Organisation ,COMPASS CONTRACT SERVICES (U K)LIMITED,B45 9PZ,261749,Cost of clothing and textile services received,"15,964.64"
Ministry of Defence,Ministry of Defence,21/10/2013,Purchase of inventory and services ,Land Forces,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,262976,Cost of other material consumed,"15,912.91"
Ministry of Defence,Ministry of Defence,16/10/2013,Fees for professional services,Land Forces,THE DISCLOSURE AND BARRING SERVICE,L69 3JA,261580,Fees for professional services excluding legal fees,"15,910.00"
Ministry of Defence,Ministry of Defence,10/10/2013,Estate management,Defence Infrastructure Organisation ,SECURITY SERVICES GROUP,SN6 8LA,2.00E+11,Works - estate management,"15,881.90"
Ministry of Defence,Ministry of Defence,18/10/2013,Purchase of general transport equipment,Defence Equipment & Support,TERBERG DTS (UK) LIMITED,HX5 9DA,262825,Transport other asset - in year capital addition,"15,878.44"
Ministry of Defence,Ministry of Defence,11/10/2013,Food and clothing,Defence Equipment & Support,SODEXO LTD,M50 0AL,259919,Cost of food services,"15,729.77"
Ministry of Defence,Ministry of Defence,28/10/2013,Purchase of inventory and services ,Navy Command,XMA LTD,NG11 7EP,266335,Cost of other material consumed,"15,729.59"
Ministry of Defence,Ministry of Defence,07/10/2013,Fees for professional services,Defence Equipment & Support,ENGAGE TECHNICAL SOLUTIONS LTD,SN15 3HU,257734,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"15,691.20"
Ministry of Defence,Ministry of Defence,04/10/2013,Design services and minor equipment purchases,Defence Equipment & Support,QINETIQ LIMITED,GU14 0LX,257427,Equipment support non-project costs,"15,619.20"
Ministry of Defence,Ministry of Defence,25/10/2013,IT and communication services,Land Forces,ASPIRE DEFENCE LIMITED,SP9 7QD,265133,Information technology services,"15,523.54"
Ministry of Defence,Ministry of Defence,28/10/2013,Medical treatment & stores and welfare services,Head Office & Corporate Services,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,265862,Schools + community relations initiatives,"15,430.47"
