Department,Entity,Payment date,Transaction Number,Invoice Amount,Supplier ,Account Description,,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4755358,118164.80,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges,,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4757744,117372.60,HEALIX INTERNATIONAL LTD,Fco Healthcare Scheme,,,,,,,,,,,,,,,,,,,,
FCO,FCO,15/07/2014,4758460,116979.00,KURIHARA (THAILAND) CO. LTD.,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,08/07/2014,4752021,113712.00,CAPITA PROPERTY AND INFRASTRUCTURE LTD,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4764023,112654.00,FCO SERVICES,Information Systems Maintenance,,,,,,,,,,,,,,,,,,,,
FCO,FCO,29/07/2014,4772198,112030.00,COMMISSION FOR JUSTICE AND ACCOUNTABILITY,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,09/07/2014,4748097,111900.00,FCO SERVICES,Misc Security Payments,,,,,,,,,,,,,,,,,,,,
FCO,FCO,22/07/2014,4763855,111739.00,INTERNATIONAL REPUBLICAN INSTITUTE,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,23/07/2014,4763978,111490.00,FCO SERVICES,Misc Security Payments,,,,,,,,,,,,,,,,,,,,
FCO,FCO,15/07/2014,4752570,108308.10,ARK FZC,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,11/07/2014,4755421,106965.60,BBC MEDIA ACTION,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,25/07/2014,4771099,105913.90,ABROTEA BULGARIA AD,Rental Payments - non residential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,29/07/2014,4765073,104015.40,ALBANY ASSOCIATES,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,25/07/2014,4765915,101991.10,MSECURE LIMITED,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4762686,99664.49,EXCEL LONDON,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,10/07/2014,4747106,99236.06,TURNER AND TOWNSEND PROPERTY SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,29/07/2014,4772088,98967.00,ORGANISATION FOR ECONOMIC CO OPERATION AND DEVELOPMENT OECD,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4760353,97042.36,LANGUAGE SERVICES DIRECT,Language Tuition: Essential,,,,,,,,,,,,,,,,,,,,
FCO,FCO,21/07/2014,4764165,93616.22,G4S SECURE SOLUTIONS (UK),Manned Guarding Services,,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4750795,91054.00,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4750801,91054.00,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,24/07/2014,4765000,91054.00,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,18/07/2014,4762926,88392.00,NATIONAL DEMOCRATIC INSTITUTE,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,08/07/2014,4750774,85000.00,THE BRITISH RUSSIAN CENTRE AND THE BRITISH EAST WEST CENTER,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,16/07/2014,4754924,82311.05,FCO SERVICES,Assets Under Construction (Oracle PA Control Account),,,,,,,,,,,,,,,,,,,,
FCO,FCO,14/07/2014,4756423,80365.48,THE CITIZENS ARCHIVE OF PAKISTAN,Programme Spend (Oracle Projects Control Account),,,,,,,,,,,,,,,,,,,,
