Department Family,Entity,Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Spend,
Home Office,UKBA - UK Border Agency,13/03/2012,"Messenger, Portering and Reception Services",UKBA - UK Border Agency,NPIA (National Policing Improvement Agency),1001227930,"368,720.40",
Home Office,UKBA - UK Border Agency,07/03/2012,"Public Order, Security, Safety.Security Guard Services - PROG",UKBA - UK Border Agency,OCS GROUP UK LTD,1001225668,"146,358.69",
Home Office,UKBA - UK Border Agency,19/03/2012,"Public Order, Security, Safety.Security Guard Services - PROG",UKBA - UK Border Agency,OCS GROUP UK LTD,1001230867,"152,529.57",
Home Office,UKBA - UK Border Agency,16/03/2012,Grants,UKBA - UK Border Agency,OISC (G),1001230649,"323,120.00",
Home Office,UKBA - UK Border Agency,16/03/2012,IT & Telecoms Components.Computer Equip (FA),UKBA - UK Border Agency,ORACLE CORPORATION UK LIMITED,1001230261,"8,692,753.25",
Home Office,UKBA - UK Border Agency,16/03/2012,"Science, Technical & Research.Computer services - PROG",UKBA - UK Border Agency,ORACLE CORPORATION UK LIMITED,1001230261,"3,771,234.83",
Home Office,UKBA - UK Border Agency,28/03/2012,IT & Telecoms Components.Computer Equip (FA),UKBA - UK Border Agency,ORACLE CORPORATION UK LIMITED,6200024098,"-56,164.73",
Home Office,UKBA - UK Border Agency,20/03/2012,Other Government Department,UKBA - UK Border Agency,OSAG - OFFICE OF THE ADVOCATE GENERAL,3000044504,"37,175.00",
Home Office,UKBA - UK Border Agency,29/03/2012,Management & Admin Serv.Overseas Posting Costs-PROG,UKBA - UK Border Agency,PARIS APARTMENT SERVICES,7000006691,"57,160.57",
Home Office,UKBA - UK Border Agency,22/03/2012,Professional & Admin Services.Clerical & Admin Staff - ADMN,UKBA - UK Border Agency,PARITY RESOURCES LTD,1001233449,"27,585.60",
Home Office,UKBA - UK Border Agency,12/03/2012,Asylum Provision.Asylum accom Sec 95,UKBA - UK Border Agency,PRIORITY PROPERTIES NORTH WEST,1001227311,"134,550.08",
Home Office,UKBA - UK Border Agency,12/03/2012,Asylum Provision.Asylum accom Sect4 Accom,UKBA - UK Border Agency,PRIORITY PROPERTIES NORTH WEST,1001227311,"32,641.01",
Home Office,UKBA - UK Border Agency,12/03/2012,Asylum Provision.Asylum accom Sec 95,UKBA - UK Border Agency,PRIORITY PROPERTIES NORTH WEST,1001227311,"320,057.77",
Home Office,UKBA - UK Border Agency,12/03/2012,Asylum Provision.Asylum accom Sect4 Accom,UKBA - UK Border Agency,PRIORITY PROPERTIES NORTH WEST,1001227311,"41,526.14",
Home Office,UKBA - UK Border Agency,12/03/2012,Asylum Provision.Asylum accom Sec 95,UKBA - UK Border Agency,PRIORITY PROPERTIES NORTH WEST,1001227311,"365,918.60",
Home Office,UKBA - UK Border Agency,12/03/2012,Asylum Provision.Asylum accom Sect4 Accom,UKBA - UK Border Agency,PRIORITY PROPERTIES NORTH WEST,1001227311,"82,624.36",
Home Office,UKBA - UK Border Agency,12/03/2012,Asylum Provision.Asylum accom Sec 95,UKBA - UK Border Agency,PRIORITY PROPERTIES NORTH WEST,1001227311,"124,538.30",
Home Office,UKBA - UK Border Agency,12/03/2012,Asylum Provision.Asylum accom Sect4 Accom,UKBA - UK Border Agency,PRIORITY PROPERTIES NORTH WEST,1001227311,"26,851.26",
Home Office,UKBA - UK Border Agency,26/03/2012,Grants,UKBA - UK Border Agency,REFUGEE ACTION (G),1001236297,"29,939.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE ACTION (G),1001237560,"101,585.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE ACTION (G),1001237560,"65,699.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE ACTION (G),1001237560,"54,986.00",
Home Office,UKBA - UK Border Agency,28/03/2012,Grants,UKBA - UK Border Agency,REFUGEE ACTION (G),1001237560,"122,622.00",
Home Office,UKBA - UK Border Agency,20/03/2012,Grants,UKBA - UK Border Agency,REFUGEE ACTION (G),1001232399,"144,758.00",
