Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,21/05/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,ALLSTAR BUSINESS SOLUTIONS LTD,SN5 6PS,14169,Cost of ground diesel fuel consumed,-£6.00
Ministry of Defence,Ministry of Defence,13/05/2015,IT and communication services,JFC,AAH PHARMACEUTICALS LTD,CV2 2TX,10499,Consumption of medical dental and veterinary inventory,-£7.20
Ministry of Defence,Ministry of Defence,28/05/2015,"Transportation of personnel, freight and travel expenses",Land Forces,AAH PHARMACEUTICALS LTD,CV2 2TX,16143,Consumption of medical dental and veterinary inventory,-£8.83
Ministry of Defence,Ministry of Defence,18/05/2015,Food and clothing,Air Command,AAH PHARMACEUTICALS LTD,CV2 2TX,11838,Consumption of medical dental and veterinary inventory,-£30.35
Ministry of Defence,Ministry of Defence,28/05/2015,Fuel for military use,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000102,Oil and lubricants consumed excluding those from the inventory system,-£40.95
Ministry of Defence,Ministry of Defence,22/05/2015,IT and communication services,Land Forces,EUROPEAN ELECTRONIQUE LIMITED,OX29 4TT,14825,Computer equipment costing below the capitalisation threshold,-£44.40
Ministry of Defence,Ministry of Defence,29/05/2015,Purchase of inventory and services ,JFC,XMA LTD,NG11 7EP,17101,Cost of other material consumed,-£51.13
Ministry of Defence,Ministry of Defence,18/05/2015,Fees for professional services,HO+CS,XMA LTD,NG11 7EP,13013,Cost of other material consumed,-£106.48
Ministry of Defence,Ministry of Defence,22/05/2015,Purchase of inventory and services ,Land Forces,EUROPEAN ELECTRONIQUE LIMITED,OX29 4TT,14825,Computer equipment costing below the capitalisation threshold,-£222.00
Ministry of Defence,Ministry of Defence,10/05/2015,Fuel for military use,DES Bespoke Trading Entity,XMA LTD,NG11 7EP,10495,Cost of other material consumed,-£272.95
