Department,Entity,Date,Expense type,Expense Area,Supplier Name,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Number,Expenditure type,
DEFRA,Core Defra,13/04/2012,Legal Expenses incl subscriptions to legal societies,Chief Operating Officer DG,Pinsent Masons,459836,"Ł26,574.56","Fees and expenses for legal work, for the period 1/1/12 to 30/6/12.",EC1R 0ER,,exempt,00000000,Expense,
DEFRA,Core Defra,19/04/2012,Business Rates,Chief Operating Officer DG,D T Z,DEFRA131,"Ł536,104.54",DTZ Funding: property related costs - Rent and Service Charges and Insurance.,B3 2ED,,,00000000,Expense,
DEFRA,Core Defra,17/04/2012,Gas,Chief Operating Officer DG,Corona Energy,07069006,"Ł38,373.11","Gas bill for period 1/2/12-1/3/12 for Food and Environment Research Agency, Woodham Lane, New Haw, WEYBRIDGE, Surrey, KT15 3NB.",WD17 1JW,,,B0870000,Expense,
DEFRA,Core Defra,13/04/2012,Gas,Chief Operating Officer DG,Corona Energy,06929520,"Ł102,235.22","Gas bill for period 1/1/12-1/2/12 for Veterinary Investigation Centre, Barton Hall, Garstang Road, Garstang, Preston, Lancashire, PR13UP.",WD17 1JW,,,B2810000,Expense,
DEFRA,Core Defra,05/04/2012,Business Rates,Chief Operating Officer DG,D T Z,DEFRA129,"Ł66,542.06",DTZ Funding: property related costs - Rent and Service Charges and Insurance.,B3 2ED,,,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Estates Professional Fees & Services,Chief Operating Officer DG,D T Z,184775,"Ł32,444.67",Defra Property Portfolio. DTZ Asset Management Fee.,EH3 9QG,,X,DTZ00000,Expense,
DEFRA,Core Defra,23/04/2012,Electricity,Chief Operating Officer DG,E D F Energy,01320204122637162,"Ł26,371.62","Electricity bill for period 1-31 March 2012 - Fisheries Laboratory, Pakefield Road, LOWESTOFT, Suffolk, NR33 0HT
",PL3 5XQ,,,B0940000,Expense,
DEFRA,Core Defra,19/04/2012,Fuel & Utility Other,Chief Operating Officer DG,Amsterdam Capital Trading,0000901759,"Ł121,217.30",European Union  Emissions Trading Scheme payment ,1017BS0031,,,B0870000,Expense,
DEFRA,Core Defra,03/04/2012,Estates Professional Fees & Services,Chief Operating Officer DG,Environment Agency,1141086,"Ł100,919.96",Recharge of costs incurred on office co-location projects.,PE2 8YD,,Exempt,B153DISP,Expense,
DEFRA,Core Defra,17/04/2012,Gas,Chief Operating Officer DG,Corona Energy,07031497,"Ł29,036.41","Gas bill for period 1/2/12-1/3/12 for Food and Environment Research Agency, Woodham Lane, New Haw, WEYBRIDGE, Surrey, KT15 3NB",WD17 1JW,,,B0870000,Expense,
DEFRA,Core Defra,12/04/2012,Property Lease Costs,Chief Operating Officer DG,D T Z,DEFRA130,"Ł51,262.40",DTZ Funding: property related costs - Rent and Service Charges and Insurance,B3 2ED,,,00000000,Expense,
DEFRA,Core Defra,13/04/2012,Gas,Chief Operating Officer DG,Corona Energy,07031489,"Ł103,776.88","Gas bill for period 1/2/12-1/3/12 for Veterinary Investigation Centre, Barton Hall, Garstang Road, Garstang, Preston, Lancashire, PR1 3UP",WD17 1JW,,,B2810000,Expense,
DEFRA,Core Defra,26/04/2012,Business Rates,Chief Operating Officer DG,D T Z,DEFRA132,"Ł2,424,859.84",DTZ Funding: property related costs - Rent and Service Charges and Insurance,B3 2ED,,,00000000,Expense,
DEFRA,Core Defra,17/04/2012,Gas,Chief Operating Officer DG,Corona Energy,07018878,"Ł29,479.72","Gas bill for period 1/2/12-1/3/12 for Food and Environment Research Agency, Woodham Lane, New Haw, WEYBRIDGE, Surrey, KT15 3NB",WD17 1JW,,,B0870000,Expense,
DEFRA,Core Defra,05/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015966,"Ł85,500.00",Food and Environment Research Agency - replacement of the experimental  greenhouses shading system  March 2012.,BS34 8YU,,15216,FERAREDE,Asset,
DEFRA,Core Defra,05/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015971,"Ł153,750.12",Food and Environment Research Agency - modification to existing Animal Health Units Phase 2  March 2012,BS34 8YU,,15432,FERAREDE,Asset,
DEFRA,Core Defra,03/04/2012,Clearing Plant & Machinery,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015976,"Ł130,505.22","The provision of motorised valves to heating and chilled water at North Gate House, Reading - March 2012.",BS34 8YU,,15704,B6420000,Asset,
DEFRA,Core Defra,03/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00016016,"Ł546,122.30",Refurbishment of Bio Security Design and Works at Weybridge  - March 2012,BS34 8YU,,15614,VLABCP10,Asset,
DEFRA,Core Defra,11/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00016181,"Ł77,104.72","To replace existing pumps and fittings within the seawater system at Centre for Environment, Fisheries and Aquaculture Science, Lowestoft",BS34 8YU,,15644,CEFASRED,Asset,
DEFRA,Core Defra,05/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015991,"Ł60,264.86","Modification to existing water services at Food and Environment Research Agency, York.",BS34 8YU,,16022,FERAREDE,Asset,
DEFRA,Core Defra,05/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015992,"Ł92,778.74","Modification to existing Animal Health Units Phase 2 at the Food and Environment Research Agency, York",BS34 8YU,,16020,FERAREDE,Asset,
DEFRA,Core Defra,05/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015965,"Ł40,000.00","To accommodate tenants moving onto the Sand Hutton at Food and Environment Research Agency, York.",BS34 8YU,,15220,FERAREDE,Asset,
DEFRA,Core Defra,05/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015960,"Ł60,162.35",Modification to existing water services at Food Environment Research Agency York. ,BS34 8YU,,14825,FERAREDE,Asset,
DEFRA,Core Defra,05/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015958,"Ł54,028.08",Phase 2 refurbishment Block 16 at Food and Environment Research Agency,BS34 8YU,,13319/1,B281P002,Asset,
DEFRA,Core Defra,05/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015989,"Ł121,420.32","Review operation of new laboratory equipment at Food and Environmental Research Agency, York.",BS34 8YU,,16015,FERAREDE,Asset,
DEFRA,Core Defra,19/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015338,"Ł45,784.44","Removal of Asbestos at Veterinary Investigation Centre, Kendal Road, Harlescott, SHREWSBURY, Shropshire, SY1 4HD
",BS34 8YU,,15613,VLABCP10,Asset,
DEFRA,Core Defra,05/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00016166,"Ł168,671.96","Project valuation of main plant at Food and Environment Research Agency, York",BS34 8YU,,14656,FERAREDE,Asset,
DEFRA,Core Defra,05/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015959,"Ł50,000.00","Design build and install new access platforms to Animal Health Unit plants at Food and Environment Research Agency, York",BS34 8YU,,14826,FERAREDE,Asset,
DEFRA,Core Defra,05/04/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015964,"Ł87,500.00","Study current operation and requirements of the stanby generators at Food and Environment Research Agency, York",BS34 8YU,,14840,FERAREDE,Asset,
DEFRA,Core Defra,05/04/2012,Other recharges,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015993,"Ł44,280.97","Refurbishment of existing Laboratory and office space within block 10 at Food and Environment Research Agency, York ",BS34 8YU,,16027,00000000,Asset,
DEFRA,Core Defra,03/04/2012,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00016017,"Ł31,056.55","To carry out detailed design, planning and contract works to enable Animal Health Veterinary Laboratory to relocate form Chelmsford Beeches to Redwing House. ",BS34 8YU,,16091,CHLMSLIP,Asset,
DEFRA,Core Defra,03/04/2012,Overhead Incidental Expenses,Chief Operating Officer DG,Department For Work & Pensions,2891398,"Ł122,331.60",Provision of pension administration for period 01/10/2011-30/04/2012,FY5 3TA,,10044/1,00000000,Expense,
DEFRA,Core Defra,25/04/2012,Legal Expenses incl subscriptions to legal societies,Chief Operating Officer DG,Thompsons Solicitors.,114000456,"Ł36,000.00",Solicitor's legal fees,LS1 4DL,SME,,00000000,Expense,
DEFRA,Core Defra,13/04/2012,Estate Maintenance Admin,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00015901,"Ł3,151,324.20","Payment of Department of Environment, Food and Rural Affairs core services Fees -01/03/12  - 31/03/12",BS34 8YU,,10321X,00000000,Expense,
DEFRA,Core Defra,05/04/2012,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00016165,"Ł42,967.20","Project valuation of main plant at Food and Environment Research Agency, York",BS34 8YU,,14044,B2810000,Expense,
DEFRA,Core Defra,05/04/2012,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00016024,"Ł265,791.57","Facilities Management charges on Department of Environment, Food and Rural Affairs Estate",BS34 8YU,,15308,B0870000,Asset,
DEFRA,Core Defra,05/04/2012,Estates Reactive Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00016008,"Ł85,613.88",Facilities Management charges,BS34 8YU,,13651,00000000,Asset,
DEFRA,Core Defra,11/04/2012,Estates IFM Pass- Through Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00016168,"Ł106,835.41",Facilities Management charges,BS34 8YU,,16268,00000000,Expense,
DEFRA,Core Defra,05/04/2012,Estates Reactive Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00016153,"Ł126,936.63",Facilities Management charges,BS34 8YU,,11921,B0820000,Asset,
DEFRA,Core Defra,05/04/2012,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00016051,"Ł122,478.25","To design, supply and installation of a new Public Address (PA) system at Department of Climate Change, Whitehall Place, Westminster",BS34 8YU,,15343,B1930000,Asset,
DEFRA,Core Defra,03/04/2012,Removal Expenses (Staff),Chief Operating Officer DG,Home Office,1105696,"Ł34,592.31",Secondee's costs for period November 2011-January 2012,NP20 9BB,,Exempt,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Treasury Solicitors,Chief Operating Officer DG,Treasury Solicitors Department,A1587,"Ł1,659,714.00","Department of Environment, Food and Rural Affairs legal charge for representation and advice.",WC2B 4TS,,exempt,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Treasury Solicitors,Chief Operating Officer DG,Treasury Solicitors Department,A1586,"Ł318,343.20","Department of Environment, Food and Rural Affairs legal charge for representation and advice.",WC2B 4TS,,exempt,00000000,Expense,
DEFRA,Core Defra,05/04/2012,Civil service Pension Administration,Chief Operating Officer DG,JSS Pensions Administration,3916,"Ł37,186.70",Horticulture Research International pension provision February 2012,SN2 1FF,,13548,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Inwards Secondments,Chief Operating Officer DG,Home Office,1106989,"Ł115,796.46",Secondee's salary  ,NP20 9BB,,exempt,00000000,Expense,
DEFRA,Core Defra,17/04/2012,Application Services/Applications Delivery,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121398,"Ł53,778.00",Upgrade of Microsoft NET Sofware  1 - 31/3/2012,GU1 2LD,,FRW10040-00,P0300050,Expense,
DEFRA,Core Defra,17/04/2012,Work package/WPO  Development,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121540,"Ł56,000.00",Upgrading the EDEN 5 PC/Laptop build solution   1 - 31/3/2012,GU1 2LD,,FRW10040-00,P0300030,Expense,
DEFRA,Core Defra,27/04/2012,Computer & IT Services,Chief Operating Officer DG,Ninian Solutions Ltd (Huddle),10971,"Ł84,240.00",Annual  subscription to Huddle G-Cloud services 26/4/12-25/4/13,EC1Y 2BP,SME,16255,P0300000,Expense,
DEFRA,Core Defra,17/04/2012,Application Services/Applications Delivery,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121397,"Ł36,000.00",Upgrade of Crystal Reports Server editions  1 - 31/3/2012,GU1 2LD,,FRW10040-00,P1300000,Expense,
DEFRA,Core Defra,10/04/2012,Payments to Agencies UK,Chief Operating Officer DG,Rural Payments Agency,331208,"Ł83,862.49",Costs related to the development of Cattle Ear Tag Allocation System.,RG1 3BU,,exempt,P0700010,Expense,
DEFRA,Core Defra,17/04/2012,Application Services/Applications Delivery,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121735,"Ł26,889.00",Upgrade of Microsoft NET Sofware  March 2012,GU1 2LD,,FRW10040-00,P0300050,Expense,
DEFRA,Core Defra,17/04/2012,Work package/WPO  Development,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121729,"Ł37,581.35",Upgrading the EDEN 5 PC/Laptop build solution   1/3/2012 - 31/3/2012,GU1 2LD,,FRW10040-00,P0300030,Expense,
DEFRA,Core Defra,17/04/2012,Application Services/Applications Delivery,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121109,"Ł26,889.00",Upgrade of Microsoft NET Sofware  1-31/3/2012,GU1 2LD,,FRW10040-00,P0300050,Expense,
DEFRA,Core Defra,25/04/2012,IT Software,Chief Operating Officer DG,Environment Agency,1141550,"Ł240,000.00",Development of Web publication service for use by Defra Network delivery bodies ,BS32 4UD,,Exempt,06199SPT,Asset,
DEFRA,Core Defra,27/04/2012,Transition & Transformation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803122123,"Ł87,142.10",Work commissioning charges for IT project- 1-31/3/2012,GU1 2LD,,FRW10040-00,CTTPS008,Expense,
DEFRA,Core Defra,25/04/2012,Transition & Transformation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121719,"Ł145,219.42",Work commissioning charges for IT project- March 2012,GU1 2LD,,FRW10040-00,CTTPS017,Expense,
DEFRA,Core Defra,25/04/2012,Transition & Transformation,Chief Operating Officer DG,IBM United Kingdom Ltd,5802121205,"Ł121,615.80",Work commissioning charges for IT project  1/2/2010-31/1/2018,GU1 2LD,,FRW10040-00,CTTPS003,Expense,
DEFRA,Core Defra,25/04/2012,Transition & Transformation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803120350,"Ł46,922.77",Work commissioning charges for IT project  1-31/3/1202,GU1 2LD,,FRW10040-00,CTTPS008,Expense,
DEFRA,Core Defra,25/04/2012,Transition & Transformation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803120269,"Ł45,519.78",Work commissioning charges for IT project 1/2/2010 - 31/01/2018,GU1 2LD,,FRW10040-00,CTTPS008,Expense,
DEFRA,Core Defra,25/04/2012,Transition & Transformation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803120349,"Ł226,053.20",Service Management 01/02/2010 - 31/01/2018,GU1 2LD,,FRW10040-00,CTTPS014,Expense,
DEFRA,Core Defra,25/04/2012,Transition & Transformation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803120270,"Ł77,940.67",Work commissioning charges for IT project,GU1 2LD,,FRW10040-00,CTTPS009,Expense,
DEFRA,Core Defra,27/04/2012,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5804120912,"Ł5,999,174.92","Core Department for Environment, Food and Rural Affairs, IT base services   1-30/4/2012",GU1 2LD,,FRW10040-00,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Transition & Transformation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121716,"Ł247,601.06",Work commissioning charges for IT project  1/2/2010-31/1/2018,GU1 2LD,,FRW10040-00,CTTPS008,Expense,
DEFRA,Core Defra,17/04/2012,Computer & IT Services,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121720,"Ł34,045.00",Upgrade to Global Print   01- 31/03/2012,GU1 2LD,,FRW10040-00,P0300020,Expense,
DEFRA,Core Defra,03/04/2012,Contractor - Management Cover,Chief Operating Officer DG,Detica Ltd,1045137,"Ł77,520.00",Consultancy costs for period 31/10/11-8/3/12,GU2 7YP,SME,10990,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Office Eqpt Hire,Chief Operating Officer DG,Xerox (UK) Ltd,AF400586,"Ł40,566.04",Xerox multi functional devices - rental charges  25/09/11-24/09/12,BN13 1QG,,Exempt FRW10022-00,B1960000,Expense,
DEFRA,Core Defra,03/04/2012,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5803121111,"Ł30,134.21",Supporting Core and Business Engagement Team  27/1-24/2/2012,GU1 2LD,,FRW10040-00,P0700000,Expense,
DEFRA,Core Defra,05/04/2012,Other Current Payments E,Policy Delivery DG,Centre For Ecology & Hydrology,7060002587,"Ł61,122.00",Great Britain Non Native Species information portal 2011-2012,OX10 8BB,,Exempt,00000000,Expense,
DEFRA,Core Defra,05/04/2012,Current Transfers Abroad UK,Policy Delivery DG,Joint Nature Conservation Committee,SIJ648,"Ł25,000.00",Joint Nature Conservation Committee - contribution towards invasive Lionfish project,PE1 1JY,,Exempt,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Economics For The Environ Consult Ltd,714,"Ł28,450.00",Scoping Study to Develop understanding of natural capital 11/12,W1W 7SQ,SME,Exempt,00000000,Expense,
DEFRA,Core Defra,13/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,R S P B,SLINV00022041,"Ł30,877.00",Payment for Ecosystem Services in the Poole harbour Catchment 11/12,SG19 2DL,,Exempt,00000000,Expense,
DEFRA,Core Defra,27/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Economics For The Environ Consult Ltd,713,"Ł86,000.00",Scoping Study to Develop understanding of natural capital 11/12,W1W 7SQ,SME,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments UK,Policy Delivery DG,Food & Environment Research Agency,F0021031,"Ł805,816.00",Government Decontamination Service (GDS) programme March 12,YO41 1LZ,,Exempt,GDSFERA2,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments UK,Policy Delivery DG,Food & Environment Research Agency,F0021030,"Ł85,143.00",Government Decontamination Service (GDS) pay March 12,YO41 1LZ,,Exempt,00000000,Expense,
DEFRA,Core Defra,13/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Nanotechnology Industries Association Ltd,300112,"Ł73,844.18",UK Japan research collaboration on endocrine disrupters in the aquatic environment: UK science leader.  Expenses claims for quarter three 2011 ,SW1X 8PS,SME,,00000000,Expense,
DEFRA,Core Defra,05/04/2012,Other Current Payments E,Policy Delivery DG,Oecd,050412,"Ł99,818.66",Organisation for Economic Co-operation and Development: assessed contribution to Part II Control of Chemicals Programme for financial year 2012,75775,,,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments UK,Policy Delivery DG,Food & Environment Research Agency,F0021028,"Ł84,396.00",Government Decontamination Service (GDS) pay February 12,YO41 1LZ,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments UK,Policy Delivery DG,Food & Environment Research Agency,F0021029,"Ł179,454.00",Government Decontamination Service (GDS) programme February 12,YO41 1LZ,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8001921,"Ł26,403.50","Ecotoxicology test protocols for representative nanotechnology materials in support of the Contribution to Organisation for Economic Co-operation and Development (OECD) sponsorship programme, Jan-Mar 12",NR33 0HT,,exempt,00000000,Expense,
DEFRA,Core Defra,13/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Nanotechnology Industries Association Ltd,300312,"Ł55,704.00","Contribution to Contribution to Organisation for Economic Co-operation and Development (OECD) Programme of testing of a range of priority nanomaterials for their environmental, health and safety effects",SW1X 8PS,SME,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Food & Environment Research Agency,F0021296,"Ł29,088.00","Enhancing operational preparedness to deal with animal issues in the event of  a major Chemical, Biological, Radiological, Nuclear incident, Jan-Mar 12",YO41 1LZ,,Exempt,00000000,Expense,
DEFRA,Core Defra,19/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Nanotechnology Industries Association Ltd,NIAAISBLI11120056,"Ł55,704.00","Contribution to Organisation for Economic Co-operation and Development (OECD) Programme of testing of a range of priority nanomaterials for their environmental, health and safety effects",,SME,,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Medical Research Council,22598,"Ł100,000.00","Contribution to the research programme of the National Centre for the Replacement, Refinement and Reduction of Animals in Research, 2011-12",SN2 1FL,,exempt,00000000,Expense,
DEFRA,Core Defra,05/04/2012,Other Current Payments E,Policy Delivery DG,Lancaster University,8637877,"Ł116,558.65",Toxic Organic MicroPollutants monitoring network ,LA1 4YW,,13248,00000000,Expense,
DEFRA,Core Defra,13/04/2012,Current Grants E,Policy Delivery DG,Lacors,40401275,"Ł78,740.40",FLORINATED GAS PROJECT COSTS FOR MAR 2012,SW1P 3HZ,,exempt,00000000,Expense,
DEFRA,Core Defra,27/04/2012,International Subscriptions (Foreign Payments),Policy Delivery DG,United Nations Environment Prog,FUND303UK,"Ł6,990,262.12",FUND 303 UK-TRUST FUND FOR THE MULTILATERAL FUND FOR THE IMPLEMENTATION OF THE MONTREAL PROTOCOL ON SUBSTANCES THAT DEPLETE THE OZONE LAYER (MF),00100,,,00000000,Expense,
DEFRA,Core Defra,13/04/2012,Current Grants E,Policy Delivery DG,Lacors,40401273,"Ł93,096.00",FLORINATED-GAS PROJECT COSTS FOR MARCH 2012-LGA ADMIN AND OVERHEAD COSTS,SW1P 3HZ,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Evidence Non R&D,Policy Delivery DG,Animal Health and Veterinary Laboratories Agency,290312,"Ł52,250.00",Veterinary surveillance of exotic diseases,KT15 3NB,,,VLACONTD,Expense,
DEFRA,Core Defra,23/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Frontier Economics Ltd,5466,"Ł38,984.50",Economics of Climate Resilience 2012/13,WC1V 6DA,SME,exempt,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,1804125226990,"Ł43,558.25",Monitoring the effectiveness of the Nitrates Directive Action Programme in Nitrate Vunerable Zones (NVZs),WV6 8TQ,,exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8001922,"Ł100,000.00",Advice on Shellfish Water Quality Issue,NR33 0HT,,Exempt,00000000,Expense,
DEFRA,Core Defra,03/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP060355,"Ł38,359.00",Monitoring the effectiveness of the Nitrates Directive Action Programme in Nitrate Vunerable Zones (NVZs),WV6 8TQ,,,00000000,Expense,
DEFRA,Core Defra,23/04/2012,Other Current Payments (Evidence R&D),Policy Delivery DG,Risk Solutions,180412,"Ł186,628.74",Evidence on Impacts of Abstraction Reform Options On the Environment and Abstractors.,WA2 7LT,SME,exempt,00000000,Expense,
