Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,14/09/12,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,ORC INTERNATIONAL LIMITED,3000029338,"171,217.35",Civil Service People Survey 2012,N1 9AH,sme,Administration
Cabinet Office,CABINET OFFICE,14/09/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000029315,"100,554.90",Refurbishment of 70 Whitehall,BN1  1HG,Large,Administration
Cabinet Office,CABINET OFFICE,14/09/12,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000029316,"88,618.47",Facilities Management Services,BN1  1HG,large,Administration
Cabinet Office,CABINET OFFICE,14/09/12,Consultancy,ESTATE MANAGEMENT,ECOVERT FM LTD,3000029315,"61,972.48",Refurbishment of 70 Whitehall,BN1  1HG,Large,Administration
Cabinet Office,CABINET OFFICE,14/09/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CESG,3000029303,"100,000.80","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",GL51 0EX,Government Department,Programme
Cabinet Office,CABINET OFFICE,14/09/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000029300,"28,577.33","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme
Cabinet Office,CABINET OFFICE,14/09/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000029300,"65,228.50",Interim IT Specialists,SL6 1DP,Large,Programme
Cabinet Office,CABINET OFFICE,14/09/12,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRE PLC,3000029344,"60,938.32",Software development services to support the GDS businesslink/GOV.uk replacement monthly managed services,B11 2LE,Large,Programme
Cabinet Office,CABINET OFFICE,14/09/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000029300,"30,100.54",Interim IT Specialists,SL6 1DP,Large,Programme
Cabinet Office,CABINET OFFICE,14/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CATCH22 CHARITY LTD,3000029301,"231,185.36",National Citizen Service project grant,EC1V 9BW,non sme,Grants
Cabinet Office,CABINET OFFICE,14/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SALFORD FOUNDATION,3000029342,"154,016.00",National Citizen Service project grant,M5 4BD,sme,Grants
Cabinet Office,CABINET OFFICE,14/09/12,Supplies and Services,OFFICE FOR CIVIL SOCIETY,M4C,3000029331,"68,630.05","Media Partnership, Brand awareness, advertising, creative and design services for the National Citizenship Service",WC1X 8RX,non-sme,Programme
Cabinet Office,CABINET OFFICE,17/09/12,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000029367,"292,139.85",Refurbishment of 70 Whitehall,BN1  1HG,Large,Administration
Cabinet Office,Government Procurement Service,17/09/12,WDHS Maintenance & Repairs,Whitehall District Heating Systems,Cofely,PINVP2P 1127,"62,983.99",Whitehall heating systems management,HP12 3TA,Large,Programme
Cabinet Office,Government Procurement Service,17/09/12,WSDS Maintenance & Repairs,Whitehall Standby Distribution Systems,Cofely,PINVP2P 1128,"39,298.75",Whitehall heating systems management,HP12 3TA,Large,Programme
Cabinet Office,CABINET OFFICE,18/09/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000029391,"26,837.13","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme
Cabinet Office,CABINET OFFICE,18/09/12,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000029400,"1,525,338.44",IT Service charges,SW1A 2WH ,Large,Administration
Cabinet Office,CABINET OFFICE,18/09/12,Supplies and Services,KNOWLEDGE AND INFORMATION MANAGEMENT,TNT UK LTD,3000029414,"26,942.85",Record management services,BL0 9AR,non sme,Administration
Cabinet Office,CABINET OFFICE,18/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE ARDBRACK FOUNDATION,3000029411,"500,000.00",Match Funding grant to support the fundraising campaign of localgiving.com,WC1V 7DN,sme,Grants
Cabinet Office,CABINET OFFICE,18/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE FOOTBALL LEAGUE COMMUNITY LTD,3000029412,"200,878.00",National Citizen Service project grant,PR2 2YF,SME,Grants
Cabinet Office,CABINET OFFICE,18/09/12,Freehold Non Residential Buildings,PRIME MINISTERS OFFICE,ETDE FM,3000029398,"51,805.67",Infrastructure Renewal,BN1  1HG,large,Administration
Cabinet Office,CABINET OFFICE,19/09/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000029448,"58,565.00",Constitutional Law Team,WC2B 4TS,Government Department,Administration
Cabinet Office,CABINET OFFICE,19/09/12,Land and Buildings,ESTATE MANAGEMENT,ST ANDREWS PARK NORWICH LTD,3000029446,"288,810.00",Rent for accomodation,NR10 3JU,sme,Administration
Cabinet Office,CABINET OFFICE,19/09/12,IT Costs,IT AND TELECOMS BRANCH,VERIZON UK LTD,3000029449,"39,312.00",Core data infrstructure for legacy network.,RG2 6DA,Large,Administration
Cabinet Office,CABINET OFFICE,19/09/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,ETDE FM,3000029432,"33,411.95",Infrastructure refurbishment and Utilities,BN1  1HG,large,Administration
Cabinet Office,CABINET OFFICE,19/09/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,ETDE FM,3000029432,"28,387.93",Infrastructure refurbishment and Utilities,BN1  1HG,large,Administration
Cabinet Office,CABINET OFFICE,19/09/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,ETDE FM,3000029432,"25,216.71",Facilities Management Services,BN1  1HG,large,Administration
Cabinet Office,CABINET OFFICE,20/09/12,IT Costs,GOVERNMENT PROPERTY UNIT,CORPORATE DOCUMENT SERVICES LTD,3000029472,"63,684.59","Monthly payment for the support, maintenance and minor development of e-PIMS, the government property database.",LS2 LY,Large,Programme
Cabinet Office,CABINET OFFICE,20/09/12,IT Costs,INTELLIGENCE SECURITY AND RESILIENCE,BT GLOBAL SERVICES.,3000029469,"55,500.84",High Integrity Telecomms System project costs,NW9 6LB,Large,Programme
Cabinet Office,CABINET OFFICE,20/09/12,Investments,OFFICE FOR CIVIL SOCIETY,BRIDGES VENTURES LTD,3000029468,"50,444.79",Investment in the risk capital fund for social enterprise,W2 3EN,non-sme,Programme
Cabinet Office,Government Procurement Service,20/09/12,Recruitment Costs,Human Resources,TMP (UK) Ltd,PINDOH 34710,"33,133.24",Recruitment costs,W1T 7RQ,Large,Administration
Cabinet Office,CABINET OFFICE,21/09/12,Land and Buildings,ESTATE MANAGEMENT,JONES LANG LASALLE LTD,3000029517,"303,600.00",Rent for accommodation,BS8 9AQ,large,Administration
Cabinet Office,CABINET OFFICE,21/09/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000029508,"89,699.85","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme
Cabinet Office,CABINET OFFICE,21/09/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000029508,"64,379.40",Interim IT Specialists,SL6 1DP,Large,Programme
Cabinet Office,CABINET OFFICE,21/09/12,Accomodation and Utilities,GOVERNMENT DIGITAL SERVICE,FOOD STANDARDS AGENCY,3000029515,"58,897.31",Service charges for accomodation,YO1 7PX,non-sme,Programme
Cabinet Office,CABINET OFFICE,21/09/12,Agency and Temporary Staff,GOVERNMENT DIGITAL SERVICE,CAPITA RESOURCING LTD,3000029508,"48,371.45",Interim IT Specialists,SL6 1DP,Large,Programme
Cabinet Office,CABINET OFFICE,21/09/12,Accomodation and Utilities,GOVERNMENT PROPERTY UNIT,COLLIERS INTERNATIONAL UK PLC,3000029509,"46,771.50",Rent for accomodation,W1U 1HL,Large,Programme
Cabinet Office,CABINET OFFICE,21/09/12,Consultancy,GOVERNMENT PROPERTY UNIT,SLAUGHTER & MAY,3000029524,"28,866.80",Legal advice,EC1Y 8YY,large,Programme
Cabinet Office,CABINET OFFICE,21/09/12,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,BBC MONITORING,3000029504,"1,456,333.00",Monitoring services provided by the BBC,M14 0EP,large,Programme
Cabinet Office,CABINET OFFICE,21/09/12,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,MINISTRY OF DEFENCE,3000029521,"888,861.02",High Integrity Telecomms System project costs,L2 3YL,Government Department,Programme
Cabinet Office,CABINET OFFICE,21/09/12,"Travel, Subsistence and Hospitality",PRIME MINISTERS OFFICE,VIRGIN ATLANTIC AIRWAYS LTD,3000029530,"718,708.00",Official Travel,RH10 9NU,large,Administration
Cabinet Office,CABINET OFFICE,25/09/12,Accomodation and Utilities,GOVERNMENT PROPERTY UNIT,JONES LANG LASALLE LTD,3000029576,"25,219.20",Quarterly rent for accomodation,BS8 9AQ,large,Programme
Cabinet Office,CABINET OFFICE,25/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUNG DEVON,3000029584,"55,950.00",National Citizen Service project grant,PL21 0AB,large,Grants
Cabinet Office,CABINET OFFICE,25/09/12,Supplies and Services,OFFICE FOR CIVIL SOCIETY,LIVITY,3000029577,"33,143.50",Social media work for National Citizen Service,SW9 8DJ,sme,Programme
Cabinet Office,CABINET OFFICE,26/09/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000029618,"26,518.67",2012/13 Fees and Disbursements.,WC2B 4TS,Government Department,Administration
Cabinet Office,CABINET OFFICE,26/09/12,Accomodation and Utilities,PRIME MINISTERS OFFICE,BT,3000029602,"90,381.68",Telecomms Line Rentals,DH98 1BT,large,Administration
Cabinet Office,CABINET OFFICE,27/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,GLOBAL ACTION PLAN,3000029679,"26,146.00",National Citizen Service project grant,WC2B 4AY,sme,Grants
Cabinet Office,CABINET OFFICE,27/09/12,Other Staff Related Costs,SCHEME MANAGEMENT EXECUTIVE,MYCSP LTD,3000029651,"2,803,126.16",MyCSP Pension administration costs,LS2 7UA,large,Administration
Cabinet Office,CABINET OFFICE,28/09/12,Supplies and Services,ERG STRATEGY AND MANAGEMENT INFORMATION,EUROPEAN INSTITUTE OF PUBLIC ADMINISTRATION,2000284,"43,945.00",UK annual contribution to the European Institute of Public Administration,NETHERLANDS,non-sme,Administration
Cabinet Office,CABINET OFFICE,28/09/12,Land and Buildings,ESTATE MANAGEMENT,AIRSCAPE LTD,2000283,"290,845.50",Rent for accomodation,IRELAND,large,Administration
Cabinet Office,CABINET OFFICE,28/09/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SALFORD FOUNDATION,3000029696,"43,220.00",National Citizen Service project grant,M5 4BD,sme,Grants
Cabinet Office,CABINET OFFICE,28/09/12,IT Costs,PRIME MINISTERS OFFICE,DE LAGE LANDEN LEASING LTD,3000029687,"73,223.20",IT Equipment Leasing,WD18 8YN,sme,Administration
,,,,,,,,,,,
