,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,
DEFRA,RPA,21/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,37736," Ł30,251.82 ",Sustainable Workplace Management - Eden Bridge House September 2012,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,21/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,37738," Ł31,255.97 ",Sustainable Workplace Management - Northallerton September 2012,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,21/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,37789," Ł47,558.59 ",Sustainable Workplace Management - Workington September 2012,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,21/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,37807," Ł29,594.91 ",Sustainable Workplace Management - North Gate House September 2012,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,21/09/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,37809," Ł25,300.97 ",Sustainable Workplace Management - Lancaster House September 2012,B4 6AJ,No,64261,n/a,ADMIN,,
DEFRA,RPA,12/09/2012,IT Outsourced Services,Service Management,IBM,5808121836," Ł879,890.24 ",IBM Baseline charges September 2012,B4 6AJ,No,64426,IBMBS000,ADMIN,,
DEFRA,RPA,13/09/2012,Supplier Contractors,Geographic Information Services,Infotech,960000037," Ł75,581.45 ",Rural Land Register Geographical Information Services Digitisation actual parcels  May 2012,WC1A 6RL,No,63631,N/A,ADMIN,,
DEFRA,RPA,17/09/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353843252," Ł30,624.00 ",Fee for Future Options Programme (FOP) management workstream,E14 9SQ,No,64074,FOP01000,ADMIN,,
DEFRA,RPA,17/09/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353846070," Ł49,218.58 ",Fee for Future Options Programme (FOP) management workstream,E14 9SQ,No,64074,FOP01000,ADMIN,,
DEFRA,RPA,17/09/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353846071," Ł109,713.40 ",Fee for Future Options Programme (FOP) management workstream,E14 9SQ,No,64074,FOP01000,ADMIN,,
DEFRA,RPA,17/09/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353846072," Ł42,577.92 ",Fee for Future Options Programme (FOP) management workstream,E14 9SQ,No,64074,FOP01000,ADMIN,,
DEFRA,RPA,17/09/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353834878," Ł894,657.58 ",Fee for Future Options Programme (FOP) management workstream,E14 9SQ,No,64074,FOP01000,ADMIN,,
DEFRA,RPA,17/09/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353836066," Ł71,942.44 ",Fee for Future Options Programme (FOP) management workstream,E14 9SQ,No,64074,FOP01000,ADMIN,,
DEFRA,RPA,06/09/2012,Training,HR People Development,SHL Group,SI/201627," Ł30,688.80 ",Design of assessment process and evaluation of data for staff roles within the Customer Payments and Accounting Team (CPAT) ,KT7 0NE,,64502,n/a,ADMIN,,
