Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA,23/10/2015,Electricity,Chief Operating Officer DG,E D F Energy,903078,"460,789.33",SITE 087 ELECT 02/09/2015 to 30/09/2015  A/C 6232210000,EX1 3UT,,,B0790000,Expense,
DEFRA,DEFRA,07/10/2015,Capital LA Grant E,Policy Delivery DG,East Lindsey District Council,90201964,"41,490.92",PO 371627 DRAINAGE WORK,LN11 8UP,,GRANT,0,Expense,
DEFRA,DEFRA,29/10/2015,Capital LA Grant E,Policy Delivery DG,East Riding Of Yorkshire Council,36325631,"75,545.09",PO 371624 REPAIR AND RENEWAL GRANT IN PERIOD 1 APR TO 31 JUNE 2015,HU17 9YR,,GRANT,0,Expense,
DEFRA,DEFRA,05/10/2015,Grant-in Aid Payments,Policy Delivery DG,Environment Agency,EAGIAOCTOBER15,"50,000,000.00",PO 376669 AND 376604 EA FLOOD DEFENCE GIA AND EA EB GIA,BS1 5AH,,G.I.A,0,Expense,
DEFRA,DEFRA,01/10/2015,Current Grants E,Policy Delivery DG,Exmoor National Park Authority,100915,"749,800.00","PO 377274,  EXMOOR NATIONAL PARK AUTHORITY 2015/16 Q3",TA22 9HL,SME,GIA,EXMOOR01,Expense,
DEFRA,DEFRA,06/10/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",Fera Science Limited,21015,"32,121.06",FOREIGN PAYMENT PH0449 - EUPHRESCO (RP) - PLANT HEALTH FELLOWSHIPS MAY TO SEPTEMBER 15/16,YO41 1LZ,,,0,Expense,
DEFRA,DEFRA,29/10/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Game & Wildlife Conservation Trust,SIN000945,"41,816.00",PO 370714 LAPWING ON AGRI-ENVIRONMENT SCHEME MILESTONE 15-22,SP6 1EF,SME,LM0108,0,Expense,
DEFRA,DEFRA,29/10/2015,Other Current Payments E,Chief Operating Officer DG,Getmapping Plc,DEFRA020,"101,166.67",PO 372595 SUPPLY OF AERIAL PHOTOGRAPHY & HEIGHT DATA OCT 2015,RG27 8NW,SME,9095,AERPHOTO,Expense,
DEFRA,DEFRA,27/10/2015,Recruitment Charges,Chief Operating Officer DG,H M Revenue & Customs,1.8E+13,"25,367.04",PO 379560 DEFRA 15/16 JOB PORTAL CHANGES,BN12 4XH,,IGS,0,Expense,
DEFRA,DEFRA,27/10/2015,Other Current Payments (GB),Policy Delivery DG,Hampshire Police Authority,3680002398,"34,000.00",PO 380588 NWCU 15/16 FUNDING CONTRIBUTION Q3,SO22 5DB,,FDP,0,Expense,
DEFRA,DEFRA,27/10/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Health & Safety Commission & Executive,167873,"772,500.00","PO 380317,  2015/16 DEFRA/HSE REACH MOU,  01/04/15 - 31/12/15",L20 3LZ,,IGS,0,Expense,
DEFRA,DEFRA,27/10/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Health & Safety Laboratory,42380,"35,640.00","PO375329,  EAST COAST FLOODING IMPACTS",SK17 9JN,,FDP,0,Expense,
DEFRA,DEFRA,13/10/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Health & Safety Laboratory,42381,"36,661.20",PO 376478 SOUTH AND WEST COAST FLOODING ANALYSIS MILESTONE COMPLETION TASKS 1 AND 2,SK17 9JN,,FD2697,0,Expense,
DEFRA,DEFRA,05/10/2015,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260007175,"52,152.00",PO 365305 43610 RC ENHANCEMENT,SE1 2AP,SME,CAP080,CAPDFA03,Asset,
DEFRA,DEFRA,19/10/2015,IT Software,Chief Operating Officer DG,Hitachi Consulting,2260008285,"51,726.83",PO 378626 MANAGED SERVICE SUPPORT,SE1 2AP,SME,,CAPDFA07,Expense,
