Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,06/08/13,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,SCHOOL FOR SOCIAL ENTREPRENEURS,3000038794,"52,500.00",Strategic Partners Transition Programme Grant,E2 9PF,SME,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/08/13,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,ACEVO,3000038811,"69,166.00",Strategic Partners Transition Programme Grant,WC1A 1NU,SME,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,07/08/13,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,3000038825,"78,026.00",Grant to provide commercial skills master classes to the voluntary sector,N1 9RL,Large,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/08/13,STAFF RELATED COSTS,CENTRAL BUDGETS,FCO SERVICES,3000038860,28807.2,Vetting Fees,MK19 7BH,Government Department,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/08/13,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,ESTATE MANAGEMENT,RICOH UK LTD,3000038880,"43,111.36",Reprographic Services,CR5 2HR,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/08/13,SERVICE CHARGES,CENTRAL BUDGETS,DE VERE VENUES LTD,3000038841,"224,780.88",Public Finance Initiative service charges,KT24 6DU,large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/08/13,NATIONAL CITIZEN SERVICE. CIVIL SOCIETY TRAINING & DEVELOP,OFFICE FOR CIVIL SOCIETY,REED IN PARTNERSHIP LTD,3000038846,"297,685.80",National Citizen Service contract,L27 NX,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/08/13,BUSINESS RATES - DIRECT LOCAL AUTHORITIES,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000038867,"434,535.00",Rates charges,WA55 1GG,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/08/13,NATIONAL CITIZEN SERVICE. CIVIL SOCIETY TRAINING & DEVELOP,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000038849,"592,499.99",National Citizen Service contract,SE1 7HS,SME,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/08/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000038910,"48,786.52","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP ,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
