Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Narrative
HM Treasury,HM Treasury,13/09/2010,AME Mint Stock Metal Costs,Macro Economic & Fiscal Policy,ROYAL MINT,87123,727923.77,
HM Treasury,HM Treasury,13/09/2010,DEL Mint Stock Manufacturing Costs,Macro Economic & Fiscal Policy,ROYAL MINT,87123,877897.84,
HM Treasury,HM Treasury,13/09/2010,Consultants - Financial - Advisory only,Public Services & Growth,GOVERNMENT ACTUARY'S DEPT,87164,28438.65,Ongoing actuarial advice
HM Treasury,HM Treasury,13/09/2010,Corporate subscriptions,Corporate Services,FINANCIAL TIMES LTD,87300,52428.38,Library
HM Treasury,DMO,14/09/2010,Contracted Out Services Other,Business Delivery,BLOOMBERG FINANCE L.P.,87322,44834.91,
HM Treasury,HM Treasury,15/09/2010,Original Research,International Finance,ECOTEC RESEARCH & CONSULTING LTD,87225,22876.00,evaluation of DWP Growth Fund
HM Treasury,DMO,15/09/2010,Service Charges (to managing agent),Facilities,JONES LANG LASALLE,87275,70196.09,Estates - DMO 11 Philpot Lane
HM Treasury,APA,15/09/2010,Consultants - Financial - Non-Advisory,Risk,OLIVER WYMAN LTD,87339,116912.50,Asset Protection Scheme Advice
HM Treasury,APA,15/09/2010,Consultants - Financial - Non-Advisory,Risk,OLIVER WYMAN LTD,87340,286700.00,Asset Protection Scheme Advice
HM Treasury,DMO,15/09/2010,Prof acctg inv and relatd svcs,Dealers,NATIONAL AUDIT OFFICE,87389,27510.00,
HM Treasury,DMO,15/09/2010,Rent (to managing agent),Facilities,JONES LANG LASALLE,87396,282385.40,Estates - DMO 11 Philpot Lane
HM Treasury,HM Treasury,20/09/2010,Rent,Corporate Services,GOODMAN UK LIMITED,87469,28087.49,Estates Alexandra House Leeds
HM Treasury,DMO,20/09/2010,DMO - Banking Costs,Settlements,BANK OF ENGLAND,87532,53634.78,
HM Treasury,HM Treasury,20/09/2010,Consultancy - Legal -  Contracted out services,Corporate Services,THE TREASURY SOLICITOR,87553,264333.50,Treasury Legal Advisors - salary costs recharged from TSOL 
HM Treasury,HM Treasury,22/09/2010,Equitable Life Enquiry,"Budget, Tax & Welfare",TOWERS WATSON,87511,282582.42,Actuarial advice
HM Treasury,APA,24/09/2010,Consultants - Legal - Advisory only,Legal & Compliance,SLAUGHTER AND MAY,85010,51574.08,Asset Protection Scheme Advice
HM Treasury,APA,24/09/2010,Consultants - Legal - Advisory only,Legal & Compliance,SLAUGHTER AND MAY,85021,21849.17,Asset Protection Scheme Advice
HM Treasury,APA,24/09/2010,Consultants - Legal - Advisory only,Legal & Compliance,SLAUGHTER AND MAY,85022,22967.50,Asset Protection Scheme Advice
HM Treasury,APA,24/09/2010,Consultants - Mgt - Non Advisory,Risk,GOVERNMENT ACTUARY'S DEPT,87459,16897.26,Asset Protection Scheme Advice
HM Treasury,HM Treasury,24/09/2010,Procurement Card,Corporate Services,NATWEST BANK PLC,87609,119948.30,various purchases on Government Procurement Card
HM Treasury,DMO,24/09/2010,IT support and maintenance recoverable,Business Delivery,KING & SHAXSON BOND BROKERS,87638,22500.00,
HM Treasury,HM Treasury,24/09/2010,Travel,Corporate Services,RBS LODGE,87644,68917.60,various travel costs 
HM Treasury,HM Treasury,24/09/2010,Original Research,International Finance,LOUGHBOROUGH UNIVERSITY,87649,79909.25,Evaluation of DWP Financial Inclusion Champions Initiative
HM Treasury,APA,24/09/2010,Consultants - Legal - Advisory only,Legal & Compliance,SLAUGHTER AND MAY,87679,38432.50,Asset Protection Scheme Advice
HM Treasury,APA,28/09/2010,Cost Additions - Assets Under Construction Software Licences,Capital,PRICEWATERHOUSECOOPERS,87325,330657.94,Asset Protection Scheme Advice -software development
HM Treasury,APA,28/09/2010,Cost Additions - Assets Under Construction Software Licences,Capital,PRICEWATERHOUSECOOPERS,87326,132355.63,Asset Protection Scheme Advice -software development
HM Treasury,HM Treasury,30/09/2010,IT support and maintenance recoverable,Corporate Services,EXCHEQUER PARTNERSHIP PLC,86992,25000.00,Estates 1 Horse Guards Road
HM Treasury,HM Treasury,30/09/2010,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,86992,374.45,Estates 1 Horse Guards Road
HM Treasury,HM Treasury,30/09/2010,Electricity,Corporate Services,EDF ENERGY,87137,43958.95,Estates 1 Horse Guards Road
HM Treasury,HM Treasury,30/09/2010,Programme costs,International Finance,BRUEGEL,87739,162887.02,state membership subscription for 2010
,,,,,,,,
