UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT
MODGPC29552,04-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł2,992.00"
MODGPC29553,04-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł549.90
MODGPC29554,10-Apr-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł5,228.35"
MODGPC29555,02-Apr-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł603.75
MODGPC29556,03-Apr-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł579.60
MODGPC29557,02-Apr-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł2,225.00"
MODGPC29558,06-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92"
MODGPC29559,06-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92"
MODGPC29560,06-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92"
MODGPC29561,06-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92"
MODGPC29562,06-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,298.92"
MODGPC29563,03-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł757.44
MODGPC29564,12-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,853.28"
MODGPC29565,05-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,022.94"
MODGPC29566,11-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł593.89
MODGPC29567,11-Apr-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł3,536.64"
MODGPC29568,11-Apr-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,"Ł1,722.14"
MODGPC29569,04-Apr-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł504.00
MODGPC29570,12-Apr-12,Building Materials                 , LUMBER/BUILD. SUPPLY STORES,Ł876.00
MODGPC29571,12-Apr-12,Building Materials                 , GLASS/PAINT/WALLPAPER STORES,Ł546.96
MODGPC29572,03-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,Ł588.00
MODGPC29573,03-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,263.46"
MODGPC29574,02-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,195.20"
MODGPC29575,04-Apr-12,Building Materials                 , PLUMBING/HEATING EQUIPMENT,Ł888.78
MODGPC29576,11-Apr-12,Building Materials                 , ELECTRICAL PARTS/EQUIPMENT,"Ł1,092.82"
MODGPC29577,10-Apr-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł1,030.74"
MODGPC29578,11-Apr-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł961.75
MODGPC29579,04-Apr-12,Building Services                  , ELECTRICAL CONTRACTORS,"Ł1,626.00"
MODGPC29580,05-Apr-12,Building Services                  ," HEATING, PLUMBING, AIR COND",Ł700.68
MODGPC29581,02-Apr-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"Ł1,306.69"
MODGPC29582,04-Apr-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"Ł2,754.12"
MODGPC29583,04-Apr-12,Building Services                  , GEN CONTRACTORS RESIDENTL/COML,"Ł4,802.62"
MODGPC29584,02-Apr-12,Building Services                  , ELECTRICAL CONTRACTORS,Ł787.20
MODGPC29585,04-Apr-12,Building Services                  , ELECTRICAL CONTRACTORS,"Ł1,181.52"
MODGPC29586,02-Apr-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł3,500.89"
MODGPC29587,04-Apr-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,Ł787.20
MODGPC29588,05-Apr-12,Building Services                  , SPEC CONTRACTORS - DEFAULT,"Ł1,058.07"
MODGPC29589,10-Apr-12,Business Clothing and Footwear     , CLOTHING/RENT/COSTUME/UNIFO,Ł627.52
MODGPC29590,02-Apr-12,Business Clothing and Footwear     , UNIFORMS & COMMERCIAL CLOTHING,Ł736.61
MODGPC29591,11-Apr-12,Catering and Catering Supplies     , CATERERS,"Ł1,023.00"
MODGPC29592,03-Apr-12,Catering and Catering Supplies     , CATERERS,Ł894.44
MODGPC29593,10-Apr-12,Catering and Catering Supplies     , CATERERS,"Ł1,816.13"
MODGPC29594,11-Apr-12,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,Ł520.95
MODGPC29595,05-Apr-12,Catering and Catering Supplies     , MISC FOOD STORES - DEFAULT,"Ł1,040.00"
MODGPC29596,02-Apr-12,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,Ł531.00
MODGPC29597,04-Apr-12,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,"Ł1,828.80"
MODGPC29598,11-Apr-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,Ł594.00
MODGPC29599,10-Apr-12,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,"Ł3,758.88"
MODGPC29600,03-Apr-12,Cleaning Services and Supplies     , SPECIALTY CLEANING/POLISHING,"Ł1,443.60"
MODGPC29601,04-Apr-12,Cleaning Services and Supplies     , EXTERMINATING/DISINFECT SERV,Ł542.04
MODGPC29602,10-Apr-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł1,000.00"
MODGPC29603,11-Apr-12,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"Ł1,422.00"
