UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT
MODGPC29682,05-Apr-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,089.60"
MODGPC29683,03-Apr-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,"Ł2,550.00"
MODGPC29684,04-Apr-12,General Retail and Wholesale       , SPORTING GOODS STORES,"Ł4,975.00"
MODGPC29685,04-Apr-12,General Retail and Wholesale       , SPORTING GOODS STORES,"Ł1,990.00"
MODGPC29686,11-Apr-12,General Retail and Wholesale       , SPORTING GOODS STORES,Ł511.20
MODGPC29687,04-Apr-12,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,"Ł2,475.00"
MODGPC29688,11-Apr-12,General Retail and Wholesale       , SPORTING GOODS STORES,Ł793.44
MODGPC29689,04-Apr-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,Ł753.00
MODGPC29690,04-Apr-12,General Retail and Wholesale       , MISC GENERAL MERCHANDISE,Ł770.00
MODGPC29691,04-Apr-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,048.44"
MODGPC29692,12-Apr-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,Ł585.42
MODGPC29693,04-Apr-12,General Retail and Wholesale       , CAMERA & PHOTO SUPPLY STORE,"Ł1,349.55"
MODGPC29694,05-Apr-12,General Retail and Wholesale       , TAILOR/SEAMSTRESS/ALTERS,"Ł1,913.40"
MODGPC29695,03-Apr-12,General Retail and Wholesale       , SPORTING GOODS STORES,Ł724.80
MODGPC29696,02-Apr-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,Ł750.00
MODGPC29697,10-Apr-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,Ł661.00
MODGPC29698,02-Apr-12,General Retail and Wholesale       , MISC APPAREL/ACCESS STORES,Ł808.29
MODGPC29699,11-Apr-12,General Retail and Wholesale       , SPORTING GOODS STORES,Ł827.64
MODGPC29700,11-Apr-12,General Retail and Wholesale       , SPORTING GOODS STORES,Ł989.32
MODGPC29701,11-Apr-12,General Retail and Wholesale       , HOUSEHOLD APPLIANCE STORES,Ł657.55
MODGPC29702,03-Apr-12,General Retail and Wholesale       , SPORTING GOODS STORES,Ł715.34
MODGPC29703,11-Apr-12,General Retail and Wholesale       , TAILOR/SEAMSTRESS/ALTERS,"Ł1,110.00"
MODGPC29704,02-Apr-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł11,088.00"
MODGPC29705,11-Apr-12,General Retail and Wholesale       , ARTIST/CRAFT SHOPS,Ł976.14
MODGPC29706,02-Apr-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,Ł728.50
MODGPC29707,05-Apr-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł840.00
MODGPC29708,02-Apr-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,344.00"
MODGPC29709,05-Apr-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł5,080.10"
MODGPC29710,05-Apr-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł906.82
MODGPC29711,05-Apr-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł1,840.68"
MODGPC29712,05-Apr-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł2,210.40"
MODGPC29713,05-Apr-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,Ł589.58
MODGPC29714,05-Apr-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł3,356.28"
MODGPC29715,04-Apr-12,General Retail and Wholesale       , WOMENS ACCESS/SPECIALTY,"Ł2,178.00"
MODGPC29716,04-Apr-12,General Retail and Wholesale       , MENS/WOMENS CLOTHING STORES,"Ł1,200.00"
MODGPC29717,02-Apr-12,General Retail and Wholesale       , FURNITURE/EQUIP STORES,"Ł3,143.36"
MODGPC29718,04-Apr-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł8,862.00"
MODGPC29719,02-Apr-12,General Retail and Wholesale       , MISC SPECIALTY RETAIL,Ł564.00
MODGPC29720,05-Apr-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł3,498.55"
MODGPC29721,03-Apr-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł11,976.00"
MODGPC29722,10-Apr-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł1,702.80"
MODGPC29723,10-Apr-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,"Ł5,294.40"
MODGPC29724,10-Apr-12,General Retail and Wholesale       , HARDWARE STORES,Ł745.00
MODGPC29725,11-Apr-12,General Retail and Wholesale       , SPORTING GOODS STORES,Ł523.50
MODGPC29726,03-Apr-12,General Retail and Wholesale       , SPORTING GOODS STORES,"Ł2,963.59"
MODGPC29727,10-Apr-12,General Retail and Wholesale       , MUSIC STORES/PIANOS,Ł600.43
MODGPC29728,12-Apr-12,General Retail and Wholesale       , HARDWARE STORES,"Ł1,019.71"
MODGPC29729,12-Apr-12,General Retail and Wholesale       , HARDWARE STORES,"Ł1,527.95"
MODGPC29730,12-Apr-12,General Retail and Wholesale       , HARDWARE STORES,"Ł1,610.11"
MODGPC29731,12-Apr-12,General Retail and Wholesale       , HARDWARE STORES,Ł532.62
MODGPC29732,12-Apr-12,General Retail and Wholesale       , HARDWARE STORES,Ł580.51
MODGPC29733,12-Apr-12,General Retail and Wholesale       , HARDWARE STORES,Ł659.10
MODGPC29734,12-Apr-12,General Retail and Wholesale       , HARDWARE STORES,Ł669.05
