Spend over £25000 - Publication template,,,,,,,,
,,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,
Department for Education,National College for Leadership of Schools and Children's Services,01/02/2011,Programme Costs,Continuous Leadership Learning,Manchester Uni,107212,61463.75
Department for Education,National College for Leadership of Schools and Children's Services,01/02/2011,Programme Costs,Continuous Leadership Learning,Manchester Uni,107213,116797.50
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Programme Costs,Continuous Leadership Learning,Manchester Uni,107215,66027.45
Department for Education,National College for Leadership of Schools and Children's Services,09/02/2011,Programme Costs,School Leadership Development,Manchester Uni,107510,30000.00
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Programme Costs,Continuous Leadership Learning,Manchester Uni,108016,105736.40
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Programme Costs,Continuous Leadership Learning,Manchester Uni,108018,68794.91
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Programme Costs,Continuous Leadership Learning,Manchester Uni,108019,40807.92
Department for Education,National College for Leadership of Schools and Children's Services,10/02/2011,EHP Liability,Continuous Leadership Learning,Manchester Uni,Nat Col EHP Payment Scheme,63172.47
Department for Education,National College for Leadership of Schools and Children's Services,17/02/2011,EHP Liability,Continuous Leadership Learning,Manchester Uni,Nat Col EHP Payment Scheme,17122.88
Department for Education,National College for Leadership of Schools and Children's Services,24/02/2011,EHP Liability,Continuous Leadership Learning,Manchester Uni,Nat Col EHP Payment Scheme,25914.13
Department for Education,National College for Leadership of Schools and Children's Services,11/02/2011,Programme Costs,School Leadership Development,Manchester Metropolitan Uni,107599,47275.20
Department for Education,National College for Leadership of Schools and Children's Services,16/02/2011,ICT Running Costs,Corporate Services,Mimtech,107705,33600.00
Department for Education,National College for Leadership of Schools and Children's Services,16/02/2011,Irrecoverable Input VAT,Corporate Services,Mimtech,107705,6720.00
Department for Education,National College for Leadership of Schools and Children's Services,23/02/2011,Grants Made,School Leadership Development,Moulsham Junior School,SBM Primary partnershp grant,25000.00
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,School Leadership Development,New Greenhall School,Collab Fund grant,36780.00
Department for Education,National College for Leadership of Schools and Children's Services,08/02/2011,Irrecoverable Input VAT,Continuous Leadership Learning,Nord Anglia Education Ltd,107147,20058.33
Department for Education,National College for Leadership of Schools and Children's Services,08/02/2011,Programme Costs,Continuous Leadership Learning,Nord Anglia Education Ltd,107147,114619.00
Department for Education,National College for Leadership of Schools and Children's Services,07/02/2011,Irrecoverable Input VAT,Continuous Leadership Learning,Nord Anglia Education Ltd,107462,16614.50
Department for Education,National College for Leadership of Schools and Children's Services,07/02/2011,Programme Costs,Continuous Leadership Learning,Nord Anglia Education Ltd,107462,83072.50
Department for Education,National College for Leadership of Schools and Children's Services,14/02/2011,Irrecoverable Input VAT,Continuous Leadership Learning,Nord Anglia Education Ltd,107583,22371.60
Department for Education,National College for Leadership of Schools and Children's Services,14/02/2011,Programme Costs,Continuous Leadership Learning,Nord Anglia Education Ltd,107583,111858.00
Department for Education,National College for Leadership of Schools and Children's Services,25/02/2011,Programme Costs,Continuous Leadership Learning,Nord Anglia Education Ltd,107819,32000.00
Department for Education,National College for Leadership of Schools and Children's Services,03/02/2011,Grants Made,Childrens Services,North Lincolnshire LEA,Succession planning grant,107961.00
Department for Education,National College for Leadership of Schools and Children's Services,14/02/2011,Grants Made,School Leadership Development,Oakwood High School,Collab Fund Grant,51770.00
Department for Education,National College for Leadership of Schools and Children's Services,18/02/2011,ICT Running Costs,Corporate Services,OGC Buying Solutions,107743,40280.09
Department for Education,National College for Leadership of Schools and Children's Services,18/02/2011,Irrecoverable Input VAT,Corporate Services,OGC Buying Solutions,107743,8056.02
Department for Education,National College for Leadership of Schools and Children's Services,14/02/2011,Grants Made,School Leadership Development,Piper Hill High School,Collab Fund Grant,24210.00
Department for Education,National College for Leadership of Schools and Children's Services,28/02/2011,Grants Made,School Leadership Development,Piper Hill High School,Collab Fund Grant,1210.00
Department for Education,National College for Leadership of Schools and Children's Services,17/02/2011,Programme Costs,School Leadership Development,Ravens Wood School,107732,65000.00
