Department family,Entity,Date settled,Expense Type,Expense area,Supplier,Transaction number,Amount,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,United Kingdom Anti Doping Ltd,50000676,"469,800.00",UK ANTI-DOPING GIA JUNE 13
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport England,50000677,"2,000,000.00",SE GIA JUNE 13
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,50000678,"1,748,879.00",BFI GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,50000679,"20,500,000.00",ACE GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,The Royal Armouries,50000681,"561,032.00",RA GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Sir John Soane's Museum,50000682,"82,776.00",SJSM GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Museums & Galleries Merseyside,50000683,"1,568,931.00",NML GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50000685,"4,233,015.00",OFCOM GIA JUNE 2013 SPECTRUM MANAGEMENT
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50000686,"6,344,838.00",OFCOM GIA JUNE 13 SPECTRUM CLEARANCE
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Olympic Delivery Authority,Olympic Delivery Authority (Citi Tfr),50000687,"10,000,000.00",ODA GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,Churches Conservation Trust,50000688,"350,000.00",CCT GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,03/06/2013,Grant-in-Aid (DCMS NDPBs),OFCOM,OFCOM,50000689,"165,184.00",OFCOM ORPHAN COSTS GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,04/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,The Flag Consultancy Ltd,30030848,"5,107.20",6YD DOUBLE SIDED MALL UNION FLAGS
Department for Culture Media and Sport,Department for Culture Media and Sport,04/06/2013,Ceremonials - Other Costs,State Ceremonials Prog Costs,The Flag Consultancy Ltd,30030848,"25,536.00",6YD DOUBLE SIDED MALL UNION FLAGS
Department for Culture Media and Sport,Department for Culture Media and Sport,05/06/2013,T&S UK (Officials only),Procurement,Redfern Travel Limited,30030880,"26,023.08",TRAVEL & RECOVERY MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,05/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Gallery,50000651,"1,775,261.00",NG GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,05/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Maritime Museum,50000658,"1,261,583.00",RMG GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,05/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,British Library,50000663,"5,724,869.00",BL GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,05/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Tate Gallery,50000665,"2,741,167.00",TATE GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,05/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,British Museum,50000666,"4,765,085.00",BM GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,05/06/2013,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50000667,"35,455,500.00",BBC_GIA_JUNE_13_PT1
Department for Culture Media and Sport,Department for Culture Media and Sport,05/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,English Heritage,50000674,"6,500,000.00",EH GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,05/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,United Kingdom Sports Council,50000675,"2,407,204.00",UK SPORT GIA JUNE 13
Department for Culture Media and Sport,Department for Culture Media and Sport,05/06/2013,Grant-in-Aid (DCMS NDPBs),GIA Gambling + Lottery bodies,National Lottery Commission,50000680,"195,952.00",NLC GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,07/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Sport Resolutions (UK),30030907,"11,995.00",NADP SERVICE CONTRACT JUL-SEP 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,07/06/2013,Tribunal Administration Fees,Sports - Programme Costs,Sport Resolutions (UK),30030907,"59,975.00",NADP SERVICE CONTRACT JUL-SEP 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,07/06/2013,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50000668,"35,455,500.00",BBC_GIA_JUNE_13_PT2
Department for Culture Media and Sport,Department for Culture Media and Sport,10/06/2013,Legal Advice - Programme,Broadband Delivery UK (Admin),Pinsent Masons,30030892,"66,900.80",CAT Mobile Infrastructure Project
Department for Culture Media and Sport,Department for Culture Media and Sport,10/06/2013,Legal Advice - Programme,Broadband Delivery UK (Admin),Pinsent Masons,30030893,"49,678.76",Broadband Delivery UK
Department for Culture Media and Sport,Department for Culture Media and Sport,10/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Pinsent Masons,30030893,"9,935.75",Broadband Delivery UK
Department for Culture Media and Sport,Department for Culture Media and Sport,10/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Arena Structures,30030908,"10,732.91",HIRE TENTAGE - UAE STATE VISIT
Department for Culture Media and Sport,Department for Culture Media and Sport,10/06/2013,Ceremonials - Other Costs,State Ceremonials Prog Costs,Arena Structures,30030908,"53,664.57",HIRE TENTAGE - UAE STATE VISIT
Department for Culture Media and Sport,Department for Culture Media and Sport,11/06/2013,Grant to OGD (Resource),GIA Architecture+Heritage,Design Council CABE,30030825,"131,529.81",Redundancy for former CABE employees
Department for Culture Media and Sport,Department for Culture Media and Sport,11/06/2013,Management Consultants,Broadband Delivery UK (Admin),Atos IT Services UK Limited,30030925,"23,150.00",TRANS DBUK MIP MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,11/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Atos IT Services UK Limited,30030925,"4,630.00",TRANS DBUK MIP MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,12/06/2013,T&S UK (Officials only),Procurement,Redfern Travel Limited,30030946,"27,378.37",TRAVEL STATEMENT AND RECOVERY APR 13
Department for Culture Media and Sport,Department for Culture Media and Sport,12/06/2013,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50000669,"141,822,000.00",BBC_GIA_JUNE_13_PT3
Department for Culture Media and Sport,Department for Culture Media and Sport,13/06/2013,Management Consultants,Broadband Delivery UK (Admin),Local Partnerships,30030935,"67,658.40",BROADBAND MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,13/06/2013,Management Consultants,Broadband Delivery UK (Admin),KPMG LLP,30030965,"240,135.12",BDUK MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,13/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,KPMG LLP,30030965,"44,208.62",BDUK MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,18/06/2013,Grant to OGD (Resource),DCMS contribution toPFI grants,Dept for Communities & Local Govt,30031015,"7,222,037.00",Area based grant cont DCMS qtr 28.06.13
Department for Culture Media and Sport,Department for Culture Media and Sport,19/06/2013,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50000670,"35,455,500.00",BBC_GIA_JUNE_13_PT4
Department for Culture Media and Sport,Department for Culture Media and Sport,21/06/2013,Research,EAU Taking Part Survey,TNS UK LTD,30031064,"111,879.00",MAY/JUNE 13 FIELDWORK Y9
Department for Culture Media and Sport,Department for Culture Media and Sport,21/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,TNS UK LTD,30031064,"22,375.80",MAY/JUNE 13 FIELDWORK Y9
Department for Culture Media and Sport,Department for Culture Media and Sport,21/06/2013,Capital Grant Private Sector,Grant support to NFTS,National Film & Television School,50000713,"230,500.00",NFTS GIA JUNE 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,24/06/2013,IT Maintenance,Information Services,Atos IT Services UK Limited,30031046,"60,612.33",DCMS NEW SERVICE VARIOUS
Department for Culture Media and Sport,Department for Culture Media and Sport,24/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Atos IT Services UK Limited,30031046,"6,654.58",DCMS NEW SERVICE VARIOUS
Department for Culture Media and Sport,Department for Culture Media and Sport,24/06/2013,Legal Advice - Programme,Broadband Delivery UK (Admin),Pinsent Masons,30031057,"72,172.55",BROADBAND DELIVARY MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,24/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Pinsent Masons,30031057,"14,434.51",BROADBAND DELIVARY MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,24/06/2013,Legal Advice - Programme,Broadband Delivery UK (Admin),Pinsent Masons,30031058,"35,042.10",(CAT)MOBILE INFRA PROJ MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,24/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Pinsent Masons,30031058,"7,008.42",(CAT)MOBILE INFRA PROJ MAY 13
Department for Culture Media and Sport,Department for Culture Media and Sport,24/06/2013,FF Revaluations,Estates & Property Services,Carillion Services Ltd,30031063,"74,849.42",DCMS - MAY13 ADDTNL WK 2
Department for Culture Media and Sport,Department for Culture Media and Sport,24/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Carillion Services Ltd,30031063,"14,969.88",DCMS - MAY13 ADDTNL WK 2
Department for Culture Media and Sport,Department for Culture Media and Sport,26/06/2013,Grant to BBC:Home Broadcasting,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50000671,"34,455,500.00",BBC_GIA_JUNE_13_PT5
Department for Culture Media and Sport,Department for Culture Media and Sport,27/06/2013,Building Maintenance,Estates & Property Services,Carillion Services Ltd,30030934,"20,967.37",MAY13 CORE
Department for Culture Media and Sport,Department for Culture Media and Sport,27/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Carillion Services Ltd,30030934,"4,193.48",MAY13 CORE
Department for Culture Media and Sport,Department for Culture Media and Sport,28/06/2013,Finance & Accounting Services,Finance & Planning,Liberata UK Ltd,30030870,"21,496.82",Accounting Services - DCMS
Department for Culture Media and Sport,Department for Culture Media and Sport,28/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Liberata UK Ltd,30030870,"4,299.36",Accounting Services - DCMS
Department for Culture Media and Sport,Department for Culture Media and Sport,28/06/2013,International Subscriptions,Media - Programme Costs,European Audiovisual Observatory,30031097,"140,069.00",2013 CONTRIBUTION PART 2
Department for Culture Media and Sport,Department for Culture Media and Sport,28/06/2013,Current Grants Private Sector,Media - Programme Costs,Multiplex Broadcasting Services NI Ltd,30031098,"45,486.73",MARCH-AORIL 2013
Department for Culture Media and Sport,Department for Culture Media and Sport,28/06/2013,Other Consultancy,Broadband Delivery UK (Admin),Grant Thornton UK LLP,30031102,"112,468.00",BROADBAND DELIVERY STAGE 1.01- 8.01
Department for Culture Media and Sport,Department for Culture Media and Sport,28/06/2013,VAT-Recoverable Contracted-Out,Misc Balance Sheet,Grant Thornton UK LLP,30031102,"22,493.60",BROADBAND DELIVERY STAGE 1.01- 8.01
