Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,26/06/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,HERTSMERE BOROUGH COUNCIL,WD6 1WA,28264,Rent buildings - non civil estate property and married quarter property,"Ł37,878.59"
Ministry of Defence,Ministry of Defence,22/06/2015,Development costs for military equipment,Defence Equipment + Support,AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,WC1V 6QS,25412,Intangible single use military equipment asset  - in year capital addition,"Ł37,806.09"
Ministry of Defence,Ministry of Defence,11/06/2015,Food and clothing,DEFENCE INFRASTRUCTURE ORGANISATION,SODEXO LTD,M50 0AL,21213,Cost of clothing and textile services received,"Ł37,754.88"
Ministry of Defence,Ministry of Defence,29/06/2015,Fuel for military use,Air Command,HARVEST ENERGY LIMITED,W1H 7JT,28810,Cost of ground diesel fuel consumed,"Ł37,647.16"
Ministry of Defence,Ministry of Defence,05/06/2015,Design services and minor equipment purchases,DES Bespoke Trading Entity,KPMG LLP,WD17 1DE,19153,Equipment support non-project costs,"Ł37,628.00"
Ministry of Defence,Ministry of Defence,02/06/2015,"Adminstration, claims, compensation and awards",HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000120,Cost of claims/compensation and related expenses against MOD,"Ł37,617.00"
Ministry of Defence,Ministry of Defence,02/06/2015,Medical treatment & stores and welfare services,JFC,DR P TAYLOR AND PARTNERS,BS15 3HY,17298,Medical health services,"Ł37,577.16"
Ministry of Defence,Ministry of Defence,15/06/2015,Fees for professional services,HO+CS,DEFENCE SCIENCE & TECHNOLOGY LABORATORY,PO14 9HL,22733,Costs of administration services/manpower support provided by Defence Science and Technology laboratory excluding research and development,"Ł37,565.07"
Ministry of Defence,Ministry of Defence,02/06/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,VALE OF GLAMORGAN COUNCIL,CF63 4YN,17832,Rent buildings - non civil estate property and married quarter property,"Ł37,562.88"
Ministry of Defence,Ministry of Defence,24/06/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,VALE OF GLAMORGAN COUNCIL,CF63 4YN,27410,Rent buildings - non civil estate property and married quarter property,"Ł37,562.88"
