UniqueRef,TRANSACTION DATE,MERCHANT CATEGORY,MERCHANT CATEGORY DESC,AMOUNT,SortFunction
MODGPC64381,05-Jul-13,Cleaning Services and Supplies     , LAUNDRY/CLEANING/GARMENT SV,"7,455.60",64381
MODGPC64382,05-Jul-13,Cleaning Services and Supplies     , DRY CLEANERS,"1,907.88",64382
MODGPC64383,02-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"2,324.44",64383
MODGPC64384,09-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,525.07,64384
MODGPC64385,05-Jul-13,Cleaning Services and Supplies     , EXTERMINATING/DISINFECT SERV,828.1,64385
MODGPC64386,04-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"1,001.92",64386
MODGPC64387,04-Jul-13,Cleaning Services and Supplies     , DRY CLEANERS,568.8,64387
MODGPC64388,11-Jul-13,Cleaning Services and Supplies     , DRY CLEANERS,"2,900.00",64388
MODGPC64389,01-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,662.46,64389
MODGPC64390,10-Jul-13,Cleaning Services and Supplies     , CLEAN/MAINT/JANITORAL SERV,"2,426.40",64390
MODGPC64391,11-Jul-13,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,780,64391
MODGPC64392,11-Jul-13,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"1,260.00",64392
MODGPC64393,01-Jul-13,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,560,64393
MODGPC64394,08-Jul-13,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,"1,526.00",64394
MODGPC64395,01-Jul-13,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,792,64395
MODGPC64396,02-Jul-13,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"2,346.08",64396
MODGPC64397,03-Jul-13,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"2,400.00",64397
MODGPC64398,11-Jul-13,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"1,500.00",64398
MODGPC64399,09-Jul-13,Clubs/Associations/Organisations   , CHARITABLE/SOC SERVICE ORGS,680,64399
MODGPC64400,11-Jul-13,Clubs/Associations/Organisations   , MEMBER ORGANIZATIONS - DEF,"2,022.00",64400
MODGPC64401,09-Jul-13,Computer Equipment & Services      , COMPUTER PROGRAM/SYS DESIGN,"3,413.72",64401
MODGPC64402,04-Jul-13,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"2,058.00",64402
MODGPC64403,11-Jul-13,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,"8,101.54",64403
MODGPC64404,01-Jul-13,Computer Equipment & Services      , COMPUTERS/PERIPHERALS/SOFTWARE,960,64404
