Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier tab final,Contract Number,,,,,,,,,,,,,,,
Department of Health,Department of Health,41859,Revenue Grants to non-profit institutions,DG: SCLGCP,THE MENS HEALTH FORUM,ERS-525026-92741,51666.66,SPP003- Men's Health Forum - SPP 2014-15 July Payment,SE1 0EH,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,11/08/2014,Service charge,DG: IGT,ATTENDA LTD,1029115,"£270,733.20",Revenue: Attenda Choices - Annual Licence for the provision of Akamai Kona site Defender  (up to 300.000GB) with service management pack,TW18 4EX,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,11/08/2014,Outsourcing Contract,DG: SCLGCP,SKILLS FOR HEALTH LTD,2082,"£38,400.00",Skills for Health work on guidance for commissioners and employers to minimise the use of restrictive practices in social care and health,BS2 0JP,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,11/08/2014,Secondees in invoiced costs,DG: PHD,PUBLIC HEALTH ENGLAND PHE033,6065220,"£57,656.87",Professor David Walker secondment from PHE to DH as Deputy Chief Medical Officer: salary recharges; expenses incurred whilst undertaking work for DH as DCMO; and detached duty/2nd home allowance.,SW1W 9SZ,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,11/08/2014,Secondees in invoiced costs,DG: PHD,PUBLIC HEALTH ENGLAND PHE033,6065220,"£8,342.44","Additional funds to cover 2013/14 Q4 salary recharges, travel and subsistence for David Walker seconded to DH from PHE.",SW1W 9SZ,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,11/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,SAMARITANS,ERS-525080-92761,"£86,740.00",Year 1 of 2014/15 award for IESD 54154714,KT17 2AF,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,11/08/2014,Additions FT Financing Facility Loans,DG: Holding CT Core,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,HAFS-17316,"£12,100,000.00",,SE5 9RS,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,11/08/2014,Additions FT Financing Facility Loans,DG: Holding CT Core,LANCASHIRE CARE NHS FOUNDATION TRUST,HAFS-17317,"£3,900,000.00",,PR5 6XT,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,11/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,HAFS-17318,"£48,000.00",,CO4 5JL,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,11/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,HAFS-17319,"£400,000.00",,SE5 9RS,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,11/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,HAFS-17320,"£1,600,000.00",,SE5 9RS,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,11/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,HAFS-17321,"£200,000.00",,SE5 9RS,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41862,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,HAFS-17322,200000,,SE5 9RS,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,11/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,HAFS-17323,"£66,000.00",,NG17 4JL,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Outsourcing Contract,DG: IGT,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),0000011784,"£34,776.00",Management of logistics and supply chain elements of contracts for supply and management of a buffer stock of medicines.,NE1 6SN,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Outsourcing Contract,DG: GOAD,NHS SHARED BUSINESS SERVICES SBS,100025953,"£92,563.50",Annual Support Costs for BMS as per CCN Number: DHBMS.006.01/14 - From April 2014 - March 2015,WF3 1WE,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Addition Clearing - SW LIC,DG: IGT,BJSS LTD,12051,"£234,316.21",Capital: Spine 2 BJSS. - Spine 2 Development,LS1 2TW,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584164609,"£303,567.60",WR0475: Video Conferencing Maintenance from 01/07/01 -30/06/15 Replaces PO515667 ,WS11 0JA,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Contractor/Staff Substitution,DG: ERD,MOUCHEL MANAGEMENT CONSULTING LTD,90169502,"£184,709.23",non transferring staff,GU21 6QX,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Service charge,DG: IGT,MASTEK UK LTD,90332607,"£308,389.55",Revenue: Mastek Spine 2 - Reserve for the agile services to be delivered under the development contract for the delivery of IAM services,RG1 8BW,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Research & development,DG: RDD,QUANTUMDX GROUP LTD,DH11/LS-1010-10014,"£41,208.00",Invention for Innovation,CR8 4EJ,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Research & development,DG: RDD,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,ERS-525129-92806,"£33,953.00",AD-HOC - ETC,HU16 5JQ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Research & development,DG: RDD,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,ERS-525139-92803,"£116,923.00",Research Capability Funding,SO52 9AB,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Research & development,DG: RDD,TECHNOLOGY STRATEGY BOARD (TSB),ERS-525197-92822,"£50,298.87",Invention for Innovation,SN2 1FF,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41863,Research & development,DG: RDD,TECHNOLOGY STRATEGY BOARD (TSB),ERS-525198-92823,82813.33,Invention for Innovation,SN2 1FF,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Research & development,DG: RDD,CITY UNIVERSITY LONDON,ERS-525202-92825,"£38,280.00",Invention for Innovation,EC1V 0HB,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-525203-92827,"£208,380.00",Invention for Innovation,WC1E 6BT,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Research & development,DG: RDD,ECONOMIC AND SOCIAL RESEARCH COUNCIL (ESRC),ERS-525204-92821,"£100,000.00",PROJECTS,SN2 1UJ,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Outsourcing Contract,DG: Holding CT Core,ECORYS UK LTD,INV11785,"£35,883.70",Ecorys Funding for CANParent trial April 2014 to March 2015,B1 2RA,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Service charge,DG: IGT,INTECHNOLOGY LTD,ISIN10044,"£43,014.00",Revenue: InTechnology Spine 2 - Spine 2 core hosting - to end 14-15 ,HG3 1UG,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,12/08/2014,Service charge,DG: IGT,INTECHNOLOGY LTD,ISIN10045,"£35,066.40",Revenue: InTechnology Spine 2 - Spine 2 core hosting - to end 14-15 ,HG3 1UG,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,13/08/2014,Outsourcing Contract,DG: PHD,IMPERIAL COLLEGE LONDON,10115558,"£31,572.84",Toxicological services to the Tobacco Programme for period covering 2012/13 to 2014/15,SW7 2AZ,,Programme,Public,13568,,,,,,,,,,,,,,,
Department of Health,Department of Health,13/08/2014,Policy Payments,DG: ERD,NHS PENSIONS AGENCY,12594,"£939,044.75",Injury Benefits Liabilities (SHA & PCT Legacy),FY7 8LG,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,13/08/2014,Service charge,DG: IGT,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12667935,"£2,548,171.22",Revenue: HSCIC Choices - Recharge for admin related costs April 14 to March 15,LS1 6AE,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,13/08/2014,Policy Payments,DG: ERD,NHS PENSIONS AGENCY,1698840,"£3,304,274.56",Past Employee Pensions Liabilities (redundancy),FY7 8LG,,Admin,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,13/08/2014,Service charge,DG: IGT,BT GROUP PLC,362551,"£2,452,960.41",Revenue: LSP South 14/15,NW9 6LB,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41864,Service charge,DG: IGT,BT GROUP PLC,362553,975073,Revenue: LSP South 14/15,NW9 6LB,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,13/08/2014,Addition Clearing - SW LIC,DG: IGT,MASTEK UK LTD,90332800,"£364,493.90",Capital: SUS spine MASTEK 14/15,RG1 8BW,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,13/08/2014,Provisions cash payment,DG: ERD,NHS INJURY BENEFITS SCHEME,ERS-525271-92841,"£4,405,124.92","Injury Allowance Recharging Payment, August 2014",FY7 8LG,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,13/08/2014,Addition Clearing - SW LIC,DG: IGT,THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOC004,"£20,000.00",GP Soc: TPP Capital costs May 2014 - March 2015,LS18 5TN,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,13/08/2014,Service charge,DG: IGT,THE PHOENIX PARTNERSHIP (LEEDS) LTD,GPSOC004,"£217,766.70",GP Soc: TPP Revenue costs May 2014 - March 2015,LS18 5TN,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,13/08/2014,Storage costs,DG: GOAD,IRON MOUNTAIN (UK) LTD,RP13109-RP13158,"£25,921.37",File Storage and retrieval for ES436 - Dudley PCT,EH54 5DL,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,13/08/2014,Addition Clearing - SW LIC,DG: IGT,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,W0081556,"£29,003.10",LSP NME Cap: South Warwickshire Lorenzo,CV34 5BW,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,13/08/2014,Service charge,DG: IGT,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,W0081556,"£14,781.73",LSP NME Rev: South Warwickshire Lorenzo,CV34 5BW,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Professional fees,DG: GOAD,IP INFRASTRUCTURES LTD TAS GCI,0000000025,"£65,892.00",,LN3 4NT,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Consultancy/Professional Advice,DG: PHD,PREDERI LTD,00249,"£30,240.00","Prederi Ltd Migrant Access £25,650 EEA Citizens and EU Study work",NW1 6JJ,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Outsourcing Contract,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-375,"£2,795,341.28",April 14 - March 15 Core Service Charges,SL1 2EJ,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Facilities management: contract,DG: SFNHS,Hammerson Ltd,156-01-14,"£25,277.09","SO1010 - Northumbria House, Cramlington- dilapidations",SN1 1DA,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41865,Service charge,DG: IGT,BT GROUP PLC,360770,81306.42,Revenue: BT Spine - Committed 2014/15,NW9 5BA,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Service charge,DG: IGT,BT GROUP PLC,362089,"£131,645.03",Revenue: BT Spine - Committed 2014/15,NW9 5BA,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Service charge,DG: IGT,BT GROUP PLC,362566,"£3,638,380.76",Revenue: London LSP 14/15,NW9 6LB,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Service charge,DG: IGT,BT GROUP PLC,362567,"£1,090,889.50",Revenue: London LSP 14/15,NW9 6LB,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Addition Clearing - SW LIC,DG: IGT,IN PRACTICE SYSTEMS LTD,408192,"£172,484.31",Capital: In Practice Systems GPSoC - 3 month capital charges for the period commencing 01-01-14 . Software License Charges. Module Charges,SW8 3QJ,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Service charge,DG: IGT,CSC COMPUTER SCIENCES LTD,5201378296,"£6,974,090.25",Revenue: LSP NME CSC - F/Y 2014/15 Non Lorenzo Service Charge Revenue requirements (committed costs only),PR1 8UQ,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Addition Clearing - SW LIC,DG: IGT,CSC COMPUTER SCIENCES LTD,5201378297,"£207,731.15",Capital: LSP NME CSC - F/Y 2014/15 - Non Lorenzo Deployment. Capital cash requirements (committed costs only),PR1 8UQ,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Service charge,DG: IGT,CSC COMPUTER SCIENCES LTD,5201378298,"£284,673.23",Revenue: LSP NME CSC - F/Y 2014/15 Lorenzo Service Charge Revenue requirements (committed costs only),PR1 8UQ,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Service charge,DG: IGT,PREMIER IT GROUP LTD,57032,"£72,977.54",Revenue: Premiere IT - Choices. - Design and delivery of an e-learning platform to suppor the end user training for the new IAM solution,SW1P 2AL,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Addition Clearing - SW LIC,DG: IGT,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6001228,"£69,251.59",LSP NME iro Barnsley capital 14/15,S75 2PS,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Addition Clearing - SW LIC,DG: IGT,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6001228,"£20,736.00",Capital: LSP NME Barnsley FT - F/Y 2013/14 STAF and LC costs for Lorenzo Deployment,S75 2PS,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Service charge,DG: IGT,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6001228,"£51,427.04",Revenue: LSP NME Barnsley FT - F/Y 2013/14 STAF and LC costs for Lorenzo Deployment,S75 2PS,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41865,Service charge,DG: IGT,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6001228,556797.62,LSP NME iro Barnsley revenue 14/15,S75 2PS,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Policy Payments,DG: PHD,MINISTRY OF DEFENCE (MOD),7373135,"£688,490.37",Payments to MoD for costs of medical treatment for UK armed forces personnel and dependents in Germany (13-14 costs),L2 3YL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Policy Payments,DG: PHD,MINISTRY OF DEFENCE (MOD),7373135,"£8,455.27",Ministry of Defence 2014-2015 recharges UK personnel in Germany healthcare,L2 3YL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9045000016,"£134,915.33",NHS Supply Chain - SFVS Distributor funding 2014/15 - To cover 1st quarter invoices,DE55 4QJ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9045000017,"£2,754,931.27",NHS Supply Chain - SFVS Distributor funding 2014/15 - To cover 1st quarter invoices,DE55 4QJ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Outsourcing Contract,DG: PHD,NHS SUPPLY CHAIN,9045000018,"£147,850.18",NHS Supply Chain - SFVS Distributor funding 2014/15 - To cover 1st quarter invoices,DE55 4QJ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Arm Length Bodies-Revenue Subsidy,DG: PHD,NHS BLOOD AND TRANSPLANT (NHSBT),951189,"£5,412,000.00",NHSBT 14/15 Revenue drawdown,LS15 7TW,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,ENDPBs Admin Revenue Grant in Aid,DG: ERD,PROFESSIONSAL STANDARDS AUTHORITY,DH060,"£300,000.00",PSA Grant-In-Aid Revenue Cash Drawdown 2014/15,SW1W 9SP,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Contractor/Staff Substitution,DG: GOAD,Optevia Ltd,DfH005,"£33,660.00",Build / Design costs for CONTACT replacement project,ME18 5JH,,Admin,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,CRUSE BEREAVEMENT CARE LTD,ERS-525294-92861,"£30,257.00",2012-13 - IESD - Cruse Bereavement Care - Project: Early intervention to prevent the onset of prolonged grief disorder in recently bereaved people - AIMS 1754812,TW9 1UR,,Other,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,BRITISH INSTITUTE OF HUMAN RIGHTS,ERS-525310-92881,"£43,727.00",IESD 54155692 2014/15 - Care and Support,WC2B 4LL,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,NATIONAL VOICES,ERS-525320-92901,"£51,666.66",SPP010 - National Voices - SPP 2014-15 July Payment,EC4Y 8EE,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41865,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-525328-92921,25585,AD-HOC - ETC,E1 8PR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Other programme expenditure,DG: GOAD,NHS Barnsley CCG,MONEY TRANSFERRED,"£38,843.27",,S9 4EU,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Service charge,DG: IGT,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,W0080832,"£60,000.00",Revenue: NME STAFA South Warwickshire Lorenzo Deployment,CV34 5BW,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,14/08/2014,Service charge,DG: IGT,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,W0081123,"£94,800.00",Revenue: NME STAFA South Warwickshire Lorenzo Deployment,CV34 5BW,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Addition Clearing - SW LIC,DG: IGT,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210010809,"£44,807.08",Capital: Hull & East Yorks Trust LSP NME,HU16 5JQ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Addition Clearing - SW LIC,DG: IGT,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210010809,"£10,296.88",Capital:  Hull and East Yorks Trust NME - F/Y 2014/15 STAF & LC costs for Lorenzo deployment,HU16 5JQ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Service charge,DG: IGT,HULL AND EAST YORKSHIRE HOSPITALS NHS TRUST,1210010809,"£13,906.32",Revenue: Hull & East Yorks Trust LSP NME,HU16 5JQ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Outsourcing Contract,DG: PHD,SERCO LTD,91029737,"£252,734.12",Serco Ltd - For services provided on the Healthy Start Issuing Unit (HSIU) - April 2014 to March 2017,RG27 9UY,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Revenue Grants to local authorities,DG: SCLGCP,EALING LONDON BOROUGH COUNCIL,ERS-525342-92941,"£381,024.00",Local Reform & Community Voices and Care Bill Implmentation grants,W5 2HL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Capital Grants to local authorities,DG: SCLGCP,EALING LONDON BOROUGH COUNCIL,ERS-525343-92942,"£777,690.00",Community Capacity Grant,W5 2HL,,Programme,Public,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-525346-92966,"£41,922.00",Research Capability Funding,L12 2AP,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,ERS-525346-92966,"£40,530.00",CRFs - CRII,L12 2AP,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41866,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-525347-93020,116645,Research Capability Funding,E1 8PR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-525347-93020,"£2,451,950.00",Comprehensive Networks,E1 8PR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-525347-93020,"£77,484.00",Comprehensive Networks,E1 8PR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-525347-93020,"£83,335.00",CLAHRCs,E1 8PR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,BARTS HEALTH NHS TRUST,ERS-525347-93020,"£109,290.00",Biomedical Units,E1 8PR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,ERS-525348-93003,"£25,402.00",Research Capability Funding,B15 2PZ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,ERS-525350-92963,"£63,247.00",Research Capability Funding,WF3 1WE,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-525351-93002,"£54,545.00",CRFs - CRII,BN2 3EW,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,ERS-525351-93002,"£39,962.00",Research Capability Funding,BN2 3EW,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-525353-92969,"£87,652.00",Biomedical Units,CB2 2QQ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-525353-92969,"£197,255.00",CRFs - CRII,CB2 2QQ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-525353-92969,"£607,692.00",Research Capability Funding,CB2 2QQ,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41866,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-525354-92990,166666,CLAHRCs,CB1 5EE,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,ERS-525354-92990,"£45,110.00",Research Capability Funding,CB1 5EE,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,ERS-525355-93016,"£68,860.00",Research Capability Funding,NW1 0PE,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,ERS-525356-92994,"£16,544.00",Research for Patient Benefit,NW1 7QY,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,ERS-525356-92994,"£27,549.00",Research Capability Funding,NW1 7QY,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-525357-92997,"£122,745.00",Research Capability Funding,M13 0JR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-525357-92997,"£91,667.00",Biomedical Units,M13 0JR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-525357-92997,"£100,000.00",CRFs - CRII,M13 0JR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-525357-92997,"£65,338.00",Network Research Capability Funding,M13 0JR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-525357-92997,"£1,494,340.00",Network Research Capability Funding,M13 0JR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,ERS-525357-92997,"£18,944.00",Research for Patient Benefit,M13 0JR,,Programme,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,15/08/2014,Research & development,DG: RDD,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,ERS-525358-92986,"£164,557.00",CLAHRCs,SW10 9NH,,Programme,NHS,,,,,,,,,,,,,,,,
