Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier tab final,Contract Number,,,,,,,,,,,,,,,
Department of Health,Department of Health,41855,Storage costs,DG: IGT,KENT PHARMACEUTICALS LTD,9000070546,11793.36,amoxicillin_125mg/5ml_liquid100ml,TN23 6LL,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Storage costs,DG: IGT,KENT PHARMACEUTICALS LTD,9000070546,"£2,781.59",Trimethprim_200mg_Caps / Tabs14,TN23 6LL,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Storage costs,DG: IGT,KENT PHARMACEUTICALS LTD,9000070546,"£8,017.01",Simvastatin_40mg_Caps / Tabs28,TN23 6LL,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Storage costs,DG: IGT,KENT PHARMACEUTICALS LTD,9000070546,"£14,242.15",Penoxymethylpenicillin_250mgCaps / Tabs28,TN23 6LL,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Storage costs,DG: IGT,KENT PHARMACEUTICALS LTD,9000070546,"£19,818.84",Flucloxacillin_500mg_Caps / Tabs28,TN23 6LL,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Storage costs,DG: IGT,KENT PHARMACEUTICALS LTD,9000070546,"£5,336.38",Flucloxacillin_250mg_Caps / Tabs28,TN23 6LL,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Storage costs,DG: IGT,KENT PHARMACEUTICALS LTD,9000070546,"£2,417.53",Erythromycin_250mg_Caps / Tabs28,TN23 6LL,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Storage costs,DG: IGT,KENT PHARMACEUTICALS LTD,9000070546,"£13,594.56",Amoxicillin_500mg_Caps / Tabs21,TN23 6LL,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Storage costs,DG: IGT,KENT PHARMACEUTICALS LTD,9000070546,"£8,717.51",Amoxicillin_250mg_Caps / Tabs21,TN23 6LL,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Outsourcing Contract,DG: PHD,SERCO LTD,91019003,"£256,097.91",Serco Ltd - For services provided on the Healthy Start Issuing Unit (HSIU) - April 2014 to March 2017,RG27 9UY,,Programme,Private,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,The Care Leavers Association,ERS-524451-91901,"£34,237.00",2014-15 IESD award to The Care Leavers Association ref 54136168,M2 2BE,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Revenue Grants to non-profit institutions,DG: SCLGCP,INVOLVE YORKSHIRE & HUMBER,ERS-524454-91921,"£51,666.66",SPP011 - INVOLVE Y & H - SPP 2014-15 July Payment,LS3 1AB,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41855,Revenue Grants to non-profit institutions,DG: SCLGCP,THE STROKE ASSOCIATION,ERS-524482-91941,32500,"IESD 2012/13 - The Stroke Association - Communities, Volunteering and Localism - AIMS 1768085",EC1V 2PR,,Other,Voluntary,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions FT Financing Facility Loans,DG: Holding CT Core,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,HAFS-17294,"£877,000.00",,WN1 1XX,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions FT Financing Facility Loans,DG: Holding CT Core,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,HAFS-17295,"£2,955,000.00",,WN1 1XX,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,HAFS-17297,"£16,500,000.00",,EC1V 2PD,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,CROYDON HEALTH SERVICES NHS TRUST,HAFS-17298,"£3,500,000.00",,CR7 7YE,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Revenue Support NHS T Permenant,DG: Holding CT Core,MID YORKSHIRE HOSPITALS NHS TRUST,HAFS-17299,"£9,000,000.00",,WF1 4TU,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,NORTH BRISTOL NHS TRUST,HAFS-17300,"£74,000.00",,BS1 2NP,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,NORTH BRISTOL NHS TRUST,HAFS-17301,"£121,000.00",,BS1 2NP,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,NORTH BRISTOL NHS TRUST,HAFS-17302,"£3,265,000.00",,BS1 2NP,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Capital Support NHS T Permenant,DG: Holding CT Core,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,HAFS-17303,"£1,000,000.00",,NG5 1PT,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Revenue Support NHS FT Permenant,DG: Holding CT Core,ROYAL FREE LONDON NHS FOUNDATION TRUST,HAFS-17304,"£33,193,000.00",,NW3 2QG,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,THE SOLENT NHS TRUST R1C,HAFS-17305,"£5,000,000.00",,SO16 4XE,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,41855,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,HAFS-17306,115000,,BS99 1YF,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,HAFS-17307,"£494,000.00",,BS99 1YF,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,MID STAFFORDSHIRE NHS FOUNDATION TRUST,HAFS-17308,"£300,000.00",,ST16 3SA,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,MID STAFFORDSHIRE NHS FOUNDATION TRUST,HAFS-17309,"£4,039,000.00",,ST16 3SA,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,HAFS-17310,"£2,217,000.00",,MK6 5LD,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,NORTH WEST LONDON HOSPITALS NHS TRUST,HAFS-17311,"£4,770,000.00",,HA1 3UJ,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Capital Support NHS FT Permenant,DG: Holding CT Core,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-17312,"£292,000.00",,PE3 6DA,,Other,NHS,,,,,,,,,,,,,,,,
Department of Health,Department of Health,04/08/2014,Additions PDC Revenue Support NHS FT Temporary,DG: Holding CT Core,PETERBOROUGH AND STAMFORD HOSPITALS NHS FOUNDATION TRUST,HAFS-17313,"£3,708,000.00",,PE3 6DA,,Other,NHS,,,,,,,,,,,,,,,,
