Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,13/09/2012,Publicity & advertising,External Relations,Data Lateral Ltd,LARGE,NG17 5FB,108196,"53,351.00",,Games4Life PAPs Postage Costs,Programme,
Department of Health,Department of Health,13/09/2012,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00250494RI,"35,842.00",,"Skipton House - Computer Suite A/C Scheme, Ref:288964",Admin,
Department of Health,Department of Health,13/09/2012,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00250498RI,"26,167.00",,Richmond House - Refurbishment of 1st Floor Showers,Admin,
Department of Health,Department of Health,13/09/2012,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00250499RI,"56,035.00",,Skipton House - 6th Floor Balcony Area 'C' Water Leak - New Kemperol System - Ref:JDE329476,Admin,
Department of Health,Department of Health,13/09/2012,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00250500RI,"56,035.00",,Skipton House - 6th Floor Balcony Area 'A' Water Leak - New Kemperol System - Ref:JDE328844,Admin,
Department of Health,Department of Health,13/09/2012,Addition Clearing - OLB,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00250501RI,"53,097.00",,"Skipton House 3rd floor refurbishment work in area B, to install double glazed partition",Admin,
Department of Health,Department of Health,13/09/2012,Cleaning: contract,Goverance Operations & Assurance,EMCOR FACILITIES SERVICES LTD,LARGE,SO53 3YE,00250503RI,"23,517.00",,To provide carpet cleaning services to all areas in SKH until end of June,Admin,
Department of Health,Department of Health,13/09/2012,Computer Software/License,Informatics Directorate,INSIGHT DIRECT (UK) LTD,,,15463429,"41,043.00",,,,
Department of Health,Department of Health,13/09/2012,Professional fees,NHS Finance Operations & Performance,BEARING POINT LTD,SME,WC2B 5DG,4520300244,"37,028.00",,Yorkshire Ambulance Service NHS Trust.  NHSFT Financial Assessments.,Programme,
Department of Health,Department of Health,13/09/2012,Outsourcing Contract,Public Health,2E2 UK LTD,LARGE,Berkshire,PRI049509,"284,963.00",,ImmForm Managed Service,Programme,
Department of Health,Department of Health,13/09/2012,Research & development,Research & Development,ECONOMIC AND SOCIAL RESEARCH COUNCIL (ESRC),PUBLIC,SN2 1UJ,ERS-470512-63821,"236,080.00",,NA,Programme,
Department of Health,Department of Health,13/09/2012,Outsourcing Contract,Improvement & Efficency,South of England Advocacy Projects,VCS,TN34 1HL,SIN002421,"291,112.00",,The extension of the current ICAS contract for the provision of independent advocacy by SEAP,Programme,
Department of Health,Department of Health,14/09/2012,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,2836001-18-SEP-12,"12,440.00",,,Other,
Department of Health,Department of Health,17/09/2012,Public Dividend Capital (Dividend Payments) by NHS Trusts,CENTRAL TECHNICAL,BIRMINGHAM COMMUNITY HEALTHCARE NHS TRUST,PUBLIC,B13 8JL,REPAYMENT OF PDC DIVIDENDS REFUND,"2,302,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Public Dividend Capital (Dividend Payments) by NHS Foundation Trusts,CENTRAL TECHNICAL,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,PUBLIC,DH1 5RD,REPAYMENT OF PDC DIVIDENDS REFUND,"525,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Public Dividend Capital (Dividend Payments) by NHS Trusts,CENTRAL TECHNICAL,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,PUBLIC,NR1 3FR,REPAYMENT OF PDC DIVIDENDS REFUND,"83,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Public Dividend Capital (Dividend Payments) by NHS Foundation Trusts,CENTRAL TECHNICAL,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,PUBLIC,NE27 0QJ,REPAYMENT OF PDC DIVIDENDS REFUND,"152,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Public Dividend Capital (Dividend Payments) by NHS Trusts,CENTRAL TECHNICAL,THE DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST,PUBLIC,,REPAYMENT OF PDC DIVIDENDS REFUND,"2,161,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Public Dividend Capital (Dividend Payments) by NHS Trusts,CENTRAL TECHNICAL,THE SOLENT NHS TRUST,PUBLIC,WF3 1WE,REPAYMENT OF PDC DIVIDENDS REFUND,"108,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions NHS Trust Capital Investment Loans,CENTRAL TECHNICAL,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,HAFS-14054,"7,639,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions NHS Trust Working Capital Loans,CENTRAL TECHNICAL,EAST & NORTH HERTFORDSHIRE NHS TRUST,PUBLIC,BS1 2NP,HAFS-14055,"5,019,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions NHS Trust Working Capital Loans,CENTRAL TECHNICAL,HERTFORDSHIRE COMMUNITY NHS TRUST,PUBLIC,AL7 1BW,HAFS-14056,"3,500,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions NHS Trust Capital Investment Loans,CENTRAL TECHNICAL,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,HAFS-14057,"9,000,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions NHS Trust Capital Investment Loans,CENTRAL TECHNICAL,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,PUBLIC,HA7 4LP,HAFS-14058,"2,200,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions NHS Trust Capital Investment Loans,CENTRAL TECHNICAL,SUSSEX COMMUNITY NHS TRUST,PUBLIC,BN2 3EW,HAFS-14059,"1,550,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions NHS Trust Working Capital Loans,CENTRAL TECHNICAL,WORCESTERSHIRE HEALTH & CARE NHS TRUST,PUBLIC,WR4 9RW,HAFS-14060,"3,000,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions NHS Trust Capital Investment Loans,CENTRAL TECHNICAL,YORKSHIRE AND THE HUMBER REGIONAL AMBULANCE SERVICE NHS TRUST,PUBLIC,WF2 0XG,HAFS-14061,"6,672,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions NHS Trust Capital Investment Loans,CENTRAL TECHNICAL,PENNINE ACUTE HOSPITALS NHS TRUST,PUBLIC,OL1 2PN,HAFS-14062,"3,750,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions NHS Trust Capital Investment Loans,CENTRAL TECHNICAL,PENNINE ACUTE HOSPITALS NHS TRUST,PUBLIC,OL1 2PN,HAFS-14063,"3,750,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions-PDC permanent,CENTRAL TECHNICAL,SHREWSBURY & TELFORD HOSPITALS NHS TRUST,PUBLIC,TF6 6TF,HAFS-14064,"850,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions-PDC permanent,CENTRAL TECHNICAL,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,PUBLIC,EX2 7HY,HAFS-14065,"1,200,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions-PDC permanent,CENTRAL TECHNICAL,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,UB8 3NN,HAFS-14066,"260,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Additions FT Financing Facility Loans,CENTRAL TECHNICAL,HUMBER NHS FOUNDATION TRUST,PUBLIC,HU10 6ED,HAFS-14045,"1,000,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Outsourcing Contract,Goverance Operations & Assurance,NHS SHARED BUSINESS SERVICES (SBS),PUBLIC,WF3 1WE,100011141,"90,281.00",,NHS SBS  charges for BMS Support and Development Service from 1 April 2012 to 31 March 2013,Admin,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,PUBLIC,W12 0HS,ERS-470718-63919,"461,829.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,ROYAL BROMPTON AND HAREFIELD NHS FOUNDATION TRUST,PUBLIC,UB9 6JH,ERS-470722-63907,"31,934.00",,Clinician Scientist Awards,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,SOUTH TYNESIDE PCT,PUBLIC,NE33 3DP,ERS-470778-63881,"170,193.00",,CANCER RESEARCH NETWORKS,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,PUBLIC,L9 7AL,ERS-470798-63889,"32,204.00",,APPLIED CLINICAL DRF's,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,PUBLIC,LE5 4QF,ERS-470858-63914,"60,166.00",,Post Doctoral Fellowship PDF,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,ALDER HEY CHILDRENS NHS FOUNDATION TRUST,PUBLIC,L12 2AP,ERS-470953-63885,"84,848.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,BRIGHTON & SUSSEX UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,BN2 3EW,ERS-470954-63918,"127,273.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,CB2 2QQ,ERS-470955-63891,"460,262.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,PUBLIC,M13 0JR,ERS-470956-63913,"233,333.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,PUBLIC,EX2 5DW,ERS-470957-63892,"243,443.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,GUYS AND ST THOMAS NHS FOUNDATION TRUST,PUBLIC,SE1 9RT,ERS-470958-63895,"239,410.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,EC1V 2PD,ERS-470960-63897,"225,516.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,THE NEWCASTLE UPON TYNE NHS FOUNDATION TRUST,PUBLIC,NE7 7DN,ERS-470961-63909,"169,697.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,OXFORD UNIVERSITY HOSPITALS NHS TRUST,PUBLIC,OX3 9DX,ERS-470962-63911,"158,594.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,THE ROYAL MARSDEN NHS FOUNDATION TRUST,PUBLIC,SM2  5PT,ERS-470963-63898,"119,302.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,PUBLIC,BR3 3BX,ERS-470964-63912,"201,019.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,PUBLIC,M23 9LT,ERS-470966-63896,"106,061.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,PUBLIC,SO52 9AB,ERS-470967-63893,"392,177.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,THE CHRISTIE HOSPITAL NHS FOUNDATION TRUST,PUBLIC,M20 4BX,ERS-470968-63887,"190,909.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,PUBLIC,NW1 2BX,ERS-470969-63906,"233,333.00",,CRF's CRII,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,PUBLIC,WF3 1WE,ERS-470972-63890,"33,764.00",,Research for patients benefit programme,Programme,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,752.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,94.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,280.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,115.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"2,539.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"3,021.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,623.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"1,469.00",,,,
Department of Health,Department of Health,17/09/2012,Outsourcing Contract,Commissioning,IPSOS MORI UK LTD,LARGE,HA1 1PT,12001417,"319,368.00",,GP Patient Survey 2012/13,Programme,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,455.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,711.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,420.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"2,578.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,382.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"1,573.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,159.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,852.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,159.00,,,,
Department of Health,Department of Health,17/09/2012,Addition Clearing - OLB,Goverance Operations & Assurance,PARKERAY LTD,SME,SM1 1DF,CSI01353-1,"28,549.00",,Maple Street - Refurbishment of 1st floor of 4-8 Maple Street,Admin,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,650.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"1,286.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,199.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"2,680.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,578.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,623.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,367.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,130.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"1,501.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,90.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,744.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,565.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,503.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"1,333.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,254.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,796.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,107.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"2,033.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"1,520.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,196.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"2,313.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,23.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,576.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,523.00,,,,
Department of Health,Department of Health,17/09/2012,Professional fees,NHS Finance Operations & Performance,SERCO LTD,LARGE,RG27 9UY,90746127,"31,891.00",,West London MH NHS Trust.  NHSFT Financial Assessments.,Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"20,000.00",,"Revenue: Variation Agreement #2 ‘true up’ (difference between what CfH included in Variation Agreement #2 for iCM Phase 2 settlement (£2,300,000) and what CSC asked for (£2,319,840) - iSoft7 - Appendix 3 - BAU - 18.3	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"389,016.00",,"Revenue: Service charges between 1/4/09 & 31/3/12 for SAP County Councils - Appendix 3 - BAU - 21.2	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"918,000.00",,"Revenue: GOSH Phase 3 iPM Project cancellation - iSoft7 - Appendix 3 - BAU - 18.3	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"91,000.00",,"Revenue: GOSH Phase 3 iPM Project Sentillion ACCN0018 Deployment Deliverable - iSoft7 - Appendix 3 - BAU - 18.3	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"241,000.00",,"Revenue: Experian QAS Healthcoder Extended Support and Licence fees - iSoft7 - Appendix 3 - BAU - 18.3	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"291,353.00",,"Revenue: 30% retention of deployment charges for Early Adopter Trusts for Lorenzo - Appendix 1 - Commercial Paper - 15.3	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"339,992.00",,"Revenue: iSOFT Licence Indexation - iSoft7 - Appendix 3 - BAU - 18.2	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"119,184.00",,"Revenue: ACCN 31 iIE Message Set – Salisbury - iSOFT 7  - Appendix 3 - BAU - 18.2	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"4,000,000.00",,"Revenue: Outstanding Service Pots  - Appendix 3 - BAU - 17.2	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"2,071,225.00",,"Revenue: OIP gap settlement of 61% of Service Charges for Non-Lorenzo (Excluding Ambulances) - Appendix 3 - BAU - 19.3	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"5,793,300.00",,"Revenue: OIP gap settlement of 45% of deployment charges for Non-Lorenzo (Excluding Ambulances) - Appendix 3 - BAU - 19.2	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"911,250.00",,"Revenue: 45% of outstanding HSW upgrade deployment charges - Appendix 3 - BAU - 19.4	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"462,679.00",,"Revenue: 45% of Outstanding longstop milestone payments for NE & NWWM Ambulance Deployments - Appendix 3 - BAU - 20.1	 ",Programme,
Department of Health,Department of Health,17/09/2012,Service charge,Informatics Directorate,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,CHAPS17/9/12,"52,403,435.00",,Revenue: De-commitment Compensation Payment - Appendix 1 - CP 15 1 1,Programme,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"1,071.00",,,,
Department of Health,Department of Health,17/09/2012,Contr Other External,Informatics Directorate,CABLE & WIRELESS UK,,,15444077,"25,200.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"1,604.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"4,664.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,131.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,396.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"1,201.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,29.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,415.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"3,220.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,678.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"2,420.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,589.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"1,262.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,520.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"2,488.00",,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,385.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,652.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,472.00,,,,
Department of Health,Department of Health,17/09/2012,Travel & Subsistence,Informatics Directorate,EXPOTEL HOTEL RESERVATIONS LTD,,,15492899,"1,784.00",,,,
Department of Health,Department of Health,17/09/2012,Public Dividend Capital (Dividend Payments) by NHS Trusts,CENTRAL TECHNICAL,THE STAFFORDSHIRE AND STOKE ON TRENT PARTNERSHIP,PUBLIC,ST4 4LX,REPAYMENT OF PDC DIVIDENDS REFUND,"698,000.00",,,Other,
Department of Health,Department of Health,17/09/2012,Other programme expenditure,Public Health,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-471035-64121,"103,498.00",,DH Grant payment Q2 for 2012/13 Pharmacogenetics Chair,Programme,
Department of Health,Department of Health,17/09/2012,Research & development,Research & Development,ACADEMY OF MEDICAL SCIENCES,PUBLIC,W1B 1QH,ERS-470717-63921,"30,796.00",,Integrated Academic Training,Programme,
