Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,ERS-489731-71728,"48,361.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,ERS-489731-71728,"2,669.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,ERS-489731-71728,"181,666.00",Rus - Regional Design Service,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,KINGS COLLEGE LONDON,PUBLIC,SE1 8WA,ERS-489731-71728,"374,515.00",MENTAL HEALTH CO-ORD CENTRE,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LANCASTER UNIVERSITY,PUBLIC,LA1 4YT,ERS-489734-71729,"26,116.00",NIHR Public Health Research ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LANCASTER UNIVERSITY,PUBLIC,LA1 4YT,ERS-489734-71729,"256,871.00",Rus - Regional Design Service,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"69,090.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"72,511.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"44,993.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"33,497.00",Invention for Innovation,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"44,399.00",Invention for Innovation,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"31,791.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"21,458.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"65,890.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"30,621.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"71,804.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"54,177.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"27,109.00",HTA - Support for Clinical Trials,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"2,244,502.00",NIHR Research Networks Co-ord Centre,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"46,245.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"93,446.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"30,830.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"3,143.00",NIHR Public Health Research ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"5,357.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEEDS UNIVERSITY OF,PUBLIC,LS2 9JT,ERS-489738-71731,"482,331.00",CANCER NETWORKS CC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEICESTER UNIVERSITY OF,PUBLIC,LE1 7RH,ERS-489739-71732,"56,189.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEICESTER UNIVERSITY OF,PUBLIC,LE1 7RH,ERS-489739-71732,"10,812.00",Targeted Capacity Building,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEICESTER UNIVERSITY OF,PUBLIC,LE1 7RH,ERS-489739-71732,"10,812.00",Targeted Capacity Building,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEICESTER UNIVERSITY OF,PUBLIC,LE1 7RH,ERS-489739-71732,"43,509.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEICESTER UNIVERSITY OF,PUBLIC,LE1 7RH,ERS-489739-71732,"13,946.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LEICESTER UNIVERSITY OF,PUBLIC,LE1 7RH,ERS-489739-71732,"28,034.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL JOHN MOORES UNIVERSITY,PUBLIC,L3 5UX,ERS-489741-71733,"55,265.00",NIHR Public Health Research ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"19,665.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"40,095.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"10,812.00",Targeted Capacity Building,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"10,812.00",Targeted Capacity Building,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"50,161.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"35,011.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"68,159.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"25,264.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"25,094.00",Invention for Innovation,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"50,388.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"35,180.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"34,976.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"32,620.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"31,676.00",RDD Programme Support - Miscellaneous,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"74,581.00",MEDS FOR CH'REN N'WORKS,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"187,293.00",Reviews Infrastructure (Existing),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"45,600.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"27,458.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LIVERPOOL UNIVERSITY OF,PUBLIC,L69 3BX,ERS-489742-71734,"29,671.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LONDON SCHOOL OF ECONOMICS,PUBLIC,WC2A 2AE,ERS-489744-71736,"924,459.00",National School for Social Care Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,PUBLIC,WC1E 7HT,ERS-489745-71723,"48,662.00",NIHR Public Health Research ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,PUBLIC,WC1E 7HT,ERS-489745-71723,"132,668.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,PUBLIC,WC1E 7HT,ERS-489745-71723,"40,258.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,PUBLIC,WC1E 7HT,ERS-489745-71723,"97,614.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,PUBLIC,WC1E 7HT,ERS-489745-71723,"32,709.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,PUBLIC,WC1E 7HT,ERS-489745-71723,"41,143.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,PUBLIC,WC1E 7HT,ERS-489745-71723,"39,953.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"26,985.00",NIHR Public Health Research ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"48,953.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"75,168.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"30,386.00",Targeted Capacity Building,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"10,812.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"35,076.00",Targeted Capacity Building,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"10,812.00",Targeted Capacity Building,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"6,811.00",Targeted Capacity Building,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"7,393.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"41,027.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"101,552.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"112,478.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"53,916.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"19,567.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"25,374.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"69,221.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"30,909.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MANCHESTER UNIVERSITY OF,PUBLIC,M13 9PL,ERS-489750-71737,"41,334.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-489751-71738,"15,527.00",NIHR Public Health Research ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-489751-71738,"38,737.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-489751-71738,"79,658.00",NIHR Public Health Research ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-489751-71738,"30,646.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,MEDICAL RESEARCH COUNCIL MRC,PUBLIC,SN2 1FF,ERS-489751-71738,"29,563.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"68,778.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"74,085.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"44,972.00",Targeted Capacity Building,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"10,812.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"34,684.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"95,378.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"120,997.00",HTA Customer Priority Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"82,689.00",NIHR Public Health Research ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"49,142.00",NIHR Public Health Research ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"37,776.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"59,563.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"41,195.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"17,379.00",NIHR Collaboration Group-Genetics in Healthcare,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"33,911.00",Rus - Regional Design Service,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"204,455.00",STROKE CO-ORD CENTRE,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NEWCASTLE UNIVERSITY,PUBLIC,NE1 7RU,ERS-489755-71739,"268,481.00",Research for Patient Benefit,Programme,
Department of Health,Department of Health,22/03/2013,Capital Grants to non-profit institutions,Social Care,UNIVERSITY COLLEGE LONDON UCL,PUBLIC,WC1E 6BT,ERS-489766-71561,"446,385.00",Research for Patient Benefit,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NORTHUMBRIA AT NEWCASTLE UNIVERSITY OF,PUBLIC,NE1 8ST,ERS-489769-71740,"26,499.00",Research for Patient Benefit,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"18,853.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"27,441.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"138,031.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"85,503.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"32,232.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"35,472.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"102,351.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"55,450.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"12,388.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"26,856.00",Rus - Regional Design Service,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"46,344.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"165,967.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"85,507.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"27,216.00",HTA Customer Priority Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"15,790.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,228.00,Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"43,777.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,NOTTINGHAM UNIVERSITY OF,PUBLIC,NG7 2RD,ERS-489777-71741,"32,463.00",Research for Patient Benefit,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"14,126.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"43,422.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"63,089.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"29,645.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"39,610.00",HTA Customer Priority Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"36,716.00",School of Primary Care Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"26,407.00",Targeted Capacity Building,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"498,245.00",Invention for Innovation,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"10,813.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"87,278.00",HS & DR,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"47,915.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"39,848.00",Invention for Innovation,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"29,997.00",HTA - Clinical Evaluation Trial,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"57,380.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"68,096.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"45,596.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"57,953.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"32,676.00",Cochrane Projects - not including the UKCC,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"34,959.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"26,416.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"88,210.00",HTA Researcher Lead,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"115,923.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"86,813.00",EME - ( NETSCC ),Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"35,109.00",HTA Commissioned Research,Programme,
Department of Health,Department of Health,22/03/2013,Research & development,Research & Development,OXFORD UNIVERSITY,PUBLIC,OX1 2XN,ERS-489784-71743,"46,493.00",HTA Researcher Lead,Programme,
