Spend over £25000 - Publication template,,,,,,,
,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Kingsbridge Community College,Teaching Schools Grant,2000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,Kingsbridge Community College,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,Lampton School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,Langmoor Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Launde Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,21/02/2012,Grants Made,School to School support,Lincoln Christs Hospital Sch,Teaching Schools Grant,32000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,Lionel Walden Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Lostock Hall CP School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Lytchett Minster School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,15/02/2012,Programme Costs,Leadership Development,Manchester Uni,114635,55200.00
Department for Education,National College for School Leadership,28/02/2012,Programme Costs,Leadership Development,Manchester Uni,114806,28800.00
Department for Education,National College for School Leadership,08/02/2012,Grants Made,School to School support,Manor CofE (Voluntary Aided) School,NLE Deployment Fund Grant,30000.00
Department for Education,National College for School Leadership,15/02/2012,Grants Made,School to School support,Manor Green Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,07/02/2012,Grants Made,School to School support,Manor Primary School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Marlbrook Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Marshfield C of E Primary School,NLE Deployment Grant,25000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Matthew Arnold Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,13/02/2012,Grants Made,School to School support,Matthew Arnold Primary School,Teaching Schools Grant,2000.00
Department for Education,National College for School Leadership,28/02/2012,Grants Made,School to School support,Matthew Arnold Primary School,Teaching Schools Grant,40000.00
Department for Education,National College for School Leadership,22/02/2012,Grants Made,School to School support,Milford-On-Sea Church of England Primary School,NLE Deployment Fund Grant,25000.00
Department for Education,National College for School Leadership,27/02/2012,Grants Made,School to School support,Millais School,Teaching Schools Grant,2000.00
