DEPARTMENTAL FAMILY,ENTITY,DATE,EXPENSE AREA,EXPENSE TYPE,SUPPLIER,TRANSACTION NUMBER,AMOUNT
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,HOME OFFICE,1031203,"$51,137.00 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,264000-Consultancy,HM PRISON SERVICE,1031201,"$165,000.00 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,263000-Other Contracted Out Services,STAFFORDSHIRE COUNTY COUNCIL,1031273,"$145,758.75 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,223001-Printing Postage and Office expenditure,LIBERATA UK LTD,1031225,"$59,817.65 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,222002-Other Property Costs,CARLISLE SECURITY SERVICES LTD,1031163,"$119,451.91 "
Ministry of Justice,MoJ HQ,11-Oct-10,ZZ900-MoJ HQ,222002-Other Property Costs,CABLE & WIRELESS,1031159,"$47,025.85 "
Ministry of Justice,Tribunals,12-Oct-10,TR120-Corporate,223001-Printing Postage and Office expenditure,XEROX (UK) LTD,1048980,"$41,118.71 "
Ministry of Justice,HMCS,13-Oct-10,FZ999-Midlands Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1366974,"$44,831.54 "
Ministry of Justice,HMCS,13-Oct-10,EZ999-Wales Region,222002-Other Property Costs,MITIE SECURITY LTD,1366973,"$188,693.85 "
Ministry of Justice,HMCS,13-Oct-10,CZ999-South East Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1367017,"$27,666.48 "
Ministry of Justice,HMCS,13-Oct-10,GZ999-North West Region,222002-Other Property Costs,ELITE CLEANING & ENV SERVICES LTD,1366615,"$174,468.46 "
Ministry of Justice,HMCS,13-Oct-10,HZ999-North East and Yorkshire,222002-Other Property Costs,ELITE CLEANING & ENV SERVICES LTD,1366615,"$135,494.91 "
Ministry of Justice,HMCS,13-Oct-10,DZ999-South West Region,263000-Other Contracted Out Services,COMPASS SERVICES UK & IRELAND LTD,217147,"$27,106.08 "
Ministry of Justice,HMCS,13-Oct-10,HZ999-North East and Yorkshire,222002-Other Property Costs,RENTOKIL INITIAL UK LIMITED,1367999,"$54,881.81 "
Ministry of Justice,HMCS,13-Oct-10,HZ999-North East and Yorkshire,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1366437,"$33,728.59 "
Ministry of Justice,HMCS,13-Oct-10,AV322-CP Change Management SUPS,512000-Intangible GBV - Additions,LOGICA UK LTD,1366904,"$27,213.00 "
Ministry of Justice,HMCS,13-Oct-10,DZ999-South West Region,226000-Court Costs,MERRILL LEGAL SOLUTIONS,1366963,"$46,108.17 "
Ministry of Justice,HMCS,13-Oct-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,ABERDEEN PROPERTY INVESTORS,1366315,"$74,575.02 "
Ministry of Justice,HMCS,13-Oct-10,DZ999-South West Region,610400-Debtors <1 year - Prepayments & Accrued Income,MAPELEY BETA ACQUISITION CO LTD,1366928,"$55,371.88 "
Ministry of Justice,HMCS,13-Oct-10,GZ999-North West Region,532000-Tangible GBV - Additions,HURD ROLLAND PARTNERSHIP,1366790,"$42,689.10 "
Ministry of Justice,HMCS,13-Oct-10,AV329-CP-Mag. Courts Operational Bus.sys,532000-Tangible GBV - Additions,LOGICA UK LTD,1366904,"$38,348.48 "
Ministry of Justice,HMCS,13-Oct-10,BZ999-London Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1367017,"$126,532.60 "
Ministry of Justice,HMCS,13-Oct-10,GZ999-North West Region,532000-Tangible GBV - Additions,ISG REGIONS LTD,1366804,"$513,524.35 "
Ministry of Justice,HMCS,13-Oct-10,GZ999-North West Region,222001-Maintenance,CARILLION PLANNED MAINTENANCE,1366485,"$30,429.86 "
Ministry of Justice,HMCS,13-Oct-10,CZ999-South East Region,222001-Maintenance,BAILEY MAINTENANCE LTD,1366366,"$26,088.03 "
Ministry of Justice,HMCS,13-Oct-10,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,STRATEGIC TEAM MAINTENANCE CO LTD,1368116,"$42,612.88 "
Ministry of Justice,HMCS,13-Oct-10,BZ999-London Region,532000-Tangible GBV - Additions,LAING O'ROURKE CONSTRUCTION SOUTH LTD,1366873,"$2,380,828.48 "
Ministry of Justice,HMCS,13-Oct-10,BZ999-London Region,226000-Court Costs,MERRILL LEGAL SOLUTIONS,1366963,"$26,573.97 "
Ministry of Justice,HMCS,13-Oct-10,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,MACHENAIR BUILDING SERVICES LTD,1366918,"$47,933.96 "
Ministry of Justice,HMCS,13-Oct-10,FZ999-Midlands Region,222002-Other Property Costs,MITIE SECURITY LTD,1366973,"$444,272.95 "
Ministry of Justice,HMCS,13-Oct-10,HZ999-North East and Yorkshire,262000-SCA Costs,MODERN COURTS (HUMBERSIDE) LTD,1366977,"$296,948.21 "
Ministry of Justice,HMCS,13-Oct-10,BZ999-London Region,226000-Court Costs,MERRILL LEGAL SOLUTIONS,1366963,"$27,334.58 "
Ministry of Justice,HMCS,13-Oct-10,DZ999-South West Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1366437,"$34,045.85 "
Ministry of Justice,HMCS,13-Oct-10,HZ999-North East and Yorkshire,532000-Tangible GBV - Additions,MACHENAIR BUILDING SERVICES LTD,1366918,"$100,386.34 "
Ministry of Justice,HMCS,13-Oct-10,AV322-CP Change Management SUPS,265000-IT & Telecommunications,LOGICA UK LTD,1366904,"$256,999.53 "
Ministry of Justice,HMCS,13-Oct-10,AV322-CP Change Management SUPS,265000-IT & Telecommunications,LOGICA UK LTD,1366904,"$93,699.20 "
Ministry of Justice,HMCS,13-Oct-10,CZ999-South East Region,265000-IT & Telecommunications,CABLE & WIRELESS,1366471,"$27,759.35 "
Ministry of Justice,HMCS,13-Oct-10,EZ999-Wales Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1366437,"$28,397.28 "
Ministry of Justice,HMCS,13-Oct-10,EZ999-Wales Region,610400-Debtors <1 year - Prepayments & Accrued Income,LAMBERT SMITH HAMPTON,1366874,"$32,065.68 "
Ministry of Justice,HMCS,13-Oct-10,CZ999-South East Region,532000-Tangible GBV - Additions,ROK BUILDING LTD,1368022,"$50,526.25 "
Ministry of Justice,HMCS,13-Oct-10,CZ999-South East Region,222001-Maintenance,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1366975,"$41,321.37 "
Ministry of Justice,HMCS,13-Oct-10,CZ999-South East Region,222001-Maintenance,NORLAND MANAGED SERVICES LTD,1367017,"$40,518.14 "
Ministry of Justice,HMCS,14-Oct-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,218756,"$41,799.84 "
Ministry of Justice,HMCS,14-Oct-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,220372,"$26,879.24 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,263000-Other Contracted Out Services,CAPITA HARTSHEAD LTD,1031461,"$49,364.55 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,HOME OFFICE,1031527,"$29,128.25 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,611000-Debtors <1 year - Other Debtors,SWEET & MAXWELL LTD,1031638,"$61,135.10 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031563,"$66,054.48 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031563,"$33,487.50 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,311100-Legal Aid,LEGAL SERVICES COMMISSION,6224,"$10,000,000.00 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD T/A ATOS HEALTHCARE,1031444,"$65,233.65 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,212001-Agency staff,CAPGEMINI UK PLC,1031460,"$25,850.00 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,212001-Agency staff,SAND RESOURCES LTD,1031629,"$25,302.76 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,532000-Tangible GBV - Additions,FUJITSU SERVICES LTD,1031504,"$129,769.44 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,263000-Other Contracted Out Services,CAPITA HARTSHEAD LTD,1031461,"$49,364.55 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031562,"$77,095.28 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031562,"$89,570.84 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,263000-Other Contracted Out Services,CAPITA HARTSHEAD LTD,1031461,"$49,364.55 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,222001-Maintenance,M J FERGUSON LTD,1031567,"$196,876.83 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,ATOS ORIGIN IT SERVICES UK LTD,1031443,"$44,289.28 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,LOGICA UK LTD,1031563,"$472,559.15 "
Ministry of Justice,MoJ HQ,14-Oct-10,ZZ900-MoJ HQ,532000-Tangible GBV - Additions,CABLE & WIRELESS,1031456,"$60,355.34 "
Ministry of Justice,HMCS,15-Oct-10,CZ999-South East Region,263000-Other Contracted Out Services,EUREST SERVICES,1369964,"$30,928.35 "
Ministry of Justice,HMCS,15-Oct-10,GZ999-North West Region,262000-SCA Costs,UK COURT SERVICES LTD,1370385,"$27,876.93 "
Ministry of Justice,HMCS,15-Oct-10,BZ999-London Region,532000-Tangible GBV - Additions,BRITSPACE MODULAR BUILDINGS LIMITED,1369833,"$293,249.36 "
Ministry of Justice,HMCS,15-Oct-10,HZ999-North East and Yorkshire,261000-Fuel and Utilities,CORONA ENERGY,1369892,"$26,762.90 "
Ministry of Justice,HMCS,15-Oct-10,HZ999-North East and Yorkshire,263000-Other Contracted Out Services,ARAMARK LTD,1369774,"$25,920.10 "
Ministry of Justice,HMCS,15-Oct-10,GZ999-North West Region,263000-Other Contracted Out Services,ARAMARK LTD,1369774,"$40,583.87 "
Ministry of Justice,HMCS,15-Oct-10,FZ999-Midlands Region,261000-Fuel and Utilities,CORONA ENERGY,1369892,"$50,409.00 "
Ministry of Justice,HMCS,15-Oct-10,GZ999-North West Region,226000-Court Costs,CATER WALSH REPORTING LTD,220656,"$71,170.76 "
Ministry of Justice,HMCS,15-Oct-10,BZ999-London Region,261000-Fuel and Utilities,BRITISH GAS BUSINESS,1369831,"$27,711.25 "
Ministry of Justice,HMCS,15-Oct-10,GZ999-North West Region,610300-Debtors < 1 Year - Deposits & Advances,NEOPOST LTD,1370186,"$137,725.00 "
Ministry of Justice,HMCS,15-Oct-10,CZ999-South East Region,222001-Maintenance,BAILEY MAINTENANCE LTD,1369787,"$27,947.87 "
Ministry of Justice,HMCS,15-Oct-10,BZ999-London Region,222002-Other Property Costs,MACLELLAN INTERNATIONAL LTD,1370129,"$322,341.71 "
Ministry of Justice,HMCS,15-Oct-10,CZ999-South East Region,222002-Other Property Costs,HI-SPEC FACILITIES SUPPORT CO PLC,1370044,"$253,077.14 "
Ministry of Justice,HMCS,15-Oct-10,EZ999-Wales Region,532000-Tangible GBV - Additions,DERYN PROPERTIES (INVESTMENTS) LLP,1369925,"$119,065.12 "
Ministry of Justice,HMCS,15-Oct-10,FZ999-Midlands Region,263000-Other Contracted Out Services,AVENANCE,1369784,"$36,262.30 "
Ministry of Justice,HMCS,15-Oct-10,GZ999-North West Region,261000-Fuel and Utilities,CORONA ENERGY,1369892,"$29,178.36 "
Ministry of Justice,HMCS,15-Oct-10,GZ999-North West Region,222002-Other Property Costs,"OCS GROUP UK LTD, OCS ENGINEERING",1370200,"$27,160.71 "
Ministry of Justice,HMCS,15-Oct-10,GZ999-North West Region,223000-Other Expenditure,SENATOR INTERNATIONAL,1370304,"$72,833.77 "
Ministry of Justice,HMCS,15-Oct-10,HZ999-North East and Yorkshire,222002-Other Property Costs,MITIE SECURITY LTD,1370165,"$416,957.15 "
Ministry of Justice,HMCS,15-Oct-10,BZ999-London Region,226000-Court Costs,SELLERS LEGAL SERVICES LTD,1370303,"$48,547.24 "
Ministry of Justice,HMCS,15-Oct-10,GZ999-North West Region,262000-SCA Costs,UK COURT SERVICES LTD,1370385,"$534,352.67 "
Ministry of Justice,HMCS,15-Oct-10,CZ999-South East Region,222002-Other Property Costs,MITIE SECURITY LTD,1370165,"$568,502.31 "
Ministry of Justice,HMCS,15-Oct-10,IZ999-RCJ Group,222001-Maintenance,SYKES & SON LTD,1370360,"$56,384.02 "
Ministry of Justice,HMCS,15-Oct-10,IZ999-RCJ Group,261000-Fuel and Utilities,EDF ENERGY LTD,1369949,"$34,036.47 "
Ministry of Justice,MoJ HQ,15-Oct-10,ZZ900-MoJ HQ,246000-Current Grants,CRIMINAL CASES REVIEW COMMISSION,6225,"$585,000.00 "
Ministry of Justice,Tribunals,15-Oct-10,TR120-Corporate,223000-Other Expenditure,EXPOTEL HOTEL RESERVATIONS LTD,1049042,"$83,389.61 "
Ministry of Justice,MoJ HQ,18-Oct-10,ZZ900-MoJ HQ,265000-IT & Telecommunications,PARITY SOLUTIONS LTD,1031829,"$41,125.00 "
Ministry of Justice,MoJ HQ,18-Oct-10,ZZ900-MoJ HQ,212001-Agency staff,ALPINE RESOURCING LTD,1031691,"$26,754.75 "
Ministry of Justice,MoJ HQ,18-Oct-10,ZZ900-MoJ HQ,212001-Agency staff,ACTICA CONSULTING LTD,1031687,"$27,142.50 "
Ministry of Justice,MoJ HQ,18-Oct-10,ZZ900-MoJ HQ,226000-Court Costs,MERRILL LEGAL SOLUTIONS,1031815,"$25,274.88 "
Ministry of Justice,MoJ HQ,18-Oct-10,ZZ900-MoJ HQ,246000-Current Grants,REUNITE INTERNATIONAL,1031839,"$32,000.00 "
Ministry of Justice,MoJ HQ,18-Oct-10,ZZ900-MoJ HQ,710600-Creditor < 1 year - Payable to Consolidated Fund,HM TREASURY - CFER PAYOVER,1002,"$366,834.53 "
Ministry of Justice,MoJ HQ,18-Oct-10,ZZ900-MoJ HQ,262000-SCA Costs,LIBERATA UK LTD,1031797,"$305,292.48 "
Ministry of Justice,MoJ HQ,18-Oct-10,ZZ900-MoJ HQ,223000-Other Expenditure,ARVAL UK LTD,1031697,"$36,321.00 "
Ministry of Justice,MoJ HQ,18-Oct-10,ZZ900-MoJ HQ,224000-Staff travel and other,AMARYLLIS FACILITIES MANAGEMENT,1031692,"$39,377.88 "
Ministry of Justice,MoJ HQ,18-Oct-10,ZZ900-MoJ HQ,710600-Creditor < 1 year - Payable to Consolidated Fund,HM TREASURY - CFER PAYOVER,1001,"$14,823,387.16 "
Ministry of Justice,MoJ HQ,18-Oct-10,ZZ900-MoJ HQ,262000-SCA Costs,LIBERATA UK LTD,1031797,"$41,561.16 "
Ministry of Justice,HMCS,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1010,"$595,058.81 "
Ministry of Justice,HMCS,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1001,"$3,723,293.52 "
Ministry of Justice,HMCS,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1002,"$2,701,274.35 "
Ministry of Justice,HMCS,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1003,"$25,563.83 "
Ministry of Justice,HMCS,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1008,"$2,527,763.39 "
Ministry of Justice,HMCS,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1007,"$2,976,562.27 "
Ministry of Justice,HMCS,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1009,"$370,509.45 "
Ministry of Justice,MoJ HQ,19-Oct-10,ZZ900-MoJ HQ,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1010,"$74,843.51 "
Ministry of Justice,MoJ HQ,19-Oct-10,ZZ900-MoJ HQ,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1009,"$48,871.98 "
Ministry of Justice,MoJ HQ,19-Oct-10,ZZ900-MoJ HQ,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1004,"$1,468,667.26 "
Ministry of Justice,MoJ HQ,19-Oct-10,ZZ900-MoJ HQ,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1003,"$1,894,856.82 "
Ministry of Justice,MoJ HQ,19-Oct-10,ZZ900-MoJ HQ,811000-Interdepartmental - MoJHQ,HMRC,1008,"$106,254.84 "
Ministry of Justice,MoJ HQ,19-Oct-10,ZZ900-MoJ HQ,811000-Interdepartmental - MoJHQ,HMRC,1007,"$122,053.59 "
Ministry of Justice,Tribunals,19-Oct-10,TR120-Corporate,222002-Other Property Costs,MACLELLAN INTERNATIONAL LTD,1049956,"$29,857.56 "
Ministry of Justice,Tribunals,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1003,"$231,116.26 "
Ministry of Justice,Tribunals,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1004,"$411,592.14 "
Ministry of Justice,Tribunals,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1006,"$1,237,402.23 "
Ministry of Justice,Tribunals,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1005,"$638,816.61 "
Ministry of Justice,Tribunals,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1002,"$1,266,610.15 "
Ministry of Justice,Tribunals,19-Oct-10,WW000-Balance Sheet,710100-Creditors < 1 year - Other Taxation & Social Security,HMRC,1001,"$2,007,559.64 "
Ministry of Justice,Tribunals,19-Oct-10,TR130-Finance & Resources,211000-Judicial Salaries - Salaried,JUDICIAL PENSIONS SCHEME,1049869,"$1,334,173.27 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS BACKHOUSE JONES#DX 15166,221136,"$36,980.96 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS KALBER STRUCKLEY & CO#DX 44728,1371290,"$45,540.18 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS REYNOLDS PORTER CHAMBERLAIN LLP#DX 600,221444,"$40,636.83 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS HEWITSONS#DX 133155,1371265,"$63,805.09 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS GEOFFREY PARKER BOURNE#DX 16214,221255,"$34,248.90 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS DLA PIPER UK LLP#DX13022,1371227,"$48,484.27 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS CORKER BINNING#DX 363,221192,"$121,948.43 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS DON SOLICITORS#HA9 0NP,221216,"$26,261.09 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS PINSENT MASONS#DX 53313,221432,"$268,536.82 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS ROHAN & CO#DX 155890,221454,"$118,473.62 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS WOODFINES LLP#DX 100012,221559,"$36,068.52 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS T V EDWARDS LLP#DX 300700,1371380,"$26,500.00 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS EDWARD HAYES#DX 30307,1371232,"$39,153.90 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS RAHMAN RAVELLI#DX 16001,1371342,"$46,132.32 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS S J BERWIN LLP#DX 255,221461,"$191,196.00 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS MOHAMMED HUSSAIN#BD21 3DT,221395,"$27,564.94 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS QAMAR SOLICITORS#WF13 2JH,221436,"$31,469.76 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,B C L BURTON COPELAND#DX 37981,1371134,"$158,631.48 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS TUCKERS & CO#DX 123596,1371397,"$57,074.76 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS PANNONE LLP#WC1R 4BF,1371328,"$185,552.93 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,311200-Criminal Legal Aid,MESSRS EMERY HALIL & BROWN (ADVOCATES)#DX 5408,221232,"$47,273.26 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,B C L BURTON COPELAND#DX 37981,1371134,"$114,808.99 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS PANNONE LLP#WC1R 4BF,1371328,"$32,209.11 "
Ministry of Justice,HMCS,19-Oct-10,AU999-National Taxing Teams,226000-Court Costs,MESSRS LAYZELLS SOLICITORS#DX 36000,221359,"$56,116.21 "
Ministry of Justice,HMCS,20-Oct-10,IZ999-RCJ Group,222002-Other Property Costs,L3 COMMUNICATIONS,222954,"$25,065.10 "
Ministry of Justice,HMCS,20-Oct-10,DZ999-South West Region,261000-Fuel and Utilities,CORONA ENERGY,1374572,"$82,925.31 "
Ministry of Justice,HMCS,20-Oct-10,AG999-Estates Directorate HMCS HQ,222001-Maintenance,WHEELERS,1375840,"$39,145.89 "
Ministry of Justice,HMCS,20-Oct-10,FZ999-Midlands Region,532000-Tangible GBV - Additions,EC HARRIS LLP,1374643,"$28,831.77 "
Ministry of Justice,HMCS,20-Oct-10,FZ999-Midlands Region,223001-Printing Postage and Office expenditure,XEROX (UK) LTD,1375883,"$28,055.91 "
Ministry of Justice,HMCS,20-Oct-10,BZ999-London Region,226000-Court Costs,MERRILL LEGAL SOLUTIONS,1374967,"$29,066.79 "
Ministry of Justice,HMCS,20-Oct-10,IZ999-RCJ Group,710800-Creditor <1 yr - Third Party Monies,THE OFFICIAL RECEIVER,223118,"$83,790.00 "
Ministry of Justice,HMCS,20-Oct-10,GZ999-North West Region,610400-Debtors <1 year - Prepayments & Accrued Income,SMITH & SONS,1375706,"$25,964.27 "
Ministry of Justice,HMCS,20-Oct-10,BZ999-London Region,261000-Fuel and Utilities,CORONA ENERGY,1374572,"$29,624.68 "
Ministry of Justice,HMCS,20-Oct-10,GZ999-North West Region,610300-Debtors < 1 Year - Deposits & Advances,NEOPOST LTD,1375005,"$133,964.00 "
Ministry of Justice,HMCS,20-Oct-10,CZ999-South East Region,532000-Tangible GBV - Additions,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,1374708,"$502,565.69 "
Ministry of Justice,HMCS,20-Oct-10,CZ999-South East Region,532000-Tangible GBV - Additions,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,1374708,"$462,460.27 "
Ministry of Justice,HMCS,20-Oct-10,FZ999-Midlands Region,265000-IT & Telecommunications,CABLE & WIRELESS,1374492,"$48,993.97 "
Ministry of Justice,HMCS,20-Oct-10,AV322-CP Change Management SUPS,512000-Intangible GBV - Additions,LOGICA UK LTD,1374901,"$300,196.05 "
Ministry of Justice,HMCS,20-Oct-10,AV329-CP-Mag. Courts Operational Bus.sys,532000-Tangible GBV - Additions,LOGICA UK LTD,1374901,"$164,993.71 "
Ministry of Justice,HMCS,20-Oct-10,BZ999-London Region,261000-Fuel and Utilities,CORONA ENERGY,1374572,"$37,265.35 "
Ministry of Justice,HMCS,20-Oct-10,BZ999-London Region,532000-Tangible GBV - Additions,21ST CENTURY LIFTS LTD,1374353,"$42,844.27 "
Ministry of Justice,HMCS,20-Oct-10,BZ999-London Region,532000-Tangible GBV - Additions,21ST CENTURY LIFTS LTD,1374353,"$43,238.46 "
Ministry of Justice,HMCS,20-Oct-10,BZ999-London Region,223001-Printing Postage and Office expenditure,XEROX (UK) LTD,1375883,"$27,401.94 "
Ministry of Justice,HMCS,20-Oct-10,BZ999-London Region,222002-Other Property Costs,MACLELLAN INTERNATIONAL LTD,1374925,"$322,341.71 "
Ministry of Justice,HMCS,20-Oct-10,GZ999-North West Region,222002-Other Property Costs,MITIE SECURITY LTD,1374979,"$434,541.23 "
Ministry of Justice,HMCS,20-Oct-10,BZ999-London Region,532000-Tangible GBV - Additions,21ST CENTURY LIFTS LTD,1374353,"$29,142.62 "
Ministry of Justice,HMCS,20-Oct-10,EZ999-Wales Region,222001-Maintenance,WYG MANAGEMENT SERVICES LTD,1375881,"$35,250.00 "
Ministry of Justice,HMCS,20-Oct-10,GZ999-North West Region,222001-Maintenance,CARILLION PLANNED MAINTENANCE,1374509,"$190,299.44 "
Ministry of Justice,HMCS,20-Oct-10,DZ999-South West Region,532000-Tangible GBV - Additions,CEI ELECTRICAL LTD,1374522,"$36,365.33 "
Ministry of Justice,HMCS,20-Oct-10,AV329-CP-Mag. Courts Operational Bus.sys,532000-Tangible GBV - Additions,LOGICA UK LTD,1374901,"$163,016.06 "
Ministry of Justice,HMCS,20-Oct-10,AV329-CP-Mag. Courts Operational Bus.sys,265000-IT & Telecommunications,LOGICA UK LTD,1374901,"$813,080.73 "
Ministry of Justice,HMCS,20-Oct-10,AV329-CP-Mag. Courts Operational Bus.sys,265000-IT & Telecommunications,LOGICA UK LTD,1374901,"$46,526.48 "
Ministry of Justice,HMCS,20-Oct-10,CZ999-South East Region,265000-IT & Telecommunications,BT TELECOMMUNICATIONS PLC,1374470,"$59,347.56 "
Ministry of Justice,HMCS,21-Oct-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,225888,"$30,200.16 "
Ministry of Justice,HMCS,21-Oct-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,224726,"$50,697.97 "
Ministry of Justice,HMCS,21-Oct-10,FZ999-Midlands Region,710800-Creditor <1 yr - Third Party Monies,ONE TIME CAPS,226672,"$32,163.43 "
