Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,
Cabinet Office,Cabinet Office,22/08/12,Supplies and Services,KNOWLEDGE AND INFORMATION MANAGEMENT,TNT UK LTD,3000028869,"25,952.41",Records management services and Courier fees,BL0 9AR,Large,Administration,
Cabinet Office,Cabinet Office,22/08/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,PRICEWATERHOUSE COOPERS,3000028868,"59,187.90",Professional services,E14 9SQ,Large,Administration,
Cabinet Office,Cabinet Office,22/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,GLOBAL ACTION PLAN,3000028859,"27,913.00",National Citizen Service project grant,WC2B 4AY,SME,Grants,
Cabinet Office,Cabinet Office,23/08/12,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000028889,"81,693.00",Facilities Mangaement Services,BN1  1HG,Large,Administration,
Cabinet Office,Cabinet Office,23/08/12,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000028899,"50,253.42",2012/13 Fees and Disbursements.,WC2B 4TS,Government Department,Administration,
Cabinet Office,Cabinet Office,23/08/12,SUNNINGDALE PARK PFI SERVICE CHARGES,CENTRAL BUDGETS,DE VERE VENUES LTD,3000028885,"259,449.08",Service Charges,KT24 6DU,Large,Administration,
Cabinet Office,Cabinet Office,23/08/12,Consultancy,GOVERNMENT PROPERTY UNIT,SLAUGHTER & MAY,3000028896,"157,909.20",Legal Services,EC1Y 8YY,Large,Programme,
Cabinet Office,Cabinet Office,23/08/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000028884,"25,367.28","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,23/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,JEWISH LADS & GIRLS BRIGADE,3000028891,"143,102.00",National Citizen Service project grant,E18 1LA,Large,Grants,
Cabinet Office,Government Procurement Service,23/08/12,Bravo Licence Costs,Enablement Projects,BravoSolution UK Ltd,PINDOH 34624,"35,240.00",Software licences,EC2M 7AD,Large,Administration,
Cabinet Office,Government Procurement Service,23/08/12,Bravo Licence Costs,Enablement Projects,BravoSolution UK Ltd,PINVP2P 1053,"41,650.00",Software licences,EC2M 7AD,Large,Administration,
Cabinet Office,Government Procurement Service,23/08/12,Maintenance & Repairs - IT,Enablement Projects,BravoSolution UK Ltd,PINVP2P 1054,"52,800.00",Strategic spend analysis,EC2M 7AD,Large,Administration,
Cabinet Office,Cabinet Office,24/08/12,Accomodation and Utilities,INTELLIGENCE SECURITY AND RESILIENCE,IMPACT MARCOM,3000028931,"36,218.00",Digital recording devices,TW16 7HB,SME,Administration,
Cabinet Office,Cabinet Office,24/08/12,IT Costs,POLICY COMMUNICATIONS,TELMAR COMMUNICATIONS LTD,3000028946,"26,550.00",Specialist TNT+ and Multimediaplanner Software,W1U 7NA,SME,Administration,
Cabinet Office,Cabinet Office,24/08/12,Supplies and Services,POLICY COMMUNICATIONS,MOTHER LONDON LTD,3000028936,"33,216.65",GREAT Campaign,E2 7DD,Large,Administration,
Cabinet Office,Cabinet Office,24/08/12,Supplies and Services,POLICY COMMUNICATIONS,UK TRADE & INVESTMENT,3000028952,"32,000.00",GREAT Campaign,CF3 0LW,SME,Administration,
Cabinet Office,Cabinet Office,24/08/12,Agency and Temporary Staff,ERG STRATEGY AND MANAGEMENT INFORMATION,CAPITA RESOURCING LTD,3000028916,"37,951.36",Technical development of data.gov.uk,SL6 1DP,Large,Administration,
Cabinet Office,Cabinet Office,24/08/12,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,HAY GROUP LTD,3000028930,"66,250.00",Reward Benchmarking Report,SW1X 7HG,SME,Administration,
Cabinet Office,Cabinet Office,24/08/12,Consultancy,SCHEME MANAGEMENT EXECUTIVE,FIELD FISHER WATERHOUSE LLP,3000028924,"31,804.50",PROVISION OF LEGAL SERVICES,EC3N 2AA,Large,Administration,
Cabinet Office,Cabinet Office,24/08/12,IT Costs,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000028945,"159,451.51",Software development services to support the GDS businesslink/GOV.uk replacement and monthly managed services,B11 2LE,Large,Programme,
Cabinet Office,Cabinet Office,24/08/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,ADVALUS LTD,3000028913,"112,035.00","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SN13 0RP,SME,Programme,
Cabinet Office,Cabinet Office,24/08/12,Agency and Temporary Staff,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000028916,"64,601.38","Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL6 1DP,Large,Programme,
Cabinet Office,Cabinet Office,24/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000028934,"124,143.00",Strategic partners transition grant ,N1 6DR,Large,Grants,
Cabinet Office,Cabinet Office,24/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SKILLS THIRD SECTOR,3000028944,"125,000.00",Work to develop voluntary and community sector workforce grant 2012/13,S1 4FW,SME,Grants,
Cabinet Office,Cabinet Office,24/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CATCH22 CHARITY LTD,3000028917,"1,583,867.00",National Citizen Service project grant,EC1V 9BW,Large,Grants,
Cabinet Office,Cabinet Office,24/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SAFE IN TEES VALLEY,3000028943,"551,435.00",National Citizen Service project grant,TS18 3TS,SME,Grants,
Cabinet Office,Cabinet Office,28/08/12,Agency and Temporary Staff,IT AND TELECOMS BRANCH,FUJITSU SERVICES LTD,3000028961,"335,832.60",IT services,SW1A 2WH ,Large,Administration,
Cabinet Office,Cabinet Office,29/08/12,Consultancy,ERG STRATEGY AND MANAGEMENT INFORMATION,ORC INTERNATIONAL LIMITED,3000028985,"92,952.00",Civil Service People Survey 2012,N1 9AH,SME,Administration,
Cabinet Office,Cabinet Office,29/08/12,Accomodation and Utilities,GOVERNMENT DIGITAL SERVICE,FOOD STANDARDS AGENCY,3000028982,"225,014.39",Service charges for accomodation,YO1 7PX,Large,Programme,
Cabinet Office,Cabinet Office,29/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,THE CHALLENGE NETWORK,3000028987,"1,457,922.00",National Citizen Service project grant,SE1 7HS,SME,Grants,
Cabinet Office,Cabinet Office,29/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,FYLDE COAST YMCA,3000028983,"247,436.00",National Citizen Service project grant,FY6 7PU,Large,Grants,
Cabinet Office,Cabinet Office,29/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,REACHFOR,3000028986,"208,627.00",National Citizen Service project grant,CA11 9BP,SME,Grants,
Cabinet Office,Cabinet Office,30/08/12,Supplies and Services,POLICY COMMUNICATIONS,EXCEL LONDON INVISION,3000028998,"27,000.00",GREAT Campaign,E16 1XL,SME,Admin.,
Cabinet Office,Cabinet Office,30/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,YOUNG DEVON,3000029007,"253,284.00",National Citizen Service project grant,PL21 0AB,Large,Grants,
Cabinet Office,Cabinet Office,30/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SALFORD FOUNDATION,3000029003,"55,569.00",National Citizen Service project grant,M5 4BD,SME,Grants,
Cabinet Office,Cabinet Office,31/08/12,Accomodation and Utilities,ESTATE MANAGEMENT,ETDE FM,3000029025,"757,095.96",Facilities Mangaement Services,BN1  1HG,Large,Administration,
Cabinet Office,Cabinet Office,31/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,VINSPIRED,3000029032,"500,000.00",Strategic Grant to support core costs,SW1P 2AS,Large,Grants,
Cabinet Office,Cabinet Office,31/08/12,Supplies and Services,OFFICE FOR CIVIL SOCIETY,NATIONAL CENTRE FOR SOCIAL RESEARCH,3000029029,"90,591.51",Independent evaluation of National Citizen Service 2012/13,EC1V OAX,Large,Programme,
Cabinet Office,Cabinet Office,31/08/12,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,GROUNDWORK UK,3000029027,"44,109.00",National Citizen Service project grant,B1 2RR,Large,Grants,
