Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,30/03/2015,Fuel for military use,Defence Equipment + Support,CERTAS ENERGY UK LIMITED,WA3 6XG,452054,Cost of ground diesel fuel consumed,"Ł174,796.29"
Ministry of Defence,Ministry of Defence,02/03/2015,Medical treatment & stores and welfare services,JFC,ST JOHN & RED CROSS DEFENCE MEDICAL WELFARE SERVICE,SP11 9AQ,440942,Medical health services,"Ł174,532.70"
Ministry of Defence,Ministry of Defence,25/03/2015,IT and communication services,Land Forces,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,449375,Computer equipment costing below the capitalisation threshold,"Ł172,682.16"
Ministry of Defence,Council of Reserve Forces and Cadets Association,27/03/2015,Condition Grade Improvement,Estates Management,Three Pines Building Co Ltd,WV1 2UR,9340,Condition Grade Improvement,"Ł171,291.35"
Ministry of Defence,Ministry of Defence,10/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK DYNCORP LIMITED,PE28 2EA,443539,Estate core services charge,"Ł171,066.31"
Ministry of Defence,Ministry of Defence,13/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,COMPASS GROUP UK AND IRELAND LIMITED,B45 9PZ,445092,Estate + facilities management services - accommodation inventory + service,"Ł170,744.73"
Ministry of Defence,Defence Support Group,31/03/2015,Works-Facilities Charges,Business Stream 1,BABCOCK SUPPORT SERVICES LTD,BA1 5AB,10272136,Site Costs,"Ł170,435.60"
Ministry of Defence,Ministry of Defence,10/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,AW SHIP MANAGEMENT LIMITED,EC3N 4XX,443538,Equipment support non-project costs,"Ł170,359.50"
Ministry of Defence,Ministry of Defence,24/03/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,HOLYHEAD MARINE SERVICES LIMITED,LL65 1YB,448968,Fiscal asset under construction - capital in year addition,"Ł170,242.25"
Ministry of Defence,Ministry of Defence,20/03/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,ELECTRICITY AUTHORITY OF CYPRUS,CY1399,5000125324,Utilities consumed - electricity,"Ł168,626.47"
Ministry of Defence,Ministry of Defence,26/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK AEROSPACE LIMITED,BH23 6BS,449914,Estate + facilities management services - accommodation inventory + service,"Ł168,582.20"
Ministry of Defence,Ministry of Defence,05/03/2015,Fees for professional services,JFC,NQC LTD,M4 5DL,442314,Fees for professional services excluding legal fees,"Ł168,538.80"
Ministry of Defence,Ministry of Defence,11/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,TURNER FACILITIES MANAGEMENT LTD,G51 3EQ,444274,Works - estate management,"Ł167,648.47"
Ministry of Defence,Ministry of Defence,27/03/2015,Fees for professional services,Defence Equipment + Support,KPMG IT ADVISORY LIMITED,E14 5DL,450792,"The provision of advice and assistance relating to corporate financing structures, accountancy, control mechanisms and systems","Ł167,643.00"
Ministry of Defence,Ministry of Defence,17/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BEZIRKSREGIERUNG DUESSELDORF,,5000125213,Works - estate management,"Ł167,229.24"
Ministry of Defence,Ministry of Defence,30/03/2015,Design services and minor equipment purchases,Land Forces,KI0 WORKING DOGS,,5000125831,Purchase of animals below capitalisation threshold,"Ł167,095.59"
Ministry of Defence,Ministry of Defence,13/03/2015,Spend on Inventory - General,Defence Equipment + Support,AGROPHARM LTD,HP10 8LN,444974,Spend on Inventory - General,"Ł166,909.26"
Ministry of Defence,Ministry of Defence,11/03/2015,Externally delivered education and training,JFC,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,B29 6JS,444281,External military training ,"Ł166,555.00"
Ministry of Defence,Ministry of Defence,19/03/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,MABANAFT DEUTSCHLAND GMBH,,5000125287,Utilities consumed - heating oil,"Ł166,090.82"
Ministry of Defence,Ministry of Defence,03/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,HAMILTON SUNDSTRAND CORPORATION,,2000024258,Equipment support non-project costs,"Ł165,714.29"
Ministry of Defence,Ministry of Defence,23/03/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,THE RIVERSIDE GROUP LIMITED,L24 8RF,448719,Property dwellings private finance initiative - service concession arrangement service charge,"Ł165,657.95"
Ministry of Defence,Ministry of Defence,03/03/2015,Food and clothing,Defence Equipment + Support,PURPLE FOODSERVICE SOLUTIONS LIMITED,GU32 3QD,441282,Cost of food purchases,"Ł163,968.00"
Ministry of Defence,Ministry of Defence,13/03/2015,Fees for professional services,Defence Equipment + Support,QINETIQ LIMITED,GU14 0LX,445336,"Advice and guidance on how to produce the product, but not production of the product itself.","Ł162,000.00"
Ministry of Defence,Ministry of Defence,19/03/2015,"Purchase of munitions, other inventory or fuel",Defence Equipment + Support,DEVONPORT ROYAL DOCKYARD LIMITED,PL1 4SG,447275,Raw materials and consumable engineering and technical fiscal inventory purchased,"Ł161,829.60"
Ministry of Defence,Ministry of Defence,19/03/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,SEAQUEST MARINE PROJECT MANAGEMENT LTD,,3000012130,Fiscal asset under construction - capital in year addition,"Ł160,380.00"
Ministry of Defence,Ministry of Defence,16/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,QUARTZELEC LIMITED,CV23 0WB,445947,Equipment support project costs,"Ł160,309.24"
Ministry of Defence,Ministry of Defence,02/03/2015,Fuel for military use,Land Forces,CERTAS ENERGY UK LIMITED,WA3 6XG,440582,Cost of ground diesel fuel consumed,"Ł159,621.71"
Ministry of Defence,Ministry of Defence,19/03/2015,Research and development,Defence Equipment + Support,BAE SYSTEMS (OPERATIONS) LIMITED,GU14 6YU,447169,Research and development at the pre main gate stage of a project,"Ł159,000.00"
Ministry of Defence,Ministry of Defence,18/03/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,AIRTRICITY GAS SUPPLY (NI) LIMITED,BT3 9ED,185247,Utilities consumed - gas,"Ł158,824.92"
Ministry of Defence,Ministry of Defence,24/03/2015,Design services and minor equipment purchases,Defence Equipment + Support,CALUMET PHOTOGRAPHIC LTD,MK7 8AJ,448858,Purchase of photographic equipment below capitalisation threshold,"Ł158,725.16"
Ministry of Defence,Council of Reserve Forces and Cadets Association,25/03/2015,Assets in the Course of Construction,Capital Expenditure,Surgo Construction,NE4 7YB,8077,Assets in the Course of Construction,"Ł158,639.63"
Ministry of Defence,Ministry of Defence,05/03/2015,Grants to Reserves Forces and Cadets Association,Land Forces,THE ARMY CADET FORCE ASSOCIATION,EC2A 4DW,442450,Grants to reserve forces and cadet associations,"Ł158,000.00"
Ministry of Defence,Ministry of Defence,09/03/2015,"Transportation of personnel, freight and travel expenses",Land Forces,DHL GLOBAL FORWARDING (UK)  LIMITED,TW18 4BP,443148,Freight movement costs,"Ł157,841.30"
Ministry of Defence,Ministry of Defence,30/03/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BABCOCK SUPPORT SERVICES LIMITED,BS3 2HQ,5000125813,Estate core services charge,"Ł157,556.54"
Ministry of Defence,Ministry of Defence,26/03/2015,Fuel for military use,Land Forces,HARVEST ENERGY LIMITED,W1H 7JT,450127,Cost of ground diesel fuel consumed,"Ł157,169.79"
Ministry of Defence,Ministry of Defence,24/03/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY LIMITED,B75 7RL,448865,Fiscal asset under construction - capital in year addition,"Ł156,777.96"
Ministry of Defence,Ministry of Defence,18/03/2015,Spend on Inventory - General,Defence Equipment + Support,AGROPHARM LTD,HP10 8LN,446633,Spend on Inventory - General,"Ł156,313.08"
Ministry of Defence,Ministry of Defence,27/03/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,FLOGAS BRITAIN LIMITED,LE7 1PF,450711,Utilities consumed - liquid petroleum gas,"Ł156,032.49"
