Department,Entity,Date,Transaction Number,GBP Amount,Supplier ,Account Description
FCO,FCO,06-May-13,4266133,"-89,635.00",BINOCULARS UK LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06-May-13,4266133,"89,635.00",BINOCULARS UK LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06-May-13,4266133,"17,927.00",BINOCULARS UK LTD,Programme Spend (Oracle Projects Control Account)
FCO,FCO,06-May-13,4294024,"31,403.26",MANMOHANSINGH SETHI & AVNASH SETHI,Property Maintenance Overseas Residential
FCO,FCO,06-May-13,4294024,"-31,403.26",MANMOHANSINGH SETHI & AVNASH SETHI,Property Maintenance Overseas Residential
FCO,FCO,07-May-13,4296394,"51,009.63",BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,07-May-13,4295384,439.61,LUMINUS,Electricity Residential
FCO,FCO,07-May-13,4295384,"1,089.03",LUMINUS,Electricity Non-Residential
FCO,FCO,07-May-13,4295384,399.93,LUMINUS,Gas Residential
FCO,FCO,07-May-13,4295384,"1,818.64",LUMINUS,Gas Non-Residential
FCO,FCO,07-May-13,4295384,192.78,LUMINUS,Electricity Residential
FCO,FCO,07-May-13,4295384,"1,212.48",LUMINUS,Electricity Non-Residential
FCO,FCO,07-May-13,4295384,330.6,LUMINUS,Gas Residential
FCO,FCO,07-May-13,4295384,209.69,LUMINUS,Gas Non-Residential
FCO,FCO,07-May-13,4295384,"1,350.60",LUMINUS,Electricity Residential
FCO,FCO,07-May-13,4295384,"3,532.32",LUMINUS,Gas Residential
FCO,FCO,07-May-13,4295384,"5,991.27",LUMINUS,Electricity Residential
FCO,FCO,07-May-13,4295384,"5,745.63",LUMINUS,Electricity Non-Residential
FCO,FCO,07-May-13,4295384,"13,463.16",LUMINUS,Gas Residential
FCO,FCO,07-May-13,4295384,"1,256.95",LUMINUS,Gas Non-Residential
FCO,FCO,07-May-13,4295384,"-5,991.27",LUMINUS,Electricity Residential
FCO,FCO,07-May-13,4295384,"-13,463.16",LUMINUS,Gas Residential
FCO,FCO,07-May-13,4295384,"1,349.07",LUMINUS,Electricity Residential
FCO,FCO,07-May-13,4295384,"4,642.19",LUMINUS,Electricity Residential
FCO,FCO,07-May-13,4295384,"4,910.24",LUMINUS,Gas Residential
FCO,FCO,07-May-13,4295384,"8,552.92",LUMINUS,Gas Residential
FCO,FCO,07-May-13,4293973,"60,977.13",HARIS ENTERPRISES PVT LTD,Local Guards
FCO,FCO,07-May-13,4292730,"166,074.55",TORRE ESPACIO GESTION SL,Rental Payments - non residential
FCO,FCO,07-May-13,4292730,"1,335.66",TORRE ESPACIO GESTION SL,Official Transport Receipts
FCO,FCO,07-May-13,4292730,"-1,335.66",TORRE ESPACIO GESTION SL,Official Transport Receipts
FCO,FCO,08-May-13,4292663,"297,733.45",ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
FCO,FCO,08-May-13,4292180,525.95,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,37.91,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,865.42,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,"6,851.59",BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,128.67,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,226.52,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,245.16,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,244.46,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,890.28,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,"12,005.83",BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,291.5,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,283.68,BRITISH TELECOM  PLC,Mobile Telephone Equipment
FCO,FCO,08-May-13,4292180,827.36,BRITISH TELECOM  PLC,Mobile Telephone Equipment
FCO,FCO,08-May-13,4292180,"1,216.56",BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,262.91,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,304.8,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,63.45,BRITISH TELECOM  PLC,Telephone Call Charges
FCO,FCO,08-May-13,4292180,"79,432.43",BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,713.22,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,544.64,BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,"17,705.69",BRITISH TELECOM  PLC,Telephone line and equipment rental charges
FCO,FCO,08-May-13,4292180,54.15,BRITISH TELECOM  PLC,Telephone Call Charges
