Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Bristol,ERS-07-JUN-13-44533,"£116,116.00",Study to investigate humane killing methods for neonate livestock - 2012-13,BS40 5DU,,MH0150,00000000,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,University Of Bristol,ERS-05-JUN-13-44532,"£44,596.70",Evaluation of Meat Chicken Regulations - June 2013,BS40 5DU,,AW05015 Exempt,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Application Services/Minor Enhancements,Chief Operating Officer DG,IBM United Kingdom Ltd,5805130939,"£41,352.36",eDomero (internet-based facility enabling plant health services applications) - May 2013,GU1 2LD,SME,FRW10040-00,00000000,Expense,,
DEFRA,Core Defra,19/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,1406134499370,"£37,494.75",Greenhouse Gas Platform - Nitrous Oxide Emissions Factors - June 2013,WV9 5AP,,exempt,SFFS0005,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments E,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026331,"£65,751.86",Monthly charge for consumables provided by Interserve as part of facilities management - April 2013,BS32 4NH,,10226,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Estates IFM Core Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026294,"£2,108,865.96",Monthly charge for the provision of facilities management services across the Defra Network estate as a result of necessary maintenance - May 2013,BS32 4NH,,10321,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Reactive Element of Core IFM fee,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00026295,"£583,325.29",Monthly charge for the provision of facilities management services across the Defra Network estate - May 2013,BS32 4NH,,10321,00000000,Expense,,
DEFRA,Core Defra,05/06/2013,IT Software,Chief Operating Officer DG,BravoSolution UK Ltd,BUK13V0004652,"£60,000.00",Additional one hundred user licences for AWARD system (eEvaluation system for making commercial decisions),EC2M 7AD,,18289/11141,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Overhead Incidental Expenses,Chief Operating Officer DG,H M Revenue & Customs,18000037202012,"£66,000.00",Civil Service Resourcing charges for recruiting twenty-two direct entrant staff members. ,BN12 4XH,,Exempt,00000000,Expense,,
DEFRA,Core Defra,03/06/2013,Other Current Payments E,Policy Delivery DG,Carbon Smart Ltd,861,"£37,269.60",Development of a tool for improving the annual emission factors that Defra publishes,SE1 1RB,SME,17069,00000000,Expense,,
DEFRA,Core Defra,17/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Cascade Consulting (Environment & Planning) Ltd,2773,"£25,000.00",2012-13 Evaluation of the catchment-based approach - Drinking Water Inspectorate - June 2013 payment,M15 6SE,SME,Exempt,00000000,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP070271,"£31,113.00",2012-13 Slurry Storage and Management project,WV9 5AP,,WT1508,00000000,Expense,,
DEFRA,Core Defra,19/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,Atkins Ltd,13006236,"£44,169.96",2012-13 Water Quality Investigations; and Investigations and Improvement at bathing and shellfish waters in England and Wales,WR5 1TX,,Exempt,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments E,Policy Delivery DG,The Coal Authority,CA106094,"£385,000.00",Combined project with Department of Energy and Climate change to address the polluted water emanating from the Wheal Jane abandoned mine.  April-June 2013,NG18 4RG,SME,IGS,00000000,Expense,,
DEFRA,Core Defra,25/06/2013,Other Current Payments E,Policy Delivery DG,Food Standards Agency,1702146,"£55,719.58",Charges for work relating to the supervision of Cleansing and Disinfection of Livestock vehicles - June 2013,YO1 2YX,,FUNDING,MHS00946,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,The Pirbright Institute,ERS-519726-44688,"£74,932.78",Project to improve the tools available for the control of African Swine Fever  - April-June 2013,GU24 0NF,,SE1515,00000000,Expense,,
DEFRA,Core Defra,27/06/2013,Other Current Payments (Evidence R&D),Policy Delivery DG,The Pirbright Institute,ERS-519613-44686,"£81,658.91",Further development of RT-PCR (Reverse Transcription - Polymerase Chain Reaction) technology in support of Foot and Mouth Disease diagnosis - June 2013,GU24 0NF,,exempt,00000000,Expense,,
