Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/07/13,CONSULTANTS VAT RECOVERABLE,ERG STRATEGY AND MANAGEMENT INFORMATION,ERNST & YOUNG LLP,1000789,394050.00,"Support for the Independent Shared Service Centre 2 project including development of financial models, business transfer agreements, transitional arrangements for services and assets, and stakeholder engagement.",SE1 2AF,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/07/13,SERVICE PAYMENTS,TRANSACTIONAL SHARED SERVICES,DWP,3000037748,425289.00,Shared Services costs ,FY5 3TA,Government Department,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/07/13,ADDITIONS -AUC IT FEES NON VAT REC,POLITICAL AND CONSTITUTIONAL REFORM,SPECIALIST COMPUTER CENTRE PLC,3000037789,25853.71,Delivery of the digital capability supporting the business change from household to individual electoral registration through the government framework.,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/07/13,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000037766,31201.25,GOV.UK development cost ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/07/13,TELECOM RENTALS,IT AND TELECOMS BRANCH,COLT TELECOMMUNICATIONS,3000037790,37014.00,Telecomms costs,EC3A 7QN,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/07/13,Library Services - Non VAT Recoverable,POLITICAL AND CONSTITUTIONAL REFORM,ROYAL MAIL GROUP LTD,3000037774,49042.92,Cost of matching 14 electoral registers against Royal Mail databases and a third party data processor to identify missing electors from Local Authorities ,PE4 5PG,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/07/13,SERVICE PAYMENTS,TRANSACTIONAL SHARED SERVICES,DWP,3000037773,212644.00,Shared Services costs ,FY5 3TA ,Government Department,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/07/13,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,TRANSITION IMB LTD,3000037775,381895.00,National Citizen Service grant ,W1W 5DW,SME,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,05/07/13,GRANT FUND MANAGEMENT VAT RECOVERABLE,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000037778,524651.95,Delivery of Community Organisers programme as part of the Big Society to catalyse social action in communities,N1 6DR,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/07/13,LORD LIEUTENANTS EXPENSES,POLITICAL AND CONSTITUTIONAL REFORM,LORD LIEUTENANT OF WEST YORKSHIRE,3000037811,29379.25,Quarterly advance expense payments to Her Majesty's Lord Lieutenancy,LS23 6LP,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/07/13,LORD LIEUTENANTS EXPENSES,POLITICAL AND CONSTITUTIONAL REFORM,GREATER MANCHESTER LIEUTENANCY,3000037808,31315.25,Quarterly advance expense payments to Her Majesty's Lord Lieutenancy,M15 4AX,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/07/13,PROFESSIONAL ADVICE & OPINION VAT RECOVERABLE,INDEPENDENT OFFICES,KPMG,3000037801,40000.00,Compliance Monitoring services,WD17 1DE,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/07/13,LORD LIEUTENANTS EXPENSES,POLITICAL AND CONSTITUTIONAL REFORM,GREATER LONDON LIEUTENANCY,3000037807,49997.50,Quarterly advance expense payments to Her Majesty's Lord Lieutenancy,SW1E 6QP,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/07/13,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,NCVO,3000037817,90750.00,Compact Voice Grant ,N1 9RL,SME,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/07/13,FM CONTRACT VARIABLE,WORKSPACE AND BETTER TOOLS PLAN,BOUYGUES E&S FM UK LTD,3000037805,152663.04,Estate services ,BN1 1HG,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,08/07/13,RESOURCE GRANTS PRIVATE SECTOR,OFFICE FOR CIVIL SOCIETY,NATIONAL COUNCIL FOR VOLUNTARY ORGANISATIONS,3000037820,166666.00,Strategic Partners Transition Programme Grant,N1 9RL,Large,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/07/13,CONSULTANTS VAT RECOVERABLE,POLITICAL AND CONSTITUTIONAL REFORM,GFK NOP LTD,3000037863,29460.00,Public-user testing of voting forms that are being revised in order to improve the quality of statutory notices used,SE1 9UL,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/07/13,OTHER IS IT COSTS VAT RECOV,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000037848,157126.34,GOV.UK development cost ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,09/07/13,CONSULTANCY SERVICES  'NOT' RECOVERABLE,GOVERNMENT DIGITAL SERVICE,SPECIALIST COMPUTER CENTRES PLC,3000037848,308454.62,GOV.UK development cost ,B11 2LE,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/07/13,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,SCHEME MANAGEMENT EXECUTIVE,CAPITA BUSINESS SERVICES LTD,3000037897,30492.00,Pensioner newsletter ,B15 1TH,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/07/13,CONTRACTORS & STAFF SUBSTITUTIONS,GOVERNMENT CIO SUMMARY,CAPITA RESOURCING LTD,3000037886,61482.10,Public Service Network development and support ,SL6 1DP,Large,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabinet Office,CABINET OFFICE,10/07/13,SERVICE CHARGES,EMERGENCY PLANNING COLLEGE,SERCO LTD,3000037889,62039.05,Emergency Planning College contract cost ,RG27 7FR,Large,Admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
