Department family,Entity,Date,Expense type,Expense area,Client Code,Transaction number,Amount,VAT registration number
Defra,JNCC,13/10/2010,CORPORATE SUBSCRIPTIONS                                     ,Governance & Corporate Services,BARCLAYCARD BUSINESS,Barclaycard September 2010,370,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Governance & Corporate Services,BARCLAYCARD BUSINESS,Barclaycard September 2010,73.4,
Defra,JNCC,13/10/2010,ACCOMMODATION - UK,Governance & Corporate Services,BARCLAYCARD BUSINESS,Barclaycard September 2010,35,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,51.9,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Governance & Corporate Services,BARCLAYCARD BUSINESS,Barclaycard September 2010,61.15,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Governance & Corporate Services,BARCLAYCARD BUSINESS,Barclaycard September 2010,84.5,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Governance & Corporate Services,BARCLAYCARD BUSINESS,Barclaycard September 2010,51.8,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,82,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,16.9,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,271.8,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,23.6,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,58.39,
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,22.19,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,97,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,109.69,
Defra,JNCC,13/10/2010,ROOM HIRE,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,425.46,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,119.7,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,4.97,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,257.66,
Defra,JNCC,13/10/2010,BOAT TRAVEL,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,30,
Defra,JNCC,13/10/2010,AIR TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,380.4,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,33.8,
Defra,JNCC,13/10/2010,ACCOMMODATION - UK,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,120,
Defra,JNCC,13/10/2010,ACCOMMODATION - UK,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,60,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,29.5,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,20.3,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,30.8,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,39.2,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,18.6,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,39.2,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,163,
Defra,JNCC,13/10/2010,BOAT TRAVEL,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,83.55,
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,1.68,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,866.67,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Surveillance,BARCLAYCARD BUSINESS,Barclaycard September 2010,79.34,
Defra,JNCC,13/10/2010,SUBSISTENCE - UK,Access to Information,BARCLAYCARD BUSINESS,Barclaycard September 2010,5.97,
Defra,JNCC,13/10/2010,ACCOMMODATION - UK,Access to Information,BARCLAYCARD BUSINESS,Barclaycard September 2010,120,
Defra,JNCC,13/10/2010,EXTERNAL CONFERENCES                                        ,Access to Information,BARCLAYCARD BUSINESS,Barclaycard September 2010,40,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Access to Information,BARCLAYCARD BUSINESS,Barclaycard September 2010,93.2,
Defra,JNCC,13/10/2010,SUBSISTENCE - OVERSEAS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,21.54,
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,1.47,
Defra,JNCC,13/10/2010,BOOKS                                                       ,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,4.99,
Defra,JNCC,13/10/2010,SUBSISTENCE - UK,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,3.6,
Defra,JNCC,13/10/2010,SUBSISTENCE - OVERSEAS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,7.42,
Defra,JNCC,13/10/2010,RAIL TRAVEL - OVERSEAS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,1.46,
Defra,JNCC,13/10/2010,SUBSISTENCE - OVERSEAS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,3.77,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,151.71,
Defra,JNCC,13/10/2010,ACCOMMODATION - OVERSEAS,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,818.13,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Policy Relevant Info & Reporting,BARCLAYCARD BUSINESS,Barclaycard September 2010,49.5,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Policy Relevant Info & Reporting,BARCLAYCARD BUSINESS,Barclaycard September 2010,62.2,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Policy Relevant Info & Reporting,BARCLAYCARD BUSINESS,Barclaycard September 2010,145.5,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,145.5,
Defra,JNCC,13/10/2010,AIR TRAVEL - UK,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard September 2010,132.9,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard September 2010,16.5,
Defra,JNCC,13/10/2010,OFFICE STATIONERY& CONSUMABLES                              ,Overseas Territories & Crown Dependancies,BARCLAYCARD BUSINESS,Barclaycard September 2010,32.46,
Defra,JNCC,13/10/2010,VEHICLE FUEL                                                ,Global Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,41.38,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Surveillance & Monitoring,BARCLAYCARD BUSINESS,Barclaycard September 2010,105.9,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Surveillance & Monitoring,BARCLAYCARD BUSINESS,Barclaycard September 2010,10,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Surveillance & Monitoring,BARCLAYCARD BUSINESS,Barclaycard September 2010,10,
Defra,JNCC,13/10/2010,AIR TRAVEL - UK,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,135.49,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,140,
Defra,JNCC,13/10/2010,TAXI,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,18.48,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,16.9,
Defra,JNCC,13/10/2010,SUBSISTENCE - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,2.72,
Defra,JNCC,13/10/2010,SUBSISTENCE - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,50.74,
Defra,JNCC,13/10/2010,SUBSISTENCE - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,3.98,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,4.5,
Defra,JNCC,13/10/2010,AIR TRAVEL - EUROPE,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,488.7,
Defra,JNCC,13/10/2010,COMPUTER EQUIPMENT (H&S/WARE)                               ,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,-12.24,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,173.5,
Defra,JNCC,13/10/2010,EXTERNAL CONFERENCES                                        ,Marine Management Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,376,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,European Intelligence & Advice,BARCLAYCARD BUSINESS,Barclaycard September 2010,43.5,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,49,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,9,
Defra,JNCC,13/10/2010,RAIL TRAVEL - UK,Marine Protected Areas,BARCLAYCARD BUSINESS,Barclaycard September 2010,140,
