ENTITY,DATE,EXPENSE AREA ,EXPENSE TYPE,SUPPLIER,TRANSACTION_NUMBER,AMOUNT
HMCS,02-Mar-11,FZ999-Midlands Region,222181-Managing Agents Fees,EC HARRIS LLP,1511706,"Ł96,547.46"
HMCS,02-Mar-11,GZ999-North West Region,222181-Managing Agents Fees,DTZ DEBENHAM TIE LEUNG,1511695,"Ł67,392.56"
HMCS,04-Mar-11,CZ999-South East Region,222181-Managing Agents Fees,EC HARRIS LLP,1514670,"Ł153,000.00"
HMCS,04-Mar-11,BZ999-London Region,222181-Managing Agents Fees,EC HARRIS LLP,1514670,"Ł97,127.29"
HMCS,04-Mar-11,IZ999-RCJ Group,222181-Managing Agents Fees,EC HARRIS LLP,1514670,"Ł32,400.00"
HMCS,09-Mar-11,DZ999-South West Region,222181-Managing Agents Fees,ATKINS,1519758,"Ł115,955.70"
HMCS,09-Mar-11,HZ999-North East and Yorkshire,222181-Managing Agents Fees,DTZ DEBENHAM TIE LEUNG,1520018,"Ł59,401.88"
HMCS,16-Mar-11,DZ999-South West Region,222181-Managing Agents Fees,ATKINS,1528504,"Ł115,955.70"
HMCS,16-Mar-11,DZ999-South West Region,222181-Managing Agents Fees,ATKINS,1528504,"Ł115,955.70"
HMCS,23-Mar-11,EZ999-Wales Region,222181-Managing Agents Fees,WYG MANAGEMENT SERVICES LTD,1538309,"Ł34,010.94"
HMCS,23-Mar-11,EZ999-Wales Region,222181-Managing Agents Fees,WYG MANAGEMENT SERVICES LTD,1538309,"Ł36,000.00"
HMCS,30-Mar-11,EZ999-Wales Region,222181-Managing Agents Fees,WYG MANAGEMENT SERVICES LTD,1548197,"Ł38,214.00"
HMCS,30-Mar-11,GZ999-North West Region,222181-Managing Agents Fees,DTZ DEBENHAM TIE LEUNG,1546995,"Ł67,392.56"
HMCS,16-Mar-11,DZ999-South West Region,222182-Mechanical & Electrical,PHS COMPLIANCE,1529368,"Ł31,655.65"
HMCS,31-Mar-11,FZ999-Midlands Region,222183-Building & Civil Engineering,REIRSE RYAN LTD,1549335,"Ł79,592.40"
HMCS,02-Mar-11,BZ999-London Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1512109,"Ł119,782.03"
HMCS,02-Mar-11,GZ999-North West Region,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1511426,"Ł59,891.75"
HMCS,04-Mar-11,BZ999-London Region,222192-CIS Labour Mechanical & Electric,NORLAND MANAGED SERVICES LTD,1514974,"Ł123,149.78"
HMCS,09-Mar-11,FZ999-Midlands Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1520414,"Ł85,049.30"
HMCS,09-Mar-11,FZ999-Midlands Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1520414,"Ł38,512.06"
HMCS,09-Mar-11,IZ999-RCJ Group,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1519893,"Ł65,976.30"
HMCS,09-Mar-11,HZ999-North East and Yorkshire,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1519769,"Ł56,431.53"
HMCS,09-Mar-11,HZ999-North East and Yorkshire,222192-CIS Labour Mechanical & Electric,HONEYWELL CONTROL SYSTEMS LTD,1520202,"Ł37,403.26"
HMCS,16-Mar-11,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1529231,"Ł42,200.54"
HMCS,16-Mar-11,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,NORLAND MANAGED SERVICES LTD,1529283,"Ł32,857.08"
HMCS,16-Mar-11,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,NORLAND MANAGED SERVICES LTD,1529283,"Ł41,380.22"
HMCS,16-Mar-11,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1528524,"Ł27,075.60"
HMCS,16-Mar-11,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1528524,"Ł25,273.80"
HMCS,18-Mar-11,BZ999-London Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1531854,"Ł119,782.03"
HMCS,18-Mar-11,GZ999-North West Region,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1531520,"Ł194,348.36"
HMCS,18-Mar-11,CZ999-South East Region,222192-CIS Labour Mechanical & Electric,BAILEY MAINTENANCE LTD,1531443,"Ł41,361.29"
HMCS,25-Mar-11,BZ999-London Region,222192-CIS Labour Mechanical & Electric,NORLAND MANAGED SERVICES LTD,1540368,"Ł123,149.78"
HMCS,30-Mar-11,IZ999-RCJ Group,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1546815,"Ł65,976.30"
HMCS,30-Mar-11,GZ999-North West Region,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1546815,"Ł28,945.44"
HMCS,30-Mar-11,FZ999-Midlands Region,222192-CIS Labour Mechanical & Electric,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1547562,"Ł38,512.06"
HMCS,30-Mar-11,FZ999-Midlands Region,222192-CIS Labour Mechanical & Electric,EMCOR FACILITIES SERVICES LTD,1547030,"Ł125,793.29"
HMCS,31-Mar-11,IZ999-RCJ Group,222192-CIS Labour Mechanical & Electric,CARILLION PLANNED MAINTENANCE,1548281,"Ł120,000.00"
HMCS,04-Mar-11,IZ999-RCJ Group,222193-CIS Labour B & CE,SYKES & SON LTD,1515200,"Ł37,440.60"
HMCS,30-Mar-11,FZ999-Midlands Region,222193-CIS Labour B & CE,WILLMOTT DIXON PARTNERSHIPS LTD,1548162,"Ł29,201.86"
HMCS,02-Mar-11,IZ999-RCJ Group,223326-SCA Accommodation,IRON MOUNTAIN UK LTD,1511916,"Ł238,968.13"
HMCS,02-Mar-11,FZ999-Midlands Region,223326-SCA Accommodation,DERBYSHIRE COURTS LTD,1511669,"Ł463,579.28"
HMCS,09-Mar-11,CZ999-South East Region,223326-SCA Accommodation,MODERN COURTS (EAST ANGLIA) LTD,1520417,"Ł426,675.44"
HMCS,11-Mar-11,DZ999-South West Region,223326-SCA Accommodation,ENTERPRISE CIVIC BUILDINGS LIMITED,1523315,"Ł292,524.85"
HMCS,11-Mar-11,DZ999-South West Region,223326-SCA Accommodation,SERVICES SUPPORT (AVON & SOMERSET) LTD,1523715,"Ł784,250.66"
HMCS,16-Mar-11,HZ999-North East and Yorkshire,223326-SCA Accommodation,MODERN COURTS (HUMBERSIDE) LTD,1529235,"Ł373,880.09"
HMCS,16-Mar-11,HZ999-North East and Yorkshire,223326-SCA Accommodation,PALECASTLE LTD,1529336,"Ł106,744.09"
HMCS,23-Mar-11,GZ999-North West Region,223326-SCA Accommodation,UK COURT SERVICES LTD,1538199,"Ł545,721.88"
HMCS,30-Mar-11,FZ999-Midlands Region,223326-SCA Accommodation,DERBYSHIRE COURTS LTD,1546973,"Ł482,892.38"
HMCS,04-Mar-11,HZ999-North East and Yorkshire,223513-Design/Print/Reprographic Services,HM PRISON SERVICE,1514794,"Ł32,422.28"
HMCS,04-Mar-11,HZ999-North East and Yorkshire,223513-Design/Print/Reprographic Services,HM PRISON SERVICE,1514794,"Ł82,892.72"
HMCS,25-Mar-11,DZ999-South West Region,223513-Design/Print/Reprographic Services,XEROX (UK) LTD,1540668,"Ł26,415.94"
HMCS,30-Mar-11,BZ999-London Region,223513-Design/Print/Reprographic Services,XEROX (UK) LTD,1548199,"Ł37,396.71"
HMCS,04-Mar-11,DZ999-South West Region,223515-Postage & Distribution - Royal Mail,ROYAL MAIL,1515111,"Ł36,447.05"
HMCS,09-Mar-11,CZ999-South East Region,223515-Postage & Distribution - Royal Mail,ROYAL MAIL,1521491,"Ł26,224.07"
HMCS,30-Mar-11,HZ999-North East and Yorkshire,223525-Furniture - under capitalisation threshold,HM PRISON SERVICE,1547240,"Ł167,405.22"
HMCS,11-Mar-11,AR999-HMCS Central Budgets,223532-Pension advice & administration,GOVERNMENT ACTUARY'S DEPARTMENT,1523369,"Ł25,555.92"
HMCS,23-Mar-11,FZ999-Midlands Region,223533-Catering - Contracted services only,EUREST SERVICES,1537413,"Ł36,274.33"
HMCS,23-Mar-11,FZ999-Midlands Region,223533-Catering - Contracted services only,EUREST SERVICES,1537413,"Ł26,393.44"
HMCS,25-Mar-11,IZ999-RCJ Group,223536-IT Services incl Web Hosting,ATOS ORIGIN IT SERVICES UK LTD,1539809,"Ł128,469.60"
HMCS,16-Mar-11,FZ999-Midlands Region,223537-IT Servs maj contr Libra Apps & Int,CASTLE COMPUTER SERVICES LTD,336706,"Ł25,740.00"
HMCS,18-Mar-11,IZ999-RCJ Group,223537-IT Servs maj contr Libra Apps & Int,ATOS ORIGIN IT SERVICES UK LTD,1531437,"Ł33,330.00"
HMCS,25-Mar-11,HZ999-North East and Yorkshire,223537-IT Servs maj contr Libra Apps & Int,SPECIALIST COMPUTING,1540549,"Ł28,059.60"
HMCS,30-Mar-11,AV329-CP-Mag. Courts Operational Bus.sys,223537-IT Servs maj contr Libra Apps & Int,HP INFORMATION SECURITY,1547269,"Ł59,995.20"
HMCS,02-Mar-11,CZ999-South East Region,223541-Telecomms - Charges/Rental-non mobile,CABLE & WIRELESS GLOBAL CARD SERVICES,1511538,"Ł29,400.85"
HMCS,02-Mar-11,FZ999-Midlands Region,223541-Telecomms - Charges/Rental-non mobile,CABLE & WIRELESS GLOBAL CARD SERVICES,1511538,"Ł25,811.49"
HMCS,09-Mar-11,CZ999-South East Region,223541-Telecomms - Charges/Rental-non mobile,BT TELECOMMUNICATIONS PLC,1519853,"Ł57,425.55"
HMCS,09-Mar-11,BZ999-London Region,223541-Telecomms - Charges/Rental-non mobile,BT TELECOMMUNICATIONS PLC,1519853,"Ł139,322.22"
