Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,25/04/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000047955,179307.98,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,WILTSHIRE COUNCIL,3000047988,182124,Payment to local authorities to fund the implementation of Individual Electoral Registration ,BA144DS,Large,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,CORNWALL COUNCIL,3000047996,240892,Payment to local authorities to fund the implementation of Individual Electoral Registration ,TR13AY,Large,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,BRISTOL CITY COUNCIL,3000047982,251036,Payment to local authorities to fund the implementation of Individual Electoral Registration ,BS15TR,Large,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,BIRMINGHAM CITY COUNCIL,3000047945,517987,Payment to local authorities to fund the implementation of Individual Electoral Registration ,B47AD,SME,Grants
Cabinet Office,CABINET OFFICE,25/04/2014,CONSULTANTS VAT RECOVERABLE,ERG NEXT GENERATION SHARED SERVICES,SHARED SERVICES CONNECTED LTD,3000047974,1700000,"Development of single operating platform for a cross-department Shared Service Centre, including project initiation, core design and infrastructure costs. ",M140WN,Large,Admin
Cabinet Office,CABINET OFFICE,28/04/2014,INSIGNIA COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,3000048073,68244,Central Chancery charges for administration of Honours,SW1A1AA,Government Department,Programme
Cabinet Office,CABINET OFFICE,28/04/2014,LEGAL ADVICE FROM TSOL,CENTRAL LEGAL COSTS,TREASURY SOLICITOR TSOL,3000048070,71373,Legal services,E145LB,Government Department,Admin
Cabinet Office,CABINET OFFICE,28/04/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA BUSINESS SERVICES LTD,3000048046,79744.13,Payment for interim IT specialists,SL6 1DP,Large,Programme
Cabinet Office,Crown Commercial Service,29/04/2014,Transformation team Agency Staffing,CCS Transformation,Michael Page International Recruitme,PINDOH 38294,25773.25,Interim staff for CCS transformation,SL1 1DB,Large,Admin
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,WAVENEY DISTRICT COUNCIL,3000048194,26705,Payment to local authorities fund the implementation of Individual Electoral Registration ,ERS NR321HS,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,EDEN DISTRICT COUNCIL,3000048180,26861,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS CA117QF,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,DENBIGHSHIRE COUNTY COUNCIL,3000048116,27415,Payment to local authorities to fund the implementation of Individual Electoral Registration ,LL151YN,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,DARLINGTON BOROUGH COUNCIL,3000048131,27490,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS DL15QT,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,UTTLESFORD DISTRICT COUNCIL,3000048187,28593,Payment to local authorities fund the implementation of Individual Electoral Registration ,ERS CB114ER,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,MERTHYR TYDFIL COUNTY BOROUGH COUNCIL,3000048222,28671,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS CF478AN,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,HALTON BOROUGH COUNCIL,3000048190,30361,Payment to local authorities to fund the implementation of Individual Electoral Registration ,WA87QF,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,FYLDE BOROUGH COUNCIL,3000048176,31189,Payment to local authorities fund the implementation of Individual Electoral Registration ,ERS FY81LW,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,TORFAEN COUNTY BOROUGH COUNCIL,3000048148,31576,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS NP46YB,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,ALLERDALE BOROUGH COUNCIL,3000048103,31829,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS CA143YJ,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,MONMOUTHSHIRE COUNTY COUNCIL,3000048145,32615,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS NP269AN,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,KNOWSLEY METROPOLITIAN BOROUGH COUNCIL,3000048181,35102,Payment to local authorities to fund the implementation of Individual Electoral Registration ,L369YU,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,WARRINGTON BOROUGH COUNCIL,3000048195,35559,Payment to local authorities to fund the implementation of Individual Electoral Registration ,WA12NH,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,WYRE BOROUGH COUNCIL,3000048138,35934,Payment to local authorities fund the implementation of Individual Electoral Registration ,ERS FY67PU,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,ST HELENS MBC,3000048204,36598,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS WA101HP,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,CHORLEY BOROUGH COUNCIL,3000048093,37634,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS PR71DP,Large,Grants
Cabinet Office,CABINET OFFICE,29/04/2014,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CONFIRMATION & VERIFICATION,WEST LANCASHIRE BOROUGH COUNCIL,3000048193,37651,Payment to local authorities to fund the implementation of Individual Electoral Registration ,ERS L392DF,Large,Grants
