Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
08/06/2016,6834988,30000,FUJITSU SERVICES LIMITED,IT/IS Consultancy
27/06/2016,6971496,29929.9,FCO SERVICES,Specialist Contractors
29/06/2016,7003433,29899.38,MINISTRY OF JUSTICE,Multiple Accounts
20/06/2016,6917544,29832.57,PAN RESOURCES PTE LTD,FCO Healthcare Scheme
20/06/2016,6916457,29781.41,ONE SANSOME PROPERTY LLC,Multiple Accounts
01/06/2016,6778452,29663.94,EQUITY BANK,Multiple Accounts
23/06/2016,6955471,29490.47,ISRAEL RATHAUS,Recharge Suspense Account (Oracle PA Control Account)
01/06/2016,6739428,29351.19,ONE SANSOME PROPERTY LLC,Multiple Accounts
30/06/2016,7010579,29160.15,SKA INTERNATIONAL GROUP,Catering Services
14/06/2016,6873477,29119.26,PEXI INC,Assets Under Construction (Oracle PA Control Account)
08/06/2016,6834754,28972.95,SAFARICOM,Mobile Telephone Equipment
13/06/2016,6861463,28562.32,SHENZHEN FOURSEASONS INTERNATIONAL TRAVEL SERVICE CO LTD,Recharge Suspense Account (Oracle PA Control Account)
01/06/2016,6778520,28498.24,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
20/06/2016,6915587,28462.65,INTERSERVE FM LTD,Multiple Accounts
23/06/2016,6954745,28418.05,ACCOUNTING SOLUTIONS,Multiple Accounts
28/06/2016,6989541,28405.69,FCO SERVICES,Estates - Other Machinery and Equipment
21/06/2016,6927451,28232.65,NAJMI SONS AND BROTHERS LTD,Fuel Oil Residential
27/06/2016,6972545,27809.15,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
29/06/2016,7002475,27718.85,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
16/06/2016,6888574,27570.63,INTERSERVE FM LTD,Multiple Accounts
15/06/2016,6881859,27533.69,CBRE LTD,Estates Management Services
21/06/2016,6937537,27402,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
08/06/2016,6834740,27397.43,NEW ERA OIL AND GAS,Property Maintenance Overseas Non Residential
06/06/2016,6817429,27361.59,DANISH DEMINING GROUP,Programme Spend (Oracle Projects Control Account)
24/06/2016,6962458,27230,Abdulsalam Al Rafi Group LLC,Recharge Suspense Account (Oracle PA Control Account)
10/06/2016,6856482,27175.64,LONDON ENERGY,Electricity Non-Residential
03/06/2016,6797447,26904.25,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
22/06/2016,6950446,26850.56,G4S SECURITY SERIVICES GHANA LTD,Local Guards
28/06/2016,6991438,26822.09,AETNA,Multiple Accounts
02/06/2016,6788459,26805.26,AETNA,Multiple Accounts
28/06/2016,6982239,26790.53,NETHERLANDS INSTITUTE FOR MULTIPARTY DEMOCRACY,Programme Spend (Oracle Projects Control Account)
03/06/2016,6798515,26715.34,LONDON ENERGY,Electricity Non-Residential
17/06/2016,6903437,26698.21,TEAM 3 LIMITED,Local Guards
20/06/2016,6911443,26677.74,SECRETARY NDMC NEW DELHI,Multiple Accounts
03/06/2016,6799433,26670.59,PILGRIMS AFRICA LTD,Local Guards
30/06/2016,7010754,26566.75,INFORMED SOLUTIONS LIMITED,Assets Under Construction (Oracle PA Control Account)
29/06/2016,6997468,26455.07,PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
14/06/2016,6875567,26299.27,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
17/06/2016,6903429,26243.12,TEAM 3 LIMITED,Local Guards
16/06/2016,6888457,26226.35,INTERSERVE FM LTD,Multiple Accounts
16/06/2016,6890481,26196.98,ADAM SMITH INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
20/06/2016,6911442,26168.48,SECRETARY NDMC NEW DELHI,Multiple Accounts
01/06/2016,6307424,26146.79,"FROST REAL ESTATE, INC",Rental Payments - residential
27/06/2016,6969533,26113.58,SAAD TRADING AND CONTRACTING COMPANY,Multiple Accounts
15/06/2016,6884512,26000,MOTT MACDONALD LTD,Programme Spend (Oracle Projects Control Account)
30/06/2016,7007509,25915.44,HARIS ENTERPRISES PVT LTD,Local Guards
02/06/2016,6787517,25836.87,THE CLUB,Business Hospitality (former DEE)
16/06/2016,6890459,25748.12,AETNA,Multiple Accounts
16/06/2016,6888484,25686.57,INTERSERVE FM LTD,Multiple Accounts
23/06/2016,6954528,25672.1,DATACOM EMPLOYER SERVICES,Multiple Accounts
24/06/2016,6962530,25365.43,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
27/06/2016,6972552,25350.18,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
13/06/2016,6861468,25340,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,IT/IS Consultancy
01/06/2016,6778535,25328.87,FCO SERVICES,Construction Project more than £10k
21/06/2016,6937526,25283.97,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
16/06/2016,6896541,25239.68,G4S SECURITY SERIVICES GHANA LTD,Local Guards
23/06/2016,6954531,25203.74,DATACOM EMPLOYER SERVICES,Multiple Accounts
08/06/2016,6834972,25031.56,HOME OFFICE,Inward Secondments
21/06/2016,6941522,25031.56,HOME OFFICE,Inward Secondments
20/06/2016,6919431,-26094.87,NEXT GENERATION ENROLLMENT,US Healthcare Contract
06/06/2016,6814714,-27500,CHINA-BRITAIN BUSINESS COUNCIL,Inward visits to the UK and UK Conferences
30/06/2016,7010795,-29680.94,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
01/06/2016,6770492,-29762.29,EQUITY BANK,Multiple Accounts
01/06/2016,6757727,-30584.63,CHINA-BRITAIN BUSINESS COUNCIL,Programme Spend (Oracle Projects Control Account)
01/06/2016,6774492,-31993.85,TAD OTHER DEBTORS,Miscellaneous Receipts
01/06/2016,5788443,-35634,AVON POLYMER PRODUCTS,Estates - Other Machinery and Equipment
09/06/2016,6843484,-36069.86,KOIZA INTERNATIONAL LTD,"Purchase of Furniture, Fittings and Domestic Appliances"
23/06/2016,6956496,-36686.17,COMPUTACENTER UK LTD,Information Systems Implementation
15/06/2016,6885460,-36720,WT PARTNERSHIP LTD,Assets Under Construction (Oracle PA Control Account)
01/06/2016,6696759,-36994.56,COMPUTACENTER UK LTD,Multiple Accounts
13/06/2016,6861494,-42706.47,CADG ENGINEERING PTE.LTD,Assets Under Construction (Oracle PA Control Account)
13/06/2016,6866561,-42879.61,COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
01/06/2016,6619767,-47239.54,CARAT,General Information Services
13/06/2016,6867480,-47239.54,CARAT,General Information Services
01/06/2016,6210549,-57218.87,PUBLIC ORGANISATION HROMADSKE RADIO,Programme Spend (Oracle Projects Control Account)
29/06/2016,7005440,-61053.67,ETA OTHER DEBTORS,Unaccompanied Air Freight
13/06/2016,6866571,-73250.41,COFFEY INTERNATIONAL DEVELOPMENT,Programme Spend (Oracle Projects Control Account)
22/06/2016,6946508,-84000,COMPUTACENTER UK LTD,IT/IS Consultancy
10/06/2016,6843476,-88447.59,TEXAF,Multiple Accounts
23/06/2016,6954582,-165415.67,DAI EUROPE LIMITED,Programme Spend (Oracle Projects Control Account)
28/06/2016,6983512,-186839.56,COMPUTACENTER UK LTD,IT/IS Consultancy
10/06/2016,6858696,-226250.05,BARTON ENGINEERING AND EXPORT,Assets Under Construction (Oracle PA Control Account)
29/06/2016,6997553,-371680.5,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
13/06/2016,6861564,-542102.99,THALES UK LIMITED,IT/IS Consultancy
23/06/2016,6955488,-721416.99,COMPUTACENTER UK LTD,IT/IS Consultancy
22/06/2016,6946437,-740758.14,COMPUTACENTER UK LTD,IT/IS Consultancy
01/06/2016,6646483,-809663.93,INCOSTRAT,Programme Spend (Oracle Projects Control Account)
14/06/2016,6874634,-4859397.11,MAYDAY RESCUE,Programme Spend (Oracle Projects Control Account)
