Posted Date,Internal Voucher Number,Invoice Line Amount Net GBP,Supplier Name,Account Code
11/04/2016,6274919,50021,PECHTER POLLS,Programme Spend (Oracle Projects Control Account)
04/04/2016,6224435,50000,FCO SERVICES,IT/IS Consultancy
26/04/2016,6463481,50000,DSFA  DIPLOMATIC SERVICE FAMILIES ASSOCIATION,International Allowance Package (IAP)
08/04/2016,6262635,49975.65,RABBIS FOR HUMAN RIGHTS,Programme Spend (Oracle Projects Control Account)
06/04/2016,6240494,49885.77,LANGUAGE SERVICES DIRECT,Language Tuition: Essential
27/04/2016,6469572,49079.6,COLLIERS INTERNATIONAL,Multiple Accounts
28/04/2016,6491443,49000,GOVERNMENT COMMUNICATIONS BUREAU  ADMIN A/C 6253,Information Systems Maintenance
19/04/2016,6388448,48972.66,FCO SERVICES,Air Freight Dip Bags - Freight & Clearance Charges
04/04/2016,6213805,48900,IIZUKA,Assets Under Construction (Oracle PA Control Account)
12/04/2016,6289541,48824,CAPITA PROPERTY AND INFRASTRUCTURE LTD,FM Interserve BES Maintenance
15/04/2016,6344426,48632,BRYTYJSKO POLSKIE USLUGI SP Z O O,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
20/04/2016,6397441,48000,DEFENCE BUSINESS SERVICES FINANCE,Programme Spend (Oracle Projects Control Account)
21/04/2016,6405435,48000,GOVERNMENT LEGAL DEPARTMENT,Multiple Accounts
20/04/2016,6393424,47866.94,AETNA,Multiple Accounts
14/04/2016,6320430,47743.03,YESH DIN,Programme Spend (Oracle Projects Control Account)
25/04/2016,6445492,47617.69,TURNER AND TOWNSEND PROPERTY SERVICES,Assets Under Construction (Oracle PA Control Account)
13/04/2016,6311465,47550,BAE SYSTEMS APPLIED INTELLIGENCE LIMITED,Information Systems Maintenance
11/04/2016,6273738,47516.67,AETNA,Multiple Accounts
05/04/2016,6221668,47479.81,COMMUNITY WORLD SERVICE ASIA,Programme Spend (Oracle Projects Control Account)
25/04/2016,6440477,47315.87,IBTC PENSION MANAGERS LTD,Multiple Accounts
20/04/2016,6396562,47235.58,TNT EXPRESS,Specialist Contractors
01/04/2016,6210473,47154.98,ARCHDIOCESE OF MALTA,Rental Payments - non residential
25/04/2016,6442428,47014.17,IKA,Multiple Accounts
08/04/2016,6262999,46925.76,FI FASTEIGNAFELAG SLHF,Rental Payments - non residential
28/04/2016,6491449,46885.71,KOIZA INTERNATIONAL LTD,"Purchase of Furniture, Fittings and Domestic Appliances"
27/04/2016,6472747,46663.06,FCO SERVICES,Unscheduled repairs to building infrastructure
13/04/2016,6310432,46502.7,PICKFORDS MOVE MANAGEMENT LTD,Heavy Baggage
26/04/2016,6456717,46220.72,INTERSERVE FM LTD,Multiple Accounts
04/04/2016,6213650,45721.56,AL JAZI REAL ESTATE,Rental Payments - residential
18/04/2016,6363446,45500,CAPITA BUSINESS SERVICES LTD,Training Courses
06/04/2016,6229767,45286.57,PROMETHIUM CARBON PTY LTD,Programme Spend (Oracle Projects Control Account)
04/04/2016,6214090,45225.85,KIDMAH LLC,Recharge Suspense Account (Oracle PA Control Account)
04/04/2016,6214094,45225.85,KIDMAH LLC,Recharge Suspense Account (Oracle PA Control Account)
28/04/2016,6491500,44990,ENGIE LIMITED,Construction Project more than £10k
05/04/2016,6223472,44842.05,CROSS MATCH TECHNOLOGIES GMBH,Programme Spend (Oracle Projects Control Account)
18/04/2016,6364443,44689.5,BRIGHT HORIZONS FAMILY SOLUTION LTD,FCO KCS Nursery
14/04/2016,6320434,44361.97,PEACE NOW,Programme Spend (Oracle Projects Control Account)
18/04/2016,6356542,44248.06,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
11/04/2016,6283626,43686.19,D W PRICE SECURITY LTD,Local Guards
07/04/2016,6246846,43226.7,CADG ENGINEERING PTE.LTD,Assets Under Construction (Oracle PA Control Account)
26/04/2016,6456702,43019.97,ISS FACILITY SERVICES LTD FCO OP - POE,Multiple Accounts
22/04/2016,6423459,42959,BRITISH COUNCIL,Programme Spend (Oracle Projects Control Account)
27/04/2016,6472626,42912.74,FCO SERVICES,IT/IS Consultancy
01/04/2016,6210722,42631.2,COMPUTACENTER UK LTD,Information Systems Implementation
05/04/2016,6222611,42559.62,RANGER PROTECTION AND SECURITY COMPANY LTD,Local Guards
07/04/2016,6246442,42500,KUWAIT BRITISH BUSINESS CENTRE. CO,Miscellaneous Expenditure: inc subscriptions and equipment maintenance
22/04/2016,6425473,42366.39,URSSAF,Multiple Accounts
05/04/2016,6223027,42354.69,COMPUTACENTER UK LTD,Assets Under Construction (Oracle PA Control Account)
15/04/2016,6345448,42350,THE DEATH PENALTY PROJECT LIMTED,Programme Spend (Oracle Projects Control Account)
20/04/2016,6394652,42167.48,PEACEFUL CHANGE INITIATIVE,Programme Spend (Oracle Projects Control Account)
11/04/2016,6283629,42047.59,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
18/04/2016,6356524,41963.7,ISS FACILITY SERVICES LTD FCO OP,Multiple Accounts
22/04/2016,6426604,41950.26,MIL SEC,Assets Under Construction (Oracle PA Control Account)
28/04/2016,6491458,41905,WOMEN FOR WOMEN INTERNATIONAL,Programme Spend (Oracle Projects Control Account)
18/04/2016,6363485,41802,GLOBAL RIGHTS COMPLIANCE LLP,Programme Spend (Oracle Projects Control Account)
27/04/2016,6472749,41789.14,FCO SERVICES,Unscheduled repairs to building infrastructure
12/04/2016,6293426,41644,CTA ECONOMIC AND EXPORT ANALYSTS,Programme Spend (Oracle Projects Control Account)
04/04/2016,6214153,41614.62,ASIA EUROPE FOUNDATION,Programme Spend (Oracle Projects Control Account)
18/04/2016,6361426,41205.85,ES SAADI,Recharge Suspense Account (Oracle PA Control Account)
25/04/2016,6447541,41000,HMRC HM REVENUE AND CUSTOMS,Recruitment - Fast Stream
19/04/2016,6390426,40941.43,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
01/04/2016,6210631,40919.95,COMPUTACENTER UK LTD,Specialist Contractors
27/04/2016,6472767,40783.16,FCO SERVICES,Assets Under Construction (Oracle PA Control Account)
