Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,ERS-522629-90095,"£264,499.75",Rus - Regional Design Service,EX2 5DW,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL FREE LONDON NHS FOUNDATION TRUST,ERS-522630-90083,"£87,245.00",Programme Grants for NHS Trusts,NW3 1QG,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,ROYAL UNITED HOSPITAL BATH NHS TRUST,ERS-522632-90089,"£29,515.00",Cochrane Projects - not including the UKCC,BA1 3NJ,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-522633-90108,"£98,958.00",Programme Grants for NHS Trusts,M6 8HD,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-522633-90108,"£10,199.00",Research for Patient Benefit,M6 8HD,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-522633-90108,"£51,792.44",NIHR Public Health Research ( NETSCC ),M6 8HD,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-522633-90108,"£54,053.01",HS & DR,M6 8HD,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-522633-90108,"£18,043.00",Research for Patient Benefit,M6 8HD,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SALFORD ROYAL NHS FOUNDATION TRUST,ERS-522633-90108,"£111,188.00",HS & DR,M6 8HD,,Programme,PUBLIC,
Department of Health,Department of Health,30/06/2014,Research & development,DG: RDD,SANDWELL & WEST BIRMINGHAM HOSPTIALS NHS TRUST,ERS-522635-90132,"£10,800.00",Research for Patient Benefit,B18 7QH,,Programme,PUBLIC,
