Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Project Code,Expenditure Type,Supplier Type,Contract Number
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£12,954.00",Integrated Academic Training,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£22,698.00",Expand Fellowships,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£73,520.00",Professorship Awards,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£24,290.00",NIHR Fellowships,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£16,343.00",Expand Fellowships,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£22,416.00",NIHR Fellowships,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£52,182.00",Clinician Scientist Awards,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£25,598.00",NIHR Fellowships,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£32,478.00",NIHR Fellowships,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£22,815.00",NIHR Fellowships,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£24,346.00",NIHR Fellowships,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£13,770.00",NIHR Fellowships,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£20,162.00",Clinician Scientist Awards,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£29,000.00",NIHR Fellowships,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£20,323.00",NIHR Fellowships,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,KINGS COLLEGE LONDON,ERS-521803-89544,"£46,633.00",Clinician Scientist Awards,SE1 8WA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521808-89547,"£65,542.00",Clinician Scientist Awards,LS2 9JT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521808-89547,"£18,056.00",NIHR Fellowships,LS2 9JT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521808-89547,"£10,536.75",Integrated Academic Training,LS2 9JT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521808-89547,"£56,194.00",Clinician Scientist Awards,LS2 9JT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521808-89547,"£31,698.00",Clinician Scientist Awards,LS2 9JT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521808-89547,"£22,562.00",NIHR Fellowships,LS2 9JT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521808-89547,"£104,358.00",Professorship Awards,LS2 9JT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521808-89547,"£12,859.00",NIHR Fellowships,LS2 9JT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521808-89547,"£28,715.00",NIHR Fellowships,LS2 9JT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521808-89547,"£11,599.50",Integrated Academic Training,LS2 9JT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521808-89547,"£45,840.00",Clinician Scientist Awards,LS2 9JT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEEDS UNIVERSITY OF,ERS-521808-89547,"£43,734.00",Clinician Scientist Awards,LS2 9JT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEICESTER UNIVERSITY OF,ERS-521809-89548,"£36,780.00",NIHR Fellowships,LE1 7RH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEICESTER UNIVERSITY OF,ERS-521809-89548,"£19,564.00",NIHR Fellowships,LE1 7RH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEICESTER UNIVERSITY OF,ERS-521809-89548,"£15,187.00",NIHR Fellowships,LE1 7RH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEICESTER UNIVERSITY OF,ERS-521809-89548,"£21,388.00",NIHR Fellowships,LE1 7RH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LEICESTER UNIVERSITY OF,ERS-521809-89548,"£19,722.00",NIHR Fellowships,LE1 7RH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LIVERPOOL UNIVERSITY OF,ERS-521810-89549,"£14,364.00",NIHR Fellowships,L69 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LIVERPOOL UNIVERSITY OF,ERS-521810-89549,"£13,593.00",NIHR Fellowships,L69 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LIVERPOOL UNIVERSITY OF,ERS-521810-89549,"£36,767.00",Clinician Scientist Awards,L69 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LIVERPOOL UNIVERSITY OF,ERS-521810-89549,"£9,223.00",Targeted Capacity Building,L69 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LIVERPOOL UNIVERSITY OF,ERS-521810-89549,"£58,776.00",Clinician Scientist Awards,L69 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LIVERPOOL UNIVERSITY OF,ERS-521810-89549,"£30,309.00",NIHR Fellowships,L69 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LIVERPOOL UNIVERSITY OF,ERS-521810-89549,"£33,768.00",NIHR Fellowships,L69 3BX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LONDON SCHOOL OF ECONOMICS,ERS-521812-89551,"£26,291.00",NIHR Fellowships,WC2A 2AE,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LONDON SCHOOL OF ECONOMICS,ERS-521812-89551,"£17,648.00",NIHR Fellowships,WC2A 2AE,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-521813-89540,"£12,234.00",NIHR Fellowships,WC1E 7HT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-521813-89540,"£31,472.00",NIHR Fellowships,WC1E 7HT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-521813-89540,"£24,017.00",NIHR Fellowships,WC1E 7HT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-521813-89540,"£17,573.00",NIHR Fellowships,WC1E 7HT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-521813-89540,"£20,369.00",NIHR Fellowships,WC1E 7HT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-521813-89540,"£21,595.00",NIHR Fellowships,WC1E 7HT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,ERS-521813-89540,"£47,569.00",NIHR Fellowships,WC1E 7HT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£24,239.00",NIHR Fellowships,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£18,794.00",NIHR Fellowships,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£13,962.00",NIHR Fellowships,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£65,648.00",Clinician Scientist Awards,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£44,306.00",Clinician Scientist Awards,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£21,222.00",NIHR Fellowships,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£25,634.00",NIHR Fellowships,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£19,186.00",NIHR Fellowships,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£53,812.00",Clinician Scientist Awards,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£25,580.00",NIHR Fellowships,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£13,196.75",Integrated Academic Training,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£12,723.00",Targeted Capacity Building,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£70,442.00",Clinician Scientist Awards,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£5,116.00",Targeted Capacity Building,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£59,332.00",Clinician Scientist Awards,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,MANCHESTER UNIVERSITY OF,ERS-521820-89552,"£57,440.00",Clinician Scientist Awards,M13 9PL,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-521822-89553,"£15,282.00",NIHR Fellowships,NE1 7RU,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-521822-89553,"£64,801.00",Professorship Awards,NE1 7RU,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-521822-89553,"£9,214.00",Expand Fellowships,NE1 7RU,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-521822-89553,"£66,376.00",NIHR Fellowships,NE1 7RU,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-521822-89553,"£25,133.00",NIHR Fellowships,NE1 7RU,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-521822-89553,"£12,176.00",Targeted Capacity Building,NE1 7RU,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-521822-89553,"£64,934.00",Professorship Awards,NE1 7RU,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-521822-89553,"£50,363.00",Clinician Scientist Awards,NE1 7RU,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-521822-89553,"£38,283.00",NIHR Fellowships,NE1 7RU,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-521822-89553,"£40,963.00",NIHR Fellowships,NE1 7RU,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NEWCASTLE UNIVERSITY,ERS-521822-89553,"£11,296.00",NIHR Fellowships,NE1 7RU,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY OF,ERS-521836-89554,"£33,360.00",NIHR Fellowships,NG7 2RD,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY OF,ERS-521836-89554,"£19,553.00",NIHR Fellowships,NG7 2RD,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY OF,ERS-521836-89554,"£16,366.00",NIHR Fellowships,NG7 2RD,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,NOTTINGHAM UNIVERSITY OF,ERS-521836-89554,"£23,499.00",NIHR Fellowships,NG7 2RD,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£77,861.00",Professorship Awards,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£41,866.00",Clinician Scientist Awards,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£49,952.00",NIHR Fellowships,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£36,499.00",NIHR Fellowships,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£13,425.50",Integrated Academic Training,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£55,952.00",Professorship Awards,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£381,500.00",School of Primary Care Research,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£24,226.00",NIHR Fellowships,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£14,939.00",NIHR Fellowships,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£73,614.00",Professorship Awards,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£25,651.00",NIHR Fellowships,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£13,425.75",Integrated Academic Training,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£22,700.00",NIHR Fellowships,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£24,032.00",NIHR Fellowships,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,OXFORD UNIVERSITY OF,ERS-521840-89555,"£13,037.00",NIHR Fellowships,OX1 2XN,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,PENINSULA COLLEGE OF MEDICINE AND DENTISTRY (PCMD),ERS-521841-89556,"£37,246.00",NIHR Fellowships,PL4 8AA,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,QUEEN MARY AND WESTFIELD COLLEGE,ERS-521843-89557,"£13,632.50",Integrated Academic Training,E1 2AX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,QUEEN MARY AND WESTFIELD COLLEGE,ERS-521843-89557,"£13,614.75",Integrated Academic Training,E1 2AX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,QUEEN MARY AND WESTFIELD COLLEGE,ERS-521843-89557,"£20,633.00",Expand Fellowships,E1 2AX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,QUEEN MARY AND WESTFIELD COLLEGE,ERS-521843-89557,"£23,456.00",NIHR Fellowships,E1 2AX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,QUEEN MARY AND WESTFIELD COLLEGE,ERS-521843-89557,"£13,166.13",Integrated Academic Training,E1 2AX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,QUEEN MARY AND WESTFIELD COLLEGE,ERS-521843-89557,"£11,938.00",Targeted Capacity Building,E1 2AX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,QUEEN MARY AND WESTFIELD COLLEGE,ERS-521843-89557,"£20,381.00",NIHR Fellowships,E1 2AX,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-521853-89558,"£26,144.00",NIHR Fellowships,S10 2UH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-521853-89558,"£85,065.00",Professorship Awards,S10 2UH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-521853-89558,"£25,567.00",NIHR Fellowships,S10 2UH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-521853-89558,"£30,081.00",NIHR Fellowships,S10 2UH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-521853-89558,"£17,238.00",NIHR Fellowships,S10 2UH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-521853-89558,"£24,408.00",NIHR Fellowships,S10 2UH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-521853-89558,"£15,098.19",Integrated Academic Training,S10 2UH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-521853-89558,"£3,580.00",NIHR Biomedical Research Fellowship,S10 2UH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-521853-89558,"£6,935.04",NIHR Biomedical Research Fellowship,S10 2UH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-521853-89558,"£22,241.00",NIHR Fellowships,S10 2UH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SHEFFIELD UNIVERSITY OF,ERS-521853-89558,"£20,931.00",NIHR Fellowships,S10 2UH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SOUTHAMPTON UNIVERSITY OF,ERS-521855-89559,"£13,625.75",Integrated Academic Training,SO17 1BJ,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SOUTHAMPTON UNIVERSITY OF,ERS-521855-89559,"£12,764.75",Integrated Academic Training,SO17 1BJ,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SOUTHAMPTON UNIVERSITY OF,ERS-521855-89559,"£13,861.00",NIHR Fellowships,SO17 1BJ,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SOUTHAMPTON UNIVERSITY OF,ERS-521855-89559,"£18,724.00",NIHR Fellowships,SO17 1BJ,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SOUTHAMPTON UNIVERSITY OF,ERS-521855-89559,"£23,002.00",NIHR Fellowships,SO17 1BJ,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SOUTHAMPTON UNIVERSITY OF,ERS-521855-89559,"£53,386.00",NIHR Fellowships,SO17 1BJ,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,ST GEORGES HOSPITAL MEDICAL SCHOOL,ERS-521856-89560,"£38,166.00",Clinician Scientist Awards,SW17 0RE,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,ST GEORGES HOSPITAL MEDICAL SCHOOL,ERS-521856-89560,"£13,825.00",NIHR Fellowships,SW17 0RE,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,SUSSEX UNIVERSITY OF,ERS-521857-89561,"£26,156.00",NIHR Fellowships,BN1 9RH,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£28,447.00",NIHR Fellowships,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£22,051.00",NIHR Fellowships,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£161,488.00",Professorship Awards,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£24,738.00",NIHR Fellowships,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£54,501.00",NIHR Fellowships,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£21,084.00",NIHR Fellowships,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£20,124.00",Expand Fellowships,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£48,532.00",NIHR Fellowships,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£13,341.25",Integrated Academic Training,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£88,576.00",Professorship Awards,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£73,908.00",Professorship Awards,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£28,032.00",NIHR Fellowships,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£21,952.00",NIHR Fellowships,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£18,239.00",NIHR Fellowships,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£44,551.00",NIHR Fellowships,WC1E 6BT,,Programme,PUBLIC,
Department of Health,Department of Health,12/06/2014,Research & development,DG: RDD,UNIVERSITY COLLEGE LONDON UCL,ERS-521864-89550,"£22,295.00",NIHR Fellowships,WC1E 6BT,,Programme,PUBLIC,
